0	Code 	Date      	Index      	 *	Score 	Summary	Detail	
1	EB69S	43167_03_19	22242 66233	 * 	351.09	紫2基础对甲3伤害3攻速3基地爆炸3易伤	1核279伤害3技能49a攻速57基础对甲67a基地爆炸79a序列升级89a易伤
2	3CT5O	11741_02_09	32221 12417	 * 	344.65	紫3基础对甲3伤害3攻速3易伤2基地爆炸	1核279攻速3加一49a基础对甲57基地爆炸67a伤害79a序列升级89a易伤
3	1J8UI	6570_08_11	11322 34425	 * 	343.04	紫3基础对甲3攻速4易伤2伤害3基础对冰	189a易伤2核378攻速4a伤害59a基础对甲689基础对冰89a序列升级
4	VG2VP	92411_11_09	15223 34123	 * 	342.73	紫2基础对甲5易伤3伤害3攻速2基地爆炸	1578a易伤2a基地爆炸3核478伤害678攻速78a序列升级9a基础对甲
5	QVPQC	79467_01_31	23163 26121	   	341.49	紫3伤害3攻速1基础对甲4易伤2基地爆炸1全技能	1核2579易伤3全技能457伤害579序列升级679攻速89基地爆炸a基础对甲
6	5L5SC	18225_01_20	11352 31324	 * 	341.44	紫2基础对甲3伤害4易伤3基地爆炸2攻速	189a易伤2核389基地爆炸4a攻速5a基础对甲6技能789伤害89a序列升级
7	QQMKO	79009_08_08	13142 14622	 * 	340.36	紫3基础对甲3攻速3基地爆炸2伤害3易伤	1核279基地爆炸3额外掉落49a攻速57伤害67a基础对甲79a序列升级89a易伤
8	IVOEQ	56496_01_14	11112 23455	 * 	340.26	紫3基础对甲3伤害3基地爆炸2攻速3易伤	1核248基地爆炸36a易伤568基础对甲68a序列升级78a伤害9a攻速
9	O53VO	71331_06_17	42622 31342	 * 	339.26	紫3基础对甲3伤害3攻速3基地爆炸	1核278基地爆炸358攻速457伤害578序列升级678基础对甲9技能a易伤
10	FOL19	47245_09_20	35362 53321	 * 	338.98	紫3基础对甲3伤害3攻速2全技能1基础对冰1暴击	178基础对甲2核3基础对冰49全技能578攻速678伤害78序列升级a暴击
11	SFH15	83748_10_19	35113 33334	 * 	338.76	紫3基础对甲3伤害3攻速2基地爆炸3暴击	1核279基础对甲39a攻速47基地爆炸57a暴击6双倍秒伤79a序列升级89a伤害
12	ST57C	84971_09_21	15513 48143	   	337.68	紫2基础对甲3伤害3攻速3基地爆炸3易伤	179伤害2核39a易伤4加一57基础对甲67a攻速79a序列升级89a基地爆炸
13	K7IZK	60066_08_08	13414 61121	   	337.67	紫3基础对甲3伤害3攻速3基地爆炸1暴击	1核278基础对甲358伤害457基地爆炸578序列升级678攻速9暴击a策反
14	K7IZK	60066_08_08	13414 61122	   	337.67	紫3基础对甲3伤害3攻速3基地爆炸1暴击	1核278基础对甲358伤害457基地爆炸578序列升级678攻速9暴击a最后敌人
15	S9QEJ	83236_11_30	13146 32633	   	337.57	紫3基础对甲3伤害3攻速3基地爆炸1全技能	1核289基地爆炸36a攻速48a伤害58a基础对甲7全技能8a序列升级
16	D1AHO	39411_01_21	32535 62211	   	337.57	紫3基础对甲3伤害3攻速3基地爆炸1全技能	1核279基础对甲367伤害4全技能567攻速679序列升级89a基地爆炸
17	HMLP8	52810_03_13	62431 43222	   	337.57	紫3基础对甲3伤害3攻速3基地爆炸1暴击	1核235伤害489基础对甲689基地爆炸789攻速89序列升级a暴击
18	K7IZK	60066_08_08	13414 61123	   	337.57	紫3基础对甲3伤害3攻速3基地爆炸1暴击	1核278基础对甲358伤害457基地爆炸578序列升级678攻速9暴击a挖青
19	A9JR4	31542_02_15	22122 54513	 * 	337.37	紫3基础对甲5易伤3伤害3攻速	1核2689a易伤39a基础对甲458攻速789伤害89a序列升级
20	J4E7B	56915_12_05	63126 32243	   	336.63	紫3基础对甲3伤害3基地爆炸2攻速2易伤	1核27a基础对甲35易伤457伤害57a序列升级67a基地爆炸8a攻速9技能
21	7NVNR	24218_10_16	13231 42642	 * 	335.86	紫3伤害3攻速1基础对甲3基地爆炸2全技能1暴击	1核25全技能378基地爆炸478伤害678攻速78序列升级9暴击a基础对甲
22	Q6P9B	77222_09_12	26122 42151	   	335.86	紫3伤害3攻速1基础对甲3基地爆炸2全技能1暴击	1核28a伤害38a攻速49全技能5暴击6基础对甲78a基地爆炸8a序列升级
23	JZ92Z	56542_07_30	31223 32364	   	334.95	紫3基础对甲3伤害3攻速2基地爆炸1全技能1暴击	179攻速2核379伤害4a基地爆炸5暴击679基础对甲79序列升级8全技能
24	Z3SVV	2320_06_14	43113 32222	   	334.63	紫3基础对甲3基地爆炸2伤害2攻速1基础对冰1全技能	1核279基地爆炸3全技能47攻速5技能679基础对甲79序列升级89伤害a基础对冰
25	DMHNK	41315_03_24	61312 51114	   	334.61	紫3基础对甲3伤害3攻速2基地爆炸1全技能	1核289攻速37基地爆炸4技能589伤害689基础对甲89序列升级a全技能
26	A63BT	31226_10_14	31232 13421	   	334.50	紫3基础对甲3伤害3攻速3易伤2基地爆炸1卖塔	179攻速29a易伤3核47基地爆炸57a伤害6卖塔79a序列升级89a基础对甲
27	515HT	16429_10_27	32551 32352	 * 	334.37	紫3基础对甲3攻速3基地爆炸2伤害2全技能	1核27a基地爆炸367攻速467基础对甲59全技能67a序列升级8a伤害
28	LEIL4	63567_04_25	11124 35422	 * 	334.37	紫3基础对甲3伤害3基地爆炸2攻速3暴击	1核28a暴击356基地爆炸468伤害68a序列升级78a基础对甲9a攻速
29	TFETV	86613_10_26	13212 55263	   	334.12	紫3基础对甲3伤害2攻速3易伤1基础对冰1全技能	1核289基础对甲35攻速489伤害689易伤7全技能89序列升级a基础对冰
