0	Index      	 *	Score 	Summary	Detail	
1	13644 22133	 * 	295.99	橙橙2伤害1易伤1矿等1暴击	13伤害23毒液对冰3序列升级4易伤5技能点6矿等7暴击8a核9全技能
2	31611 11362	 * 	287.89	橙橙3易伤1攻速	134易伤2时间5基地爆炸6雷电7攻速8a核9爆破对壮
3	12636 51231	   	282.54	橙橙2伤害1易伤1暴击1攻速	15伤害2雷电3赏金塔4技能点69核7暴击8攻速a易伤
4	16216 21315	   	281.08	橙橙2伤害1易伤1矿等	17伤害2随机矿3时间4易伤5矿等6双倍秒伤8a核9最后敌人
5	16216 21335	   	281.08	橙橙2伤害1易伤1矿等	17伤害2随机矿3时间4易伤5矿等6双倍秒伤8a核9低血量敌人
6	16251 42312	   	281.08	橙橙2伤害1易伤1矿等	18伤害2随机矿3时间4矿等5防空对甲6易伤7a核9雷电
7	16253 42312	   	281.08	橙橙2伤害1易伤1矿等	18伤害2随机矿3时间4矿等5导弹对毒6易伤7a核9雷电
8	32611 11362	   	279.59	橙橙3易伤1攻速	134易伤2低血量敌人5基地爆炸6雷电7攻速8a核9爆破对壮
9	13253 22133	   	278.56	橙橙2伤害1易伤1暴击	16伤害2毒液对冰35最后敌人4易伤7暴击8a核9全技能
10	13531 22133	   	278.40	橙橙1易伤1伤害1矿等1暴击	1伤害2毒液对冰3技能点4立即金币5易伤6矿等7暴击8a核9全技能
11	31264 42133	   	275.41	橙橙2易伤1暴击	15易伤2时间3立即金币4技能6毒液对毒7暴击8a核9全技能
12	31661 42133	   	275.31	橙橙2易伤1暴击	13易伤2时间4技能5电塔对甲6激光减费7暴击8a核9全技能
13	31663 42133	   	275.31	橙橙2易伤1暴击	13易伤2时间4技能5激光对愈6激光减费7暴击8a核9全技能
14	31651 42133	   	275.21	橙橙2易伤1暴击	13易伤2时间4基础对冰5核弹6激光减费7暴击8a核9全技能
15	36631 11362	   	274.98	橙橙2易伤1矿等1攻速	13易伤2矿等4金币生成5基地爆炸6雷电7攻速8a核9电塔对黄
16	31611 16362	   	274.24	橙橙3易伤	134易伤2时间5基地爆炸6雷电7技能8a核9爆破对壮
17	16412 21315	   	272.68	橙橙2伤害1易伤1矿等	17伤害2随机矿3挖尘4易伤5矿等6双倍秒伤8a核9最后敌人
18	16412 21335	   	272.68	橙橙2伤害1易伤1矿等	17伤害2随机矿3挖尘4易伤5矿等6双倍秒伤8a核9低血量敌人
19	31621 11362	   	272.30	橙橙2易伤2时间1攻速	13易伤25时间4基地爆炸6雷电7攻速8a核9爆破对壮
20	31212 56315	 * 	272.07	橙橙2易伤1伤害	14易伤2时间3立即金币5双倍秒伤6伤害7挖尘8a核9最后敌人
21	31212 56335	   	272.07	橙橙2易伤1伤害	14易伤2时间3立即金币5双倍秒伤6伤害7挖尘8a核9低血量敌人
22	33652 23213	   	269.27	橙橙1易伤1伤害1暴击	1易伤2额外掉落3敌人爆炸4平台5时间6双倍秒伤7a核8伤害9暴击
23	32264 42133	   	267.11	橙橙2易伤1暴击	15易伤2低血量敌人3立即金币4技能6毒液对毒7暴击8a核9全技能
24	32661 42133	   	267.01	橙橙2易伤1暴击	13易伤2低血量敌人4技能5电塔对甲6激光减费7暴击8a核9全技能
25	32651 42133	   	266.91	橙橙2易伤1暴击	13易伤2低血量敌人4基础对冰5核弹6激光减费7暴击8a核9全技能
26	12636 51233	 * 	266.11	橙橙3伤害1暴击1攻速	15a伤害2雷电3赏金塔4技能点69核7暴击8攻速
