0	Index      	 *	Score 	Summary	Detail	
1	23432 23227	 * 	281.25	橙橙2伤害1易伤2攻速	13挖尘23伤害3序列升级4赏金塔56攻速7a核8易伤9加一
2	23321 22436	   	269.27	橙橙1易伤1伤害1暴击1平台	1挖尘2伤害3易伤4低血量敌人5时间6a核7平台8基地爆炸9暴击
3	61422 33116	 * 	265.51	橙橙2易伤1攻速1策反	1额外掉落23易伤3序列升级4策反5赏金塔6攻速7掉矿89核a时间
4	61423 22116	 * 	265.51	橙橙2易伤1攻速1策反	1额外掉落23易伤3序列升级4策反5掉矿6赏金邻近7攻速89核a时间
5	43413 22352	   	264.70	橙橙1易伤1伤害1矿等1平台1策反	1策反2等级3基地爆炸4矿等5易伤69核7平台8金币生成a伤害
6	23412 21141	 * 	263.80	橙4易伤3伤害1暴击	136挖尘235伤害356序列升级4569易伤7金币生成8暴击a核
7	23412 25141	   	263.80	橙4易伤3伤害1暴击	136挖尘235伤害356序列升级4569易伤7等级8暴击a核
8	23412 23141	   	263.70	橙4易伤3伤害1暴击	136挖尘235伤害356序列升级4569易伤7掉矿8暴击a核
9	23316 56231	 * 	260.69	紫橙2易伤1伤害1矿等	1挖尘2伤害38易伤4等级5a核6时间7加一9矿等
10	32211 26266	   	258.19	橙橙1易伤1矿等1攻速1平台1卖塔	1等级2低血量敌人3平台4卖塔5双倍秒伤6攻速7易伤8a核9矿等
11	61462 33111	 * 	257.45	橙橙2易伤1攻速	1额外掉落23易伤3序列升级4技能5赏金塔6攻速7掉矿89核a双倍矿
12	61462 33112	   	257.45	橙橙2易伤1攻速	1额外掉落23易伤3序列升级4技能5赏金塔6攻速7掉矿89核a金币生成
13	61462 33113	   	257.45	橙橙2易伤1攻速	1额外掉落23易伤3序列升级4技能5赏金塔6攻速7掉矿89核a低血量敌人
14	61463 22111	   	257.45	橙橙2易伤1攻速	1额外掉落23易伤3序列升级4技能5掉矿6赏金邻近7攻速89核a双倍矿
15	61463 22112	   	257.45	橙橙2易伤1攻速	1额外掉落23易伤3序列升级4技能5掉矿6赏金邻近7攻速89核a金币生成
16	61463 22113	   	257.45	橙橙2易伤1攻速	1额外掉落23易伤3序列升级4技能5掉矿6赏金邻近7攻速89核a低血量敌人
17	43236 38143	 * 	257.31	紫橙2易伤2矿等1平台2策反	19策反2等级3挖青48核59易伤6加一79矿等9序列升级a平台
18	61426 22111	   	257.30	橙橙2易伤1攻速1策反	1额外掉落23易伤3序列升级4策反5等级6赏金邻近7攻速89核a双倍矿
19	61426 22112	   	257.30	橙橙2易伤1攻速1策反	1额外掉落23易伤3序列升级4策反5等级6赏金邻近7攻速89核a金币生成
20	61426 22113	   	257.30	橙橙2易伤1攻速1策反	1额外掉落23易伤3序列升级4策反5等级6赏金邻近7攻速89核a低血量敌人
21	61422 33111	   	257.20	橙橙2易伤1攻速1策反	1额外掉落23易伤3序列升级4策反5赏金塔6攻速7掉矿89核a双倍矿
22	61422 33112	   	257.20	橙橙2易伤1攻速1策反	1额外掉落23易伤3序列升级4策反5赏金塔6攻速7掉矿89核a金币生成
23	61422 33113	   	257.20	橙橙2易伤1攻速1策反	1额外掉落23易伤3序列升级4策反5赏金塔6攻速7掉矿89核a低血量敌人
24	61422 33115	   	257.20	橙橙2易伤1攻速1策反	1额外掉落23易伤3序列升级4策反5赏金塔6攻速7掉矿89核a赏金邻近
25	61423 22111	   	257.20	橙橙2易伤1攻速1策反	1额外掉落23易伤3序列升级4策反5掉矿6赏金邻近7攻速89核a双倍矿
26	61423 22112	   	257.20	橙橙2易伤1攻速1策反	1额外掉落23易伤3序列升级4策反5掉矿6赏金邻近7攻速89核a金币生成
27	61423 22113	   	257.20	橙橙2易伤1攻速1策反	1额外掉落23易伤3序列升级4策反5掉矿6赏金邻近7攻速89核a低血量敌人
28	61423 22115	   	257.20	橙橙2易伤1攻速1策反	1额外掉落23易伤3序列升级4策反5掉矿6赏金邻近7攻速89核a赏金塔
29	61451 22111	   	257.20	橙橙2易伤1攻速1策反	1额外掉落23易伤3序列升级4掉矿5策反6赏金邻近7攻速89核a双倍矿
30	61451 22112	   	257.20	橙橙2易伤1攻速1策反	1额外掉落23易伤3序列升级4掉矿5策反6赏金邻近7攻速89核a金币生成
31	61451 22113	   	257.20	橙橙2易伤1攻速1策反	1额外掉落23易伤3序列升级4掉矿5策反6赏金邻近7攻速89核a低血量敌人
