0	Index      	 *	Score 	Summary	Detail	
1	63613 24131	 * 	192.35	ACR|4VULN|2DMG|2CDMG	1aMLV|2RCR|3aDMG|4568VULN|7FEWX|9aCDMG|aBPWR
2	63613 24132	 * 	191.45	ACR|4VULN|1AART|1DMG|1CDMG	1MLV|2RCR|3DMG|4568VULN|7FEWX|9CDMG|aAART
3	56215 32214	 * 	187.75	ACR|4VULN|1AART|1DMG|2ASPD	1378VULN|23ASPD|3BPWR|4AART|5RCR|6BEXP|9MBVNT|aDMG
4	52132 15513	 * 	187.62	DCR|3VULN|2DMG|2CDMG|2ZMB|1DUR	159VULN|2DUR|39ZMB|46CDMG|7MLV|89DMG|9BPWR|aRCR
5	22533 63411	 * 	187.23	ACR|3DMG|2VULN|1AART|1DUR	17FEWX|2DUR|3RCR|4RCVC|57VULN|67aDMG|7BPWR|8AART|9BEXP
6	22533 63421	   	187.23	ACR|3DMG|2VULN|1AART|1DUR	17FEWX|2DUR|3RCR|4RCVC|57VULN|67aDMG|7BPWR|8AART|9LWND
7	63612 61132	 * 	186.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	17MLV|2RCR|36DMG|48VULN|5DUR|9CDMG|aAART
8	42662 32332	 * 	186.18	ACR|2VULN|2DMG|3ZMB|2CDMG	19CDMG|29aZMB|3LIT|4RCR|58DMG|6RMIN|79VULN|9BPWR
9	63612 21131	   	185.19	ACR|3VULN|2DMG|2CDMG|1DUR	17aMLV|2RCR|3aDMG|468VULN|5DUR|9aCDMG|aBPWR
10	63612 61131	 * 	185.19	ACR|3DMG|2VULN|2CDMG|1DUR	17aMLV|2RCR|36aDMG|48VULN|5DUR|9aCDMG|aBPWR
11	63612 21132	   	184.29	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	17MLV|2RCR|3DMG|468VULN|5DUR|9CDMG|aAART
12	63631 22621	   	182.49	ACR|3DMG|2VULN|1AART	1MLV|2RCR|367DMG|4BEXP|5BELT|8AART|9aVULN
13	52132 26513	   	181.21	DCR|3VULN|2DMG|2ZMB|1CDMG|1DUR	159VULN|2DUR|39ZMB|4CDMG|6ERES|7RCVC|89DMG|9BPWR|aRCR
14	53365 12321	 * 	180.62	DCR|2VULN|2DMG|3CDMG|1AART	19VULN|279CDMG|345BEXP|69DMG|8AART|9BPWR|aRCR
15	51134 31433	 * 	180.38	DCR|4VULN|1DMG|2ZMB|1CDMG	189aVULN|2DUST|39ZMB|4CDMG|5DMG|6RCR|79BEXP|9BPWR
16	51134 33433	   	180.38	DCR|4VULN|1DMG|2ZMB|1CDMG	189aVULN|2DUST|39ZMB|4CDMG|5DMG|6RCR|79LHND|9BPWR
17	11424 12321	   	180.32	DCR|2VULN|2DMG|3CDMG|1AART	124DUST|379CDMG|59VULN|69DMG|8AART|9BPWR|aRCR
