0	Index      	 *	Score 	Summary	Detail	
1	56333 33432	 * 	189.79	ACR|3DMG|2VULN|1AART|1ZMB	15aVENICY|2NUKE|35aDMG|4RCR|5aBPWR|6AART|7FEWX|8ZMB|9aVULN
2	53116 33431	 * 	183.17	DCR|3VULN|2DMG|1AART	1aVENICY|2AART|3RMIN|48aVULN|5LIT|6RCR|7DUST|9aDMG|aBPWR
3	61622 22333	 * 	177.23	DCR|3VULN|2AART|2CDMG	17CGEN|28AART|39aVULN|47CDMG|57FEWX|6RCR|7BPWR
4	61622 25333	   	177.03	DCR|3VULN|2AART|2CDMG	1CGEN|28AART|39aVULN|47CDMG|5FEWX|6RCR
5	61623 22333	   	177.03	DCR|3VULN|2AART|2CDMG	17CGEN|28AART|39aVULN|47CDMG|57DUST|6RCR|7BPWR
6	61623 25333	   	176.93	DCR|3VULN|2AART|2CDMG	1CGEN|28AART|39aVULN|47CDMG|5DUST|6RCR
7	53116 36331	   	176.46	DCR|2VULN|2DMG|1AART|1DUR	1aVENICY|2AART|3RMIN|4aVULN|5LIT|6RCR|7DUR|8RCVC|9aDMG|aBPWR
8	43341 32133	 * 	175.02	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ZMB|1ASPD|1DUR	1LWND|2CDMG|3ZMB|4VULN|5ASPD|6DMG|7DUR|8RCR|9FLTHEA|aAART
9	61412 51132	 * 	174.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	14CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|7FEWX|8VULN|9LHND|aCDMG
10	61412 51231	   	174.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	14CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|7FEWX|8CDMG|9LHND|aVULN
11	61412 53223	   	174.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	147CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|8BEXP|9VULN|aCDMG
12	61412 51211	   	174.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	14CGEN|2AART|34DMG|4BPWR|5ZMB|6RCR|7FEWX|8CDMG|9MBVNT|aVULN
13	61111 13425	 * 	174.53	DCR|3VULN|1AART|1DMG|1CDMG	1CGEN|2AART|3CDMG|4BELT|5LWND|6DMG|79aVULN|8RCR
14	61113 13425	   	174.53	DCR|3VULN|1AART|1DMG|1CDMG	1CGEN|2AART|3CDMG|4BELT|5FEWX|6DMG|79aVULN|8RCR
