0	Index      	 *	Score 	Summary	Detail	
1	45333 12323	 * 	208.42	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	1AART|279VULN|3NUKE|48DMG|5CDMG|6RCR|aZMB
2	42223 12344	   	199.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1ASPD	1AART|2ZMB|3CDMG|4LWND|5ASPD|6RCR|79VULN|8aDMG
3	45323 12334	   	199.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1AART|27VULN|3NUKE|4ZMB|5CDMG|6RCR|8aDMG|9DUR
4	45333 12321	   	197.42	DCR|3VULN|2DMG|1AART|1CDMG	1AART|279VULN|3NUKE|48DMG|5CDMG|6RCR|aBEXP
5	45333 12324	   	197.42	DCR|3VULN|2DMG|1AART|1CDMG	1AART|279VULN|3NUKE|48DMG|5CDMG|6RCR|aRPLT
6	45333 12325	   	197.42	DCR|3VULN|2DMG|1AART|1CDMG	1AART|279VULN|3NUKE|48DMG|5CDMG|6RCR|aLHND
7	45333 12326	   	197.42	DCR|3VULN|2DMG|1AART|1CDMG	1AART|279VULN|3NUKE|48DMG|5CDMG|6RCR|aMGNLIT
8	21323 35426	 * 	195.87	ACR|5VULN|3DMG	18aDUST|2RPLT|3789aVULN|4RCR|568DMG|8aBPWR
9	43422 61322	 * 	194.08	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB|1ASPD	1aAART|2ASPD|3RCR|4ZMB|5BELT|69DMG|7VULN|8CDMG
10	45323 12333	 * 	193.57	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1DUR	1aAART|27VULN|3NUKE|4ZMB|5CDMG|6RCR|8DMG|9DUR
11	42421 13122	 * 	193.26	ACR|2AART|3ZMB|1DMG|2CDMG|1VULN	1aAART|245ZMB|3RCR|5BPWR|67CDMG|8DMG|9VULN
12	42441 13122	   	193.26	ACR|2AART|3ZMB|1DMG|2CDMG|1VULN	1aAART|245ZMB|3RCR|45BPWR|67CDMG|8DMG|9VULN
13	44311 22633	 * 	193.24	ACR|3DMG|2VULN|1AART|1CDMG	1AART|2RPLT|37LWND|478DMG|5RCR|67VULN|7BPWR|9ERES|aCDMG
14	45323 12362	   	192.77	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|27VULN|3NUKE|4ZMB|5CDMG|6RCR|8aDMG|9LIT
15	45333 12262	   	192.77	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|27VULN|3NUKE|4aDMG|5CDMG|6RCR|8LIT|9ZMB
16	45333 12352	   	192.77	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|27VULN|3NUKE|48DMG|5CDMG|6RCR|9LWND|aZMB
17	31323 26422	 * 	192.54	ACR|3VULN|3DMG|1AART	1678LHND|2RPLT|378VULN|4RCR|578DMG|78BPWR|9LWND|aAART
18	31323 35422	   	192.34	ACR|3VULN|3DMG|1AART	18LHND|2RPLT|378VULN|4RCR|568DMG|8BPWR|9LWND|aAART
19	31323 36222	   	192.34	ACR|3VULN|3DMG|1AART	17LHND|2RPLT|379VULN|4RCR|567DMG|7BPWR|8LWND|aAART
20	31323 36622	   	192.34	ACR|3VULN|3DMG|1AART	17LHND|2RPLT|378VULN|4RCR|567DMG|7BPWR|9LWND|aAART
21	61323 35412	   	192.34	ACR|3VULN|3DMG|1AART	18LWND|2RPLT|378VULN|4RCR|568DMG|8BPWR|9LHND|aAART
22	61323 36222	   	192.34	ACR|3VULN|3DMG|1AART	17LWND|2RPLT|379VULN|4RCR|567DMG|7BPWR|8LHND|aAART
23	44111 62113	   	191.92	ACR|3VULN|2DMG|1AART|2DUR	1AART|2RPLT|37aVULN|47DMG|5RCR|67LHND|7BPWR|89DUR
24	44311 22113	   	191.92	ACR|3VULN|2DMG|1AART|2DUR	1AART|2RPLT|37LWND|47DMG|5RCR|67aVULN|7BPWR|89DUR
25	44111 21522	 * 	190.93	ACR|3VULN|2AART|2DMG	1aAART|2RPLT|368VULN|49DMG|5RCR|7BELT
26	42224 12343	   	190.83	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2ZMB|3CDMG|4LWND|5ERES|6RCR|79aVULN|8DMG
27	25242 14233	   	190.79	ACR|3DMG|2VULN|1AART|1ZMB	1DUST|256DMG|3RCVC|4RCR|78VULN|9ZMB|aAART
28	21323 35423	   	189.98	ACR|4VULN|3DMG|1DUR	18DUST|2RPLT|3789VULN|4RCR|568DMG|8BPWR|aDUR
29	43413 61111	 * 	189.29	ACR|2AART|2DMG|1VULN|3ASPD|1DUR	15AART|289ASPD|3RCR|4DUR|69DMG|79ERES|9BPWR|aVULN
30	42223 12353	   	189.16	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1AART|2ZMB|3CDMG|4LWND|5ASPD|6RCR|7aVULN|8DMG|9DUR
31	42223 15343	   	189.16	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1AART|2ZMB|3CDMG|4LWND|5ASPD|6RCR|7DUR|8DMG|9aVULN
32	42223 12343	   	189.16	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1AART|2ZMB|3CDMG|4LWND|5ASPD|6RCR|79VULN|8DMG|aDUR
33	42421 11122	   	189.15	ACR|2AART|3ZMB|1DMG|1VULN|1CDMG	1aAART|245ZMB|3RCR|5BPWR|6CDMG|7RCVC|8DMG|9VULN
34	42441 11122	   	189.15	ACR|2AART|3ZMB|1DMG|1VULN|1CDMG	1aAART|245ZMB|3RCR|45BPWR|6CDMG|7RCVC|8DMG|9VULN
35	21215 36422	 * 	189.11	DCR|3DMG|3ZMB|1AART|1VULN|1ASPD	178DUST|2RPLT|378DMG|4VULN|5ASPD|678ZMB|78BPWR|9RCR|aAART
36	44124 12333	 * 	188.94	DCR|3VULN|3AART|1DMG|1DUR	14aAART|2RPLT|357VULN|6RCR|8DMG|9DUR
37	44124 12312	   	188.73	DCR|3VULN|2AART|1DMG|1ZMB	14AART|2RPLT|357VULN|6RCR|8DMG|9CGEN|aZMB
38	45333 12361	   	188.70	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|27VULN|3NUKE|48DMG|5CDMG|6RCR|9CGEN|aDUR
