0	Index      	 *	Score 	Summary	Detail	
1	43162 11336	 * 	194.69	ACR|2VULN|2DMG|1AART|2CDMG|1DUR|1SELL	17CDMG|2RCR|37DMG|4SELL|57DUST|6AART|7BPWR|8aVULN|9DUR
2	43163 11342	 * 	188.31	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR|1SELL	17CDMG|2RCR|37DMG|4SELL|57FEWX|6AART|7BPWR|8VULN|9ZMB|aDUR
3	43162 11316	 * 	187.75	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	17CDMG|2RCR|37DMG|4SELL|57DUST|6AART|7BPWR|8aVULN|9LHND
4	43165 32211	 * 	186.90	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB|1SELL	1CDMG|2RCR|36DMG|4SELL|5aAART|7VULN|8BELT|9ZMB
5	43123 41235	 * 	186.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2RCR|37DMG|4TLV|5DUR|6RMIN|89VULN|aAART
6	43163 11513	 * 	186.02	ACR|3DMG|1AART|1VULN|2CDMG|1SELL	17CDMG|2RCR|378DMG|4SELL|57FEWX|6AART|7BPWR|9CGEN|aVULN
7	43142 33235	 * 	185.19	ACR|3VULN|2DMG|2CDMG|1DUR	1aCDMG|2RCR|35DMG|45aBEXP|5aBPWR|6DUR|7DUST|89aVULN
8	43162 11343	 * 	185.02	ACR|2DMG|1AART|1VULN|2CDMG|2ZMB|1SELL	17CDMG|2RCR|37DMG|4SELL|57DUST|6AART|7BPWR|8VULN|9aZMB
9	43142 31242	 * 	184.99	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2RCR|357DMG|45BEXP|5BPWR|6DUR|8RMIN|9AART|aVULN
10	43142 31342	   	184.89	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2RCR|357DMG|45BEXP|5BPWR|6DUR|8ERES|9AART|aVULN
11	43142 43313	 * 	184.19	ACR|3DMG|2VULN|3CDMG	19aCDMG|2RCR|356DMG|45BEXP|5aBPWR|7aVULN|8aERES
12	43165 32331	   	183.94	ACR|2VULN|2DMG|1AART|1CDMG|1SELL	1CDMG|2RCR|36DMG|4SELL|5AART|7aVULN|8RCVC|9RPLT
13	46111 33142	 * 	183.32	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	19CDMG|2LHND|39DMG|4LWND|5AART|6DUR|79VULN|8RPLT|9BPWR|aRCR
14	43111 33462	 * 	183.08	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1CDMG|2RCR|3DMG|4LWND|56AART|79VULN|8BEXP|aDUR
