0	Index      	 *	Score 	Summary	Detail	
1	22166 32432	 * 	210.20	ACR|4VULN|3DMG|2CDMG	1RCR|2ERES|357DMG|45CDMG|5BPWR|689aVULN
2	23263 15161	 * 	201.34	ACR|3VULN|2DMG|1AART|1CDMG	1RCR|2BASHEA|3AART|456VULN|79DMG|8ERES|aCDMG
3	23263 21154	 * 	198.79	ACR|3DMG|2VULN|1AART|1ZMB	1RCR|2BASHEA|3AART|45VULN|6ZMB|7RPLT|89aDMG
4	23233 26116	 * 	198.48	ACR|4VULN|1AART|1CDMG|1FLTHEA|1DUR	1RCR|2BASHEA|3AART|4DUR|5689VULN|7CDMG|aFLTHEA
5	23233 36116	   	198.48	ACR|4VULN|1AART|1CDMG|1FLTHEA|1DUR	1RCR|2BASHEA|3AART|4DUR|5789VULN|6CDMG|aFLTHEA
6	22143 63531	 * 	197.79	ACR|4VULN|2DMG|1AART	1RCR|27ERES|37DMG|4BELT|5679VULN|7BPWR|8LHND|aAART
7	22166 33131	 * 	196.60	ACR|3DMG|2VULN|2CDMG|3DUR	1RCR|2aERES|358DMG|45CDMG|5aBPWR|6aVULN|79aDUR
8	22166 32411	   	196.20	ACR|3VULN|3DMG|2CDMG	1RCR|2aERES|357DMG|45CDMG|5aBPWR|68aVULN|9aLHND
9	22166 32431	   	196.10	ACR|3VULN|3DMG|2CDMG	1RCR|2ERES|357DMG|45CDMG|5BPWR|689VULN|aBELT
10	22166 32433	   	196.10	ACR|3VULN|3DMG|2CDMG	1RCR|2ERES|357DMG|45CDMG|5BPWR|689VULN|aRPLT
11	22166 32422	   	196.00	ACR|3VULN|3DMG|2CDMG	1RCR|29ERES|357DMG|45CDMG|5BPWR|68aVULN
12	23233 26112	   	195.83	ACR|4VULN|1AART|1CDMG|1ZMB|1DUR	1RCR|2BASHEA|3AART|4DUR|5689VULN|7CDMG|aZMB
13	23233 36112	   	195.83	ACR|4VULN|1AART|1CDMG|1ZMB|1DUR	1RCR|2BASHEA|3AART|4DUR|5789VULN|6CDMG|aZMB
14	24124 11126	 * 	195.62	ACR|3VULN|2AART|1DMG|1ASPD|1DUR	1RCR|2DMSP|35AART|49aVULN|6ASPD|7DUR|8DMG
15	23215 16116	   	195.38	ACR|3VULN|1AART|1FLTHEA|1CDMG|1ZMB|1ASPD	1RCR|2BASHEA|3AART|4ASPD|5ZMB|689VULN|7CDMG|aFLTHEA
16	23216 11154	   	194.73	ACR|3DMG|2VULN|1AART|1ASPD	1RCR|2BASHEA|3AART|4ASPD|56VULN|7RPLT|89aDMG
17	23263 21134	 * 	194.58	ACR|2AART|2VULN|2DMG|1ZMB	1RCR|2BASHEA|39AART|45VULN|6ZMB|7RPLT|8aDMG
18	22166 32361	   	194.10	ACR|3DMG|2VULN|2CDMG|2ASPD	1RCR|2aERES|357DMG|45CDMG|5aBPWR|6aVULN|8RMIN|9aASPD
19	21423 24261	 * 	193.63	ACR|2VULN|2DMG|1AART|2ZMB|1ASPD	1RCR|29LHND|3LIT|4AART|59ZMB|6aDMG|7ASPD|89VULN|9BPWR
20	23313 56631	   	193.63	ACR|3VULN|2DMG|1AART|1DUR	1RCR|2aBASHEA|39aVULN|4BELT|5AART|6MGNSTR|7DUR|8aDMG|aBPWR
21	24124 11124	   	193.62	ACR|2AART|2VULN|1DMG|1CDMG|1ASPD|1DUR	1RCR|2DMSP|35AART|49VULN|6ASPD|7DUR|8DMG|aCDMG
22	22166 33163	 * 	193.00	ACR|3DMG|1AART|1VULN|2CDMG|1DUR	1RCR|2ERES|358DMG|45CDMG|5BPWR|6VULN|7DUR|9LIT|aAART
23	22166 33136	   	192.68	ACR|3DMG|2VULN|2CDMG|2DUR	1RCR|2ERES|358DMG|45CDMG|5BPWR|6aVULN|79DUR
24	43641 53144	   	191.64	ACR|4VULN|3DMG|1ZMB	1MBVNT|279BASHEA|3BEXP|4789VULN|5RCR|679DMG|79BPWR|aZMB
25	23262 26116	   	191.54	ACR|4VULN|1AART|1CDMG|1FLTHEA	1RCR|2BASHEA|3AART|4689VULN|5LHND|7CDMG|aFLTHEA
26	23223 36116	   	191.54	ACR|4VULN|1AART|1CDMG|1FLTHEA	1RCR|2BASHEA|3AART|4BEXP|5789VULN|6CDMG|aFLTHEA
27	23262 36116	   	191.54	ACR|4VULN|1AART|1CDMG|1FLTHEA	1RCR|2BASHEA|3AART|4789VULN|5LHND|6CDMG|aFLTHEA
28	23253 36116	   	191.44	ACR|4VULN|1AART|1CDMG|1FLTHEA	1RCR|2BASHEA|3AART|4DUST|5789VULN|6CDMG|aFLTHEA
29	23263 12144	   	191.24	ACR|4VULN|1AART|1DMG|1DUR	1RCR|2BASHEA|3AART|4568VULN|7RPLT|9DUR|aDMG
30	11366 63131	   	191.09	ACR|3VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	156VULN|2LWND|3FLTHEA|4RCR|7DMG|8ZMB|9AART|aDUR
31	24122 54112	   	190.89	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2DMSP|3AART|47aVULN|5CDMG|6MLV|8DMG|9ASPD
32	63111 63531	   	190.79	ACR|4VULN|2DMG|1AART	1BELT|27DMG|3679VULN|4RCR|57MLV|7BPWR|8LHND|aAART
33	23263 15411	   	190.79	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2BASHEA|3AART|456VULN|7DMG|8ASPD|9RCVC|aCDMG
34	23233 25232	   	190.79	ACR|3VULN|1AART|1DMG|1FLTHEA|1DUR	1RCR|2BASHEA|3AART|4DUR|568VULN|7FLTHEA|9FEWX|aDMG
35	23233 25242	   	190.79	ACR|3VULN|1AART|1DMG|1FLTHEA|1DUR	1RCR|2BASHEA|3AART|4DUR|568VULN|7FLTHEA|9LHND|aDMG
36	23233 26154	   	190.79	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2BASHEA|3AART|4DUR|568VULN|7CDMG|9BEXP|aDMG
37	23233 36154	   	190.79	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2BASHEA|3AART|4DUR|578VULN|6CDMG|9BEXP|aDMG
38	24122 34112	   	190.79	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2DMSP|3AART|47aVULN|5CDMG|6TLV|8DMG|9ASPD
39	23223 36144	   	190.79	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2BASHEA|3AART|4BEXP|578VULN|6CDMG|9DUR|aDMG
40	24122 34343	   	190.79	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2DMSP|3AART|478VULN|5CDMG|6TLV|9DMG|aDUR
41	25226 13153	   	190.76	ACR|3VULN|2DMG|2DUR|1ZMB|1ASPD	1RCR|2LWND|3aDUR|4TLV|5ASPD|67aVULN|8ZMB|9aDMG|aBPWR
42	23233 26134	   	190.69	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2BASHEA|3AART|4DUR|568VULN|7CDMG|9LEGI|aDMG
43	23233 26165	   	190.69	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2BASHEA|3AART|4DUR|568VULN|7CDMG|9MBVNT|aDMG
44	23233 35154	   	190.69	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1RCR|2BASHEA|3AART|4DUR|5VULN|6CDMG|7ERES|89aDMG
45	23233 36134	   	190.69	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2BASHEA|3AART|4DUR|578VULN|6CDMG|9LEGI|aDMG
46	23233 36165	   	190.69	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2BASHEA|3AART|4DUR|578VULN|6CDMG|9MBVNT|aDMG
47	24124 33124	   	190.65	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1RCR|2DMSP|35AART|49VULN|6DUST|7ZMB|8DMG|aCDMG
48	22115 16353	   	190.63	ACR|3DMG|2VULN|1AART|1DUR	1RCR|28ERES|378DMG|4FEWX|5LWND|68VULN|8BPWR|9DUR|aAART
49	22143 63331	   	190.63	ACR|3VULN|2DMG|1AART|1ASPD	1RCR|27ERES|37DMG|4BELT|567VULN|7BPWR|8LIT|9ASPD|aAART
50	22143 63621	   	190.63	ACR|3VULN|2DMG|1AART|1DUR	1RCR|27ERES|37DMG|4BELT|567VULN|7BPWR|8DUR|9RCVC|aAART
51	63112 63531	   	190.59	ACR|4VULN|2DMG|1AART	1BELT|27DMG|3679VULN|4RCR|57ERES|7BPWR|8LHND|aAART
52	23353 45133	   	190.53	ACR|3VULN|2DMG|1AART|1DUR	1RCR|2BASHEA|389VULN|4FEWX|5DUR|67DMG|aAART
53	23216 11134	   	190.52	ACR|2AART|2VULN|2DMG|1ASPD	1RCR|2BASHEA|39AART|4ASPD|56VULN|7RPLT|8aDMG
54	23233 13466	   	190.52	ACR|2AART|2VULN|2DMG|1DUR	1RCR|2BASHEA|3aAART|4DUR|59VULN|6LIT|78DMG
55	21635 16331	   	190.44	ACR|4VULN|3DMG	1RCR|28LHND|378DMG|4CGEN|5LWND|689aVULN|8BPWR
56	21615 16331	   	190.34	ACR|4VULN|3DMG	1RCR|28LHND|378DMG|4ERES|5LWND|689aVULN|8BPWR
57	22143 63125	   	190.34	ACR|4VULN|3DMG	1RCR|27aERES|37aDMG|49BELT|567aVULN|7aBPWR|8RPLT
58	22115 16331	   	190.24	ACR|4VULN|3DMG	1RCR|28ERES|378DMG|4FEWX|5LWND|689aVULN|8BPWR
59	22135 16331	   	190.24	ACR|4VULN|3DMG	1RCR|28ERES|378DMG|4BEXP|5LWND|689aVULN|8BPWR
60	22155 16331	   	190.24	ACR|4VULN|3DMG	1RCR|28ERES|378DMG|4LHND|5LWND|689aVULN|8BPWR
61	22163 42431	   	190.18	ACR|3DMG|2VULN|3DUR|1CDMG	1RCR|2aERES|367DMG|4CDMG|59aDUR|8aVULN|aBPWR
62	11366 23163	   	190.14	ACR|3VULN|2DMG|1AART|1FLTHEA	158VULN|2LWND|3FLTHEA|4RCR|6BEXP|79DMG|aAART
63	23326 36116	   	189.74	ACR|4VULN|1AART|1CDMG|1FLTHEA	1RCR|2BASHEA|3589VULN|4LHND|6AART|7CDMG|aFLTHEA
64	23233 26146	   	189.67	ACR|3VULN|1AART|1CDMG|1FLTHEA|2DUR	1RCR|2BASHEA|3AART|49DUR|568VULN|7CDMG|aFLTHEA
65	23233 36146	   	189.67	ACR|3VULN|1AART|1CDMG|1FLTHEA|2DUR	1RCR|2BASHEA|3AART|49DUR|578VULN|6CDMG|aFLTHEA
66	11365 54441	 * 	189.60	ACR|3VULN|2DMG|2FLTHEA|3DUR	19aVULN|29LWND|3aFLTHEA|4RCR|5MBVNT|6aDMG|789DUR|9aBPWR
67	23263 15431	   	189.37	ACR|3VULN|1AART|1DMG|2DUR|1ASPD	1RCR|2BASHEA|3AART|456VULN|7DMG|8ASPD|9aDUR
68	24124 51121	   	189.33	ACR|2AART|2VULN|1DMG|2DUR|1ZMB	1RCR|2DMSP|35AART|49VULN|6ZMB|7aDUR|8DMG
69	24211 13463	 * 	189.07	ACR|3VULN|2DMG|3ZMB	1RCR|2DMSP|3RMIN|469VULN|5CGEN|79aZMB|89DMG|9BPWR
70	23262 26112	   	188.89	ACR|4VULN|1AART|1CDMG|1ZMB	1RCR|2BASHEA|3AART|4689VULN|5LHND|7CDMG|aZMB
71	23263 66112	   	188.89	ACR|4VULN|1AART|1CDMG|1ZMB	1RCR|2BASHEA|3AART|4589VULN|6LHND|7CDMG|aZMB
72	23223 36112	   	188.89	ACR|4VULN|1AART|1CDMG|1ZMB	1RCR|2BASHEA|3AART|4BEXP|5789VULN|6CDMG|aZMB
73	23262 36112	   	188.89	ACR|4VULN|1AART|1CDMG|1ZMB	1RCR|2BASHEA|3AART|4789VULN|5LHND|6CDMG|aZMB
74	23265 36112	   	188.89	ACR|4VULN|1AART|1CDMG|1ZMB	1RCR|2BASHEA|3AART|4789VULN|5FEWX|6CDMG|aZMB
75	24411 34132	 * 	188.80	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|2DMSP|378LIT|4aDMG|57CDMG|67VULN|7BPWR|9AART
76	23253 36112	   	188.79	ACR|4VULN|1AART|1CDMG|1ZMB	1RCR|2BASHEA|3AART|4DUST|5789VULN|6CDMG|aZMB
77	24124 12126	   	188.69	ACR|3VULN|2AART|1DMG|1ASPD	1RCR|2DMSP|35AART|49aVULN|6ASPD|7FEWX|8DMG
