0	Index      	 *	Score 	Summary	Detail	
1	13158 37312	 * 	189.81	DCR|2VULN|2DMG|2AART|1FLTHEA	19FEWX|2BEXP|39DMG|4MBVNT|59VULN|6RCR|78AART|9BPWR|aFLTHEA
2	13158 37311	   	187.16	DCR|2VULN|2DMG|2AART|1ZMB	19FEWX|2BEXP|39DMG|4MBVNT|59VULN|6RCR|78AART|9BPWR|aZMB
3	13116 42115	   	183.66	DCR|2AART|2VULN|2DMG|1ZMB	1aFEWX|2aBEXP|39DMG|4ZMB|56AART|7aVULN|8RCR|aBPWR
4	31111 45316	   	183.16	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1CGEN|2AART|38VULN|4ZMB|5LWND|6DUR|7RCR|9aDMG
5	13158 37314	   	183.10	DCR|2VULN|2DMG|2AART|1DUR	19FEWX|2BEXP|39DMG|4MBVNT|59VULN|6RCR|78AART|9BPWR|aDUR
6	12114 42115	   	183.06	DCR|2VULN|2DMG|2AART|1ZMB	1aFEWX|2aLHND|39DMG|4ZMB|5aVULN|67AART|8RCR|aBPWR
7	21233 11433	 * 	180.25	ACR|2VULN|3CDMG|1AART|1DMG|1ZMB	1LIT|2ZMB|349CDMG|5RCR|6AART|7DMG|8aVULN
8	16116 42133	   	179.75	DCR|2VULN|2AART|1DMG|1ZMB|1ASPD|1DUR	1FEWX|2ASPD|3DUR|4ZMB|56AART|79VULN|8RCR|aDMG
9	31111 45323	 * 	179.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CGEN|2AART|38VULN|4ZMB|5LWND|6DUR|7RCR|9CDMG|aDMG
10	31153 45323	   	179.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CGEN|2AART|38VULN|4BEXP|5ZMB|6DUR|7RCR|9CDMG|aDMG
11	13158 34245	 * 	179.17	DCR|3VULN|2DMG|1AART	17FEWX|2BEXP|37DMG|4MBVNT|57aVULN|6RCR|7BPWR|8LWND|9AART
12	13158 34844	   	178.57	DCR|3VULN|2DMG|1AART	17FEWX|2BEXP|37DMG|4MBVNT|579VULN|6RCR|7BPWR|8RPLT|aAART
13	22254 81112	 * 	178.12	DCR|4VULN|3DMG	134LIT|2348VULN|348BPWR|5MBVNT|68aDMG|78CGEN|9RCR
14	31112 63263	 * 	176.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1CGEN|2AART|3VULN|4ZMB|5aDMG|6ASPD|7LWND|8RCR|9CDMG
15	13158 34284	 * 	176.56	DCR|2VULN|2DMG|1AART|1CDMG	17FEWX|2BEXP|37DMG|4MBVNT|57VULN|6RCR|7BPWR|8LWND|9CDMG|aAART
16	13158 34324	   	176.56	DCR|2VULN|2DMG|1AART|1CDMG	17FEWX|2BEXP|37DMG|4MBVNT|57VULN|6RCR|7BPWR|8CDMG|9LWND|aAART
17	31111 15316	   	176.22	DCR|2VULN|2DMG|1AART|1ZMB	1CGEN|2AART|38VULN|4ZMB|5LWND|6BEXP|7RCR|9aDMG
18	31111 55316	   	176.22	DCR|2VULN|2DMG|1AART|1ZMB	1CGEN|2AART|38VULN|4ZMB|5LWND|6LHND|7RCR|9aDMG
19	31153 35316	   	176.22	DCR|2VULN|2DMG|1AART|1ZMB	1CGEN|2AART|38VULN|4BEXP|5ZMB|6LWND|7RCR|9aDMG
20	13158 37313	   	176.16	DCR|2VULN|2DMG|2AART	19FEWX|2BEXP|39DMG|4MBVNT|59VULN|6RCR|78AART|9BPWR|aBELT
21	31111 65316	   	176.12	DCR|2VULN|2DMG|1AART|1ZMB	1CGEN|2AART|38VULN|4ZMB|5LWND|6LEGI|7RCR|9aDMG
22	22254 81114	 * 	176.12	DCR|4VULN|2DMG|1CDMG	134LIT|2348VULN|348BPWR|5MBVNT|68DMG|78CGEN|9RCR|aCDMG
23	36231 32362	 * 	176.04	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1CGEN|2RCVC|3VULN|4RCR|5CDMG|6aDMG|7ASPD|8AART|9ZMB
24	36231 36332	   	176.04	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1CGEN|2RCVC|3VULN|4RCR|5CDMG|6aDMG|7ZMB|8AART|9ASPD
25	36231 52332	   	176.04	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1CGEN|2RCVC|3VULN|4RCR|5CDMG|6ZMB|7ASPD|8AART|9aDMG
26	16116 42112	   	175.82	DCR|2AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR|1ASPD	1FEWX|2ASPD|3DUR|4ZMB|56AART|7VULN|8RCR|9DMG|aFLTHEA
