0	Index      	 *	Score 	Summary	Detail	
1	31184 17452	 * 	210.23	DCR|4VULN|2DMG|1AART|2CDMG	1MBVNT|2589VULN|3LHND|48CDMG|68DMG|7RCR|8BPWR|aAART
2	38472 32714	 * 	201.52	ACR|2AART|2DMG|2VULN|2DUR|1ZMB	1MBVNT|2LEGI|3RCR|47AART|5aDUR|6ZMB|8aDMG|9aVULN|aBPWR
3	31184 17451	   	198.03	DCR|4VULN|2DMG|2CDMG|1ZMB	1MBVNT|2589VULN|3LHND|48CDMG|68DMG|7RCR|8BPWR|aZMB
4	23146 21125	   	196.23	DCR|3VULN|2DMG|1AART|2CDMG	17CDMG|2RCVC|3LWND|4AART|57DMG|679VULN|7BPWR|8DUST|aRCR
5	31184 17422	   	196.13	DCR|3VULN|2DMG|1AART|2CDMG	1MBVNT|258VULN|39LHND|48CDMG|68DMG|7RCR|8BPWR|aAART
6	21246 21333	 * 	195.43	DCR|2VULN|2DMG|1AART|2CDMG|3DUR	17CDMG|23aDUR|4AART|57DMG|67VULN|7BPWR|8FEWX|9RCR
7	21546 21333	   	195.01	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	17CDMG|2aDUR|3RCVC|4AART|57DMG|67VULN|7BPWR|8FEWX|9RCR
8	38472 44513	 * 	194.72	ACR|3VULN|2DMG|1AART|2DUR	1MBVNT|2LEGI|3RCR|4AART|5aDUR|6LIT|7aDMG|89aVULN|aBPWR
9	31184 17473	   	193.97	DCR|4VULN|2DMG|2CDMG|1DUR	1MBVNT|258aVULN|3LHND|48CDMG|68DMG|7RCR|8BPWR|9DUR
10	38472 33714	 * 	193.89	ACR|2VULN|2DMG|1AART|3DUR|1ZMB	1MBVNT|2LEGI|3RCR|4AART|57aDUR|6ZMB|8aDMG|9aVULN|aBPWR
11	31184 13382	   	193.53	DCR|3VULN|2DMG|1AART|2CDMG	1MBVNT|258VULN|3LHND|48CDMG|68DMG|7RCVC|8BPWR|9RCR|aAART
12	31684 13322	   	193.43	DCR|3VULN|2DMG|1AART|2CDMG	1MBVNT|258VULN|3LEGI|48CDMG|68DMG|7RCVC|8BPWR|9RCR|aAART
13	38284 13322	   	193.43	DCR|3VULN|2DMG|1AART|2CDMG	1MBVNT|2LEGI|358VULN|48CDMG|68DMG|7RCVC|8BPWR|9RCR|aAART
14	21246 21332	   	192.91	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	17CDMG|23DUR|4AART|57DMG|67VULN|7BPWR|8FEWX|9RCR|aRCVC
15	21246 21532	   	192.91	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	17CDMG|23DUR|4AART|57DMG|67VULN|7BPWR|8LHND|9RCR|aRCVC
16	31184 13354	   	191.73	DCR|3VULN|2DMG|1AART|2CDMG	1MBVNT|258VULN|3LHND|48CDMG|68DMG|7RCVC|8BPWR|9AART|aRCR
17	31684 13354	   	191.63	DCR|3VULN|2DMG|1AART|2CDMG	1MBVNT|258VULN|3LEGI|48CDMG|68DMG|7RCVC|8BPWR|9AART|aRCR
18	38284 13354	   	191.63	DCR|3VULN|2DMG|1AART|2CDMG	1MBVNT|2LEGI|358VULN|48CDMG|68DMG|7RCVC|8BPWR|9AART|aRCR
19	21246 21331	   	191.61	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	17CDMG|23DUR|4AART|57DMG|67VULN|7BPWR|8FEWX|9RCR|aRPLT
20	21246 21335	   	191.61	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	17CDMG|23DUR|4AART|57DMG|67VULN|7BPWR|8FEWX|9RCR|aBELT
21	21246 21336	   	191.61	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	17CDMG|23DUR|4AART|57DMG|67VULN|7BPWR|8FEWX|9RCR|aRMIN
22	21246 21531	   	191.61	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	17CDMG|23DUR|4AART|57DMG|67VULN|7BPWR|8LHND|9RCR|aRPLT
23	21246 21533	   	191.61	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	17CDMG|23DUR|4AART|57DMG|67VULN|7BPWR|8LHND|9RCR|aBELT
24	21246 21334	   	191.51	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	17CDMG|23DUR|4AART|57DMG|67VULN|7BPWR|8FEWX|9RCR|aDUST
25	31184 18382	   	191.33	DCR|3VULN|2DMG|1AART|2CDMG	1MBVNT|258VULN|37LHND|48CDMG|68DMG|8BPWR|9RCR|aAART
26	23146 31361	 * 	191.28	DCR|2AART|2DMG|1VULN|1CDMG|1FLTHEA	1CDMG|2RCVC|3LWND|4aAART|58DMG|6RCR|7FLTHEA|9VULN
27	23246 31361	   	191.28	DCR|2AART|2DMG|1VULN|1CDMG|1FLTHEA	1CDMG|2RCVC|3LHND|4aAART|58DMG|6RCR|7FLTHEA|9VULN
28	23146 21232	   	191.19	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17CDMG|2aRCVC|3LWND|4AART|57DMG|67VULN|7BPWR|8DUR|9RCR
29	23245 21232	   	191.19	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17CDMG|2aRCVC|3LHND|4AART|57VULN|67DMG|7BPWR|8DUR|9RCR
30	23246 21232	   	191.19	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17CDMG|2aRCVC|3LHND|4AART|57DMG|67VULN|7BPWR|8DUR|9RCR
31	21546 21332	   	190.89	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17CDMG|2DUR|3aRCVC|4AART|57DMG|67VULN|7BPWR|8FEWX|9RCR
32	31128 17452	   	190.12	DCR|4VULN|2DMG|1AART|1SELL	1MBVNT|2589VULN|358LHND|4SELL|58BPWR|68DMG|7RCR|aAART
33	31124 17452	   	190.02	DCR|4VULN|2DMG|1AART|1SELL	1MBVNT|2589VULN|38LHND|4SELL|68DMG|7RCR|8BPWR|aAART
34	23146 21231	   	190.02	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17CDMG|2RCVC|3LWND|4AART|57DMG|67VULN|7BPWR|8DUR|9RCR|aRPLT
35	23146 21233	   	190.02	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17CDMG|2RCVC|3LWND|4AART|57DMG|67VULN|7BPWR|8DUR|9RCR|aBELT
36	23146 21235	   	190.02	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17CDMG|2RCVC|3LWND|4AART|57DMG|67VULN|7BPWR|8DUR|9RCR|aFEWX
