0	Index      	 *	Score 	Summary	Detail	
1	61334 71441	 * 	204.34	ACR|4VULN|2DMG|1AART|2ZMB	1aDMG|2MBVNT|367aVULN|4RMIN|5RCR|8AART|9aZMB|aBPWR
2	61313 82464	 * 	195.05	DCR|3DMG|2AART|2VULN|1DUR	167DMG|2MBVNT|37VULN|4RPLT|5aAART|7BPWR|8RCR|9DUR
3	61313 82432	 * 	192.22	DCR|3VULN|3DMG|1AART	167DMG|2MBVNT|37aVULN|4RPLT|5AART|7BPWR|8RCR|9BASHEA
4	61313 82451	 * 	190.32	DCR|3DMG|2VULN|1AART|1CDMG	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9MLV|aCDMG
5	61334 81441	   	190.24	ACR|3VULN|2DMG|1AART|2ZMB	1aDMG|2MBVNT|37aVULN|46RMIN|5RCR|8AART|9aZMB|aBPWR
6	61313 82411	   	190.22	DCR|3DMG|2VULN|1AART|1CDMG	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9ERES|aCDMG
7	61374 31434	   	189.64	ACR|3VULN|2DMG|1AART|2ZMB	18DMG|2MBVNT|38aVULN|4CGEN|5RCR|6FEWX|78ZMB|8BPWR|9AART
8	61364 31434	   	189.54	ACR|3VULN|2DMG|1AART|2ZMB	18DMG|2MBVNT|38aVULN|4TLV|5RCR|6FEWX|78ZMB|8BPWR|9AART
9	61334 71425	   	189.49	ACR|4VULN|2DMG|1AART	1aDMG|2MBVNT|367aVULN|4RMIN|5RCR|8AART|9aCGEN|aBPWR
10	61313 82484	   	188.11	DCR|3DMG|2AART|2VULN	167DMG|2MBVNT|37VULN|4RPLT|5aAART|7BPWR|8RCR|9LHND
11	61313 82474	   	188.01	DCR|3DMG|2AART|2VULN	167DMG|2MBVNT|37VULN|4RPLT|5aAART|7BPWR|8RCR|9DUST
12	61313 82424	   	187.67	DCR|3DMG|2VULN|1AART|1ZMB	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9LIT|aZMB
13	61374 31431	 * 	187.52	ACR|2VULN|2DMG|3ZMB|1AART	18DMG|2MBVNT|38VULN|4CGEN|5RCR|6FEWX|78aZMB|8BPWR|9AART
14	61364 31431	   	187.42	ACR|2VULN|2DMG|3ZMB|1AART	18DMG|2MBVNT|38VULN|4TLV|5RCR|6FEWX|78aZMB|8BPWR|9AART
15	32121 13625	   	186.36	DCR|3VULN|2DMG|1AART|2DUR|1SELL	15DUR|27aVULN|3MLV|45DMG|5BPWR|6SELL|8RCR|9AART
16	63162 51133	 * 	186.02	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	19DMG|2ERES|3RCR|4VENICY|58VULN|6AART|7CDMG|aDUR
17	61327 43811	   	185.52	DCR|3VULN|3DMG|1AART	169DMG|2MBVNT|357VULN|4DUST|8AART|aRCR
18	35321 14233	   	184.10	DCR|2VULN|2DMG|1AART|2DUR|1ZMB|1SELL	15DUR|2ZMB|3aVULN|45DMG|5BPWR|6SELL|7RCR|8FEWX|9AART
19	61313 82422	   	183.61	DCR|3DMG|2VULN|1AART|1DUR	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9LIT|aDUR
20	61313 82461	   	183.61	DCR|3DMG|2VULN|1AART|1DUR	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9DUR|aFEWX
21	61313 82462	   	183.61	DCR|3DMG|2VULN|1AART|1DUR	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9DUR|aMLV
22	61313 82416	   	183.51	DCR|3DMG|2VULN|1AART|1DUR	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9ERES|aDUR
23	61313 82463	   	183.51	DCR|3DMG|2VULN|1AART|1DUR	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9DUR|aBASHEA
24	61334 71446	   	182.70	ACR|4VULN|1AART|1DMG|1ZMB	1DMG|2MBVNT|367aVULN|4RMIN|5RCR|8AART|9ZMB
25	32121 13626	   	182.15	DCR|2VULN|2DMG|2AART|2DUR|1SELL	15DUR|27VULN|3MLV|45DMG|5BPWR|6SELL|8RCR|9aAART
26	55121 41131	   	181.07	DCR|3VULN|2DMG|1AART|1ZMB	157VULN|2ZMB|3BEXP|45DMG|5BPWR|6LWND|8AART|9DUST|aRCR
27	55121 51131	   	181.07	DCR|3VULN|2DMG|1AART|1ZMB	157VULN|2ZMB|3BEXP|45DMG|5BPWR|6LHND|8AART|9DUST|aRCR
28	55621 21131	   	181.07	DCR|3VULN|2DMG|1AART|1ZMB	157VULN|2ZMB|3LHND|45DMG|5BPWR|6BEXP|8AART|9DUST|aRCR
29	61445 37421	   	181.07	DCR|2VULN|2DMG|1AART|1CDMG	1aDMG|2MBVNT|3RCVC|4aVULN|5CDMG|6RCR|7ERES|8AART|9aMLV|aBPWR
30	61374 31435	   	180.93	ACR|2VULN|2DMG|1AART|2ZMB|1DUR	18DMG|2MBVNT|38VULN|4CGEN|5RCR|6FEWX|78ZMB|8BPWR|9AART|aDUR
31	61364 31435	   	180.83	ACR|2VULN|2DMG|1AART|2ZMB|1DUR	18DMG|2MBVNT|38VULN|4TLV|5RCR|6FEWX|78ZMB|8BPWR|9AART|aDUR
32	61445 37131	   	180.47	DCR|2VULN|2DMG|1AART|1CDMG	1aDMG|2MBVNT|3RCVC|4aVULN|5CDMG|6RCR|7ERES|8aCGEN|9AART|aBPWR
33	61374 31448	   	180.33	ACR|2VULN|2DMG|1AART|2ZMB|1DUR	18DMG|2MBVNT|38VULN|4CGEN|5RCR|6FEWX|78ZMB|8BPWR|9DUR|aAART
34	61212 37244	 * 	180.29	ACR|3VULN|3DMG|2ASPD	18aDMG|2MBVNT|3LEGI|4RPLT|5RCR|68ASPD|78aVULN|8aBPWR|9aCGEN
35	61364 31448	   	180.23	ACR|2VULN|2DMG|1AART|2ZMB|1DUR	18DMG|2MBVNT|38VULN|4TLV|5RCR|6FEWX|78ZMB|8BPWR|9DUR|aAART
36	61212 37284	   	180.09	ACR|3VULN|3DMG|2ASPD	18aDMG|2MBVNT|3LEGI|4RPLT|5RCR|68ASPD|78aVULN|8aBPWR|9aERES
37	61254 23721	 * 	179.81	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	19DMG|2MBVNT|3LEGI|4BELT|5DUR|69ZMB|79VULN|8RCR|9BPWR|aAART
38	61442 38162	   	179.27	DCR|3DMG|2VULN|1AART	19aDMG|2MBVNT|3RCVC|47VULN|5DLOT|6AART|8RCR
39	63162 51131	   	179.08	ACR|2VULN|2DMG|1AART|1CDMG	19DMG|2ERES|3RCR|4VENICY|58VULN|6AART|7CDMG|aRPLT
40	63162 51132	   	179.08	ACR|2VULN|2DMG|1AART|1CDMG	19DMG|2ERES|3RCR|4VENICY|58VULN|6AART|7CDMG|aBEXP
41	64523 11212	   	178.82	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	149DMG|29LIT|3DUR|5ZMB|6AART|7RCR|89TLV|9BPWR|aVULN
42	22243 35431	 * 	178.70	DCR|3VULN|2AART|2DMG|2DUR|2MSE	1aMSE|23AART|45DUR|69aVULN|7aDMG|8RCR|aBPWR
43	22243 41431	 * 	178.70	DCR|3VULN|2AART|2DMG|2DUR|2MSE	1aMSE|23AART|45DUR|6aDMG|79aVULN|8RCR|aBPWR
44	61212 37236	 * 	178.08	ACR|3VULN|2DMG|2ASPD|1CDMG	18DMG|2MBVNT|3LEGI|4RPLT|5RCR|68ASPD|789VULN|8BPWR|aCDMG
45	35321 41111	   	177.75	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	15DUR|2ZMB|37VULN|45DMG|5BPWR|6LWND|8AART|9BEXP|aRCR
46	35321 41151	   	177.75	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	15DUR|2ZMB|37VULN|45DMG|5BPWR|6LWND|8AART|9FEWX|aRCR
47	35321 51111	   	177.75	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	15DUR|2ZMB|37VULN|45DMG|5BPWR|6LHND|8AART|9BEXP|aRCR
48	35321 51151	   	177.75	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	15DUR|2ZMB|37VULN|45DMG|5BPWR|6LHND|8AART|9FEWX|aRCR
49	35321 41131	   	177.65	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	15DUR|2ZMB|37VULN|45DMG|5BPWR|6LWND|8AART|9DUST|aRCR
50	35321 51131	   	177.65	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	15DUR|2ZMB|37VULN|45DMG|5BPWR|6LHND|8AART|9DUST|aRCR
51	55121 26111	 * 	177.62	DCR|3VULN|2DMG|1CDMG|1ZMB	15aVULN|2ZMB|36BEXP|45DMG|5BPWR|7RCR|8DMSP|9CDMG
52	32123 53625	 * 	177.48	DCR|4VULN|1AART|1DMG|1DUR|1SELL	1DUR|267aVULN|3MLV|4DMG|5SELL|8RCR|9AART
53	63312 23514	 * 	177.19	ACR|3DMG|2AART|1VULN|1ASPD	138DMG|23ERES|3BPWR|4LIT|5RCR|6aAART|7ASPD|9VULN
54	32121 14131	 * 	177.12	DCR|2VULN|2DMG|1AART|3DUR|1SELL	15aDUR|2aVULN|3MLV|45DMG|5aBPWR|6SELL|7RCR|8aCGEN|9AART
55	15222 63325	   	176.92	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2ZMB|3DUST|4DMG|5DUR|68aVULN|7RCR|9AART
56	32121 14331	 * 	176.92	DCR|2VULN|2DMG|1AART|3DUR|1SELL	15aDUR|2aVULN|3MLV|45DMG|5aBPWR|6SELL|7RCR|8aERES|9AART
57	61321 31326	   	176.82	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|2MBVNT|38aVULN|4DUST|5ZMB|6DUR|7RCR|9AART
58	64523 11321	   	176.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	14DMG|2LIT|3DUR|5ZMB|6AART|7RCR|8LWND|9VULN|aCDMG
59	35323 54233	   	176.78	DCR|3VULN|1AART|1DMG|1ZMB|1DUR|1SELL	1DUR|2ZMB|36aVULN|4DMG|5SELL|7RCR|8FEWX|9AART
60	52136 14233	   	176.78	DCR|3VULN|1AART|1DMG|1ZMB|1DUR|1SELL	12aVULN|3ZMB|4DUR|5DMG|6SELL|7RCR|8FEWX|9AART
61	61313 82423	   	176.67	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9LIT|aBELT
62	61313 82425	   	176.67	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9LIT|aLHND
63	61313 82426	   	176.67	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9aLIT
64	61313 82427	   	176.67	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9LIT|aCGEN
65	61313 82453	   	176.67	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9aMLV
66	61313 82454	   	176.67	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9MLV|aLHND
67	61313 82481	   	176.67	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9LHND|aFEWX
68	61313 82482	   	176.67	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9LHND|aMLV
69	61313 82413	   	176.57	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9ERES|aMLV
70	61313 82414	   	176.57	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9ERES|aRMIN
71	61313 82415	   	176.57	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9ERES|aLHND
72	61313 82421	   	176.57	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9LIT|aDUST
73	61313 82431	   	176.57	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9BASHEA|aMGNLIT
74	61313 82434	   	176.57	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9BASHEA|aMLV
75	61313 82436	   	176.57	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9BASHEA|aCGEN
76	61313 82437	   	176.57	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9BASHEA|aBELT
77	61313 82452	   	176.57	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9MLV|aLSRHEA
78	61313 82471	   	176.57	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9DUST|aFEWX
79	61313 82472	   	176.57	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9DUST|aMLV
80	61313 82483	   	176.57	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9LHND|aBASHEA
81	61313 84452	   	176.57	DCR|3VULN|2DMG|1AART	16DMG|2MBVNT|39aVULN|4RPLT|5AART|7BELT|8RCR
82	61313 82412	   	176.47	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9ERES|aLSRHEA
83	61313 82417	   	176.47	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9ERES|aDUST
84	61313 82418	   	176.47	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9ERES|aTLV
85	61313 82435	   	176.47	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9BASHEA|aDUST
86	61313 82473	   	176.47	DCR|3DMG|2VULN|1AART	167DMG|2MBVNT|37VULN|4RPLT|5AART|7BPWR|8RCR|9DUST|aBASHEA
87	63116 23271	   	176.07	ACR|3DMG|2VULN|2ASPD|1DUR	159DMG|28ERES|3RCR|49ASPD|6MBVNT|79VULN|9BPWR|aDUR
88	61354 21721	   	176.06	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	19DMG|2MBVNT|39VULN|4BELT|5DUR|6ZMB|79FEWX|8RCR|9BPWR|aAART
89	52253 13241	 * 	175.58	DCR|3VULN|1DMG|2CDMG|1ZMB|1DUR	125VULN|34CDMG|6RCR|7LIT|8DMG|9DUR|aZMB
90	61334 71443	   	175.54	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1DMG|2MBVNT|367VULN|4RMIN|5RCR|8AART|9ZMB|aASPD
91	61334 81425	   	175.39	ACR|3VULN|2DMG|1AART	1aDMG|2MBVNT|37aVULN|46RMIN|5RCR|8AART|9aCGEN|aBPWR
