0	Index      	 *	Score 	Summary	Detail	
1	21542 31335	 * 	207.80	ACR|3VULN|1AART|2CDMG|1DMG|2ZMB|1ASPD|1DUR	169VULN|2DMG|39CDMG|4RCR|5ASPD|7DUR|89ZMB|9BPWR|aAART
2	21123 12513	 * 	207.03	DCR|4VULN|3DMG|1AART	178aVULN|25aDMG|3RCVC|4aLWND|6AART|9RCR|aBPWR
3	21113 51313	   	205.83	DCR|4VULN|3DMG|1AART	167aVULN|25aDMG|3RCVC|4aBEXP|8AART|9RCR|aBPWR
4	21543 13235	   	197.70	ACR|2VULN|1AART|1DMG|2CDMG|2ASPD|1ZMB|1DUR	19VULN|2DMG|39CDMG|4RCR|5RCVC|6DUR|7ZMB|89ASPD|9BPWR|aAART
5	23413 26326	 * 	195.39	ACR|4VULN|2DMG|1AART	1279VULN|3RCR|4CGEN|5aDMG|6AART|8BEXP
6	23413 26413	   	195.16	ACR|3VULN|2DMG|1AART|1ASPD|1DUR	127VULN|3RCR|4CGEN|58DMG|6AART|9DUR|aASPD
7	23413 13562	 * 	194.74	ACR|3VULN|3DMG|1AART	128VULN|3RCR|4CGEN|578DMG|68BEXP|8BPWR|9FEWX|aAART
8	21113 31313	   	194.10	DCR|3VULN|3DMG|1AART	17aVULN|25aDMG|36RCVC|4aBEXP|8AART|9RCR|aBPWR
9	23413 26411	   	193.52	ACR|3VULN|2DMG|1AART|2DUR	127VULN|3RCR|4CGEN|58DMG|6AART|9aDUR
10	23236 43341	   	193.37	ACR|4VULN|2DMG|2ASPD|2DUR	128aVULN|3aDUST|4RCR|5BELT|68ASPD|78DUR|8aBPWR|9aDMG
11	23233 63533	   	193.12	ACR|4VULN|2DMG|1FLTHEA|2DUR|1SELL	1279VULN|3DUST|4RCR|59DUR|6SELL|89DMG|9BPWR|aFLTHEA
12	21132 51313	   	192.95	DCR|4VULN|2DMG|1AART	167aVULN|2aDMG|34RCVC|5aDUST|8AART|9RCR|aBPWR
13	21542 31632	   	192.92	ACR|3VULN|2DMG|2ASPD|1CDMG|2DUR	169VULN|29DMG|3CDMG|4RCR|5aASPD|79DUR|8RMIN|9BPWR
14	21123 12516	   	192.73	DCR|3VULN|3DMG|1AART	178VULN|25aDMG|3RCVC|4LWND|6AART|9RCR
15	21153 12516	   	192.73	DCR|3VULN|3DMG|1AART	178VULN|25aDMG|3RCVC|4LHND|6AART|9RCR
16	23433 23424	   	192.29	ACR|3VULN|2DMG|1AART|1ZMB	129VULN|3RCR|47RMIN|58DMG|6AART|aZMB
17	21513 23513	   	192.22	DCR|3DMG|2VULN|1AART|1CDMG	17VULN|278DMG|3CDMG|4MLV|57LHND|6RCR|7BPWR|9NUKE|aAART
18	21113 11313	   	191.73	DCR|3VULN|3DMG|1AART	17aVULN|25aDMG|3RCVC|4aBEXP|6DMSP|8AART|9RCR|aBPWR
19	23416 13212	 * 	191.53	ACR|5VULN|1AART|1DMG	12679VULN|3RCR|469CGEN|5AART|69BPWR|89LIT|aDMG
20	21113 51316	   	191.53	DCR|3VULN|3DMG|1AART	167VULN|25aDMG|3RCVC|4BEXP|8AART|9RCR
21	23416 53212	   	191.43	ACR|5VULN|1AART|1DMG	12679VULN|3RCR|49CGEN|5AART|89LIT|9BPWR|aDMG
22	23416 13262	   	191.33	ACR|5VULN|1AART|1DMG	12679VULN|3RCR|46CGEN|5AART|6BPWR|8LIT|aDMG
23	23436 52212	   	191.33	ACR|5VULN|1AART|1DMG	12679VULN|3RCR|4RMIN|5AART|89LIT|9BPWR|aDMG
24	23426 53212	   	191.23	ACR|5VULN|1AART|1DMG	12679VULN|3RCR|49ERES|5AART|89LIT|9BPWR|aDMG
25	21542 31332	   	191.20	ACR|3VULN|1DMG|2CDMG|2ZMB|2ASPD|1DUR	169VULN|2DMG|39CDMG|4RCR|5aASPD|7DUR|89ZMB|9BPWR
26	23426 13262	   	191.13	ACR|5VULN|1AART|1DMG	12679VULN|3RCR|46ERES|5AART|6BPWR|8LIT|aDMG
27	21542 31334	 * 	190.63	ACR|3VULN|3CDMG|1DMG|2ZMB|1DUR|1ASPD	169VULN|2DMG|39aCDMG|4RCR|5ASPD|7DUR|89ZMB|9BPWR
28	23416 11427	 * 	189.85	ACR|4VULN|2AART|1DMG	1269VULN|3RCR|46CGEN|58AART|6BPWR|7MBVNT|aDMG
29	21543 13633	 * 	189.73	ACR|2VULN|2DMG|2ZMB|1CDMG|1FLTHEA|1DUR	19VULN|29DMG|3CDMG|4RCR|5RCVC|6DUR|79ZMB|8RMIN|9BPWR|aFLTHEA
30	23426 11427	   	189.65	ACR|4VULN|2AART|1DMG	1269VULN|3RCR|46ERES|58AART|6BPWR|7MBVNT|aDMG
31	61423 21251	   	189.22	DCR|3DMG|2VULN|1AART|1CDMG	13LHND|235DMG|3BPWR|4LWND|69VULN|7AART|8RCR|aCDMG
32	21153 12513	 * 	188.52	DCR|3VULN|2DMG|2AART	178VULN|25DMG|3RCVC|4LHND|6aAART|9RCR
33	23413 26412	   	188.23	ACR|3VULN|2DMG|1AART|1DUR	127VULN|3RCR|4CGEN|58DMG|6AART|9DUR|aFEWX
34	23433 23425	   	188.23	ACR|3VULN|2DMG|1AART|1DUR	129VULN|3RCR|47RMIN|58DMG|6AART|aDUR
35	23432 26431	   	188.13	ACR|3VULN|2DMG|1AART|1DUR	127VULN|3RCR|4RMIN|5ERES|6AART|8aDMG|9DUR
36	22243 55113	   	188.09	ACR|3VULN|2DMG|1AART|1ZMB	167VULN|25LIT|3ZMB|4RCR|8aDMG|9AART
37	21542 31512	 * 	187.12	ACR|3VULN|2DMG|2CDMG|1ASPD|1DUR	16aVULN|28DMG|39CDMG|4RCR|5ASPD|7DUR
38	25113 25621	   	186.94	DCR|2AART|2VULN|2DMG|1ASPD|1DUR	19VULN|2FEWX|3ASPD|46AART|5DUR|7aDMG|8RCR
39	21513 23526	 * 	186.43	DCR|3DMG|2VULN|2CDMG|1ZMB	17VULN|278DMG|39CDMG|4MLV|57LHND|6RCR|7BPWR|aZMB
40	23233 63532	   	186.41	ACR|4VULN|2DMG|2DUR|1ASPD|1SELL	1279VULN|3DUST|4RCR|59DUR|6SELL|89DMG|9BPWR|aASPD
41	21542 31631	   	186.31	ACR|3VULN|2DMG|1CDMG|2DUR|1ASPD	169VULN|29DMG|3CDMG|4RCR|5ASPD|79DUR|8RMIN|9BPWR|aFEWX
42	21542 31633	   	186.21	ACR|3VULN|2DMG|1CDMG|2DUR|1ASPD	169VULN|29DMG|3CDMG|4RCR|5ASPD|79DUR|8RMIN|9BPWR|aTLV
43	23463 13532	 * 	185.64	ACR|4VULN|3DMG	128aVULN|3RCR|4MLV|578DMG|68BEXP|8BPWR|9BELT
44	32432 51351	   	185.57	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1LSRREG|2BEXP|3AART|458VULN|6RCR|7ASPD|9CDMG|aDMG
45	22231 16643	 * 	185.52	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	18VULN|2LIT|38ZMB|4AART|5CDMG|69LHND|78DMG|8BPWR|aRCR
46	23466 13321	   	185.44	ACR|4VULN|1AART|1DMG|1DUR	1269VULN|3RCR|46MLV|5AART|6BPWR|7DMG|8BEXP|aDUR
47	23466 13323	   	185.44	ACR|4VULN|1AART|1DMG|1ASPD	1269VULN|3RCR|46MLV|5AART|6BPWR|7DMG|8BEXP|aASPD
48	23436 53321	   	185.34	ACR|4VULN|1AART|1DMG|1DUR	1269VULN|3RCR|4RMIN|5AART|7DMG|8BEXP|aDUR
49	23436 53323	   	185.34	ACR|4VULN|1AART|1DMG|1ASPD	1269VULN|3RCR|4RMIN|5AART|7DMG|8BEXP|aASPD
50	23413 13516	   	185.19	ACR|3VULN|3DMG|1CDMG	128VULN|3RCR|4CGEN|578DMG|68BEXP|8BPWR|9LWND|aCDMG
51	23413 26321	   	184.74	ACR|4VULN|1AART|1DMG|1DUR	1279VULN|3RCR|4CGEN|5DMG|6AART|8BEXP|aDUR
52	23413 26323	   	184.74	ACR|4VULN|1AART|1DMG|1ASPD	1279VULN|3RCR|4CGEN|5DMG|6AART|8BEXP|aASPD
53	23426 13242	   	184.72	ACR|5VULN|1AART|1FLTHEA	1267aVULN|3RCR|46ERES|5AART|6BPWR|8LIT|9FLTHEA
54	21222 22611	   	184.67	DCR|3DMG|2VULN|1AART|1ZMB	17VULN|257DMG|345ERES|57BPWR|67MLV|8RCR|9ZMB|aAART
55	23433 25423	   	184.66	ACR|3VULN|2DMG|1AART	129VULN|3RCR|4RMIN|58DMG|6AART|7aRCVC
56	23432 26423	   	184.64	ACR|4VULN|1AART|1DMG|1ASPD	1279VULN|3RCR|4RMIN|5ERES|6AART|8DMG|aASPD
57	21113 54341	   	184.61	DCR|3DMG|2VULN|1AART|1DUR	16VULN|25aDMG|3RCVC|4BEXP|7DUR|8RCR|9AART
58	21542 31331	   	184.59	ACR|3VULN|1DMG|2CDMG|2ZMB|1DUR|1ASPD	169VULN|2DMG|39CDMG|4RCR|5ASPD|7DUR|89ZMB|9BPWR|aFEWX
59	21542 31333	   	184.49	ACR|3VULN|1DMG|2CDMG|2ZMB|1DUR|1ASPD	169VULN|2DMG|39CDMG|4RCR|5ASPD|7DUR|89ZMB|9BPWR|aTLV
60	21542 31336	   	184.49	ACR|3VULN|1DMG|2CDMG|2ZMB|1DUR|1ASPD	169VULN|2DMG|39CDMG|4RCR|5ASPD|7DUR|89ZMB|9BPWR|aERES
61	21542 16332	   	184.26	ACR|3VULN|1DMG|2CDMG|2ZMB|2ASPD	179VULN|2DMG|39CDMG|4RCR|5aASPD|6LHND|89ZMB|9BPWR
62	21542 34332	   	184.26	ACR|3VULN|1DMG|2CDMG|2ZMB|2ASPD	169VULN|2DMG|39CDMG|4RCR|5aASPD|7LHND|89ZMB|9BPWR
63	21542 53332	   	184.26	ACR|3VULN|1DMG|2CDMG|2ZMB|2ASPD	179VULN|2DMG|39CDMG|4RCR|5aASPD|6LWND|89ZMB|9BPWR
64	21562 31613	   	184.21	DCR|3VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	16aVULN|2DMG|3CDMG|4LWND|5ASPD|7DUR|8RCR|9AART
65	23413 24313	   	184.19	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	12aVULN|3RCR|4CGEN|5DMG|6AART|7DUST|8CDMG|9DUR
66	22231 54261	 * 	184.15	DCR|3VULN|3ZMB|1AART|1CDMG	19aVULN|2LIT|39aZMB|4AART|5CDMG|6FEWX|7RCR|89aERES|9aBPWR
67	22231 54361	   	184.15	DCR|3VULN|3ZMB|1AART|1CDMG	19aVULN|2LIT|39aZMB|4AART|5CDMG|6FEWX|7RCR|89aTLV|9aBPWR
68	23133 41162	   	184.03	ACR|3VULN|2DMG|1AART|1DUR	127VULN|3LHND|4RCR|5DUR|6RPLT|8aDMG|9AART
69	21533 22513	   	183.90	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1aVULN|28DMG|3CDMG|4ERES|5LHND|6RCR|7DUR|9AART
70	23433 12411	   	183.77	ACR|3VULN|3DMG|2DUR	129VULN|3RCR|4RMIN|59aDMG|6BEXP|7LHND|89DUR|9BPWR
71	23413 23346	   	183.66	ACR|3VULN|1AART|1DMG|2CDMG	12aVULN|3RCR|4CGEN|5DMG|6AART|7RMIN|89CDMG
72	23413 21346	   	183.56	ACR|3VULN|1AART|1DMG|2CDMG	12aVULN|3RCR|4CGEN|5DMG|6AART|7TLV|89CDMG
73	23433 21346	   	183.56	ACR|3VULN|1AART|1DMG|2CDMG	12aVULN|3RCR|4RMIN|5DMG|6AART|7TLV|89CDMG
74	23413 25326	   	183.49	ACR|3VULN|2DMG|1AART	129VULN|3RCR|4CGEN|5aDMG|6AART|7RCVC|8BEXP
75	23433 25421	   	183.49	ACR|3VULN|2DMG|1AART	129VULN|3RCR|4RMIN|58DMG|6AART|7RCVC|aMLV
76	23433 25422	   	183.49	ACR|3VULN|2DMG|1AART	129VULN|3RCR|4RMIN|58DMG|6AART|7RCVC|aLIT
77	23416 11428	   	183.44	ACR|4VULN|2AART|1CDMG	1269VULN|3RCR|46CGEN|58AART|6BPWR|7MBVNT|aCDMG
78	23426 11428	   	183.24	ACR|4VULN|2AART|1CDMG	1269VULN|3RCR|46ERES|58AART|6BPWR|7MBVNT|aCDMG
