0	Index      	 *	Score 	Summary	Detail	
1	21653 31632	 * 	193.79	ACR|4VULN|2AART|1DMG|1ASPD	1LHND|26AART|348aVULN|5RCR|7ASPD|9DMG
2	61532 51333	 * 	190.73	ACR|3VULN|2DMG|1AART|1ASPD	17aBEXP|2AART|3RCR|4aDMG|5LSRHEA|6ASPD|89aVULN|aBPWR
3	21633 31651	 * 	189.80	DCR|2AART|2VULN|2DMG|1ZMB|1ASPD	1LHND|26AART|38VULN|4aDMG|5ZMB|7ASPD|9RCR
4	21654 32231	 * 	188.03	DCR|3VULN|2AART|1DMG|1ZMB	1LHND|29AART|345VULN|6RCR|7ZMB|8DUST|aDMG
5	41343 21153	 * 	187.39	ACR|2DMG|1AART|3ASPD|1VULN|1CDMG|2DUR	127ASPD|3LWND|47DMG|5RCR|67DUR|7BPWR|8VULN|9AART|aCDMG
6	41512 23263	 * 	186.95	DCR|3DMG|1AART|1VULN|3ASPD|1ZMB	127ASPD|357DMG|47ERES|6AART|7BPWR|8VULN|9RCR|aZMB
7	21651 31632	 * 	186.72	DCR|4VULN|1AART|1DMG|1ASPD	15LHND|2AART|348aVULN|6RCR|7ASPD|9DMG
8	21653 31631	   	186.62	ACR|3VULN|2AART|1DMG|1ASPD|1DUR	1LHND|26AART|348VULN|5RCR|7ASPD|9DMG|aDUR
9	21653 31612	 * 	186.30	ACR|3VULN|2AART|1DMG|2ASPD	1LHND|26AART|348VULN|5RCR|79ASPD|aDMG
10	21634 34131	 * 	185.90	DCR|3VULN|2DMG|1AART|2DUR	1LHND|2AART|357VULN|45DMG|5BPWR|69DUR|8DLOT|aRCR
11	21632 71471	 * 	185.70	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1LHND|2AART|36VULN|49DMG|5MBVNT|7RCR|8CDMG|aDUR
12	21653 32612	   	184.73	ACR|4VULN|2AART|1ZMB|1ASPD	1LHND|26AART|348aVULN|5RCR|7ZMB|9ASPD
13	21654 31231	   	183.97	DCR|3VULN|2AART|1DMG|1ASPD	1LHND|29AART|345VULN|6RCR|7ASPD|8DUST|aDMG
14	61536 21311	   	183.89	ACR|3VULN|2DMG|1AART	189BEXP|2AART|3RCR|49DMG|5LWND|6FEWX|79aVULN|9BPWR
15	61536 31311	   	183.89	ACR|3VULN|2DMG|1AART	189BEXP|2AART|3RCR|49DMG|5LWND|6LHND|79aVULN|9BPWR
16	61535 21211	   	183.79	ACR|3VULN|2DMG|1AART	19BEXP|2AART|3RCR|49DMG|5DUST|6FEWX|789VULN|9BPWR|aMLV
17	61535 21213	   	183.79	ACR|3VULN|2DMG|1AART	19BEXP|2AART|3RCR|49DMG|5DUST|6FEWX|789VULN|9BPWR|aLWND
18	21632 71441	 * 	183.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2AART|369VULN|4DMG|5MBVNT|7RCR|8CDMG|aDUR
19	51561 21211	   	183.69	ACR|3VULN|2DMG|1AART	19DUST|2AART|3RCR|49DMG|5BEXP|6FEWX|789VULN|9BPWR|aMLV
20	51561 21213	   	183.69	ACR|3VULN|2DMG|1AART	19DUST|2AART|3RCR|49DMG|5BEXP|6FEWX|789VULN|9BPWR|aLWND
21	21653 32141	   	183.65	ACR|3VULN|2AART|1DMG|1ZMB	1LHND|26AART|34aVULN|5RCR|7ZMB|8DLOT|9DMG
22	21653 42231	   	183.65	ACR|3VULN|2AART|1DMG|1ZMB	1LHND|29AART|346VULN|5RCR|7ZMB|8DUST|aDMG
23	41343 21141	 * 	183.18	ACR|3DMG|2VULN|3ASPD|2DUR	127ASPD|3LWND|479DMG|5RCR|67DUR|7BPWR|8aVULN
24	21634 13322	   	183.11	DCR|3VULN|2DMG|1AART|1DUR	1LHND|2AART|35aVULN|45DMG|5BPWR|6BELT|7BEXP|8DUR|9RCR
25	21653 11632	   	182.34	ACR|4VULN|1AART|1DMG|1ASPD	1LHND|2AART|348aVULN|5RCR|6RCVC|7ASPD|9DMG
26	61552 21233	 * 	182.25	ACR|3VULN|1AART|2FLTHEA|3DUR	1aBEXP|2AART|3RCR|479VULN|5aFLTHEA|68aDUR|aBPWR
27	21654 32232	 * 	182.07	DCR|4VULN|2AART|1ZMB	1LHND|29AART|345aVULN|6RCR|7ZMB|8DUST
28	51552 21233	   	182.05	ACR|3VULN|1AART|2FLTHEA|3DUR	1aDUST|2AART|3RCR|479VULN|5aFLTHEA|68aDUR|aBPWR
29	21632 71514	 * 	181.36	DCR|2VULN|2DMG|1AART|3DUR	19LHND|2AART|36VULN|49DMG|5MBVNT|7RCR|89aDUR|9BPWR
30	21632 88214	   	181.36	DCR|2VULN|2DMG|1AART|3DUR	19LHND|2AART|38VULN|49DMG|5MBVNT|69aDUR|7RCR|9BPWR
31	41145 11133	 * 	181.08	ACR|2VULN|2DMG|3ASPD|1CDMG|2DUR	127ASPD|3DUST|47DMG|5RCR|67DUR|7BPWR|89VULN|aCDMG
32	21632 71744	   	180.77	DCR|3VULN|2DMG|1AART	1LHND|2AART|36aVULN|49DMG|5MBVNT|7RCR|8LIT
33	51513 51211	   	179.73	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1DUST|2aAART|3RCR|4FEWX|57VULN|6ZMB|8DMG|9DUR
34	61523 51211	   	179.73	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1BEXP|2aAART|3RCR|4DUST|57VULN|6ZMB|8DMG|9DUR
35	21443 31632	   	179.69	ACR|3VULN|2AART|1DMG|1ASPD	13LHND|26AART|48aVULN|5RCR|7ASPD|9DMG
36	21653 31633	   	179.69	ACR|3VULN|2AART|1DMG|1ASPD	1LHND|26AART|348VULN|5RCR|7ASPD|9DMG|aLWND
37	21632 31517	 * 	179.63	DCR|3DMG|1AART|1VULN|3DUR	169aLHND|2AART|3VULN|49aDMG|5MBVNT|7RCR|89aDUR|9aBPWR
38	21653 41231	   	179.59	ACR|3VULN|2AART|1DMG|1ASPD	1LHND|29AART|346VULN|5RCR|7ASPD|8DUST|aDMG
39	21653 31141	   	179.59	ACR|3VULN|2AART|1DMG|1ASPD	1LHND|26AART|34aVULN|5RCR|7ASPD|8DLOT|9DMG
40	21653 31621	   	179.59	ACR|3VULN|2AART|1DMG|1ASPD	1LHND|26AART|348VULN|5RCR|7ASPD|9DUST|aDMG
41	21651 31631	   	179.56	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	15LHND|2AART|348VULN|6RCR|7ASPD|9DMG|aDUR
42	21651 31612	 * 	179.23	DCR|3VULN|1AART|1DMG|2ASPD	15LHND|2AART|348VULN|6RCR|79ASPD|aDMG
43	21632 71417	   	178.76	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|2AART|36VULN|4aDMG|5MBVNT|7RCR|8CDMG|9LIT
44	21632 71472	   	178.76	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|2AART|36VULN|49DMG|5MBVNT|7RCR|8CDMG|aRCVC
45	21632 71473	   	178.76	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|2AART|36VULN|49DMG|5MBVNT|7RCR|8CDMG|aBEXP
46	21632 71742	   	178.76	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|2AART|36VULN|49DMG|5MBVNT|7RCR|8LIT|aCDMG
47	21632 71474	   	178.66	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|2AART|36VULN|49DMG|5MBVNT|7RCR|8CDMG|aERES
48	21633 11651	   	178.36	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1LHND|2AART|38VULN|4aDMG|5ZMB|6RCVC|7ASPD|9RCR
49	21654 31232	   	178.00	DCR|4VULN|2AART|1ASPD	1LHND|29AART|345aVULN|6RCR|7ASPD|8DUST
50	51552 23233	 * 	177.84	ACR|2AART|2VULN|2FLTHEA|3DUR	1aDUST|27AART|3RCR|49VULN|5aFLTHEA|68aDUR|aBPWR
51	62123 53115	   	177.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	19BEXP|29DMG|3ZMB|4MGNLIT|5RCR|6BELT|79VULN|8AART|9BPWR|aASPD
52	21653 32622	   	177.69	ACR|4VULN|2AART|1ZMB	1LHND|26AART|348aVULN|5RCR|7ZMB|9ERES
53	21653 42232	   	177.69	ACR|4VULN|2AART|1ZMB	1LHND|29AART|346aVULN|5RCR|7ZMB|8DUST
54	21651 32612	   	177.66	DCR|4VULN|1AART|1ZMB|1ASPD	15LHND|2AART|348aVULN|6RCR|7ZMB|9ASPD
55	52123 53115	   	177.57	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	19DUST|29DMG|3ZMB|4MGNLIT|5RCR|6BELT|79VULN|8AART|9BPWR|aASPD
56	21653 32611	   	177.56	ACR|3VULN|2AART|1ZMB|1DUR|1ASPD	1LHND|26AART|348VULN|5RCR|7ZMB|9ASPD|aDUR
57	21654 32131	   	177.56	DCR|4VULN|1AART|1ZMB|1DUR	1LHND|2AART|345aVULN|6RCR|7ZMB|8DLOT|9DUR
58	21632 31537	   	177.55	DCR|2VULN|2DMG|1AART|2DUR	16aLHND|2AART|39VULN|4aDMG|5MBVNT|7RCR|8aDUR|aBPWR
59	21632 71511	   	177.55	DCR|2VULN|2DMG|1AART|2DUR	19LHND|2AART|36VULN|49DMG|5MBVNT|7RCR|89DUR|9BPWR|aMLV
60	21632 71513	   	177.55	DCR|2VULN|2DMG|1AART|2DUR	19LHND|2AART|36VULN|49DMG|5MBVNT|7RCR|89DUR|9BPWR|aLWND
61	21632 88211	   	177.55	DCR|2VULN|2DMG|1AART|2DUR	19LHND|2AART|38VULN|49DMG|5MBVNT|69DUR|7RCR|9BPWR|aMLV
62	21632 88213	   	177.55	DCR|2VULN|2DMG|1AART|2DUR	19LHND|2AART|38VULN|49DMG|5MBVNT|69DUR|7RCR|9BPWR|aLWND
63	21632 71724	   	177.28	DCR|4VULN|1AART|1DMG	1LHND|2AART|369aVULN|4DMG|5MBVNT|7RCR|8LIT
64	21636 33342	   	177.03	DCR|3VULN|2AART|1DMG	18LHND|29AART|37aVULN|4DMG|5ERES|6RCR
65	21632 71415	   	176.83	DCR|3VULN|1AART|1DMG|1CDMG	1LHND|2AART|36aVULN|4DMG|5MBVNT|7RCR|8CDMG|9LIT
66	21632 71442	   	176.83	DCR|3VULN|1AART|1DMG|1CDMG	1LHND|2AART|369VULN|4DMG|5MBVNT|7RCR|8CDMG|aRCVC
67	21632 71443	   	176.83	DCR|3VULN|1AART|1DMG|1CDMG	1LHND|2AART|369VULN|4DMG|5MBVNT|7RCR|8CDMG|aBEXP
68	21632 71446	   	176.83	DCR|3VULN|1AART|1DMG|1CDMG	1LHND|2AART|369VULN|4DMG|5MBVNT|7RCR|8CDMG|aBELT
69	21632 71447	   	176.83	DCR|3VULN|1AART|1DMG|1CDMG	1LHND|2AART|369VULN|4DMG|5MBVNT|7RCR|8CDMG|aMLV
70	21632 71722	   	176.83	DCR|3VULN|1AART|1DMG|1CDMG	1LHND|2AART|369VULN|4DMG|5MBVNT|7RCR|8LIT|aCDMG
71	21632 71444	   	176.73	DCR|3VULN|1AART|1DMG|1CDMG	1LHND|2AART|369VULN|4DMG|5MBVNT|7RCR|8CDMG|aERES
72	21651 32141	   	176.58	DCR|3VULN|1AART|1DMG|1ZMB	15LHND|2AART|34aVULN|6RCR|7ZMB|8DLOT|9DMG
73	21632 71131	   	176.56	DCR|2AART|2VULN|2DMG	1LHND|29AART|36VULN|4aDMG|5MBVNT|7RCR|8DMSP
74	21632 71232	   	176.12	DCR|2VULN|2DMG|1AART|1ZMB	1LHND|2AART|36VULN|4aDMG|5MBVNT|7RCR|8MLV|9ZMB
75	41512 23262	   	175.94	DCR|3DMG|1AART|1VULN|3ASPD	127ASPD|357DMG|47ERES|6AART|7BPWR|8VULN|9RCR|aFEWX
76	21632 71534	   	175.41	DCR|3VULN|1AART|1DMG|2DUR	1LHND|2AART|369VULN|4DMG|5MBVNT|7RCR|8aDUR
77	21632 88234	   	175.41	DCR|3VULN|1AART|1DMG|2DUR	1LHND|2AART|389VULN|4DMG|5MBVNT|6aDUR|7RCR
78	21653 11631	   	175.18	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1LHND|2AART|348VULN|5RCR|6RCVC|7ASPD|9DMG|aDUR
79	21653 24131	   	175.03	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1LHND|29AART|34VULN|5RCR|6DUR|7ZMB|8DMSP|aDMG
80	51552 12133	 * 	174.90	ACR|2VULN|1AART|2CDMG|1FLTHEA|1ZMB	179DUST|2AART|3RCR|49VULN|5FLTHEA|6MLV|89CDMG|9BPWR|aZMB
81	21653 11612	   	174.85	ACR|3VULN|1AART|1DMG|2ASPD	1LHND|2AART|348VULN|5RCR|6RCVC|79ASPD|aDMG
82	14412 32632	   	174.78	DCR|3VULN|1AART|1DMG|1ZMB	1ERES|23CGEN|48aVULN|5AART|6RCR|7ZMB|9DMG
83	14212 32632	   	174.68	DCR|3VULN|1AART|1DMG|1ZMB	13ERES|2CGEN|48aVULN|5AART|6RCR|7ZMB|9DMG
84	21636 33132	   	174.45	DCR|2VULN|2DMG|1AART|1DUR	1LHND|2AART|37VULN|4aDMG|5ERES|6RCR|8CGEN|9DUR
85	21634 12214	   	174.16	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|2AART|35VULN|45DMG|5BPWR|6BELT|7LWND|8MLV|9RCR|aCDMG
86	21634 13214	   	174.16	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|2AART|35VULN|45DMG|5BPWR|6BELT|7BEXP|8MLV|9RCR|aCDMG
87	21634 12114	   	174.06	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|2AART|35VULN|45DMG|5BPWR|6BELT|7LWND|8ERES|9RCR|aCDMG
88	21634 13114	   	174.06	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|2AART|35VULN|45DMG|5BPWR|6BELT|7BEXP|8ERES|9RCR|aCDMG
89	41343 21152	   	173.74	ACR|2DMG|1AART|1VULN|3ASPD|2DUR	127ASPD|3LWND|47DMG|5RCR|67DUR|7BPWR|8VULN|9AART|aMLV
90	21653 41232	   	173.62	ACR|4VULN|2AART|1ASPD	1LHND|29AART|346aVULN|5RCR|7ASPD|8DUST
91	21653 31622	   	173.62	ACR|4VULN|2AART|1ASPD	1LHND|26AART|348aVULN|5RCR|7ASPD|9DUST
92	41343 21151	   	173.50	ACR|2DMG|1AART|3ASPD|1VULN|2DUR|1SELL	127ASPD|3LWND|47DMG|5RCR|67DUR|7BPWR|8VULN|9AART|aSELL
93	21654 31131	   	173.50	DCR|4VULN|1AART|1ASPD|1DUR	1LHND|2AART|345aVULN|6RCR|7ASPD|8DLOT|9DUR
94	21653 12612	   	173.28	ACR|4VULN|1AART|1ZMB|1ASPD	1LHND|2AART|348aVULN|5RCR|6RCVC|7ZMB|9ASPD
95	21653 42131	   	173.18	ACR|4VULN|1AART|1ZMB|1DUR	1LHND|2AART|346aVULN|5RCR|7ZMB|8DLOT|9DUR
96	51562 21214	   	172.94	ACR|3VULN|1AART|1DMG|1DUR	19DUST|2AART|3RCR|4DMG|5MBVNT|69FEWX|789VULN|9BPWR|aDUR
97	51562 41214	   	172.94	ACR|3VULN|1AART|1DMG|1DUR	19DUST|2AART|3RCR|4DMG|5MBVNT|69BEXP|789VULN|9BPWR|aDUR
98	51562 21234	   	172.84	ACR|3VULN|1AART|1DMG|1DUR	1DUST|2AART|3RCR|4DMG|5MBVNT|6FEWX|789VULN|aDUR
99	51562 41234	   	172.84	ACR|3VULN|1AART|1DMG|1DUR	1DUST|2AART|3RCR|4DMG|5MBVNT|6BEXP|789VULN|aDUR
100	51513 51221	   	172.80	ACR|2AART|2VULN|1DMG|1ZMB	1DUST|2aAART|3RCR|4FEWX|57VULN|6ZMB|8DMG|9LWND
