0	Index      	 *	Score 	Summary	Detail	
1	24611 22253	 * 	207.13	DCR|4VULN|2DMG|3ZMB|1DUR|1ASPD	1379VULN|239ZMB|39BPWR|4DUR|5BEXP|69DMG|8RCR|aASPD
2	24631 36212	   	205.09	DCR|4VULN|2DMG|3ZMB|1DUR	134aVULN|234ZMB|34aBPWR|5aLIT|6RCR|7DUR|8LWND|9aDMG
3	24512 32264	 * 	204.11	DCR|4VULN|3DMG|3ZMB	1689VULN|289ZMB|3MBVNT|4FEWX|5BEXP|789DMG|89BPWR|aRCR
4	24532 32264	   	204.11	DCR|4VULN|3DMG|3ZMB	1689VULN|289ZMB|3MBVNT|4LHND|5BEXP|789DMG|89BPWR|aRCR
5	21323 65142	 * 	202.69	ACR|4VULN|2DMG|1AART|1ZMB	169aVULN|2ERES|35DMG|4RCR|7ZMB|8AART
6	24611 22251	   	200.19	DCR|4VULN|2DMG|3ZMB|1DUR	1379VULN|239ZMB|39BPWR|4DUR|5aBEXP|69DMG|8RCR
7	24611 22252	   	200.09	DCR|4VULN|2DMG|3ZMB|1DUR	1379VULN|239ZMB|39BPWR|4DUR|5BEXP|69DMG|8RCR|aDUST
8	31323 62362	 * 	199.58	ACR|3VULN|3DMG|1AART|1DUR	1DUR|2ERES|358DMG|4RCR|67aVULN|9AART
9	23325 21663	   	198.41	DCR|3VULN|3DMG|2ZMB|2DUR	179VULN|27BEXP|39DUR|4MLV|57aDMG|6RCR|79BPWR|89ZMB
10	21316 21663	   	198.11	DCR|3VULN|3DMG|2ZMB|2DUR	179VULN|27ERES|39aDMG|4DUST|57DUR|6RCR|79BPWR|89ZMB
11	24633 22361	   	195.29	DCR|4VULN|2DMG|3ZMB|1ASPD	1347VULN|234ZMB|34BPWR|5DMSP|68DMG|9ASPD|aRCR
12	24633 21362	 * 	194.57	DCR|4VULN|3ZMB|1AART|1DMG	1348VULN|234ZMB|34BPWR|5DMSP|6DMG|7LIT|9AART|aRCR
13	24562 32234	   	194.53	ACR|3VULN|2DMG|1AART|1ZMB|1ASPD	168VULN|2ZMB|3MBVNT|4RCR|58BEXP|78DMG|8BPWR|9ASPD|aAART
14	24564 32234	   	194.33	ACR|3VULN|2DMG|1AART|1ZMB|1ASPD	168VULN|2ZMB|3MBVNT|4RCR|58DUST|78DMG|8BPWR|9ASPD|aAART
15	21323 65133	   	193.52	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1ASPD	16VULN|2ERES|35DMG|4RCR|7ZMB|8AART|9ASPD|aCDMG
16	21323 31653	   	193.49	ACR|3VULN|3DMG|1CDMG|1ZMB	17aVULN|27ERES|356DMG|4RCR|7BPWR|8ZMB|9CDMG
17	24633 32612	   	192.70	DCR|3VULN|2DMG|3ZMB|1CDMG	134VULN|234ZMB|34BPWR|5DMSP|6LWND|7aDMG|8RCR|9CDMG
18	21323 31462	   	192.64	ACR|3VULN|3DMG|1AART	17aVULN|27ERES|356DMG|4RCR|7BPWR|8BEXP|9AART
19	21323 62362	   	192.64	ACR|3VULN|3DMG|1AART	16aVULN|2ERES|358DMG|4RCR|7BEXP|9AART
20	21323 31262	   	192.54	ACR|3VULN|3DMG|1AART	17aVULN|27ERES|356DMG|4RCR|7BPWR|8DUST|9AART
21	22331 26251	 * 	191.09	DCR|3VULN|2DMG|1AART|2CDMG|1SELL	148VULN|2DMSP|34DMG|48BPWR|5SELL|68CDMG|78VENICY|9RCR|aAART
22	23325 21162	 * 	190.90	DCR|3VULN|2DMG|1AART|2DUR	179VULN|27BEXP|39DUR|4MLV|57DMG|6RCR|79BPWR|89ERES|aAART
23	26325 21162	   	190.90	DCR|3VULN|2DMG|1AART|2DUR	179VULN|27FEWX|39DUR|4MLV|57DMG|6RCR|79BPWR|89ERES|aAART
24	31323 62361	   	190.86	ACR|3DMG|2VULN|1AART|1DUR|1ASPD	1DUR|2ERES|358DMG|4RCR|67VULN|9AART|aASPD
25	24631 36213	   	190.79	DCR|3VULN|2DMG|3ZMB|1DUR	134VULN|234ZMB|34BPWR|5LIT|6RCR|7DUR|8LWND|9aDMG
