0	Index      	 *	Score 	Summary	Detail	
1	21222 62436	 * 	180.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1RPLT|2ZMB|3CDMG|4AART|5DUST|6RCR|78VULN|9ASPD|aDMG
2	32334 25116	 * 	179.17	DCR|3DMG|2VULN|1AART	1aLWND|26aDMG|3LSRREG|4CGEN|5AART|7RCR|8RPLT|9aVULN|aBPWR
3	25335 23234	 * 	178.47	DCR|3VULN|2DMG|1AART	1RPLT|239VULN|4LIT|58DMG|6RCR|7RCVC|aAART
4	14435 21111	 * 	177.76	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1ASPD	1CDMG|2DUR|3VULN|4LIT|5aDMG|6ZMB|7ASPD|8AART|9RCR
5	32224 33155	 * 	175.99	ACR|3VULN|2DMG|1AART	1aLWND|2aDMG|3RMIN|4RCVC|5RCR|6DLOT|7AART|89aVULN|aBPWR
6	11362 23142	 * 	175.63	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2RPLT|3LSRREG|4AART|5CGEN|6DMG|7RCR|89aVULN
7	11364 23142	   	175.63	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2RPLT|3LSRREG|4AART|5RMIN|6DMG|7RCR|89aVULN
8	25333 42325	 * 	174.95	DCR|5VULN|2DMG|1SELL	1RPLT|2357aVULN|4aLIT|6aDMG|8SELL|9RCR|aBPWR
9	11342 13442	 * 	174.78	DCR|4VULN|1AART|2CDMG	18CDMG|2RPLT|3LSRREG|489aVULN|58DUST|6AART|7RCR|8BPWR
10	62111 13125	 * 	174.40	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	1DUST|28DMG|3MLV|4DUR|58VULN|6CGEN|78ASPD|8BPWR|9AART|aRCR
11	62511 13125	   	174.30	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	1DUST|28DMG|3DUR|4ERES|58VULN|6CGEN|78ASPD|8BPWR|9AART|aRCR
12	21236 62236	 * 	173.58	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1RPLT|2ZMB|3CDMG|4LEGI|58AART|6RCR|7VULN|9ASPD|aDMG
13	11346 11342	 * 	173.43	ACR|4VULN|1AART|1CDMG|1DUR	1CDMG|2RPLT|3LSRREG|479aVULN|5RCR|6AART|8DUR
14	21222 62416	   	173.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2ZMB|3CDMG|4AART|5DUST|6RCR|78VULN|9ERES|aDMG
15	11316 11442	 * 	173.00	ACR|4VULN|1AART|2CDMG	18CDMG|2RPLT|3LSRREG|48LWND|5RCR|6AART|789aVULN|8BPWR
16	11346 11422	   	172.90	ACR|4VULN|1AART|2CDMG	18CDMG|2RPLT|38LSRREG|478aVULN|5RCR|6AART|8BPWR|9FEWX
17	25333 34111	   	172.82	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1RPLT|235VULN|4LIT|6DUR|7ZMB|8AART|9RCR|aDMG
18	62224 22431	 * 	172.76	DCR|2VULN|2DMG|1AART|1CDMG	18DUST|28DMG|3RMIN|4AART|5CDMG|6ERES|78VULN|8BPWR|9RCR|aBEXP
19	62224 22432	   	172.76	DCR|2VULN|2DMG|1AART|1CDMG	18DUST|28DMG|3RMIN|4AART|5CDMG|6ERES|78VULN|8BPWR|9RCR|aLIT
20	25335 41123	 * 	172.72	DCR|3VULN|2DMG|1CDMG|1ZMB	1RPLT|238VULN|4LIT|57DMG|6CDMG|9RCR|aZMB
21	25333 41111	   	172.47	DCR|3VULN|2DMG|1AART	1RPLT|235VULN|4LIT|6aDMG|7FEWX|8AART|9RCR
22	25333 43111	   	172.47	DCR|3VULN|2DMG|1AART	1RPLT|235VULN|4LIT|6aDMG|7LHND|8AART|9RCR
23	11346 13342	 * 	172.45	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2RPLT|3LSRREG|49aVULN|5RCR|6AART|7RMIN|8DMG
24	13435 13611	   	172.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1CDMG|2LHND|3VULN|4LIT|5aDMG|6AART|7ASPD|8ZMB|9RCR
25	25335 23121	   	170.95	DCR|2VULN|2DMG|1AART|1DUR	1RPLT|23VULN|4LIT|5aDMG|6RCR|7RCVC|8AART|9DUR
26	14435 22111	   	170.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3VULN|4LIT|5aDMG|6ZMB|7CGEN|8AART|9RCR
27	25333 42133	 * 	170.81	DCR|5VULN|1DMG|1ZMB	1RPLT|23579VULN|4LIT|6DMG|8RCR|aZMB
28	25333 42151	 * 	170.68	DCR|4VULN|1AART|1DMG	1RPLT|2357VULN|4LIT|6DMG|8RCR|9AART|aERES
29	25333 42152	   	170.68	DCR|4VULN|1AART|1DMG	1RPLT|2357VULN|4LIT|6DMG|8RCR|9AART|aDUST
30	25333 42153	   	170.68	DCR|4VULN|1AART|1DMG	1RPLT|2357VULN|4LIT|6DMG|8RCR|9AART|aCANSTR
31	21243 33125	 * 	170.34	DCR|3VULN|1AART|2CDMG|2ZMB	1RPLT|2aZMB|3aCDMG|4RCVC|58aVULN|6DLOT|7AART|9RCR|aBPWR
32	25331 42134	   	170.18	DCR|4VULN|1AART|1DMG	1RPLT|2379VULN|45LIT|6DMG|8RCR|aAART
33	25335 12134	   	170.18	DCR|4VULN|1AART|1DMG	1RPLT|2379VULN|4LIT|5DMG|6DMSP|8RCR|aAART
34	32522 33356	   	169.62	DCR|3DMG|1AART|1VULN|1DUR	1LWND|25aDMG|3DUR|4LHND|6RCR|7AART|8CGEN|9VULN
35	32231 35243	 * 	169.37	DCR|4VULN|2DMG	1aLWND|2aDMG|3RMIN|4TLV|5DUST|6RCR|789aVULN|aBPWR
36	25335 23236	   	169.37	DCR|4VULN|2DMG	1RPLT|239aVULN|4LIT|58DMG|6RCR|7RCVC
37	11222 62436	   	169.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2RPLT|3RMIN|4AART|5DUST|6RCR|78VULN|9ASPD|aDMG
38	21222 62136	 * 	169.04	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB|1ASPD	1RPLT|2ZMB|38CDMG|4AART|5DUST|6RCR|7VULN|9ASPD|aDMG
39	25333 31111	   	168.76	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1RPLT|235VULN|4LIT|6DUR|7ASPD|8AART|9RCR|aDMG
40	21236 62136	   	168.44	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB|1ASPD	1RPLT|2ZMB|38CDMG|4LEGI|5AART|6RCR|7VULN|9ASPD|aDMG
41	11354 23142	   	168.22	DCR|3VULN|1AART|2CDMG|1DUR	14CDMG|2RPLT|3LSRREG|5AART|6DUR|7RCR|89aVULN
42	21335 14521	   	168.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RPLT|2ZMB|35DMG|4LIT|6VULN|7RCR|8CDMG|9AART|aRMIN
43	21335 14522	   	168.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RPLT|2ZMB|35DMG|4LIT|6VULN|7RCR|8CDMG|9AART|aBEXP
44	11361 63142	 * 	167.80	DCR|3VULN|1AART|1CDMG|2DUR	1CDMG|2RPLT|3LSRREG|4AART|56DUR|7RCR|89aVULN
45	21331 14553	   	167.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RPLT|2ZMB|39DMG|45LIT|6VULN|7RCR|8CDMG|aAART
46	21333 14553	   	167.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RPLT|2ZMB|39DMG|4LIT|5VULN|6DMSP|7RCR|8CDMG|aAART
47	32151 13125	   	167.46	DCR|2VULN|2DMG|1AART|2ASPD	1LWND|28DMG|3MLV|4DUST|58VULN|6CGEN|78ASPD|8BPWR|9AART|aRCR
48	52151 13125	   	167.46	DCR|2VULN|2DMG|1AART|2ASPD	1BEXP|28DMG|3MLV|4DUST|58VULN|6CGEN|78ASPD|8BPWR|9AART|aRCR
49	62161 13125	   	167.46	DCR|2VULN|2DMG|1AART|2ASPD	1DUST|28DMG|3MLV|4LWND|58VULN|6CGEN|78ASPD|8BPWR|9AART|aRCR
50	21335 14363	   	167.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RPLT|2ZMB|35DMG|4LIT|6VULN|7RCR|8DUST|9CDMG|aAART
51	21335 14533	   	167.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RPLT|2ZMB|35DMG|4LIT|6VULN|7RCR|8CDMG|9DUST|aAART
52	62611 13125	   	167.36	DCR|2VULN|2DMG|1AART|2ASPD	1DUST|28DMG|3LWND|4ERES|58VULN|6CGEN|78ASPD|8BPWR|9AART|aRCR
53	21222 62435	   	167.19	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1RPLT|2ZMB|3CDMG|4AART|5DUST|6RCR|78VULN|9ASPD|aDUR
54	12412 26114	   	167.13	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|24DUST|356VULN|7DMG|8LIT|9RCR|aAART
55	11531 62153	 * 	167.01	DCR|2AART|2VULN|2CDMG|1DUR	18CDMG|2RPLT|3DUR|4aAART|5ERES|6RCR|79VULN
56	22416 15121	   	166.94	ACR|3VULN|1AART|1DMG|1DUR	1RPLT|2LIT|3ERES|4RCR|567VULN|8AART|9DUR|aDMG
57	11362 23123	   	166.91	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2RPLT|3LSRREG|4AART|5CGEN|6aDMG|7RCR|8VULN|9DUR
58	11364 23123	   	166.91	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2RPLT|3LSRREG|4AART|5RMIN|6aDMG|7RCR|8VULN|9DUR
59	12162 16315	   	166.91	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2DUST|3RMIN|4AART|5ASPD|6CGEN|7RCR|8DMG|9aVULN
60	12162 26315	   	166.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2DUST|3RMIN|4AART|5ASPD|6ERES|7RCR|8DMG|9aVULN
61	14123 32111	   	166.75	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1CDMG|2DUR|3RMIN|4ASPD|5LIT|6aDMG|7VULN|8AART|9RCR
62	14323 32111	   	166.75	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1CDMG|2DUR|3CGEN|4ASPD|5LIT|6aDMG|7VULN|8AART|9RCR
63	25333 42136	   	166.75	DCR|5VULN|1DMG|1ASPD	1RPLT|23579VULN|4LIT|6DMG|8RCR|aASPD
64	11342 13443	 * 	166.72	DCR|3VULN|3CDMG|1AART	18aCDMG|2RPLT|3LSRREG|489VULN|58DUST|6AART|7RCR|8BPWR
65	11346 11122	   	166.49	ACR|4VULN|1AART|1CDMG	1CDMG|2RPLT|3LSRREG|478aVULN|5RCR|6AART|9FEWX
66	11346 11142	   	166.49	ACR|4VULN|1AART|1CDMG	1CDMG|2RPLT|3LSRREG|478aVULN|5RCR|6AART|9LWND
67	11346 11161	   	166.39	ACR|4VULN|1AART|1CDMG	1CDMG|2RPLT|3LSRREG|478aVULN|5RCR|6AART|9ERES
68	25335 23232	   	166.27	DCR|3VULN|2DMG|1ZMB	1RPLT|239VULN|4LIT|58DMG|6RCR|7RCVC|aZMB
69	11362 23112	 * 	166.14	DCR|2VULN|1AART|1DMG|2CDMG|1SELL	1aCDMG|2RPLT|3aLSRREG|4AART|5CGEN|6DMG|7RCR|8aVULN|9SELL|aBPWR
70	11346 11411	   	165.74	ACR|3VULN|1AART|2CDMG|1DUR	18CDMG|2RPLT|38LSRREG|478VULN|5RCR|6AART|8BPWR|9RCVC|aDUR
71	11346 11431	   	165.74	ACR|3VULN|1AART|2CDMG|1DUR	18CDMG|29RPLT|38LSRREG|478VULN|5RCR|6AART|8BPWR|aDUR
72	23413 36143	 * 	165.65	DCR|4VULN|1AART|2DUR	1RPLT|29LWND|36LHND|469aVULN|5AART|69BPWR|79DUR|8RCR
73	11346 11343	   	165.64	ACR|3VULN|1AART|2CDMG|1DUR	1aCDMG|2RPLT|3LSRREG|479VULN|5RCR|6AART|8DUR
