0	Index      	 *	Score 	Summary	Detail	
1	13446 13234	 * 	210.14	ACR|4VULN|3DMG|3ASPD|1DUR	189ASPD|2LHND|3689VULN|4RCR|5MBVNT|789DMG|89BPWR|aDUR
2	35213 32221	 * 	205.71	DCR|3VULN|2DMG|1AART|2ZMB|1CDMG|1DUR	167VULN|27DMG|3CGEN|4DUR|57ZMB|7BPWR|8AART|9CDMG|aRCR
3	12446 13231	   	203.20	ACR|4VULN|3DMG|3ASPD	189ASPD|2BEXP|3689VULN|4RCR|5MBVNT|789DMG|89BPWR|aRCVC
4	12446 13233	   	203.20	ACR|4VULN|3DMG|3ASPD	189ASPD|2BEXP|3689VULN|4RCR|5MBVNT|789DMG|89BPWR|aLHND
5	12446 13234	   	203.20	ACR|4VULN|3DMG|3ASPD	189ASPD|2BEXP|3689VULN|4RCR|5MBVNT|789DMG|89BPWR|aFEWX
6	13446 13231	   	203.20	ACR|4VULN|3DMG|3ASPD	189ASPD|2LHND|3689VULN|4RCR|5MBVNT|789DMG|89BPWR|aRCVC
7	13446 13233	   	203.20	ACR|4VULN|3DMG|3ASPD	189ASPD|2aLHND|3689VULN|4RCR|5MBVNT|789DMG|89BPWR
8	15345 13231	   	203.20	ACR|4VULN|3DMG|3ASPD	189ASPD|2689VULN|3FEWX|4RCR|5DUST|789DMG|89BPWR|aRCVC
9	15345 13233	   	203.20	ACR|4VULN|3DMG|3ASPD	189ASPD|2689VULN|3FEWX|4RCR|5DUST|789DMG|89BPWR|aLHND
10	12446 13232	   	203.10	ACR|4VULN|3DMG|3ASPD	189ASPD|2BEXP|3689VULN|4RCR|5MBVNT|789DMG|89BPWR|aTLV
11	13446 13232	   	203.10	ACR|4VULN|3DMG|3ASPD	189ASPD|2LHND|3689VULN|4RCR|5MBVNT|789DMG|89BPWR|aTLV
12	15345 13232	   	203.10	ACR|4VULN|3DMG|3ASPD	189ASPD|2689VULN|3FEWX|4RCR|5DUST|789DMG|89BPWR|aTLV
13	15341 13236	   	202.85	ACR|3VULN|3DMG|3ASPD|1CDMG	189ASPD|289VULN|3FEWX|4RCR|5RCVC|6LHND|789DMG|89BPWR|aCDMG
14	35423 16233	 * 	199.96	DCR|3VULN|3DMG|1AART|1DUR	134VULN|24aDMG|4BPWR|5MLV|6CGEN|7RCR|8AART|9DUR
15	35422 16233	   	199.86	DCR|3VULN|3DMG|1AART|1DUR	134VULN|24aDMG|4BPWR|5ERES|6CGEN|7RCR|8AART|9DUR
16	35422 42133	   	198.66	DCR|3VULN|3DMG|1AART|1DUR	134VULN|24aDMG|4BPWR|5ERES|6AART|7MLV|8RCR|9DUR
17	35423 43133	   	198.66	DCR|3VULN|3DMG|1AART|1DUR	134VULN|24aDMG|4BPWR|5MLV|6AART|7ERES|8RCR|9DUR
18	42136 12353	 * 	197.84	ACR|3DMG|2VULN|1AART|1CDMG	1AART|2CGEN|3RCR|4BASHEA|579DMG|6CDMG|8aVULN
19	35353 43133	 * 	197.71	DCR|4VULN|2DMG|1AART|1DUR	1467VULN|2aDMG|3FEWX|5AART|8RCR|9DUR
20	35423 33234	 * 	197.69	DCR|5VULN|3DMG|1DUR	13468VULN|247DMG|4BPWR|5MLV|9RCR|aDUR
21	35422 33234	   	197.59	DCR|5VULN|3DMG|1DUR	13468VULN|247DMG|4BPWR|5ERES|9RCR|aDUR
22	15341 13234	   	196.14	ACR|3VULN|3DMG|3ASPD|1DUR	189ASPD|289VULN|3FEWX|4RCR|5RCVC|6LHND|789DMG|89BPWR|aDUR
23	32616 32221	   	196.05	DCR|3VULN|2DMG|1AART|1CDMG|2DUR	167VULN|2TLV|3RMIN|47DUR|57DMG|7BPWR|8AART|9CDMG|aRCR
24	35431 62221	   	195.95	DCR|3VULN|2DMG|1AART|1CDMG|2DUR	137VULN|27DMG|4ERES|5TLV|67DUR|7BPWR|8AART|9CDMG|aRCR
25	11142 16133	 * 	194.75	ACR|3VULN|2DMG|1AART|3ASPD	128ASPD|3LHND|48DMG|5RCR|6RPLT|78aVULN|8BPWR|9AART
26	35423 16213	   	193.02	DCR|3VULN|3DMG|1AART	134VULN|24aDMG|4BPWR|5MLV|6CGEN|7RCR|8AART|9LWND
27	35422 16213	   	192.92	DCR|3VULN|3DMG|1AART	134VULN|24aDMG|4BPWR|5ERES|6CGEN|7RCR|8AART|9LWND
28	35213 32243	   	191.96	DCR|3VULN|2DMG|1AART|2ZMB|1DUR	167VULN|27DMG|3CGEN|4DUR|57ZMB|7BPWR|8AART|9ERES|aRCR
29	42136 53311	 * 	191.80	ACR|4VULN|1AART|1DMG|1ZMB	1AART|28CGEN|3RCR|48BASHEA|5DMG|6ZMB|789aVULN|8BPWR
30	35422 42113	   	191.72	DCR|3VULN|3DMG|1AART	134VULN|24aDMG|4BPWR|5ERES|6AART|7MLV|8RCR|9LWND
31	35423 43113	   	191.72	DCR|3VULN|3DMG|1AART	134VULN|24aDMG|4BPWR|5MLV|6AART|7ERES|8RCR|9LWND
32	42124 14233	   	191.35	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CGEN|3RCR|4CDMG|59aVULN|6BEXP|7DMG|8ZMB
33	42124 32523	   	191.35	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CGEN|3RCR|4CDMG|56aVULN|7LHND|8ZMB|9DMG
