0	Index      	 *	Score 	Summary	Detail	
1	42331 52511	 * 	190.82	DCR|3DMG|2VULN|1AART|1FLTHEA	1FEWX|2FLTHEA|36VULN|4AART|57aDMG|8RCR|9LSRHEA
2	32536 12131	 * 	190.53	ACR|2VULN|2DMG|1AART|1FLTHEA|1DUR	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6DUR|7aDMG|89VULN
3	32536 31363	 * 	190.00	ACR|2VULN|2DMG|1AART|2FLTHEA	1RMIN|2RCVC|3RCR|4aFLTHEA|5AART|6aDMG|7ERES|8LIT|9aVULN|aBPWR
4	32533 23363	   	188.80	ACR|2VULN|2DMG|1AART|2FLTHEA	1RMIN|2RCVC|3RCR|4aFLTHEA|5aDMG|6ERES|7AART|8LIT|9aVULN|aBPWR
5	32533 13136	 * 	188.25	ACR|2DMG|1AART|1VULN|1FLTHEA|1CDMG|1ZMB	1RMIN|2RCVC|3RCR|4FLTHEA|58DMG|6VULN|7ZMB|9AART|aCDMG
6	32533 13636	 * 	188.25	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB	1RMIN|2RCVC|3RCR|4FLTHEA|5DMG|68VULN|7ZMB|9AART|aCDMG
7	55114 12321	 * 	187.04	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	138VULN|2ZMB|4DMG|5CDMG|6RCR|7TLV|9RCVC|aAART
8	42331 52513	   	186.17	DCR|2VULN|2DMG|1AART|1FLTHEA|1ZMB	1FEWX|2FLTHEA|36VULN|4AART|57DMG|8RCR|9LSRHEA|aZMB
9	32514 21252	 * 	185.79	ACR|3DMG|2VULN|3CDMG	1RMIN|2RCVC|3RCR|48aDMG|568CDMG|78aCGEN|8aBPWR|9aVULN
10	42414 12131	   	184.83	ACR|2VULN|2DMG|1AART|1FLTHEA|1ASPD	1FEWX|2FLTHEA|3RCVC|4ASPD|5RCR|6AART|7aDMG|89VULN
11	12414 12131	   	184.73	ACR|2VULN|2DMG|1AART|1FLTHEA|1ASPD	1DUST|2FLTHEA|3RCVC|4ASPD|5RCR|6AART|7aDMG|89VULN
12	32536 36121	   	183.59	ACR|2VULN|2DMG|1AART|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6aDMG|78VULN|9FEWX
13	32532 12131	   	182.99	ACR|2VULN|2DMG|1AART|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5FEWX|6AART|7aDMG|89VULN
14	32533 23614	 * 	182.56	ACR|2VULN|2AART|2FLTHEA|1DMG	1RMIN|2RCVC|3RCR|49FLTHEA|5DMG|69ERES|7aAART|89VULN|9BPWR
15	42331 52521	   	182.10	DCR|2VULN|2DMG|1AART|1FLTHEA|1DUR	1FEWX|2FLTHEA|36VULN|4AART|57DMG|8RCR|9DUR|aTLV
16	55114 12322	 * 	181.89	DCR|4VULN|1DMG|2ZMB|1CDMG	138aVULN|2aZMB|4DMG|5CDMG|6RCR|7aTLV|9RCVC|aBPWR
17	32536 36321	 * 	181.65	ACR|3DMG|1AART|1VULN|1FLTHEA	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|68aDMG|7VULN|9FEWX
18	42114 12131	   	181.42	ACR|2VULN|2DMG|1AART|1FLTHEA|1ASPD	13FEWX|2FLTHEA|4ASPD|5RCR|6AART|7aDMG|89VULN
19	12131 51626	 * 	180.17	DCR|3VULN|1AART|1DMG|1FLTHEA|1DUR	1DUST|2FLTHEA|3FEWX|4AART|5DMG|69aVULN|7DUR|8RCR
20	55114 12333	 * 	179.82	DCR|3VULN|2DMG|1CDMG|1ZMB	138VULN|2ZMB|4aDMG|5CDMG|6RCR|7TLV|9RPLT
21	42332 12525	 * 	178.26	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1DUR	15FEWX|2FLTHEA|3VULN|4AART|67DMG|8RCR|9DUR|aCDMG
22	12414 13631	   	178.14	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1ASPD	1DUST|2FLTHEA|3RCVC|4ASPD|5RCR|6AART|79VULN|8ZMB|aDMG
23	12631 22543	   	178.06	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1DUR	16DUST|2FLTHEA|3DUR|4AART|57DMG|8RCR|9CDMG|aVULN
24	12464 13131	   	177.79	ACR|2VULN|2DMG|1AART|1FLTHEA	1DUST|2FLTHEA|3RCVC|4aDMG|5RCR|6AART|7RMIN|89VULN
25	36235 12113	 * 	177.75	ACR|3AART|2VULN|2DMG	1RMIN|2aDMG|3RPLT|469AART|5RCR|7aVULN|8aERES|aBPWR
26	32536 36132	   	177.45	ACR|2AART|2VULN|1DMG|1FLTHEA	19RMIN|2RCVC|3RCR|4FLTHEA|5aAART|6DMG|78VULN
27	32536 36332	 * 	177.45	ACR|2AART|2DMG|1VULN|1FLTHEA	19RMIN|2RCVC|3RCR|4FLTHEA|5aAART|68DMG|7VULN
28	62614 13122	   	177.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1TLV|2ZMB|3CGEN|4DMG|5CDMG|6RCR|7aVULN|8DUR|9AART
29	32533 13526	   	177.00	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1DUR	1RMIN|2RCVC|3RCR|4FLTHEA|5DMG|6VULN|7ZMB|8DUR|9CDMG|aAART
30	32536 36231	   	177.00	ACR|2DMG|1AART|1VULN|1FLTHEA|1ZMB	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6aDMG|7VULN|8CGEN|9ZMB
31	32536 31631	   	176.90	ACR|2DMG|1AART|1VULN|1FLTHEA|1ZMB	1RMIN|2RCVC|3RCR|4FLTHEA|5AART|6aDMG|7ERES|8VULN|9ZMB
32	32532 12136	   	176.40	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1RMIN|2RCVC|3RCR|4FLTHEA|5FEWX|6AART|7DMG|89VULN|aZMB
33	32532 13631	   	176.40	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1RMIN|2RCVC|3RCR|4FLTHEA|5FEWX|6AART|79VULN|8ZMB|aDMG
34	32533 63341	   	176.25	ACR|2DMG|2AART|1VULN|1FLTHEA	16RMIN|2RCVC|3RCR|4FLTHEA|58DMG|79AART|aVULN
35	51363 42211	   	176.21	DCR|3VULN|1AART|1DMG|2DUR	139VULN|2LEGI|4LIT|5AART|6RCR|79DUR|89CGEN|9BPWR|aDMG
36	54214 12321	   	176.03	DCR|3VULN|1AART|1DMG|1CDMG	128VULN|3RMIN|4DMG|5CDMG|6RCR|7TLV|9RCVC|aAART
37	21313 12342	 * 	176.00	ACR|4VULN|1AART|1DMG	1MLV|2RPLT|3RCR|478aVULN|5LIT|6DMG|9AART
38	61313 12342	   	175.90	ACR|4VULN|1AART|1DMG	1TLV|2RPLT|3RCR|478aVULN|5LIT|6DMG|9AART
39	42221 35332	   	175.76	DCR|2VULN|2DMG|1AART|1FLTHEA	1FEWX|2FLTHEA|3AART|4LHND|5aDMG|67VULN|8RCR|9ERES
40	42231 35532	   	175.76	DCR|2VULN|2DMG|1AART|1FLTHEA	1FEWX|2FLTHEA|3AART|4LWND|5aDMG|67VULN|8RCR|9ERES
41	32533 23631	   	175.70	ACR|2DMG|1AART|1VULN|1FLTHEA|1ZMB	1RMIN|2RCVC|3RCR|4FLTHEA|5aDMG|6ERES|7AART|8VULN|9ZMB
42	42331 26623	   	175.62	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1ASPD	1FEWX|2FLTHEA|3aVULN|4AART|5DMG|6ASPD|7ZMB|8RCR|9RPLT
43	42332 12526	   	175.62	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB|1DUR	15FEWX|2FLTHEA|3VULN|4AART|67DMG|8RCR|9DUR|aZMB
44	42331 11311	   	175.36	DCR|2VULN|2DMG|1AART|1FLTHEA	16FEWX|2FLTHEA|3aVULN|4AART|56DMG|6BPWR|7CGEN|8RCR|9LWND
45	42331 11351	   	175.36	DCR|2VULN|2DMG|1AART|1FLTHEA	16FEWX|2FLTHEA|3aVULN|4AART|56DMG|6BPWR|7CGEN|8RCR|9BEXP
46	32533 13612	   	175.33	ACR|2VULN|2DMG|1FLTHEA|1ZMB|1DUR	1RMIN|2RCVC|3RCR|4FLTHEA|5aDMG|68VULN|7ZMB|9DUR
47	42331 52531	   	175.26	DCR|2VULN|2DMG|1AART|1FLTHEA	19FEWX|2FLTHEA|36VULN|4AART|57DMG|8RCR|aLWND
48	42331 11321	   	175.26	DCR|2VULN|2DMG|1AART|1FLTHEA	16FEWX|2FLTHEA|3aVULN|4AART|56DMG|6BPWR|7CGEN|8RCR|9LEGI
49	42331 51312	   	175.26	DCR|2VULN|2DMG|1AART|1FLTHEA	1FEWX|2FLTHEA|36VULN|4AART|5aDMG|7CGEN|8RCR|9LWND
50	42331 51352	   	175.26	DCR|2VULN|2DMG|1AART|1FLTHEA	1FEWX|2FLTHEA|36VULN|4AART|5aDMG|7CGEN|8RCR|9BEXP
