0	Index      	 *	Score 	Summary	Detail	
1	42231 11535	 * 	318.64	DCR|DCR|3LIT|1TLV|1VULN	1DUR|259LIT|3TLV|4VULN|6aRCR|7FEWX|8LHND
2	42231 16325	 * 	317.18	DCR|3VULN|2TLV|2LIT|2DUR|1ASPD	17DUR|25LIT|37TLV|47aVULN|6RCR|7BPWR|8BBNT|9ASPD
3	42231 16335	 * 	313.47	DCR|2VULN|2TLV|2LIT|1MLV|2DUR	17DUR|25LIT|37TLV|47VULN|6RCR|7BPWR|8BBNT|9DUST|aMLV
4	42231 16611	 * 	309.57	DCR|3LIT|2VULN|2TLV|1DMG|2DUR	17DUR|25aLIT|37TLV|47VULN|6RCR|7BPWR|8DMG|9MGNSTR
5	42231 13216	   	309.07	DCR|DCR|2LIT|1TLV|1VULN	1DUR|25LIT|3TLV|4VULN|6aRCR|7RPLT|8MBVNT|9FEWX
6	32231 13246	   	308.97	DCR|DCR|2LIT|1TLV|1VULN	1DUST|25LIT|3TLV|4VULN|6aRCR|7RPLT|8MBVNT|9DUR
7	32261 13276	   	308.97	DCR|DCR|2LIT|1TLV|1VULN	1DUST|25LIT|3TLV|4DUR|6aRCR|7RPLT|8MBVNT|9VULN
8	42231 13256	   	308.97	DCR|DCR|2LIT|1TLV|1VULN	1DUR|25LIT|3TLV|4VULN|6aRCR|7RPLT|8MBVNT|9LEGI
9	42231 16523	 * 	307.95	DCR|3VULN|3TLV|2LIT|3DUR	17aDUR|25LIT|37aTLV|47aVULN|6RCR|7aBPWR|8BELT|9AART
10	42223 52226	 * 	304.12	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1DUR|2LIT|3TLV|4RPLT|5CGEN|6VULN|7aRCR|8MBVNT|9MLV
11	42231 16342	   	303.53	DCR|3VULN|2TLV|2LIT|2DUR	17DUR|25LIT|37TLV|479VULN|6RCR|7BPWR|8BBNT|aDMSP
12	42231 16343	   	303.53	DCR|3VULN|2TLV|2LIT|2DUR	17DUR|25LIT|37TLV|479VULN|6RCR|7BPWR|8BBNT|aRCVC
13	42231 16341	   	303.28	DCR|3VULN|2TLV|2LIT|2DUR|1SELL	17DUR|25LIT|37TLV|479VULN|6RCR|7BPWR|8BBNT|aSELL
14	42231 16353	   	301.18	DCR|2VULN|2TLV|2LIT|3DUR|1ASPD	179DUR|25LIT|37TLV|47VULN|6RCR|7BPWR|8BBNT|aASPD
15	51123 16421	 * 	301.05	DCR|DCR|2TLV|1MLV|1RPLT|1ASPD	1ZMB|2RPLT|3MLV|48TLV|5ASPD|6BBNT|7aRCR|9AAC
16	42231 16522	   	300.10	DCR|2VULN|2TLV|2LIT|1DMG|2DUR	17DUR|25LIT|37TLV|47VULN|6RCR|7BPWR|8BELT|9AART|aDMG
17	42231 16623	   	300.10	DCR|2VULN|2TLV|2LIT|1DMG|2DUR	17DUR|25LIT|37TLV|47VULN|6RCR|7BPWR|8DMG|9CGEN|aAART
18	42231 16533	   	299.55	DCR|3VULN|3TLV|2LIT|3DUR	17aDUR|25LIT|37aTLV|47aVULN|6RCR|7aBPWR|8BELT|9DLOT
19	32231 13216	   	299.30	DCR|DCR|2LIT|1TLV|1VULN	1DUST|25LIT|3TLV|4VULN|6aRCR|7RPLT|8MBVNT|9FEWX
20	32231 13256	   	299.20	DCR|DCR|2LIT|1TLV|1VULN	1DUST|25LIT|3TLV|4VULN|6aRCR|7RPLT|8MBVNT|9LEGI
21	15323 31611	   	298.30	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1AART|2VULN|3TLV|4ASPD|5TBNT|69RCR|7CGEN|8MDPS|aLIT
22	15323 35611	   	298.20	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1AART|2VULN|3TLV|4ASPD|5TBNT|69RCR|7ERES|8MDPS|aLIT
23	42231 16631	   	297.35	DCR|2VULN|2TLV|2LIT|1DMG|2DUR	17DUR|25LIT|37TLV|47VULN|6RCR|7BPWR|8DMG|9LHND|aTBNT
24	45131 16311	 * 	296.56	DCR|3VULN|3LIT|1TLV|2DUR	17DUR|2AME|357LIT|479VULN|6RCR|7BPWR|8TBNT|aTLV
25	15323 36113	   	296.03	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1AART|2VULN|3TLV|4ASPD|5TBNT|6aRCR|7DMG|8DUR|9BEXP
26	15323 36123	   	296.03	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1AART|2VULN|3TLV|4ASPD|5TBNT|6aRCR|7DMG|8DUR|9LHND
27	45131 11421	 * 	295.39	DCR|3LIT|2TLV|1VULN|1MLV|2DUR	19DUR|2AME|359LIT|4VULN|6RCR|7FEWX|89TLV|9BPWR|aMLV
28	45131 12421	   	295.39	DCR|3LIT|2TLV|1VULN|1MLV|2DUR	19DUR|2AME|359LIT|4VULN|6RCR|7LHND|89TLV|9BPWR|aMLV
29	42231 16321	   	295.04	DCR|2VULN|2TLV|2LIT|2DUR|1ASPD	17DUR|25LIT|37TLV|47VULN|6RCR|7BPWR|8BBNT|9ASPD|aFEWX
30	42231 16322	   	295.04	DCR|2VULN|2TLV|2LIT|2DUR|1ASPD	17DUR|25LIT|37TLV|47VULN|6RCR|7BPWR|8BBNT|9ASPD|aBEXP
31	42231 16324	   	295.04	DCR|2VULN|2TLV|2LIT|2DUR|1ASPD	17DUR|25LIT|37TLV|47VULN|6RCR|7BPWR|8BBNT|9ASPD|aAAC
32	42231 16326	   	295.04	DCR|2VULN|2TLV|2LIT|2DUR|1ASPD	17DUR|25LIT|37TLV|47VULN|6RCR|7BPWR|8BBNT|9ASPD|aLWND
