0	Index      	 *	Score 	Summary	Detail	
1	44321 13122	 * 	317.05	DCR|DCR|2VULN|1TLV|1LIT|1DMG	1MDPS|27VULN|3LIT|4CGEN|5TLV|6ZMB|8DMG|9aRCR
2	12442 11122	   	314.16	DCR|DCR|1TLV|1LIT|1VULN|1DMG|1ASPD	1LEGI|2DUR|3ASPD|4VULN|5TLV|6CGEN|7LIT|8DMG|9aRCR
3	11242 16851	 * 	304.97	DCR|DCR|2TLV|1LIT|1MLV|1CDMG	1LEGI|2CGEN|3MBVNT|4CDMG|5LIT|6MLV|79TLV|8aRCR
4	14442 11122	   	304.50	DCR|DCR|1TLV|1LIT|1VULN|1DMG|1ASPD	1LEGI|2BEXP|3ASPD|4VULN|5TLV|6CGEN|7LIT|8DMG|9aRCR
5	25442 11122	   	304.50	DCR|DCR|1TLV|1LIT|1VULN|1DMG|1ASPD	1DUST|2LHND|3ASPD|4VULN|5TLV|6CGEN|7LIT|8DMG|9aRCR
6	53222 63722	 * 	300.99	DCR|DCR|2TLV|1LIT|1VULN	1LHND|2CGEN|3MBVNT|4DUR|58TLV|6LIT|7VULN|9aRCR
7	53228 13722	   	300.99	DCR|DCR|2TLV|1LIT|1VULN	1LHND|2CGEN|3MBVNT|4DUR|5LIT|68TLV|7VULN|9aRCR
8	11222 63722	   	300.89	DCR|DCR|2TLV|1LIT|1VULN	1LEGI|2CGEN|3MBVNT|4DUR|58TLV|6LIT|7VULN|9aRCR
9	11228 13722	   	300.89	DCR|DCR|2TLV|1LIT|1VULN	1LEGI|2CGEN|3MBVNT|4DUR|5LIT|68TLV|7VULN|9aRCR
10	23232 63722	   	300.89	DCR|DCR|2TLV|1LIT|1VULN	1DUST|2CGEN|3MBVNT|4DUR|58TLV|6LIT|7VULN|9aRCR
11	23238 13722	   	300.89	DCR|DCR|2TLV|1LIT|1VULN	1DUST|2CGEN|3MBVNT|4DUR|5LIT|68TLV|7VULN|9aRCR
12	11222 68622	 * 	300.66	DCR|DCR|2LIT|1TLV|1VULN	1LEGI|2CGEN|3MBVNT|4DUR|5TLV|67LIT|8VULN|9aRCR
13	11228 18622	   	300.66	DCR|DCR|2LIT|1TLV|1VULN	1LEGI|2CGEN|3MBVNT|4DUR|57LIT|6TLV|8VULN|9aRCR
14	51522 11122	   	300.61	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1LHND|2ZMB|3VULN|4DUR|5TLV|6CGEN|7LIT|8DMG|9aRCR
15	52522 11122	   	300.61	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1LHND|2AAC|3VULN|4DUR|5TLV|6CGEN|7LIT|8DMG|9aRCR
16	21532 11122	   	300.51	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1DUST|2ZMB|3VULN|4DUR|5TLV|6CGEN|7LIT|8DMG|9aRCR
17	22532 11122	   	300.51	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1DUST|2AAC|3VULN|4DUR|5TLV|6CGEN|7LIT|8DMG|9aRCR
18	11288 32322	   	291.33	DCR|DCR|2TLV|1LIT|1VULN	1LEGI|25CGEN|3MBVNT|45TLV|5BPWR|6BEXP|7LIT|8VULN|9aRCR
19	11288 71422	   	291.33	DCR|DCR|2TLV|1LIT|1VULN	1LEGI|25CGEN|3MBVNT|45TLV|5BPWR|6LIT|7VULN|8BEXP|9aRCR
20	23288 32322	   	291.33	DCR|DCR|2TLV|1LIT|1VULN	1DUST|25CGEN|3MBVNT|45TLV|5BPWR|6BEXP|7LIT|8VULN|9aRCR
21	53212 63722	   	291.23	DCR|DCR|2TLV|1LIT|1VULN	1LHND|2CGEN|3MBVNT|4DUST|58TLV|6LIT|7VULN|9aRCR
22	53218 13722	   	291.23	DCR|DCR|2TLV|1LIT|1VULN	1LHND|2CGEN|3MBVNT|4DUST|5LIT|68TLV|7VULN|9aRCR
23	11212 63722	   	291.13	DCR|DCR|2TLV|1LIT|1VULN	1LEGI|2CGEN|3MBVNT|4DUST|58TLV|6LIT|7VULN|9aRCR
24	11218 13722	   	291.13	DCR|DCR|2TLV|1LIT|1VULN	1LEGI|2CGEN|3MBVNT|4DUST|5LIT|68TLV|7VULN|9aRCR
25	11283 63722	   	291.13	DCR|DCR|2TLV|1LIT|1VULN	1LEGI|2CGEN|3MBVNT|48TLV|5DUST|6LIT|7VULN|9aRCR
26	51642 11122	   	290.95	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1LHND|2ZMB|3BEXP|4VULN|5TLV|6CGEN|7LIT|8DMG|9aRCR
27	52642 11122	   	290.95	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1LHND|2AAC|3BEXP|4VULN|5TLV|6CGEN|7LIT|8DMG|9aRCR
28	56342 11122	   	290.95	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1LHND|2BEXP|3AAC|4VULN|5TLV|6CGEN|7LIT|8DMG|9aRCR
29	64263 32322	   	290.95	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1AAC|2DMG|3LWND|4TLV|5BEXP|6CGEN|7LIT|8VULN|9aRCR
30	14342 11122	   	290.85	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1LEGI|2BEXP|3AAC|4VULN|5TLV|6CGEN|7LIT|8DMG|9aRCR
31	21642 11122	   	290.85	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1DUST|2ZMB|3BEXP|4VULN|5TLV|6CGEN|7LIT|8DMG|9aRCR
32	22642 11122	   	290.85	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1DUST|2AAC|3BEXP|4VULN|5TLV|6CGEN|7LIT|8DMG|9aRCR
33	44321 12122	   	290.85	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1MDPS|2VULN|3LIT|4CGEN|5TLV|67ZMB|8DMG|9aRCR
34	51512 11122	   	290.85	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1LHND|2ZMB|3VULN|4DUST|5TLV|6CGEN|7LIT|8DMG|9aRCR
35	52512 11122	   	290.85	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1LHND|2AAC|3VULN|4DUST|5TLV|6CGEN|7LIT|8DMG|9aRCR
36	21552 11122	   	290.75	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1DUST|2ZMB|3VULN|4LEGI|5TLV|6CGEN|7LIT|8DMG|9aRCR
37	22552 11122	   	290.75	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1DUST|2AAC|3VULN|4LEGI|5TLV|6CGEN|7LIT|8DMG|9aRCR
38	22252 32275	 * 	289.83	DCR|DCR|2VULN|1TLV|1MLV	1DUST|2AAC|3MBVNT|48VULN|5TLV|6BBNT|7aRCR|9MLV
39	45622 11122	   	288.96	DCR|DCR|2TLV|1LIT|1DMG	1MDPS|25TLV|3ZMB|4DUR|6CGEN|7LIT|8DMG|9aRCR
40	23232 66322	   	288.12	DCR|DCR|1TLV|1LIT|1VULN|2DUR	1DUST|2CGEN|3MBVNT|47DUR|5TLV|6LIT|8VULN|9aRCR
41	23238 16322	   	288.12	DCR|DCR|1TLV|1LIT|1VULN|2DUR	1DUST|2CGEN|3MBVNT|47DUR|5LIT|6TLV|8VULN|9aRCR
42	11221 72622	   	288.12	DCR|DCR|1TLV|1LIT|1VULN|2DUR	1LEGI|2CGEN|3MBVNT|45DUR|6TLV|7LIT|8VULN|9aRCR
43	11222 32622	   	288.12	DCR|DCR|1TLV|1LIT|1VULN|2DUR	1LEGI|2CGEN|3MBVNT|46DUR|5TLV|7LIT|8VULN|9aRCR
44	23231 72322	   	288.12	DCR|DCR|1TLV|1LIT|1VULN|2DUR	1DUST|2CGEN|3MBVNT|45DUR|6TLV|7LIT|8VULN|9aRCR
