0	Index      	 *	Score 	Summary	Detail	
1	23223 31623	 * 	297.83	DCR|2VULN|2TLV|2DMG|2ASPD|1MLV	1LWND|2aDMG|3MLV|47TLV|5aASPD|6FEWX|8aVULN|9RCR|aBPWR
2	66213 16133	 * 	285.82	DCR|3TLV|2VULN|2LIT|1MLV	168TLV|28LIT|3AAC|4SNIFST|5MLV|78VULN|8BPWR|9FEWX|aRCR
3	66223 16133	   	285.82	DCR|3TLV|2VULN|2LIT|1MLV	168TLV|28LIT|3AAC|4MULARM|5MLV|78VULN|8BPWR|9FEWX|aRCR
4	23214 11526	 * 	283.69	DCR|DCR|1TLV|1VULN|1MLV|1DMG	1LWND|2DMG|3MLV|4DUR|5AME|6ERES|7TLV|8VULN|9aRCR
5	61234 23121	 * 	283.50	DCR|2TLV|1LIT|1VULN|3DUR|1MLV|1DMG	14TLV|2BELT|347DUR|4BPWR|5DMG|6LIT|8VULN|9RCR|aMLV
6	61117 53131	 * 	282.00	DCR|3TLV|2VULN|2LIT|1DMG	18aTLV|2BELT|3MBVNT|4DMG|5aVULN|6aLIT|7RPLT|9RCR|aBPWR
7	23231 26541	 * 	279.79	DCR|DCR|1TLV|1LIT|1MLV|1DMG	1LWND|2DMG|3MLV|4AAC|5DMSP|6TBNT|7LIT|89RCR|aTLV
8	23226 32414	 * 	277.41	DCR|2TLV|2DMG|1LIT|1VULN|1MLV	1LWND|2aDMG|3MLV|46TLV|5LIT|7CGEN|8VULN|9RCR
9	23226 32513	   	277.41	DCR|2TLV|2DMG|1LIT|1VULN|1MLV	1LWND|28DMG|3MLV|46TLV|5LIT|7CGEN|9VULN|aRCR
10	64322 15311	 * 	275.87	DCR|2VULN|2TLV|2MLV|1CDMG	1aTLV|2BBNT|3LWND|4aMLV|5CDMG|6TBNT|7BASHEA|8aVULN|9RCR|aBPWR
11	64222 15311	   	275.77	DCR|2VULN|2TLV|2MLV|1CDMG	1aTLV|2BBNT|3DUST|4aMLV|5CDMG|6TBNT|7BASHEA|8aVULN|9RCR|aBPWR
12	64423 31123	 * 	275.14	DCR|2TLV|2LIT|1MLV|1DMG|2DUR	18TLV|2BBNT|38DUR|4MLV|57LIT|68SNIFST|8BPWR|9DMG|aRCR
13	64533 12121	   	274.72	DCR|2VULN|2TLV|1LIT|2DUR|1CDMG	19TLV|2BBNT|3CDMG|49VULN|5LIT|6MGNLIT|7RCR|89DUR|9BPWR|aRMIN
14	64533 12123	   	274.72	DCR|2VULN|2TLV|1LIT|2DUR|1CDMG	19TLV|2BBNT|3CDMG|49VULN|5LIT|6MGNLIT|7RCR|89DUR|9BPWR|aLHND
15	64531 32121	   	274.62	DCR|2VULN|2TLV|1LIT|2DUR|1CDMG	19TLV|2BBNT|3CDMG|49VULN|5AIRHEL|6LIT|7RCR|89DUR|9BPWR|aRMIN
16	64531 32123	   	274.62	DCR|2VULN|2TLV|1LIT|2DUR|1CDMG	19TLV|2BBNT|3CDMG|49VULN|5AIRHEL|6LIT|7RCR|89DUR|9BPWR|aLHND
17	64533 12122	   	274.16	DCR|3TLV|2VULN|1LIT|2DUR|1CDMG	19aTLV|2BBNT|3CDMG|49VULN|5LIT|6MGNLIT|7RCR|89DUR|9BPWR
18	23226 36112	 * 	274.13	DCR|3LIT|2TLV|1MLV|1DMG	1LWND|2DMG|3MLV|46TLV|578LIT|9RPLT|aRCR
19	64531 32122	   	274.06	DCR|3TLV|2VULN|1LIT|2DUR|1CDMG	19aTLV|2BBNT|3CDMG|49VULN|5AIRHEL|6LIT|7RCR|89DUR|9BPWR
20	64311 23431	 * 	273.40	DCR|3VULN|1TLV|1LIT|1DMG	1TLV|2BBNT|3LWND|4DMG|569VULN|7RPLT|8LIT|aRCR
21	64211 23431	   	273.30	DCR|3VULN|1TLV|1LIT|1DMG	1TLV|2BBNT|3DUST|4DMG|569VULN|7RPLT|8LIT|aRCR
