0	Index      	 *	Score 	Summary	Detail	
1	21313 63312	 * 	319.96	ACR|DCR|2VULN|2TLV|2DMG|2CDMG|1ASPD	19VULN|2AAC|3aRCR|49DMG|5ASPD|67TLV|89CDMG|9BPWR
2	21313 64412	 * 	316.76	ACR|DCR|3VULN|2TLV|2ASPD|1DMG|1SELL	189VULN|2AAC|3aRCR|4DMG|59ASPD|69TLV|7SELL|9BPWR
3	51353 15112	 * 	315.59	DCR|DCR|2VULN|1TLV|1LIT|1RPLT	1RPLT|2aFEWX|3LIT|4aVULN|5TLV|6CGEN|78RCR|9aLHND|aBPWR
4	25312 15122	 * 	314.88	DCR|DCR|2LIT|1TLV|1VULN|1MLV	1VULN|2MLV|3LHND|4RPLT|5aLIT|6CGEN|78RCR|9TLV
5	22171 18135	   	311.16	DCR|DCR|2LIT|1TLV|1VULN|1DMG	1VULN|26LIT|3MBVNT|4DMG|5AAC|7TLV|8aRCR|9LWND
6	32171 13185	   	311.06	DCR|DCR|2LIT|1TLV|1VULN|1DMG	1DUST|26LIT|3MBVNT|4DMG|5AAC|7TLV|8aRCR|9VULN
7	13421 25112	   	309.70	DCR|DCR|2LIT|1TLV|1VULN|1RPLT	1aCGEN|2FEWX|3RPLT|4aLIT|5TLV|6VULN|78RCR|9aLHND|aBPWR
8	13421 25122	   	309.50	DCR|DCR|2LIT|1TLV|1VULN|1RPLT	1CGEN|2FEWX|3RPLT|4aLIT|5TLV|6VULN|78RCR|9BELT
9	51353 15122	   	309.50	DCR|DCR|2LIT|1TLV|1VULN|1RPLT	1RPLT|2FEWX|3aLIT|4VULN|5TLV|6CGEN|78RCR|9BELT
10	13421 25162	   	309.40	DCR|DCR|2LIT|1TLV|1VULN|1RPLT	1CGEN|2FEWX|3RPLT|4aLIT|5TLV|6VULN|78RCR|9ERES
11	25312 15124	   	304.22	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1VULN|2MLV|3LHND|4RPLT|5LIT|6CGEN|78RCR|9TLV|aBBNT
12	22164 17438	 * 	302.73	DCR|3LIT|2VULN|2DMG|1TLV|1CDMG	18VULN|258LIT|3MBVNT|4CDMG|6TLV|78DMG|8BPWR|9LHND|aRCR
13	22263 22525	 * 	301.91	DCR|2VULN|2LIT|2MLV|1TLV|2ASPD|1CDMG	17VULN|25LIT|37MLV|4RCVC|67ASPD|7BPWR|8RCR|9CDMG|aTLV
14	13421 25113	   	298.85	DCR|DCR|1TLV|1LIT|1VULN|1RPLT	1CGEN|2FEWX|3RPLT|4LIT|5TLV|6VULN|78RCR|9LHND|aBBNT
15	13421 25123	   	298.85	DCR|DCR|1TLV|1LIT|1VULN|1RPLT	1CGEN|2FEWX|3RPLT|4LIT|5TLV|6VULN|78RCR|9BELT|aDUR
16	13421 25153	   	298.85	DCR|DCR|1TLV|1LIT|1VULN|1RPLT	1CGEN|2FEWX|3RPLT|4LIT|5TLV|6VULN|78RCR|9LWND|aDUR
17	51353 15113	   	298.85	DCR|DCR|1TLV|1LIT|1VULN|1RPLT	1RPLT|2FEWX|3LIT|4VULN|5TLV|6CGEN|78RCR|9LHND|aBBNT
18	51353 15123	   	298.85	DCR|DCR|1TLV|1LIT|1VULN|1RPLT	1RPLT|2FEWX|3LIT|4VULN|5TLV|6CGEN|78RCR|9BELT|aDUR
19	13421 25132	   	298.75	DCR|DCR|1TLV|1LIT|1VULN|1RPLT	1CGEN|2FEWX|3RPLT|4LIT|5TLV|6VULN|78RCR|9FLTARM|aBBNT
20	51353 15132	   	298.75	DCR|DCR|1TLV|1LIT|1VULN|1RPLT	1RPLT|2FEWX|3LIT|4VULN|5TLV|6CGEN|78RCR|9FLTARM|aBBNT
21	13421 25115	   	297.50	DCR|DCR|1TLV|1LIT|1VULN|1RPLT	1CGEN|2FEWX|3RPLT|4LIT|5TLV|6VULN|78RCR|9LHND|aAART
22	13421 25152	   	294.75	DCR|DCR|1TLV|1LIT|1VULN|1RPLT	1CGEN|2FEWX|3RPLT|4LIT|5TLV|6VULN|78RCR|9LWND|aTBNT
23	25312 15123	   	294.56	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1VULN|2MLV|3LHND|4RPLT|5LIT|6CGEN|78RCR|9TLV|aRCVC
24	25312 15125	   	294.56	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1VULN|2MLV|3LHND|4RPLT|5LIT|6CGEN|78RCR|9TLV|aBEXP
25	25312 15126	   	294.56	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1VULN|2MLV|3LHND|4RPLT|5LIT|6CGEN|78RCR|9TLV|aRMIN
26	32131 13185	   	291.00	DCR|DCR|2LIT|1TLV|1VULN	1DUST|26LIT|3MBVNT|4ZMB|5AAC|7TLV|8aRCR|9VULN
