0	Index      	Bounty	 *	Score 	Summary	Detail	
1	44223 12423	7	 * 	325.70	橙5易伤3伤害2等级1暴击	127伤害34579易伤67等级7序列升级8核a暴击
2	22423 12413	7	   	320.95	橙5易伤2等级2伤害1时间	13457易伤27伤害67等级7序列升级8核9时间a攻速
3	44223 12422	7	   	320.36	橙5易伤3伤害2等级	127伤害34579易伤67等级7序列升级8核a雷电
4	23225 22116	10	 * 	317.24	橙3易伤3伤害3等级2时间1暴击	179易伤2敌人爆炸379伤害4暴击58时间679等级79序列升级a核
5	22423 12412	7	   	312.65	橙5易伤2等级2伤害1时间	13457易伤27伤害67等级7序列升级8核9时间a低血量敌人
6	22423 12415	7	   	312.65	橙5易伤2等级2伤害1时间	13457易伤27伤害67等级7序列升级8核9时间a敌人爆炸
7	22423 12416	7	   	312.65	橙5易伤2等级2伤害1时间	13457易伤27伤害67等级7序列升级8核9时间a基地爆炸
8	22423 12424	7	   	312.65	橙5易伤2等级2伤害1时间	13457易伤27伤害67等级7序列升级8核9金币生成a时间
9	22423 12434	7	   	312.65	橙5易伤2等级2伤害1时间	13457易伤27伤害67等级7序列升级8核9随机矿a时间
10	22423 12411	7	   	312.55	橙5易伤2等级2伤害1时间	13457易伤27伤害67等级7序列升级8核9时间a掉矿
11	22423 12414	7	   	312.55	橙5易伤2等级2伤害1时间	13457易伤27伤害67等级7序列升级8核9时间a挖尘
12	22423 12441	7	   	312.55	橙5易伤2等级2伤害1时间	13457易伤27伤害67等级7序列升级8核9赏金塔a时间
13	44223 12421	7	   	312.05	橙5易伤3伤害2等级	127伤害34579易伤67等级7序列升级8核a最后敌人
14	22423 12116	10	 * 	312.05	橙5易伤3伤害3等级	13457易伤279伤害679等级79序列升级8平台a核
15	44223 12413	8	   	309.96	橙4易伤3伤害2等级1时间	127伤害3457易伤67等级7序列升级8时间9策反a核
16	44223 12513	7	   	309.96	橙4易伤3伤害2等级1时间	127伤害3457易伤67等级7序列升级8时间9策反a核
17	22423 12461	7	   	306.06	橙5易伤2等级2伤害	13457易伤27伤害67等级7序列升级8核9额外掉落a全技能
18	22423 12311	8	   	304.70	橙5易伤2等级2伤害	13457易伤27伤害67等级7序列升级8立即金币9雷电a核
19	22426 32233	7	   	304.62	橙5易伤2等级1伤害2攻速	13489易伤2伤害5全技能69等级79攻速9序列升级a核
20	44223 12323	8	   	303.37	橙4易伤3伤害2等级	127伤害3457易伤67等级7序列升级8金币生成9全技能a核
21	44223 12123	7	   	303.27	橙4易伤3伤害2等级	127伤害3457易伤67等级7序列升级8掉矿9全技能a核
22	44223 12623	8	   	303.27	橙4易伤3伤害2等级	127伤害3457易伤67等级7序列升级8掉矿9全技能a核
23	23225 22216	10	   	302.66	橙3易伤3伤害3等级1时间1暴击	179易伤2敌人爆炸379伤害4暴击5时间679等级79序列升级8双倍矿a核
24	23225 22416	10	   	302.66	橙3易伤3伤害3等级1时间1暴击	179易伤28敌人爆炸379伤害4暴击5时间679等级79序列升级a核
25	23225 22334	9	   	302.66	橙3易伤3伤害3等级1时间1暴击	17a易伤2敌人爆炸37a伤害4暴击5时间67a等级7a序列升级8核9平台
26	44223 12233	8	   	302.02	橙4易伤3伤害2等级	127伤害3457易伤67等级7序列升级8攻速9敌人爆炸a核
27	44223 12213	9	   	301.92	橙4易伤3伤害2等级	127伤害3457易伤67等级7序列升级8攻速9挖尘a核
28	44223 12213	8	   	301.92	橙4易伤3伤害2等级	127伤害3457易伤67等级7序列升级8攻速9挖尘a核
29	44223 12341	7	   	301.92	橙4易伤3伤害3等级	127伤害3457易伤678等级7序列升级9核a雷电
30	44226 32233	7	   	298.47	橙3易伤3伤害2等级2攻速	129伤害348易伤5全技能69等级79攻速9序列升级a核
31	22411 62114	8	 * 	297.57	橙5易伤3伤害2时间	1357a易伤27a伤害467掉矿7a序列升级8a时间9核
32	22213 64223	5	   	297.50	橙3易伤2等级2伤害2时间	168易伤28伤害3金币生成4加一56时间68序列升级78等级9全技能a核
33	22423 12422	7	   	296.40	橙5易伤2等级2伤害	13457易伤27伤害67等级7序列升级8核9金币生成a低血量敌人
34	22423 12423	7	   	296.40	橙5易伤2等级2伤害	13457易伤27伤害67等级7序列升级8核9金币生成a策反
35	22423 12425	7	   	296.40	橙5易伤2等级2伤害	13457易伤27伤害67等级7序列升级8核9金币生成a敌人爆炸
36	22423 12432	7	   	296.40	橙5易伤2等级2伤害	13457易伤27伤害67等级7序列升级8核9随机矿a低血量敌人
37	22423 12433	7	   	296.40	橙5易伤2等级2伤害	13457易伤27伤害67等级7序列升级8核9随机矿a策反
38	22423 12435	7	   	296.40	橙5易伤2等级2伤害	13457易伤27伤害67等级7序列升级8核9随机矿a敌人爆炸
39	22423 12462	7	   	296.40	橙5易伤2等级2伤害	13457易伤27伤害67等级7序列升级8核9额外掉落a双倍矿
40	22423 12463	7	   	296.40	橙5易伤2等级2伤害	13457易伤27伤害67等级7序列升级8核9额外掉落a基地爆炸
41	22423 12421	7	   	296.30	橙5易伤2等级2伤害	13457易伤27伤害67等级7序列升级8核9金币生成a赏金邻近
42	22423 12431	7	   	296.30	橙5易伤2等级2伤害	13457易伤27伤害67等级7序列升级8核9随机矿a赏金邻近
43	22423 12442	7	   	296.30	橙5易伤2等级2伤害	13457易伤27伤害67等级7序列升级8核9赏金塔a金币生成
44	22423 12443	7	   	296.30	橙5易伤2等级2伤害	13457易伤27伤害67等级7序列升级8核9赏金塔a立即金币
