0	Index      	 *	Score 	Summary	Detail	
1	41611 21263	 * 	217.62	DCR|1SPLARM|2VULN|2ASPD|1DMG|1ZMB	1BELT|2DMG|3ZMB|4RMIN|5SPLARM|6RCR|78ASPD|9aVULN
2	41611 21223	 * 	214.83	DCR|1SPLARM|2DMG|2ASPD|1VULN|1ZMB	1BELT|29DMG|3ZMB|4RMIN|5SPLARM|6RCR|78ASPD|aVULN
3	63431 42121	 * 	214.36	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1BEXP|2ASPD|3AART|4DUR|5ZMB|6CDMG|78aVULN|9RCR
4	23431 42121	   	214.26	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1DUST|2ASPD|3AART|4DUR|5ZMB|6CDMG|78aVULN|9RCR
5	51112 23631	 * 	211.30	DCR|3VULN|3DMG|1ASPD	1RPLT|25aDMG|35aVULN|4RMIN|5aBPWR|6BEXP|7ASPD|8RCR|9aLWND
6	51112 23651	   	211.30	DCR|3VULN|3DMG|1ASPD	1RPLT|25aDMG|35aVULN|4RMIN|5aBPWR|6BEXP|7ASPD|8RCR|9aFEWX
7	51112 13343	 * 	209.69	DCR|3VULN|2DMG|1ASPD|1CDMG	1RPLT|25DMG|358VULN|4RMIN|5BPWR|6FEWX|7ASPD|9RCR|aCDMG
8	51112 23343	   	209.69	DCR|3VULN|2DMG|1ASPD|1CDMG	1RPLT|25DMG|358VULN|4RMIN|5BPWR|6BEXP|7ASPD|9RCR|aCDMG
9	31661 11234	 * 	208.61	DCR|3ASPD|1VULN|1AART|1DMG|1CDMG	1CANSTR|2VULN|348ASPD|5DMG|6BELT|7RCR|9CDMG|aAART
10	51112 51236	 * 	207.38	DCR|4VULN|2DMG|1CDMG	1RPLT|25DMG|3569VULN|4RMIN|5BPWR|7TLV|8RCR|aCDMG
11	61331 42121	 * 	206.05	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2LHND|3DMG|4AART|5ZMB|6CDMG|78aVULN|9RCR
12	63331 42121	   	206.05	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1BEXP|2ASPD|3LHND|4AART|5ZMB|6CDMG|78aVULN|9RCR
13	63631 42121	   	206.05	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1BEXP|2ASPD|3LWND|4AART|5ZMB|6CDMG|78aVULN|9RCR
14	21331 42121	   	205.95	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2LHND|3DMG|4AART|5ZMB|6CDMG|78aVULN|9RCR
15	23331 42121	   	205.95	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1DUST|2ASPD|3LHND|4AART|5ZMB|6CDMG|78aVULN|9RCR
16	23451 42121	   	205.95	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1DUST|2ASPD|3AART|4LHND|5ZMB|6CDMG|78aVULN|9RCR
17	23631 42121	   	205.95	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1DUST|2ASPD|3LWND|4AART|5ZMB|6CDMG|78aVULN|9RCR
18	23465 32121	   	205.95	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1DUST|2ASPD|3AART|4CDMG|5ZMB|6LHND|78aVULN|9RCR
19	53534 23121	 * 	205.49	DCR|5VULN|2AART|1MDPS	1RPLT|25AART|3468aVULN|7MDPS|9RCR
20	51112 23614	   	204.19	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1RPLT|25DMG|35VULN|4RMIN|5BPWR|6BEXP|7ASPD|8RCR|9ZMB|aCDMG
21	63422 42121	   	203.93	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC|1DUR	1BEXP|2ASPD|3AART|4AAC|5DUR|6CDMG|78aVULN|9RCR
22	23422 42121	   	203.83	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC|1DUR	1DUST|2ASPD|3AART|4AAC|5DUR|6CDMG|78aVULN|9RCR
23	15131 52232	 * 	203.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1LIT|24DMG|3DUST|5CDMG|67VULN|8ZMB|9AART|aRCR
24	31663 31262	 * 	203.65	DCR|3VULN|2ASPD|1AART|1DUR|1SELL	1CANSTR|27aVULN|34ASPD|5SELL|6AART|8RCR|9DUR
25	53531 43121	 * 	203.52	DCR|4VULN|1AART|1DMG|1DUR	1RPLT|2AART|348aVULN|5DMG|6TLV|7DUR|9RCR
26	15236 12225	 * 	203.19	DCR|2VULN|2DMG|1AART|1ASPD	1LIT|23DMG|4CANARM|5MLV|6ASPD|7RCR|89VULN|aAART
27	15232 12225	   	203.09	DCR|2VULN|2DMG|1AART|1ASPD|1AAC	1LIT|23DMG|4CANARM|5AAC|6ASPD|7RCR|89VULN|aAART
28	41616 23311	   	202.58	DCR|3VULN|3DMG|2ZMB	1BELT|267DMG|38ZMB|4RMIN|58aVULN|8BPWR|9RCR
29	53112 61423	 * 	202.54	DCR|2VULN|2AART|1MDPS|1DMG	137RPLT|24AART|59VULN|6RCR|8DMG|aMDPS
30	23461 61233	 * 	202.47	DCR|1MDPS|2ASPD|1AART|2CDMG|1DMG	1DUST|25ASPD|3AART|45CDMG|5BPWR|6RCR|7RCVC|8AME|9DMG|aMDPS
31	31661 11233	 * 	202.42	DCR|3ASPD|2DMG|1VULN|1CDMG	1CANSTR|2VULN|348ASPD|5aDMG|6BELT|7RCR|9CDMG
32	51112 52513	   	201.96	DCR|3VULN|2DMG|1CDMG|1ZMB	1RPLT|25DMG|356VULN|4RMIN|5BPWR|7BEXP|8RCR|9ZMB|aCDMG
33	51112 13342	   	201.75	DCR|3VULN|2DMG|1ASPD|1DUR	1RPLT|25DMG|358VULN|4RMIN|5BPWR|6FEWX|7ASPD|9RCR|aDUR
34	51112 23342	   	201.75	DCR|3VULN|2DMG|1ASPD|1DUR	1RPLT|25DMG|358VULN|4RMIN|5BPWR|6BEXP|7ASPD|9RCR|aDUR
35	51112 31513	   	201.75	DCR|3VULN|2DMG|1ASPD|1DUR	1RPLT|25DMG|357VULN|4RMIN|5BPWR|6BELT|8ASPD|9RCR|aDUR
36	53525 21212	 * 	201.49	ACR|4VULN|2ASPD|1AART|1CDMG	1RPLT|2AART|379aVULN|48ASPD|5RCR|6CDMG
37	15236 23325	   	201.19	DCR|2VULN|2DMG|1AART|1ASPD	1LIT|23DMG|4CANARM|5MLV|69VULN|7ASPD|8RCR|aAART
38	15232 23325	   	201.09	DCR|2VULN|2DMG|1AART|1ASPD|1AAC	1LIT|23DMG|4CANARM|5AAC|69VULN|7ASPD|8RCR|aAART
39	41616 23313	 * 	201.00	DCR|3DMG|2VULN|1CDMG|2ZMB	1BELT|267DMG|38ZMB|4RMIN|58VULN|8BPWR|9RCR|aCDMG
40	23436 23148	 * 	200.72	DCR|2VULN|1MDPS|1AART|1ASPD|2DUR	19DUST|2ASPD|3AART|49DUR|5RCVC|69VULN|7RCR|8MBVNT|9BPWR|aMDPS
41	23411 23516	 * 	200.65	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1DUST|2ASPD|39AART|4RCVC|5FEWX|6VULN|7RCR|8CDMG|aDMG
42	51112 13344	   	200.22	DCR|3VULN|2DMG|1ASPD|1AAC	1RPLT|25DMG|358VULN|4RMIN|5BPWR|6FEWX|7ASPD|9RCR|aAAC
43	51112 23344	   	200.22	DCR|3VULN|2DMG|1ASPD|1AAC	1RPLT|25DMG|358VULN|4RMIN|5BPWR|6BEXP|7ASPD|9RCR|aAAC
