0	Index      	 *	Score 	Summary	Detail	
1	26252 11633	 * 	205.29	DCR|2VULN|2DMG|1AART|1ASPD	13FEWX|24VULN|57DMG|6RCR|8AART|9LHND|aASPD
2	33552 11633	 * 	205.19	DCR|2VULN|2DMG|1AART|1ASPD|1NUKE	1NUKE|2RMIN|34VULN|57DMG|6RCR|8AART|9LHND|aASPD
3	61254 13312	 * 	204.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	12LIT|2BPWR|3DMG|4ASPD|59VULN|6DUR|7CDMG|8AART|aRCR
4	26252 11611	 * 	203.95	DCR|2VULN|2DMG|1MDPS|1AART	13FEWX|24VULN|57DMG|6RCR|8AART|9MDPS|aAELBLL
5	26252 11612	   	203.95	DCR|2VULN|2DMG|1MDPS|1AART	13FEWX|24VULN|57DMG|6RCR|8AART|9MDPS|aRPLT
6	26252 11613	   	203.95	DCR|2VULN|1MDPS|2DMG|1AART	13FEWX|24VULN|57DMG|6RCR|8AART|9MDPS|aLEGI
7	33552 11611	 * 	203.85	DCR|2VULN|1MDPS|2DMG|1AART|1NUKE	1NUKE|2RMIN|34VULN|57DMG|6RCR|8AART|9MDPS|aAELBLL
8	33552 11612	   	203.85	DCR|2VULN|2DMG|1MDPS|1AART|1NUKE	1NUKE|2RMIN|34VULN|57DMG|6RCR|8AART|9MDPS|aRPLT
9	33552 11613	   	203.85	DCR|2VULN|1MDPS|2DMG|1AART|1NUKE	1NUKE|2RMIN|34VULN|57DMG|6RCR|8AART|9MDPS|aLEGI
10	26452 11132	 * 	203.06	DCR|3VULN|2DMG|1AART	19FEWX|234VULN|57DMG|6RCR|8LWND|aAART
11	26452 13221	 * 	201.22	DCR|4VULN|1MDPS|1AART|1DMG	1FEWX|2348VULN|5DMG|6RCR|7MDPS|9AART|aAELBLL
12	26452 13222	   	201.22	DCR|4VULN|1MDPS|1AART|1DMG	1FEWX|2348VULN|5DMG|6RCR|7MDPS|9AART|aRPLT
13	13336 11236	 * 	197.06	DCR|3DMG|2VULN|1ASPD	1CGEN|257DMG|3LHND|4ERES|6RCR|89VULN|aASPD
14	26252 21362	   	197.06	DCR|3VULN|2DMG|1AART	13FEWX|248VULN|57DMG|6LWND|9RCR|aAART
15	63216 21121	 * 	195.32	DCR|2VULN|2AART|1DMG|1DUR	1LIT|2ERES|3RCVC|4DUR|5DMG|6RCR|79AART|8aVULN
16	63252 21121	 * 	195.32	DCR|2VULN|2AART|1ASPD|1DUR	1LIT|2ERES|3RCVC|4ASPD|5DUR|6RCR|79AART|8aVULN
17	26452 11123	 * 	195.03	DCR|4VULN|2DMG	1FEWX|234aVULN|57DMG|6RCR|8LWND|9ERES
18	26452 11223	   	195.03	DCR|4VULN|2DMG	1FEWX|234aVULN|57DMG|6RCR|8BEXP|9ERES
19	63216 21122	 * 	195.01	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1LIT|2ERES|3RCVC|4DUR|5DMG|6RCR|79AART|8VULN|aASPD
20	13336 11233	 * 	194.83	DCR|3VULN|3DMG	1CGEN|257DMG|3LHND|4ERES|6RCR|89aVULN
21	13145 31152	 * 	193.72	DCR|3VULN|1AART|1DMG|1CDMG	1CGEN|2DMG|3FEWX|468VULN|5LIT|7AART|9CDMG|aRCR
22	13145 33312	   	193.72	DCR|3VULN|1AART|1DMG|1CDMG	1CGEN|2DMG|3FEWX|469VULN|5LIT|7CDMG|8AART|aRCR
23	64531 33312	   	193.52	DCR|3VULN|1AART|1DMG|1CDMG	1LIT|2DUST|369VULN|4TLV|5DMG|7CDMG|8AART|aRCR
24	13322 46632	 * 	192.75	DCR|3DMG|1VULN|1AART|1CDMG	1CGEN|25aDMG|3LHND|4CDMG|6AART|7DMSP|8RCR|9VULN
25	61222 21121	   	191.92	DCR|2VULN|2AART|1DMG|1DUR	12LIT|2BPWR|3DMG|4ERES|5DUR|6RCR|79AART|8aVULN
26	61316 21121	   	191.92	DCR|2VULN|2AART|1DMG|1DUR	12LIT|2BPWR|3ERES|4DUR|5DMG|6RCR|79AART|8aVULN
27	61352 21121	   	191.92	DCR|2VULN|2AART|1ASPD|1DUR	12LIT|2BPWR|3ERES|4ASPD|5DUR|6RCR|79AART|8aVULN
28	63511 21121	   	191.92	DCR|2VULN|2AART|1ASPD|1DUR	15LIT|2ERES|3ASPD|4DUR|6RCR|79AART|8aVULN
29	63616 21121	   	191.92	DCR|2VULN|2AART|1DMG|1DUR	13LIT|2ERES|4DUR|5DMG|6RCR|79AART|8aVULN
30	63652 21121	   	191.92	DCR|2VULN|2AART|1ASPD|1DUR	13LIT|2ERES|4ASPD|5DUR|6RCR|79AART|8aVULN
31	63516 21121	   	191.82	DCR|2VULN|2AART|1ASPD|1DUR	1LIT|25ERES|3ASPD|4DUR|6RCR|79AART|8aVULN
