0	Index      	 *	Score 	Summary	Detail	
1	42253 42123	 * 	212.60	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR	1ASPD|2BEXP|3DUR|489VULN|5AART|6RCR|7FEWX|aMDPS
2	46121 22312	 * 	211.87	DCR|3VULN|2AART|2ASPD	1aASPD|24SNIFST|346VULN|4BPWR|59AART|7CGEN|8RCR
3	46121 24312	   	211.87	DCR|3VULN|2AART|2ASPD	1aASPD|24SNIFST|346VULN|4BPWR|59AART|7RMIN|8RCR
4	46151 22312	   	211.77	DCR|3VULN|2AART|2ASPD	1aASPD|2SNIFST|346VULN|59AART|7CGEN|8RCR
5	43622 13262	 * 	211.06	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2CGEN|3DUR|4RCVC|59AART|6RCR|7VULN|8CDMG|aDMG
6	42253 42113	 * 	210.85	DCR|2VULN|2AART|1MDPS|1ASPD|1DUR	1ASPD|2BEXP|3DUR|48VULN|59AART|6RCR|7FEWX|aMDPS
7	42253 43112	   	209.75	DCR|3VULN|2AART|1ASPD|1DUR	1ASPD|2BEXP|3DUR|48aVULN|59AART|6RCR|7MBVNT
8	42253 43122	 * 	209.52	DCR|4VULN|1AART|1ASPD|1DUR	1ASPD|2BEXP|3DUR|489aVULN|5AART|6RCR|7MBVNT
9	46111 21332	 * 	208.45	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	19ASPD|2SNIFST|39VULN|4ZMB|5LWND|6AART|79BEXP|8RCR|9BPWR|aDMG
10	46111 21336	 * 	207.22	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB	19ASPD|2SNIFST|39VULN|4ZMB|5LWND|6AART|79BEXP|8RCR|9BPWR|aMDPS
11	46121 22333	 * 	206.13	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1ASPD|24SNIFST|346VULN|4BPWR|5AART|7CGEN|8RCR|9DUR|aCDMG
12	46121 24333	   	206.13	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1ASPD|24SNIFST|346VULN|4BPWR|5AART|7RMIN|8RCR|9DUR|aCDMG
13	46151 22333	   	206.03	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1ASPD|2SNIFST|346VULN|5AART|7CGEN|8RCR|9DUR|aCDMG
14	46121 22331	   	205.95	DCR|3VULN|2AART|1ASPD|1DUR	1ASPD|24SNIFST|346VULN|4BPWR|5aAART|7CGEN|8RCR|9DUR
15	46121 24331	   	205.95	DCR|3VULN|2AART|1ASPD|1DUR	1ASPD|24SNIFST|346VULN|4BPWR|5aAART|7RMIN|8RCR|9DUR
16	46151 22331	   	205.85	DCR|3VULN|2AART|1ASPD|1DUR	1ASPD|2SNIFST|346VULN|5aAART|7CGEN|8RCR|9DUR
17	42422 13431	 * 	205.40	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2BEXP|3ERES|4RCVC|5AART|6RCR|7VULN|8DMG|9CDMG|aMDPS
18	46111 21335	 * 	204.64	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	19ASPD|2SNIFST|39VULN|4ZMB|5LWND|6AART|79BEXP|8RCR|9BPWR|aCDMG
19	46115 21333	   	204.47	DCR|2VULN|2AART|2ASPD|1ZMB	19ASPD|2SNIFST|39VULN|4ZMB|5FEWX|6aAART|79BEXP|8RCR|9BPWR
20	32121 21332	 * 	204.29	DCR|4VULN|1MDPS|1AART|1DUR	1SNIFST|24ERES|3467VULN|4BPWR|5AART|8RCR|9DUR|aMDPS
21	32151 21332	   	204.29	DCR|4VULN|1MDPS|1AART|1DUR	1SNIFST|2ERES|3467VULN|5AART|8RCR|9DUR|aMDPS
22	42253 31431	 * 	204.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2BEXP|3DUR|47VULN|5AART|6ERES|8DMG|9CDMG|aRCR
23	52253 42123	 * 	204.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2BEXP|3DUR|489VULN|5AART|6RCR|7FEWX|aDMG
24	43622 13433	 * 	204.04	DCR|1AART|1VULN|1ASPD|1DMG|1NUKE|2DUR	1ASPD|2CGEN|39DUR|4RCVC|5AART|6RCR|7VULN|8DMG|aNUKE
25	42253 43123	   	204.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1ASPD|2BEXP|3DUR|489VULN|5AART|6RCR|7MBVNT|aZMB
26	42622 13262	   	202.75	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1ASPD|2BEXP|3CGEN|4RCVC|59AART|6RCR|7VULN|8CDMG|aDMG
27	43622 13252	 * 	202.41	DCR|1AART|1VULN|2CDMG|1ASPD|1DMG|1DUR	1ASPD|2CGEN|3DUR|4RCVC|5AART|6RCR|7VULN|89CDMG|aDMG
28	21242 13431	   	202.40	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG	1MLV|2AELBLL|3BEXP|4ASPD|5AART|6RCR|7VULN|8DMG|9CDMG|aMDPS
29	41212 13431	   	202.40	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2AELBLL|3BEXP|4AME|5AART|6RCR|7VULN|8DMG|9CDMG|aMDPS
30	41314 13431	   	202.40	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2AELBLL|3AART|4AME|5BEXP|6RCR|7VULN|8DMG|9CDMG|aMDPS
31	52253 42113	 * 	202.35	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1ZMB|2BEXP|3DUR|48VULN|59AART|6RCR|7FEWX|aDMG
32	41132 13431	   	202.30	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2AELBLL|3TLV|4BEXP|5AART|6RCR|7VULN|8DMG|9CDMG|aMDPS
33	41313 13431	   	202.30	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2AELBLL|3AART|4AME|5DUST|6RCR|7VULN|8DMG|9CDMG|aMDPS
34	41324 13431	   	202.30	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2AELBLL|3AART|4ERES|5BEXP|6RCR|7VULN|8DMG|9CDMG|aMDPS
35	42253 43113	   	202.25	DCR|2VULN|2AART|1ASPD|1ZMB|1DUR	1ASPD|2BEXP|3DUR|48VULN|59AART|6RCR|7MBVNT|aZMB
36	46111 21215	   	202.22	DCR|3VULN|2ASPD|1AART|1ZMB	19ASPD|2SNIFST|389VULN|4ZMB|5LWND|6AART|79BEXP|9BPWR|aRCR
37	41323 13431	   	202.20	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2AELBLL|3AART|4ERES|5DUST|6RCR|7VULN|8DMG|9CDMG|aMDPS
