0	Index      	 *	Score 	Summary	Detail	
1	13444 31221	 * 	211.40	DCR|3VULN|2AART|1MDPS|1CDMG|1DUR	1AME|26AART|3CDMG|479VULN|5DUR|8RCR|aMDPS
2	13444 31233	 * 	209.51	DCR|2VULN|2AART|1DMG|1CDMG|2DUR	1AME|26AART|3CDMG|47VULN|5aDUR|8RCR|9DMG
3	42321 56333	 * 	205.65	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1LWND|2ZMB|3RCVC|4DMG|5CDMG|68aVULN|7ASPD|9RCR
4	13444 31213	   	204.27	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1AME|26AART|3CDMG|47VULN|5DUR|8RCR|9LHND|aDMG
5	13444 31231	   	204.27	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1AME|26AART|3CDMG|47VULN|5DUR|8RCR|9DMG|aRMIN
6	13444 31232	   	204.27	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1AME|26AART|3CDMG|47VULN|5DUR|8RCR|9DMG|aLWND
7	16521 42313	 * 	204.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AME|237VULN|4DMG|5CDMG|6FEWX|8AART|9RCR|aDUR
8	16521 51313	   	204.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AME|236VULN|4DMG|5CDMG|7BEXP|8AART|9RCR|aDUR
9	16523 41313	   	204.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AME|235VULN|4DMG|6CDMG|7BEXP|8AART|9RCR|aDUR
10	16521 12313	   	203.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AME|237VULN|4DMG|5CDMG|6DUST|8AART|9RCR|aDUR
11	16521 53313	   	203.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AME|236VULN|4DMG|5CDMG|7DUST|8AART|9RCR|aDUR
12	16523 43313	   	203.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AME|235VULN|4DMG|6CDMG|7DUST|8AART|9RCR|aDUR
13	16551 12313	 * 	203.93	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1AME|237VULN|4ASPD|5CDMG|6DUST|8AART|9RCR|aDUR
14	33554 21223	 * 	203.03	DCR|3ASPD|2VULN|1AART|1CDMG|1AAC	1FEWX|2AAC|35VULN|457ASPD|5BPWR|6CGEN|8CDMG|9AART|aRCR
15	34254 21223	 * 	202.81	DCR|3ASPD|1VULN|1AART|1DMG|1CDMG	15FEWX|2VULN|3DMG|457ASPD|5BPWR|6CGEN|8CDMG|9AART|aRCR
16	34253 43112	 * 	202.51	DCR|2VULN|1AART|1ASPD|1DMG|3DUR	17FEWX|27VULN|3DMG|4ASPD|5RMIN|679DUR|7BPWR|8RCR|aAART
17	13651 31241	   	202.21	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AME|2AART|3DUR|4DMG|5CDMG|6RCR|7RPLT|8ASPD|9ZMB|aVULN
18	13444 31222	   	202.04	DCR|3VULN|2AART|1CDMG|1DUR	1AME|26AART|3CDMG|479VULN|5DUR|8RCR|aBEXP
19	13444 31223	   	202.04	DCR|3VULN|2AART|1CDMG|1DUR	1AME|26AART|3CDMG|479VULN|5DUR|8RCR|aAELBLL
20	31323 13165	 * 	200.47	DCR|3VULN|2DMG|1AART	167FEWX|2TLV|3RCVC|47DMG|57aVULN|7BPWR|8AART|9RCR
21	34231 43112	 * 	200.27	DCR|3VULN|1AART|1DMG|3DUR	17FEWX|247VULN|3DMG|5BEXP|679DUR|7BPWR|8RCR|aAART
22	34233 43112	   	200.17	DCR|3VULN|1AART|1DMG|3DUR	17FEWX|247VULN|3DMG|5DUST|679DUR|7BPWR|8RCR|aAART
23	35531 43112	 * 	200.03	DCR|2VULN|2DMG|1AART|3DUR	17FEWX|27DMG|34VULN|5BEXP|679DUR|7BPWR|8RCR|aAART
24	13443 51233	 * 	199.93	DCR|2VULN|2DMG|1AART|1CDMG	1AME|2AART|3CDMG|47VULN|5RCVC|6LWND|8RCR|9aDMG
25	35533 43112	   	199.93	DCR|2VULN|2DMG|1AART|3DUR	17FEWX|27DMG|34VULN|5DUST|679DUR|7BPWR|8RCR|aAART
26	35341 21421	 * 	198.95	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1FEWX|2DMG|35RCVC|4AART|6RCR|79VULN|8CDMG|aMDPS
27	31323 13162	   	198.89	DCR|2VULN|2DMG|1AART|1CDMG	167FEWX|2TLV|3RCVC|47DMG|57VULN|7BPWR|8AART|9RCR|aCDMG
28	31323 13163	 * 	198.71	DCR|2VULN|2AART|2DMG	167FEWX|2TLV|3RCVC|47DMG|57VULN|7BPWR|8aAART|9RCR
29	42341 21233	   	197.12	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB	1LWND|2ZMB|35RCVC|4AART|6RCR|7VULN|8CDMG|9aDMG
30	31623 13165	   	197.06	DCR|3VULN|2DMG|1AART	167FEWX|23TLV|47DMG|57aVULN|7BPWR|8AART|9RCR
31	35341 21423	 * 	197.01	DCR|2VULN|1AART|2CDMG|1DMG	1FEWX|2DMG|35RCVC|4AART|6RCR|79VULN|8aCDMG
32	13651 35123	 * 	196.73	DCR|2DMG|1VULN|1AART|2CDMG|1DUR	1AME|2AART|3DUR|4aDMG|58CDMG|6RCR|7ERES|9VULN
33	13613 25151	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1AME|2AART|3DUR|4LHND|5aVULN|6RCVC|7RCR|8DMG|9ASPD
34	23121 12161	 * 	195.81	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG	1MDPS|2TLV|3ASPD|4CDMG|59aVULN|6RPLT|7RCR|8DMG
35	16521 42311	   	195.72	DCR|3VULN|1AART|1DMG|1CDMG	1AME|237VULN|4DMG|5CDMG|6FEWX|8AART|9RCR|aRMIN
36	16521 42312	   	195.72	DCR|3VULN|1AART|1DMG|1CDMG	1AME|237VULN|4DMG|5CDMG|6FEWX|8AART|9RCR|aLWND
37	16521 51311	   	195.72	DCR|3VULN|1AART|1DMG|1CDMG	1AME|236VULN|4DMG|5CDMG|7BEXP|8AART|9RCR|aRMIN
38	16521 51312	   	195.72	DCR|3VULN|1AART|1DMG|1CDMG	1AME|236VULN|4DMG|5CDMG|7BEXP|8AART|9RCR|aLWND
39	16523 41311	   	195.72	DCR|3VULN|1AART|1DMG|1CDMG	1AME|235VULN|4DMG|6CDMG|7BEXP|8AART|9RCR|aRMIN
40	16523 41312	   	195.72	DCR|3VULN|1AART|1DMG|1CDMG	1AME|235VULN|4DMG|6CDMG|7BEXP|8AART|9RCR|aLWND
41	34234 13162	   	195.68	DCR|2VULN|2DMG|1AART|1CDMG	167FEWX|24VULN|37DMG|57CGEN|7BPWR|8AART|9RCR|aCDMG
42	13443 53233	 * 	195.63	DCR|2AART|2DMG|1VULN|1CDMG	1AME|27AART|3CDMG|4VULN|5RCVC|6LWND|8RCR|9aDMG
43	16521 12311	   	195.62	DCR|3VULN|1AART|1DMG|1CDMG	1AME|237VULN|4DMG|5CDMG|6DUST|8AART|9RCR|aRMIN
44	16521 12312	   	195.62	DCR|3VULN|1AART|1DMG|1CDMG	1AME|237VULN|4DMG|5CDMG|6DUST|8AART|9RCR|aLWND
45	16521 12315	   	195.62	DCR|3VULN|1AART|1DMG|1CDMG	1AME|237VULN|4DMG|5CDMG|6DUST|8AART|9RCR|aCGEN
46	16521 12316	   	195.62	DCR|3VULN|1AART|1DMG|1CDMG	1AME|237VULN|4DMG|5CDMG|6DUST|8AART|9RCR|aBEXP
47	16521 53311	   	195.62	DCR|3VULN|1AART|1DMG|1CDMG	1AME|236VULN|4DMG|5CDMG|7DUST|8AART|9RCR|aRMIN
48	16521 53312	   	195.62	DCR|3VULN|1AART|1DMG|1CDMG	1AME|236VULN|4DMG|5CDMG|7DUST|8AART|9RCR|aLWND
49	16523 43311	   	195.62	DCR|3VULN|1AART|1DMG|1CDMG	1AME|235VULN|4DMG|6CDMG|7DUST|8AART|9RCR|aRMIN
50	16523 43312	   	195.62	DCR|3VULN|1AART|1DMG|1CDMG	1AME|235VULN|4DMG|6CDMG|7DUST|8AART|9RCR|aLWND
51	16551 12311	   	195.62	DCR|3VULN|1AART|1ASPD|1CDMG	1AME|237VULN|4ASPD|5CDMG|6DUST|8AART|9RCR|aRMIN
52	16551 12312	   	195.62	DCR|3VULN|1AART|1ASPD|1CDMG	1AME|237VULN|4ASPD|5CDMG|6DUST|8AART|9RCR|aLWND
53	16521 12314	   	195.52	DCR|3VULN|1AART|1DMG|1CDMG	1AME|237VULN|4DMG|5CDMG|6DUST|8AART|9RCR|aMBVNT
54	34234 13163	   	195.50	DCR|2VULN|2AART|2DMG	167FEWX|24VULN|37DMG|57CGEN|7BPWR|8aAART|9RCR
55	34236 13162	   	195.48	DCR|2VULN|2DMG|1AART|1CDMG	167FEWX|24VULN|37DMG|57TLV|7BPWR|8AART|9RCR|aCDMG
56	31623 13162	   	195.48	DCR|2VULN|2DMG|1AART|1CDMG	167FEWX|23TLV|47DMG|57VULN|7BPWR|8AART|9RCR|aCDMG
57	34236 13163	   	195.30	DCR|2VULN|2AART|2DMG	167FEWX|24VULN|37DMG|57TLV|7BPWR|8aAART|9RCR
58	31623 13163	   	195.30	DCR|2VULN|2AART|2DMG	167FEWX|23TLV|47DMG|57VULN|7BPWR|8aAART|9RCR
59	42343 21233	   	194.74	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB	15LWND|2ZMB|3RCVC|4AART|6RCR|7VULN|8CDMG|9aDMG
60	13651 31243	 * 	194.51	DCR|2AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AME|2aAART|3DUR|4DMG|5CDMG|6RCR|7RPLT|8ASPD|9ZMB
61	13433 31441	 * 	194.22	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1AME|26AART|3CDMG|4FEWX|5DUR|7VULN|8RCR|9ZMB|aASPD
62	35341 21433	   	194.22	DCR|2DMG|1VULN|1AART|2CDMG	1FEWX|29DMG|35RCVC|4AART|6RCR|7VULN|8aCDMG
63	13551 31241	   	193.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AME|2AART|3LHND|4DMG|5CDMG|6RCR|7RPLT|8ASPD|9ZMB|aVULN
64	34232 36331	   	193.80	DCR|3VULN|1AART|1DMG|1ZMB	1FEWX|248VULN|3DMG|5LHND|6MULARM|7RCR|9AART|aZMB
65	35532 36331	   	193.80	DCR|3VULN|1AART|1DMG|1ZMB	1FEWX|2DMG|348VULN|5LHND|6MULARM|7RCR|9AART|aZMB
66	16521 21313	   	193.62	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1AME|23VULN|4DMG|56CDMG|7BEXP|8AART|9RCR|aDUR
67	16521 26213	   	193.62	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1AME|23VULN|4DMG|56CDMG|7AART|8BEXP|9RCR|aDUR
68	16551 21313	 * 	193.62	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1AME|23VULN|4ASPD|56CDMG|7BEXP|8AART|9RCR|aDUR
69	34134 13225	 * 	193.62	DCR|4VULN|1AART|1ASPD	167FEWX|2457VULN|357LWND|57BPWR|8AART|9ASPD|aRCR
70	65121 32121	   	193.59	DCR|2ASPD|1AART|1VULN|1DMG|1CDMG|1AAC	1AAC|2aASPD|3CGEN|4DMG|5MBVNT|6VULN|7CDMG|8RCR|9AART
71	13444 32221	   	193.57	DCR|2VULN|2AART|1MDPS|1CDMG|1DUR	17AME|26AART|3CDMG|49VULN|5DUR|8RCR|aMDPS
72	13444 33221	   	193.57	DCR|2VULN|2AART|1MDPS|1CDMG|1DUR	1AME|26AART|3CDMG|49VULN|5DUR|7DMSP|8RCR|aMDPS
73	65121 32162	 * 	193.56	DCR|2VULN|2DMG|1ASPD|1CDMG|1AAC	1AAC|2ASPD|3CGEN|4aDMG|5MBVNT|69VULN|7CDMG|8RCR
74	16521 23313	   	193.52	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1AME|23VULN|4DMG|56CDMG|7DUST|8AART|9RCR|aDUR
75	16551 23313	   	193.52	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1AME|23VULN|4ASPD|56CDMG|7DUST|8AART|9RCR|aDUR
76	34216 13252	 * 	193.41	ACR|3VULN|3ZMB|1ASPD|1DMG|2DUR	17FEWX|27aVULN|3DMG|4RCR|5ASPD|67aZMB|7aBPWR|8AME|9aDUR
77	13656 11132	   	193.26	DCR|2VULN|2AART|1DMG|2DUR	1AME|27AART|36DUR|4DMG|5aVULN|8RCR|9CGEN
78	34232 43212	   	193.22	DCR|3VULN|1AART|1DMG|2DUR	17FEWX|247VULN|3DMG|5LHND|67DUR|7BPWR|8BELT|9RCR|aAART
79	32554 21223	   	193.08	DCR|3ASPD|1VULN|1AART|1CDMG|1ZMB	15FEWX|2ZMB|3VULN|457ASPD|5BPWR|6CGEN|8CDMG|9AART|aRCR
80	35532 43212	   	192.98	DCR|2VULN|2DMG|1AART|2DUR	17FEWX|27DMG|34VULN|5LHND|67DUR|7BPWR|8BELT|9RCR|aAART
81	13152 11144	 * 	192.95	DCR|2AART|1VULN|1ASPD|1DMG|2DUR	1AME|27AART|3BEXP|4DMG|56DUR|8RCR|9VULN|aASPD
82	16521 15231	   	192.71	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AME|23VULN|4DMG|5CDMG|6DUST|7ZMB|8DUR|9RCR|aASPD
83	34251 43212	 * 	192.66	DCR|2DMG|1VULN|1AART|1ASPD|2DUR	17FEWX|2VULN|37DMG|4ASPD|5CGEN|67DUR|7BPWR|8BELT|9RCR|aAART
