0	Index      	 *	Score 	Summary	Detail	
1	51365 33121	 * 	287.29	橙4易伤3矿等1攻速	149a易伤2攻速39a基地爆炸5双倍秒伤6核79a矿等8赏金邻近9a序列升级
2	11524 23431	 * 	286.37	橙橙1等级1易伤1伤害1暴击	1雷电2暴击3策反4易伤5等级6赏金塔7随机技能89核a伤害
3	11522 23431	 * 	282.87	橙橙1易伤1矿等1伤害1暴击	1雷电2暴击3策反4易伤5矿等6赏金塔7随机技能89核a伤害
4	61336 13612	 * 	282.48	橙2易伤2矿等1等级1技能2随机技能1暴击	1技能2赏金邻近3a易伤4a随机技能5暴击6核7雷电减费8等级9a矿等a序列升级
5	22123 34521	 * 	276.90	橙3矿等3伤害1等级3时间	19a时间29a矿等3双倍秒伤4掉矿5等级6核7赏金塔89a伤害9a序列升级
6	22123 35121	   	276.90	橙3矿等3伤害1等级3时间	19a时间29a矿等3双倍秒伤4掉矿5等级6核79a伤害8赏金邻近9a序列升级
7	32543 12216	 * 	274.60	橙2易伤2矿等1等级1伤害1攻速	1平台25易伤38矿等4攻速6金币生成7核9等级a伤害
8	16112 51316	 * 	272.97	橙橙2易伤1技能1攻速	1雷电2技能39易伤4敌人爆炸5技能点68核7毒液对冰a攻速
9	16122 51316	   	272.97	橙橙2易伤1技能1攻速	1雷电2技能39易伤4低血量敌人5技能点68核7毒液对冰a攻速
10	16232 51316	   	272.97	橙橙2易伤1技能1攻速	1雷电2技能3最后敌人49易伤5技能点68核7毒液对冰a攻速
11	15332 51316	   	272.87	橙橙2易伤1技能1攻速	1雷电2挖青3技能49易伤5技能点68核7毒液对冰a攻速
12	16123 51316	   	272.87	橙橙2易伤1技能1攻速	1雷电2技能39易伤4低血量敌人5掉矿68核7毒液对冰a攻速
13	16233 51316	   	272.87	橙橙2易伤1技能1攻速	1雷电2技能3最后敌人49易伤5掉矿68核7毒液对冰a攻速
14	15333 51316	   	272.77	橙橙2易伤1技能1攻速	1雷电2挖青3技能49易伤5掉矿68核7毒液对冰a攻速
15	32543 12211	   	271.43	橙2易伤2矿等1等级1技能1攻速	1平台25易伤38矿等4攻速6金币生成7核9等级a技能
16	32543 42211	   	271.43	橙2易伤2矿等1等级1技能1攻速	1平台25易伤38矿等4攻速6技能点7核9等级a技能
17	61336 11231	   	271.17	橙橙1易伤1伤害1技能1暴击	1技能2赏金邻近3易伤4随机技能5暴击69核7随机矿8雷电a伤害
18	61336 12231	   	271.17	橙橙1易伤1伤害1技能1暴击	1技能2赏金邻近3易伤4随机技能5暴击69核7金币生成8雷电a伤害
19	61336 16231	   	271.07	橙橙1易伤1伤害1技能1暴击	1技能2赏金邻近3易伤4随机技能5暴击69核7掉矿8雷电a伤害
20	11414 23431	   	271.07	橙橙1易伤1伤害1技能1暴击	1雷电2暴击3掉矿4技能5易伤6赏金塔7随机技能89核a伤害
21	51536 11231	   	270.53	橙橙1易伤1伤害1攻速1暴击	1易伤2攻速3赏金邻近4随机技能5暴击69核7随机矿8雷电a伤害
22	51536 12231	   	270.53	橙橙1易伤1伤害1攻速1暴击	1易伤2攻速3赏金邻近4随机技能5暴击69核7金币生成8雷电a伤害
23	16113 51316	   	270.27	橙橙2易伤1技能1暴击	1雷电2技能39易伤4敌人爆炸5掉矿68核7毒液对冰a暴击
24	21511 35121	 * 	269.33	橙2易伤3伤害3攻速3时间	18a时间268攻速3烈焰减费4立即金币5a易伤78a伤害8a序列升级9核
25	51345 33121	   	268.13	橙3易伤3矿等1攻速	19a易伤2攻速39a基地爆炸4立即金币5双倍秒伤6核79a矿等8赏金邻近9a序列升级
26	11524 23432	   	266.31	橙橙1等级1易伤1暴击	1雷电2暴击3策反4易伤5等级6赏金塔7随机技能89核a随机矿
27	11524 23433	   	266.31	橙橙1等级1易伤1暴击	1雷电2暴击3策反4易伤5等级6赏金塔7随机技能89核a立即金币
28	16112 51311	   	265.03	橙橙2易伤1技能	1雷电2技能39易伤4敌人爆炸5技能点68核7毒液对冰a时间
29	16162 51311	   	265.03	橙橙2易伤1技能	1雷电2技能39易伤4时间5技能点68核7毒液对冰a立即金币
30	16162 51312	   	265.03	橙橙2易伤1技能	1雷电2技能39易伤4时间5技能点68核7毒液对冰a赏金塔
31	16163 51311	   	264.93	橙橙2易伤1技能	1雷电2技能39易伤4时间5掉矿68核7毒液对冰a立即金币
32	16163 51312	   	264.93	橙橙2易伤1技能	1雷电2技能39易伤4时间5掉矿68核7毒液对冰a赏金塔
33	16113 51311	   	264.93	橙橙2易伤1技能	1雷电2技能39易伤4敌人爆炸5掉矿68核7毒液对冰a时间
34	16162 51313	   	264.93	橙橙2易伤1技能1挖怪	1雷电2技能39易伤4时间5技能点68核7毒液对冰a挖怪
35	66332 51311	   	264.93	橙橙2易伤1技能	1技能29易伤3基地爆炸4雷电5技能点68核7毒液对冰a时间
36	16163 51313	   	264.83	橙橙2易伤1技能1挖怪	1雷电2技能39易伤4时间5掉矿68核7毒液对冰a挖怪
37	66333 51311	   	264.83	橙橙2易伤1技能	1技能29易伤3基地爆炸4雷电5掉矿68核7毒液对冰a时间
38	61352 33323	   	264.39	橙4易伤2矿等1技能	1技能2赏金邻近3679易伤4平台59矿等89风暴减费9序列升级a核
39	64532 33121	 * 	263.50	橙4易伤3伤害1技能	1技能28a低血量敌人3a烈焰减费468伤害578a易伤8a序列升级9核
40	22225 32441	   	263.45	橙橙1矿等1伤害1技能1卖塔	1时间2矿等3金币生成4全技能5低血量敌人6卖塔79核8技能a伤害
41	62225 32141	   	263.45	橙橙1矿等1伤害1技能1卖塔	1技能2时间3金币生成4全技能5低血量敌人6卖塔79核8矿等a伤害
42	11522 23432	   	262.81	橙橙1易伤1矿等1暴击	1雷电2暴击3策反4易伤5矿等6赏金塔7随机技能89核a随机矿
43	11522 23433	   	262.81	橙橙1易伤1矿等1暴击	1雷电2暴击3策反4易伤5矿等6赏金塔7随机技能89核a立即金币
44	11522 23436	   	262.81	橙橙1易伤1矿等1暴击	1雷电2暴击3策反4易伤5矿等6赏金塔7随机技能89核a赏金邻近
45	21225 32141	   	262.81	橙橙1矿等1伤害1攻速1卖塔	1时间2攻速3金币生成4全技能5低血量敌人6卖塔79核8矿等a伤害
46	22225 32541	   	262.81	橙橙1矿等1伤害1攻速1卖塔	1时间2矿等3金币生成4全技能5低血量敌人6卖塔79核8攻速a伤害
47	11522 23435	   	262.71	橙橙1易伤1矿等1暴击	1雷电2暴击3策反4易伤5矿等6赏金塔7随机技能89核a掉矿
48	21425 32141	   	262.71	橙橙1矿等1伤害1攻速1卖塔	1时间2攻速3掉矿4全技能5低血量敌人6卖塔79核8矿等a伤害
49	51531 42122	 * 	262.62	橙2易伤2伤害2攻速1矿等2随机技能	19易伤29攻速3赏金邻近46随机技能5敌人爆炸7核89伤害9序列升级a矿等
50	61423 35212	 * 	261.00	紫橙1易伤1等级1矿等1技能	1技能2赏金邻近3随机技能4a核5矿等6额外掉落7风暴减费8易伤9等级
51	32513 14223	 * 	260.87	橙2易伤2矿等2等级	1平台27易伤37矿等4全技能5双倍秒伤67等级7序列升级8赏金塔9低血量敌人a核
52	32513 14433	   	260.87	橙2易伤2矿等2等级	1平台27易伤37矿等4全技能5双倍秒伤67等级7序列升级8低血量敌人9赏金塔a核
53	32513 14213	   	260.77	橙2易伤2矿等2等级	1平台27易伤37矿等4全技能5双倍秒伤67等级7序列升级8赏金塔9挖尘a核
54	54361 12311	 * 	260.63	橙3易伤2矿等1等级	149易伤2金币生成39低血量敌人59矿等68随机矿7核9序列升级a等级
55	21151 25235	   	260.47	橙2矿等1等级1易伤1技能1攻速	1时间2攻速3随机矿4等级56矿等7随机技能8核9技能a易伤
56	66234 23333	 * 	259.18	橙5易伤1等级1技能	1技能24578易伤345金币生成45序列升级6最后敌人9核a等级
57	16113 51351	   	259.01	橙橙1易伤1矿等1技能	1雷电2技能3易伤4a敌人爆炸5掉矿68核7毒液对冰9矿等
58	16113 51353	   	259.01	橙橙1易伤1矿等1技能	1a雷电2技能3易伤4敌人爆炸5掉矿68核7毒液对冰9矿等
59	16123 51351	   	259.01	橙橙1易伤1矿等1技能	1雷电2技能3易伤4低血量敌人5掉矿68核7毒液对冰9矿等a敌人爆炸
