0	Index      	 *	Score 	Summary	Detail	
1	22111 26235	 * 	214.26	4VULN|3DMG|3ASPD|1BASARM	169aVULN|2RMIN|3FEWX|49aDMG|56LWND|69aBPWR|7BASARM|89aASPD
2	23463 11512	 * 	213.93	ACR|2VULN|3BEXP|1AART|1ASPD|1DMG	19VULN|2TLV|39CGEN|4AART|5RCR|6DMG|7ASPD|89aBEXP|9BPWR
3	23363 11512	   	213.73	ACR|2VULN|3BEXP|1AART|1ASPD|1DMG	19VULN|2TLV|39AME|4AART|5RCR|6DMG|7ASPD|89aBEXP|9BPWR
4	23663 11512	   	213.73	ACR|2VULN|3BEXP|1AART|1ASPD|1DMG	19VULN|2TLV|39ERES|4AART|5RCR|6DMG|7ASPD|89aBEXP|9BPWR
5	13323 25321	 * 	211.60	ACR|1BASARM|2AART|2BEXP|1VULN	1LHND|2AEMAG|3aAART|49BEXP|5RCR|6LWND|7VULN|8BASARM
6	33323 55321	   	211.60	ACR|1BASARM|2AART|2BEXP|1VULN	1LWND|2AEMAG|3aAART|49BEXP|5RCR|6LHND|7VULN|8BASARM
7	13323 25325	   	210.80	ACR|1BASARM|2BEXP|1VULN|1AART|1CDMG	1LHND|2AEMAG|3AART|49BEXP|5RCR|6LWND|7VULN|8BASARM|aCDMG
8	33323 55325	   	210.80	ACR|1BASARM|2BEXP|1VULN|1AART|1CDMG	1LWND|2AEMAG|3AART|49BEXP|5RCR|6LHND|7VULN|8BASARM|aCDMG
9	23216 42431	 * 	210.35	3VULN|3ASPD|3DMG|2BEXP|1AART	18aVULN|26TLV|368ASPD|4MDPS|5AART|68aBPWR|78aDMG|9aBEXP
10	22241 26233	 * 	206.83	DCR|3VULN|2BASARM|3ASPD	169VULN|2RMIN|389ASPD|4DUST|56LWND|69BPWR|79BASARM|aRCR
11	22111 36235	   	204.86	3VULN|3DMG|3ASPD|1BASARM	19aVULN|2RMIN|3FEWX|49aDMG|56LWND|7BASARM|89aASPD|9aBPWR
12	13323 65332	   	203.46	ACR|2VULN|2BEXP|1AART|1ASPD|1DMG	1LHND|2AEMAG|3AART|4aBEXP|5RCR|67VULN|8DMG|9ASPD
13	33323 35332	   	203.46	ACR|2VULN|2BEXP|1AART|1ASPD|1DMG	1LWND|2AEMAG|3AART|4aBEXP|5RCR|67VULN|8DMG|9ASPD
14	23463 11431	 * 	203.36	ACR|1VULN|1AART|1ASPD|1DMG|1BASICY|1CDMG|1AAC	1VULN|2TLV|3CGEN|4AART|5RCR|6DMG|7ASPD|8CDMG|9AAC|aBASICY
15	23363 11431	   	203.26	ACR|1VULN|1AART|1ASPD|1DMG|1BASICY|1CDMG|1AAC	1VULN|2TLV|3AME|4AART|5RCR|6DMG|7ASPD|8CDMG|9AAC|aBASICY
16	23663 11431	   	203.26	ACR|1VULN|1AART|1ASPD|1DMG|1BASICY|1CDMG|1AAC	1VULN|2TLV|3ERES|4AART|5RCR|6DMG|7ASPD|8CDMG|9AAC|aBASICY
17	23463 11511	   	202.66	ACR|2VULN|2BEXP|1AART|1ASPD|1DMG	19VULN|2TLV|39CGEN|4AART|5RCR|6DMG|7ASPD|89BEXP|9BPWR|aZMB
18	23463 11513	   	202.56	ACR|2VULN|2BEXP|1AART|1ASPD|1DMG	19VULN|2TLV|39CGEN|4AART|5RCR|6DMG|7ASPD|89BEXP|9BPWR|aERES
19	23363 11511	   	202.46	ACR|2VULN|2BEXP|1AART|1ASPD|1DMG	19VULN|2TLV|39AME|4AART|5RCR|6DMG|7ASPD|89BEXP|9BPWR|aZMB
20	23363 11515	   	202.46	ACR|2VULN|2BEXP|1AART|1ASPD|1DMG	19VULN|2TLV|39AME|4AART|5RCR|6DMG|7ASPD|89BEXP|9BPWR|aRMIN
21	23663 11511	   	202.46	ACR|2VULN|2BEXP|1AART|1ASPD|1DMG	19VULN|2TLV|39ERES|4AART|5RCR|6DMG|7ASPD|89BEXP|9BPWR|aZMB
22	33463 35332	   	202.46	ACR|2VULN|2BEXP|1AART|1ASPD|1DMG	1LWND|2AEMAG|36VULN|4AART|5RCR|7aBEXP|8DMG|9ASPD
23	23363 11513	   	202.36	ACR|2VULN|2BEXP|1AART|1ASPD|1DMG	19VULN|2TLV|39AME|4AART|5RCR|6DMG|7ASPD|89BEXP|9BPWR|aERES
24	23363 11514	   	202.36	ACR|2VULN|2BEXP|1AART|1ASPD|1DMG	19VULN|2TLV|39AME|4AART|5RCR|6DMG|7ASPD|89BEXP|9BPWR|aDUST
25	23363 65332	   	202.36	ACR|2VULN|2BEXP|1AART|1ASPD|1DMG	16VULN|2TLV|3AME|4AART|5RCR|7aBEXP|8DMG|9ASPD
26	23663 11513	   	202.36	ACR|2VULN|2BEXP|1AART|1ASPD|1DMG	19VULN|2TLV|39aERES|4AART|5RCR|6DMG|7ASPD|89BEXP|9BPWR
27	23363 11542	   	200.00	ACR|3BEXP|1VULN|1AART|1ASPD|1DMG	1VULN|2TLV|3AME|4AART|5RCR|6DMG|7ASPD|89aBEXP
28	23363 16512	   	199.97	ACR|2VULN|3BEXP|1AART|1DMG|1AAC	19VULN|29TLV|3AME|4AART|5RCR|6DMG|7AAC|89aBEXP|9BPWR
29	22241 36233	   	197.73	DCR|2BASARM|3ASPD|2VULN	19VULN|2RMIN|389ASPD|4DUST|56LWND|79BASARM|9BPWR|aRCR
30	22241 56233	   	197.63	DCR|2BASARM|3ASPD|2VULN	19VULN|2RMIN|389ASPD|46DUST|5LWND|79BASARM|9BPWR|aRCR
31	13323 25316	   	196.76	ACR|1BASARM|2AART|1VULN|1BEXP	1LHND|2AEMAG|3aAART|4BEXP|5RCR|6LWND|7VULN|8BASARM|9DUR
32	33323 55316	   	196.76	ACR|1BASARM|2AART|1VULN|1BEXP	1LWND|2AEMAG|3aAART|4BEXP|5RCR|6LHND|7VULN|8BASARM|9DUR
33	13323 25322	   	196.15	ACR|1BASARM|2BEXP|1VULN|1AART	1LHND|2AEMAG|3AART|49BEXP|5RCR|6LWND|7VULN|8BASARM|aDMSP
34	13323 25323	   	196.15	ACR|1BASARM|2BEXP|1VULN|1AART	1LHND|2AEMAG|3AART|49BEXP|5RCR|6LWND|7VULN|8BASARM|aRMIN
35	13323 25324	   	196.15	ACR|1BASARM|2BEXP|1VULN|1AART	1LHND|2AEMAG|3AART|49BEXP|5RCR|6LWND|7VULN|8BASARM|aDUR
36	33323 55322	   	196.15	ACR|1BASARM|2BEXP|1VULN|1AART	1LWND|2AEMAG|3AART|49BEXP|5RCR|6LHND|7VULN|8BASARM|aDMSP
37	33323 55323	   	196.15	ACR|1BASARM|2BEXP|1VULN|1AART	1LWND|2AEMAG|3AART|49BEXP|5RCR|6LHND|7VULN|8BASARM|aRMIN
38	33323 55324	   	196.15	ACR|1BASARM|2BEXP|1VULN|1AART	1LWND|2AEMAG|3AART|49BEXP|5RCR|6LHND|7VULN|8BASARM|aDUR
39	13323 25326	   	196.05	ACR|1BASARM|2BEXP|1VULN|1AART	1LHND|2AEMAG|3AART|49BEXP|5RCR|6LWND|7VULN|8BASARM|aLEGI
40	33323 55326	   	196.05	ACR|1BASARM|2BEXP|1VULN|1AART	1LWND|2AEMAG|3AART|49BEXP|5RCR|6LHND|7VULN|8BASARM|aLEGI
41	33463 32224	 * 	195.87	ACR|2VULN|2ASPD|1AART|1DMG	1aLWND|2aAEMAG|36VULN|4AART|5RCR|7RCVC|8DMG|9aASPD|aBPWR
42	23463 11331	 * 	195.58	ACR|3DMG|1VULN|1AART|1ASPD	1VULN|2TLV|3CGEN|4AART|5RCR|68aDMG|7ASPD|9LIT
43	33423 36215	 * 	195.29	ACR|1BASARM|2VULN|2ASPD	16aLWND|2AEMAG|3aVULN|49DUST|5RCR|7BASARM|8aASPD|aBPWR
44	23463 11421	   	195.06	ACR|1VULN|1AART|1ASPD|1DMG|1BASICY|1CDMG	1VULN|2TLV|3CGEN|4AART|5RCR|6DMG|7ASPD|8CDMG|9RMIN|aBASICY
45	23363 11421	   	194.96	ACR|1VULN|1AART|1ASPD|1DMG|1BASICY|1CDMG	1VULN|2TLV|3AME|4AART|5RCR|6DMG|7ASPD|8CDMG|9RMIN|aBASICY
46	23663 11421	   	194.96	ACR|1VULN|1AART|1ASPD|1DMG|1BASICY|1CDMG	1VULN|2TLV|3ERES|4AART|5RCR|6DMG|7ASPD|8CDMG|9RMIN|aBASICY
47	13463 16332	 * 	194.66	ACR|2DMG|1VULN|2BEXP|1AART|1AAC	1LHND|2AEMAG|3VULN|4AART|5RCR|68DMG|7AAC|9aBEXP
48	23463 16332	   	194.66	ACR|2DMG|1VULN|2BEXP|1AART|1AAC	1VULN|2TLV|3CGEN|4AART|5RCR|68DMG|7AAC|9aBEXP
49	33463 16332	   	194.66	ACR|2DMG|1VULN|2BEXP|1AART|1AAC	1LWND|2AEMAG|3VULN|4AART|5RCR|68DMG|7AAC|9aBEXP
50	23363 16332	   	194.56	ACR|2DMG|1VULN|2BEXP|1AART|1AAC	1VULN|2TLV|3AME|4AART|5RCR|68DMG|7AAC|9aBEXP
51	23663 16332	   	194.56	ACR|2DMG|1VULN|2BEXP|1AART|1AAC	1VULN|2TLV|3ERES|4AART|5RCR|68DMG|7AAC|9aBEXP
52	32111 26231	 * 	193.61	DCR|1BASARM|2ASPD|2DMG|1VULN	159LWND|2RMIN|3FEWX|49DMG|6VULN|7BASARM|89ASPD|9BPWR|aRCR
53	23463 11341	   	193.58	ACR|2DMG|1VULN|1AART|1ASPD|1CDMG	1VULN|2TLV|3CGEN|4AART|5RCR|68DMG|7ASPD|9RPLT|aCDMG
54	13323 25315	 * 	192.94	ACR|1BASARM|2VULN|1AART|1BEXP	1LHND|2AEMAG|3AART|4BEXP|5RCR|6LWND|7aVULN|8BASARM|9DUR
55	13323 25353	   	192.94	ACR|1BASARM|2VULN|1AART|1BEXP	1LHND|2AEMAG|3AART|4BEXP|5RCR|6LWND|7aVULN|8BASARM|9ZMB
56	13323 25363	   	192.94	ACR|1BASARM|2VULN|1AART|1BEXP	1LHND|2AEMAG|3AART|4BEXP|5RCR|6LWND|7aVULN|8BASARM|9CGEN
57	33323 55315	   	192.94	ACR|1BASARM|2VULN|1AART|1BEXP	1LWND|2AEMAG|3AART|4BEXP|5RCR|6LHND|7aVULN|8BASARM|9DUR
58	33323 55353	   	192.94	ACR|1BASARM|2VULN|1AART|1BEXP	1LWND|2AEMAG|3AART|4BEXP|5RCR|6LHND|7aVULN|8BASARM|9ZMB
59	33323 55363	   	192.94	ACR|1BASARM|2VULN|1AART|1BEXP	1LWND|2AEMAG|3AART|4BEXP|5RCR|6LHND|7aVULN|8BASARM|9CGEN
60	13323 65315	   	192.66	ACR|2VULN|3BEXP|1AART|1DMG	1LHND|2AEMAG|3AART|49aBEXP|5RCR|67VULN|8DMG
61	33323 35315	   	192.66	ACR|2VULN|3BEXP|1AART|1DMG	1LWND|2AEMAG|3AART|49aBEXP|5RCR|67VULN|8DMG
62	13463 11212	   	192.58	ACR|2DMG|1VULN|1AART|1ASPD|1BEXP	1LHND|2AEMAG|3VULN|4AART|5RCR|6aDMG|7ASPD|8CGEN|9BEXP
63	13463 11522	   	192.58	ACR|2DMG|1VULN|1AART|1ASPD|1BEXP	1LHND|2AEMAG|3VULN|4AART|5RCR|6aDMG|7ASPD|8BEXP|9MLV
