0	Index      	 *	Score 	Summary	Detail	
1	11232 11553	 * 	229.72	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP|1AAC	15VULN|2RPLT|3RCR|45SNIFST|5BPWR|6ASPD|7BEXP|8AAC|9DMG|aBASARM
2	11231 16431	 * 	225.66	ACR|2VULN|1BASARM|3BEXP|1DMG	17VULN|2RPLT|3RCR|4SNIFST|57DUR|67aBEXP|7BPWR|8DMG|9BASARM
3	11233 16431	   	225.66	ACR|2VULN|1BASARM|3BEXP|1DMG	17VULN|2RPLT|3RCR|4SNIFST|57LHND|67aBEXP|7BPWR|8DMG|9BASARM
4	11231 16353	 * 	221.40	ACR|3VULN|1BASARM|2BEXP|1DMG	178VULN|2RPLT|3RCR|4SNIFST|57DUR|67BEXP|7BPWR|9DMG|aBASARM
5	11231 16463	   	221.40	ACR|3VULN|1BASARM|2BEXP|1DMG	179VULN|2RPLT|3RCR|4SNIFST|57DUR|67BEXP|7BPWR|8DMG|aBASARM
6	11233 16353	   	221.40	ACR|3VULN|1BASARM|2BEXP|1DMG	178VULN|2RPLT|3RCR|4SNIFST|57LHND|67BEXP|7BPWR|9DMG|aBASARM
7	11233 16463	   	221.40	ACR|3VULN|1BASARM|2BEXP|1DMG	179VULN|2RPLT|3RCR|4SNIFST|57LHND|67BEXP|7BPWR|8DMG|aBASARM
8	11232 11643	   	221.32	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP	15VULN|2RPLT|3RCR|45SNIFST|5BPWR|6ASPD|7BEXP|8DMG|9MDPS|aBASARM
9	11224 33161	 * 	221.21	ACR|1BASARM|1VULN|2BEXP|1DMG|1AART	1VULN|2RPLT|3RCR|4ERES|58BEXP|6BELT|7BASARM|9AART|aDMG
10	11261 21321	 * 	221.04	ACR|2VULN|1BASARM|2ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|6CGEN|78ASPD|9BASARM|aDMSP
11	11261 21322	   	221.04	ACR|2VULN|1BASARM|2ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|6aCGEN|78ASPD|9BASARM
12	11261 21324	   	221.04	ACR|2VULN|1BASARM|2ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|6CGEN|78ASPD|9BASARM|aMLV
13	11261 21326	   	221.04	ACR|2VULN|1BASARM|2ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|6CGEN|78ASPD|9BASARM|aBELT
14	11256 11321	   	220.94	ACR|2VULN|1BASARM|2ASPD|1CDMG	14VULN|2RPLT|3RCR|5AME|6CDMG|78ASPD|9BASARM|aDMSP
15	11256 11322	   	220.94	ACR|2VULN|1BASARM|2ASPD|1CDMG	14VULN|2RPLT|3RCR|5AME|6CDMG|78ASPD|9BASARM|aCGEN
16	11256 11324	   	220.94	ACR|2VULN|1BASARM|2ASPD|1CDMG	14VULN|2RPLT|3RCR|5AME|6CDMG|78ASPD|9BASARM|aMLV
17	11256 11326	   	220.94	ACR|2VULN|1BASARM|2ASPD|1CDMG	14VULN|2RPLT|3RCR|5AME|6CDMG|78ASPD|9BASARM|aBELT
18	11261 21323	   	220.94	ACR|2VULN|1BASARM|2ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|6CGEN|78ASPD|9BASARM|aDUST
19	11261 21325	   	220.94	ACR|2VULN|1BASARM|2ASPD|1CDMG	15VULN|2RPLT|3RCR|4CDMG|6CGEN|78ASPD|9BASARM|aERES
