0	Index      	 *	Score 	Summary	Detail	
1	21333 36724	 * 	231.61	ACR|1BASARM|3BEXP|2ASPD|1DMG	156BEXP|2MBVNT|3MDPS|4RCR|79ASPD|8BASARM|aDMG
2	21333 36722	 * 	227.20	ACR|3ASPD|1BASARM|3BEXP	156BEXP|2MBVNT|3MDPS|4RCR|79aASPD|8BASARM
3	21333 36743	 * 	226.23	ACR|2BASARM|3BEXP|2ASPD	156BEXP|2MBVNT|3MDPS|4RCR|7aASPD|8aBASARM|9RMIN|aBPWR
4	21334 21128	 * 	214.61	ACR|3BEXP|2ASPD|2DMG|1AART	179BEXP|2MBVNT|3MDPS|4RCR|5LWND|69ASPD|89DMG|9BPWR|aAART
5	21333 36737	   	214.02	ACR|1BASARM|3BEXP|1ASPD|1DMG	156BEXP|2MBVNT|3MDPS|4RCR|7ASPD|8BASARM|9DUR|aDMG
6	21333 36783	   	214.02	ACR|1BASARM|3BEXP|1ASPD|1DMG	156BEXP|2MBVNT|3MDPS|4RCR|7ASPD|8BASARM|9LIT|aDMG
7	21333 36774	 * 	213.92	ACR|1BASARM|3BEXP|2VULN|1ASPD	156BEXP|2MBVNT|3MDPS|4RCR|7ASPD|8BASARM|9aVULN
8	21333 36721	   	211.55	ACR|1BASARM|3BEXP|2ASPD	156BEXP|2MBVNT|3MDPS|4RCR|79ASPD|8BASARM|aFEWX
9	21333 36728	   	211.55	ACR|1BASARM|3BEXP|2ASPD	156BEXP|2MBVNT|3MDPS|4RCR|79ASPD|8BASARM|aCGEN
10	21333 36723	   	211.45	ACR|1BASARM|3BEXP|2ASPD	156BEXP|2MBVNT|3MDPS|4RCR|79ASPD|8BASARM|aERES
11	21333 36725	   	211.45	ACR|1BASARM|3BEXP|2ASPD	156BEXP|2MBVNT|3MDPS|4RCR|79ASPD|8BASARM|aDUST
12	21333 36727	   	211.30	ACR|1BASARM|3BEXP|2ASPD|1SELL	156BEXP|2MBVNT|3MDPS|4RCR|79ASPD|8BASARM|aSELL
13	13653 11315	   	209.65	ACR|1BASARM|3BEXP|1ASPD|1CDMG	1ERES|289BEXP|3LIT|4VULN|5RCR|6ASPD|7CDMG|aBASARM
14	21333 42121	   	207.90	ACR|3BEXP|2ASPD|2DMG	159BEXP|2MBVNT|3MDPS|4RCR|6DUR|79DMG|89ASPD|9BPWR|aVULN
15	21334 21121	   	207.90	ACR|3BEXP|2ASPD|2DMG	179BEXP|2MBVNT|3MDPS|4RCR|5LWND|69ASPD|89DMG|9BPWR|aVULN
16	21333 36732	   	207.61	ACR|1BASARM|3BEXP|1ASPD|1AART	156BEXP|2MBVNT|3MDPS|4RCR|7ASPD|8BASARM|9DUR|aAART
17	21333 36747	   	207.61	ACR|1BASARM|3BEXP|1ASPD|1CDMG	156BEXP|2MBVNT|3MDPS|4RCR|7ASPD|8BASARM|9RMIN|aCDMG
18	21333 36781	   	207.61	ACR|1BASARM|3BEXP|1ASPD|1AART	156BEXP|2MBVNT|3MDPS|4RCR|7ASPD|8BASARM|9LIT|aAART
19	22231 51132	   	202.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	19BEXP|2LWND|3CGEN|4RCR|5ASPD|6AEFBLL|7LHND|8BASARM|aDMG
20	22531 51132	   	202.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	19BEXP|2LWND|3ERES|4RCR|5ASPD|6AEFBLL|7LHND|8BASARM|aDMG
21	22631 41132	   	202.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	19BEXP|2LWND|36TLV|4RCR|5ASPD|7LHND|8BASARM|aDMG
22	26631 62122	   	202.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	19BEXP|27AME|3FEWX|4RCR|5ASPD|6DUR|8BASARM|aDMG
23	26131 62122	   	202.66	ACR|1BASARM|2BEXP|1ASPD|1DMG	19BEXP|27AME|3DUST|4RCR|5ASPD|6DUR|8BASARM|aDMG
