0	Index      	 *	Score 	Summary	Detail	
1	31123 35324	 * 	235.12	ACR|3VULN|3DMG|3BEXP|1AART	19aBEXP|2LWND|39aDMG|4CGEN|5RCR|6ERES|79aVULN|8AART|9aBPWR
2	31132 12216	 * 	229.10	ACR|1BASARM|2DMG|2BEXP|1ASPD|1CDMG	14BEXP|2LWND|3aDMG|5RCR|6DUST|7CDMG|8ASPD|9BASARM
3	32132 12216	   	229.10	ACR|1BASARM|2DMG|2BEXP|1ASPD|1CDMG	14BEXP|2DUR|3aDMG|5RCR|6DUST|7CDMG|8ASPD|9BASARM
4	46323 13431	 * 	218.04	ACR|1BASARM|2ASPD|1VULN|1DMG|1AART	1VULN|27ASPD|39DUST|4RMIN|5RCR|6DMG|8AART|aBASARM
5	46333 13431	   	218.04	ACR|1BASARM|2ASPD|1VULN|1DMG|1AART	1VULN|27ASPD|39DUST|4ZMB|5RCR|6DMG|8AART|aBASARM
6	46323 13512	 * 	215.45	ACR|2VULN|1BASARM|2ASPD|1DMG	18VULN|27ASPD|3DUST|4RMIN|5RCR|6DMG|9VENTOX|aBASARM
7	46333 13512	   	215.45	ACR|2VULN|1BASARM|2ASPD|1DMG	18VULN|27ASPD|3DUST|4ZMB|5RCR|6DMG|9VENTOX|aBASARM
8	32362 25621	 * 	215.44	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP	1BEXP|2DUR|3SNITOX|4RCR|56DMG|7VULN|8AART|9CGEN|aBASARM
9	32362 25611	   	215.34	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP	1BEXP|2DUR|3SNITOX|4RCR|56DMG|7VULN|8AART|9TLV|aBASARM
10	32362 25631	   	215.34	ACR|1BASARM|2DMG|1VULN|1BEXP|1AART	1BEXP|2DUR|3SNITOX|4RCR|56DMG|7VULN|8AART|9ERES|aBASARM
11	31365 53321	   	214.12	ACR|2VULN|1BASARM|1ASPD|1DMG|1BEXP	1BEXP|2LWND|3SNITOX|4RCR|56VULN|7ASPD|8DUR|9BASARM|aDMG
12	36536 32332	 * 	211.61	ACR|3ASPD|3BEXP|2DMG	16aBEXP|24aASPD|38TLV|5RCR|7CGEN|9aDMG|aBPWR
13	31132 42416	   	211.61	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	14BEXP|2LWND|3DMG|5RCR|6FEWX|7CDMG|8RMIN|9BASARM|aASPD
14	32132 42416	   	211.61	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	14BEXP|2DUR|3DMG|5RCR|6FEWX|7CDMG|8RMIN|9BASARM|aASPD
15	32232 42416	   	211.61	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	13BEXP|2DUR|4ASPD|5RCR|6FEWX|7CDMG|8RMIN|9BASARM|aDMG
16	31132 12211	   	211.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	14BEXP|2LWND|3DMG|5RCR|6DUST|7CDMG|8ASPD|9BASARM|aDUR
17	31132 12212	   	211.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	14BEXP|2LWND|3DMG|5RCR|6DUST|7CDMG|8ASPD|9BASARM|aFEWX
18	31132 12215	   	211.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	14BEXP|2LWND|3DMG|5RCR|6DUST|7CDMG|8ASPD|9BASARM|aCGEN
19	31132 12416	   	211.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	14BEXP|2LWND|3DMG|5RCR|6DUST|7CDMG|8RMIN|9BASARM|aASPD
20	31252 12416	   	211.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	13BEXP|2LWND|4ASPD|5RCR|6DUST|7CDMG|8RMIN|9BASARM|aDMG
21	32132 12211	   	211.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	14BEXP|2aDUR|3DMG|5RCR|6DUST|7CDMG|8ASPD|9BASARM
22	32132 12213	   	211.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	14BEXP|2DUR|3DMG|5RCR|6DUST|7CDMG|8ASPD|9BASARM|aFEWX
23	32132 12215	   	211.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	14BEXP|2DUR|3DMG|5RCR|6DUST|7CDMG|8ASPD|9BASARM|aCGEN
24	32132 12416	   	211.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	14BEXP|2DUR|3DMG|5RCR|6DUST|7CDMG|8RMIN|9BASARM|aASPD
25	32232 12416	   	211.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	13BEXP|2DUR|4ASPD|5RCR|6DUST|7CDMG|8RMIN|9BASARM|aDMG
26	36132 12416	   	211.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	14BEXP|2ASPD|3DUR|5RCR|6DUST|7CDMG|8RMIN|9BASARM|aDMG
27	36312 62426	   	211.43	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP|1CDMG	1BEXP|2ASPD|34DUST|5RCR|6MBVNT|7CDMG|8BASARM|9VULN|aDMG
28	32132 12212	   	211.41	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	14BEXP|2DUR|3DMG|5RCR|6DUST|7CDMG|8ASPD|9BASARM|aAME
29	31263 12266	 * 	210.67	ACR|3DMG|3BEXP|1VULN|1ASPD	137BEXP|28LWND|478DUR|5RCR|678DMG|78BPWR|9VULN|aASPD
30	22332 62266	 * 	210.67	ACR|3ASPD|3BEXP|1VULN|1DMG	127DUR|38LHND|478ASPD|5RCR|678BEXP|78BPWR|9VULN|aDMG
31	31132 22266	   	210.67	ACR|3DMG|3BEXP|1VULN|1ASPD	147BEXP|28LWND|378DMG|5RCR|678DUR|78BPWR|9VULN|aASPD
32	31252 22266	   	210.67	ACR|3ASPD|3BEXP|1VULN|1DMG	137BEXP|28LWND|478ASPD|5RCR|678DUR|78BPWR|9VULN|aDMG
33	32365 52121	   	210.09	ACR|2VULN|1BASARM|1ASPD|1AART|1BEXP	1BEXP|2DUR|3SNITOX|4RCR|56VULN|7AART|8ASPD|9CGEN|aBASARM
34	32365 52111	   	209.99	ACR|2VULN|1BASARM|1ASPD|1AART|1BEXP	1BEXP|2DUR|3SNITOX|4RCR|56VULN|7AART|8ASPD|9TLV|aBASARM
