0	Index      	 *	Score 	Summary	Detail	
1	13133 23663	 * 	326.15	橙橙2易伤2矿等1等级2时间	1a时间2a易伤3喷火对愈4赏金邻近5等级67核8a矿等9赏金塔a序列升级
2	13133 23546	 * 	310.74	橙橙2等级1易伤1矿等	1时间2易伤3喷火对愈4赏金邻近59等级67核8低血量敌人a矿等
3	13133 23346	   	310.64	橙橙2等级1易伤1矿等	1时间2易伤3喷火对愈4赏金邻近59等级67核8挖青a矿等
4	13133 23563	 * 	310.42	橙橙2雷电1等级1易伤	1时间2易伤3喷火对愈4赏金邻近5等级67核8低血量敌人9a雷电
5	13133 23363	   	310.32	橙橙2雷电1等级1易伤	1时间2易伤3喷火对愈4赏金邻近5等级67核8挖青9a雷电
6	41213 23624	   	309.49	橙橙2等级1易伤1矿等	1机枪对轻2基地爆炸3赏金邻近4易伤5a等级67核8矿等9全技能
7	13133 23656	 * 	305.48	橙橙1等级1雷电1易伤1矿等	1时间2易伤3喷火对愈4赏金邻近5等级67核8矿等9立即金币a雷电
8	22236 43231	   	304.70	橙橙2等级1矿等1攻速1暴击	1策反2时间34等级5攻速69核7全技能8暴击a矿等
9	13133 23125	   	303.76	橙橙1等级1雷电1易伤1暴击	1时间2易伤3喷火对愈4赏金邻近5等级67核8暴击9策反a雷电
10	13133 23216	   	303.76	橙橙1等级1雷电1易伤1暴击	1时间2易伤3喷火对愈4赏金邻近5等级67核8立即金币9暴击a雷电
11	13133 23566	   	303.76	橙橙1等级1雷电1易伤1攻速	1时间2易伤3喷火对愈4赏金邻近5等级67核8低血量敌人9雷电a攻速
12	13133 23135	   	303.66	橙橙1等级1雷电1易伤1暴击	1时间2易伤3喷火对愈4赏金邻近5等级67核8暴击9掉矿a雷电
13	13133 23145	   	303.66	橙橙1等级1雷电1易伤1暴击	1时间2易伤3喷火对愈4赏金邻近5等级67核8暴击9技能点a雷电
14	13133 23366	   	303.66	橙橙1等级1雷电1易伤1攻速	1时间2易伤3喷火对愈4赏金邻近5等级67核8挖青9雷电a攻速
15	41213 23346	   	301.08	橙橙2等级1易伤1矿等	1机枪对轻2基地爆炸3赏金邻近4易伤59等级67核8挖青a矿等
16	41213 23563	   	300.86	橙橙2雷电1等级1易伤	1机枪对轻2基地爆炸3赏金邻近4易伤5等级67核8低血量敌人9a雷电
17	41213 23363	   	300.76	橙橙2雷电1等级1易伤	1机枪对轻2基地爆炸3赏金邻近4易伤5等级67核8挖青9a雷电
18	13133 23625	   	299.49	橙橙2易伤1等级1矿等	1时间2a易伤3喷火对愈4赏金邻近5等级67核8矿等9电塔对黄
19	13133 23562	   	298.41	橙橙1等级1雷电1易伤	1时间2易伤3喷火对愈4赏金邻近5等级67核8低血量敌人9雷电a平台
20	41213 23626	   	298.33	橙橙2易伤1等级1矿等	1机枪对轻2基地爆炸3赏金邻近4a易伤5等级67核8矿等9全技能
21	13133 23362	   	298.31	橙橙1等级1雷电1易伤	1时间2易伤3喷火对愈4赏金邻近5等级67核8挖青9雷电a平台
22	13133 23246	   	297.88	橙橙1等级1雷电1易伤2时间	19时间2易伤3喷火对愈4赏金邻近5等级67核8立即金币a雷电
23	13133 23463	   	297.55	橙橙2易伤1等级2时间	1a时间2a易伤3喷火对愈4赏金邻近5等级67核8a掉矿9赏金塔a序列升级
