0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16332 13415	9	 * 	303.04	DCR|5VULN|2DMG|1DUR|1CDMG	12356VULN|36BPWR|46DMG|7LIT|8CDMG|9DUR|aRCR
2	32256 43743	10	 * 	295.15	DCR|3VULN|3DMG|2DUR|1TLV	15aDMG|25aVULN|3AART|4MBVNT|5aBPWR|6LWND|7TLV|8RCR|9aDUR
3	16335 12253	7	 * 	291.65	ACR|5VULN|3DUR|2DMG|2LIT	1236aVULN|36aBPWR|46DMG|5RCR|7aLIT|89aDUR
4	32256 24246	7	   	290.64	DCR|5VULN|2DMG|1DUR	15DMG|2589aVULN|3AART|4MBVNT|5BPWR|6RCR|7DUR
5	22261 61163	10	 * 	290.35	DCR|5VULN|3DMG	1aCGEN|2589aVULN|3AART|45aDMG|5aBPWR|6RCR|7RMIN
6	32211 52135	10	   	290.25	DCR|5VULN|3DMG	159DMG|25679VULN|3AART|4RMIN|59BPWR|8BELT|aRCR
7	32211 65163	10	   	290.15	DCR|5VULN|3DMG	15aDMG|2589aVULN|3AART|4RMIN|5aBPWR|6RCR|7aERES
8	16333 11613	9	 * 	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	1238VULN|36BPWR|46DMG|56DUR|7MLV|9CDMG|aRCR
9	16333 13613	9	   	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	1238VULN|36BPWR|46DMG|56DUR|7RMIN|9CDMG|aRCR
10	32112 11355	2	   	289.70	DCR|3VULN|2DMG|2DUR|2CDMG|1TLV	1aDMG|25aVULN|3BBNT|45CDMG|5aBPWR|6TBNT|7TLV|8aDUR|9RCR
11	32612 11355	2	   	289.70	DCR|3VULN|2DMG|2DUR|2CDMG|1TLV	1aDMG|25aVULN|3TBNT|45CDMG|5aBPWR|6BBNT|7TLV|8aDUR|9RCR
12	16333 12421	6	 * 	289.55	DCR|4VULN|3DUR|2DMG	1238VULN|368BPWR|46DMG|568DUR|789FEWX|aRCR
13	33116 43262	2	 * 	289.52	DCR|3VULN|3DMG|2ASPD|1DUR|1CDMG	179DMG|2DUR|378VULN|4LWND|5CDMG|67ASPD|7BPWR|aRCR
14	16332 11341	6	   	289.48	DCR|5VULN|2DMG|1CDMG|1ASPD	12356VULN|36BPWR|46DMG|7RMIN|8RCR|9ASPD|aCDMG
15	16332 14341	7	   	289.48	DCR|5VULN|2DMG|1CDMG|1ASPD	12356VULN|36BPWR|46DMG|7MLV|8RCR|9ASPD|aCDMG
16	32633 41334	9	   	289.35	DCR|4VULN|3DUR|2DMG	1aDMG|257aVULN|3LEGI|49aDUR|6RCR|8RCVC|aBPWR
17	32312 55624	8	   	289.20	DCR|3VULN|3DMG|2DUR|2TLV	145DMG|24aVULN|3RMIN|4aBPWR|6RCR|7aTLV|8aDUR|9MBVNT
18	32312 55624	7	   	289.20	DCR|3VULN|3DMG|2DUR|2TLV	145DMG|24aVULN|3RMIN|4aBPWR|6RCR|7aTLV|8aDUR|9MBVNT
19	16332 13615	9	   	289.14	DCR|5VULN|2DMG|1DUR|1SELL	12356VULN|36BPWR|46DMG|7LIT|8SELL|9DUR|aRCR
20	16333 12116	10	   	288.45	DCR|3VULN|3DMG|2DUR|1ASPD	123VULN|36BPWR|469DMG|56DUR|7LIT|8ASPD|aRCR
21	16326 25333	10	 * 	287.74	DCR|5VULN|2DUR|2TLV	1235aVULN|3aBPWR|4RCVC|6AART|7aDUR|8aTLV|9RCR
22	16335 12143	9	 * 	287.66	ACR|5VULN|3DMG|2TLV|1ASPD	1236aVULN|36aBPWR|46aDMG|5RCR|7LIT|8ASPD|9aTLV
23	32256 24247	7	   	287.35	DCR|4VULN|2DMG|1TLV|1DUR	15DMG|2589VULN|3AART|4MBVNT|5BPWR|6RCR|7DUR|aTLV
24	16332 13425	8	   	286.79	DCR|5VULN|2DMG|1CDMG	12356VULN|36BPWR|46DMG|7LIT|8CDMG|9LWND|aRCR
25	32256 24243	7	   	286.76	DCR|4VULN|3DMG|1DUR	15aDMG|2589VULN|3AART|4MBVNT|5BPWR|6RCR|7DUR
26	32256 24543	8	   	286.76	DCR|4VULN|3DMG|1DUR	15aDMG|2589VULN|3AART|4MBVNT|5BPWR|6RCR|7DUR
27	32312 51641	8	   	285.50	DCR|4VULN|3DMG|1TLV	145DMG|2489VULN|3RMIN|4BPWR|6RCR|7LIT|aTLV
28	32312 51651	9	   	285.50	DCR|4VULN|3DMG|1TLV	145DMG|2489VULN|3RMIN|4BPWR|6RCR|7LIT|aTLV
29	32211 52535	10	   	285.49	DCR|5VULN|2DMG|1ASPD	15DMG|25678VULN|3AART|4RMIN|5BPWR|9RCR|aASPD
30	16335 12116	10	 * 	284.46	ACR|5VULN|3DMG|2ASPD|2LIT	1236aVULN|36aBPWR|469DMG|5RCR|7aLIT|8aASPD
31	16333 14413	8	   	284.45	DCR|3VULN|2DMG|2DUR|2CDMG|1ASPD	123VULN|36BPWR|46DMG|56DUR|79CDMG|8ASPD|aRCR
32	32256 24611	10	   	284.28	DCR|3VULN|3DMG|2CDMG|1DUR	15aDMG|25aVULN|3AART|4MBVNT|5aBPWR|6RCR|7DUR|8ZMB|9aCDMG
33	52312 13653	6	 * 	284.19	DCR|3VULN|3DMG|3ASPD|2LIT	14aASPD|246VULN|3RMIN|46aBPWR|56aDMG|7RPLT|8aLIT|9RCR
34	52312 12342	8	   	284.17	DCR|3VULN|3DMG|2ASPD|1DUR	14ASPD|246VULN|3RMIN|46BPWR|568DMG|7LIT|9RCR|aDUR
35	16334 36333	8	   	283.09	DCR|4VULN|2DUR|1DMG|1CDMG|1ASPD	1237VULN|3BPWR|4DMG|5CDMG|6ASPD|89DUR|aRCR
36	13252 26363	8	 * 	282.47	DCR|3VULN|3DMG|3CDMG	18aVULN|2ERES|3AART|48aCDMG|5BEXP|6LIT|78aDMG|8aBPWR|9RCR
37	52312 12631	10	 * 	281.46	DCR|4VULN|2DMG|2ASPD|2LIT	14ASPD|2468VULN|3RMIN|46BPWR|56DMG|79LIT|aRCR
38	16332 11364	6	   	281.08	DCR|5VULN|2DMG|1DUR	12356VULN|36BPWR|46DMG|7RMIN|8RCR|9BELT|aDUR
39	11512 11582	6	   	280.98	DCR|5VULN|2DMG|1DUR	1467aVULN|2MBVNT|3RCVC|46BPWR|56DMG|8DUR|9RCR
40	11512 14582	7	   	280.98	DCR|5VULN|2DMG|1DUR	1467aVULN|2MBVNT|3RCVC|46BPWR|56DMG|8DUR|9RCR
41	32312 51636	10	   	280.91	DCR|4VULN|3DMG|3LIT	145DMG|248aVULN|3RMIN|4aBPWR|6RCR|79aLIT
42	32312 33535	6	   	280.48	DCR|5VULN|3DMG	145DMG|2478aVULN|3RMIN|4BPWR|6RCVC|9RCR
43	16332 11316	6	   	280.48	DCR|5VULN|3DMG	12356VULN|36BPWR|46aDMG|7RMIN|8RCR|9LHND
44	16332 11362	6	   	280.48	DCR|5VULN|3DMG	12356VULN|36BPWR|46aDMG|7RMIN|8RCR|9BELT
45	16332 14316	7	   	280.48	DCR|5VULN|3DMG	12356VULN|36BPWR|46aDMG|7MLV|8RCR|9LHND
46	32312 21354	8	   	280.46	DCR|3VULN|3DMG|1TLV|1DUR	145DMG|247VULN|3RMIN|4BPWR|6TLV|8AART|9DUR|aRCR
47	32312 21434	8	   	280.46	DCR|3VULN|3DMG|1TLV|1DUR	145DMG|247VULN|3RMIN|4BPWR|6TLV|8DUR|9AART|aRCR
48	32312 21634	7	   	280.46	DCR|3VULN|3DMG|1TLV|1DUR	145DMG|247VULN|3RMIN|4BPWR|6TLV|8DUR|9AART|aRCR
49	32312 23434	6	   	280.46	DCR|3VULN|3DMG|1TLV|1DUR	145DMG|248VULN|3RMIN|4BPWR|6TLV|7DUR|9AART|aRCR
50	32312 36434	5	   	280.46	DCR|3VULN|3DMG|1TLV|1DUR	145DMG|248VULN|3RMIN|4BPWR|6DUR|7TLV|9AART|aRCR
51	16332 11326	6	   	280.38	DCR|5VULN|3DMG	12356VULN|36BPWR|46aDMG|7RMIN|8RCR|9DUST
52	16332 11337	6	   	280.38	DCR|5VULN|3DMG	12356VULN|36BPWR|46aDMG|7RMIN|8RCR|9MBVNT
53	16332 14326	7	   	280.38	DCR|5VULN|3DMG	12356VULN|36BPWR|46aDMG|7MLV|8RCR|9DUST
54	16332 14337	7	   	280.38	DCR|5VULN|3DMG	12356VULN|36BPWR|46aDMG|7MLV|8RCR|9MBVNT
55	32256 24146	7	   	280.36	DCR|3VULN|3DMG|1TLV|1DUR	158DMG|25aVULN|3AART|4MBVNT|5BPWR|6RCR|7DUR|9TLV
56	32312 51651	10	   	280.25	DCR|4VULN|3DMG|1ASPD	145DMG|2489VULN|3RMIN|4BPWR|6RCR|7LIT|aASPD
57	32312 51663	10	   	280.25	DCR|4VULN|3DMG|1ASPD	145DMG|248aVULN|3RMIN|4BPWR|6RCR|7LIT|9ASPD
58	52312 11613	9	   	280.25	DCR|4VULN|2DMG|2ASPD|1CDMG	14ASPD|2468VULN|3RMIN|46BPWR|56DMG|7MLV|9CDMG|aRCR
59	52312 11663	8	   	280.25	DCR|4VULN|2DMG|2ASPD|1CDMG	14ASPD|2468VULN|3RMIN|46BPWR|56DMG|7MLV|9CDMG|aRCR
60	32135 66223	2	   	280.05	DCR|4VULN|2DMG|2ASPD|1CDMG	14DMG|268aVULN|3BBNT|56ASPD|6BPWR|7CDMG|9RCR
61	32256 24228	7	   	279.41	DCR|4VULN|2DMG|1DUR	15DMG|258aVULN|3AART|4MBVNT|5BPWR|6RCR|7DUR|9LIT
62	32256 24524	9	   	279.29	DCR|3VULN|2DMG|2DUR|1TLV	15DMG|258VULN|3AART|4MBVNT|5BPWR|6RCR|7aDUR|9TLV
63	32256 24524	10	   	279.29	DCR|3VULN|2DMG|2DUR|1TLV	15DMG|258VULN|3AART|4MBVNT|5BPWR|6RCR|7aDUR|9TLV
64	32312 51121	10	   	279.11	DCR|3VULN|3DMG|1TLV|1DUR	145DMG|249VULN|3RMIN|4BPWR|6RCR|7LIT|8TLV|aDUR
65	32312 51122	9	   	279.11	DCR|3VULN|3DMG|1TLV|1DUR	145DMG|249VULN|3RMIN|4BPWR|6RCR|7LIT|8TLV|aDUR
66	32312 51135	10	   	279.11	DCR|3VULN|3DMG|1TLV|1DUR	145DMG|24aVULN|3RMIN|4BPWR|6RCR|7LIT|8TLV|9DUR
67	32312 55221	10	   	279.11	DCR|3VULN|3DMG|1TLV|1DUR	145DMG|249VULN|3RMIN|4BPWR|6RCR|7TLV|8LIT|aDUR
68	32312 55222	9	   	279.11	DCR|3VULN|3DMG|1TLV|1DUR	145DMG|249VULN|3RMIN|4BPWR|6RCR|7TLV|8LIT|aDUR
69	32312 55235	10	   	279.11	DCR|3VULN|3DMG|1TLV|1DUR	145DMG|24aVULN|3RMIN|4BPWR|6RCR|7TLV|8LIT|9DUR
70	32316 21434	4	   	279.00	DCR|3VULN|3DMG|2DUR	148DMG|246VULN|3RMIN|48BPWR|58DUR|78ZMB|9AART|aRCR
71	13261 66121	4	   	278.90	DCR|3VULN|3DMG|3ASPD	178VULN|2ERES|3AART|478DMG|578ASPD|6BELT|78BPWR|9RCR|aRCVC
72	13261 66122	4	   	278.90	DCR|3VULN|3DMG|3ASPD	178VULN|2ERES|3AART|478DMG|578ASPD|6BELT|78BPWR|9RCR|aMLV
73	13261 66123	4	   	278.90	DCR|3VULN|3DMG|3ASPD	178VULN|2ERES|3AART|478DMG|578ASPD|6BELT|78BPWR|9RCR|aFEWX
74	32256 44743	10	   	278.90	DCR|3VULN|3DMG|2DUR	15aDMG|25aVULN|3AART|4MBVNT|5aBPWR|6LWND|7MLV|8RCR|9aDUR
75	32256 24242	7	   	278.87	DCR|4VULN|2DMG|2AART|1DUR	15DMG|2589VULN|3aAART|4MBVNT|5BPWR|6RCR|7DUR
76	32256 24542	8	   	278.87	DCR|4VULN|2DMG|2AART|1DUR	15DMG|2589VULN|3aAART|4MBVNT|5BPWR|6RCR|7DUR
77	32256 24263	7	   	278.70	DCR|3VULN|3DMG|2DUR	15aDMG|258VULN|3AART|4MBVNT|5BPWR|6RCR|79DUR
