0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36263 33312	10	 * 	275.54	DCR|4VULN|3TLV|3CDMG|1DMG	19aTLV|2LWND|389aVULN|4DMG|5ERES|69aCDMG|7RCR|9aBPWR
2	33233 11265	7	 * 	273.01	DCR|4VULN|2TLV|3ASPD|1DMG	13TLV|235ASPD|3BPWR|4789VULN|6DMG|aRCR
3	33233 11525	9	   	273.01	DCR|4VULN|2TLV|3ASPD|1DMG	13TLV|235ASPD|3BPWR|4789VULN|6DMG|aRCR
4	33233 11565	8	   	273.01	DCR|4VULN|2TLV|3ASPD|1DMG	13TLV|235ASPD|3BPWR|4789VULN|6DMG|aRCR
5	32146 12522	2	 * 	272.57	DCR|3VULN|3DUR|1TLV|1DMG	1TLV|258DUR|349VULN|6DMG|7RCR|aLIT
6	32246 12522	3	   	272.57	DCR|3VULN|3DUR|1TLV|1DMG	1TLV|258DUR|349VULN|6DMG|7RCR|aLIT
7	32146 12261	2	 * 	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1TLV|25DUR|349aVULN|6DMG|7RCR|8CGEN
8	32246 12261	3	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1TLV|25DUR|349aVULN|6DMG|7RCR|8CGEN
9	54112 41332	2	 * 	271.10	DCR|3VULN|2DUR|1TLV|3LIT|1DMG	1RCVC|237LIT|37BPWR|47DUR|567VULN|8RCR|9TLV|aDMG
10	54232 41332	2	   	271.10	DCR|3VULN|2DUR|1TLV|3LIT|1DMG	1RCVC|247LIT|37DUR|567VULN|7BPWR|8RCR|9TLV|aDMG
11	32336 26621	2	 * 	271.01	DCR|2VULN|3DUR|2TLV|1DMG|2LIT	17TLV|235DUR|47VULN|67LIT|7BPWR|8DMG|9RCR|aASPD
12	32221 51236	5	   	270.44	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR|1AART	1aTLV|2DUR|35aVULN|4DUST|6DMG|7AART|8RCR|9aASPD|aBPWR
13	32226 51236	4	   	270.44	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR|1AART	1aTLV|2DUR|35aVULN|4DUST|6DMG|7AART|8RCR|9aASPD|aBPWR
14	31323 63153	1	 * 	269.96	DCR|4VULN|2TLV|2DUR|1AART	19TLV|2BEXP|39DUR|4AART|5BELT|6RCR|789aVULN|9BPWR
15	33215 13272	6	 * 	269.75	DCR|3VULN|2DMG|3TLV|3ASPD	137TLV|237ASPD|37aBPWR|4aDMG|5aBEXP|67aVULN|8MBVNT|9RCR
16	33233 11465	7	   	269.55	DCR|3VULN|2DMG|2TLV|3ASPD	13TLV|235ASPD|3BPWR|479VULN|68DMG|aRCR
17	36263 33313	9	   	269.40	DCR|4VULN|2TLV|2CDMG|1DMG	19TLV|2LWND|389aVULN|4DMG|5ERES|69CDMG|7RCR|9BPWR
18	36263 33332	10	   	269.40	DCR|4VULN|2TLV|2CDMG|1DMG	1aTLV|2LWND|389aVULN|4DMG|5ERES|6aCDMG|7RCR|aBPWR
19	36263 33613	7	   	269.40	DCR|4VULN|2TLV|2CDMG|1DMG	18TLV|2LWND|389aVULN|4DMG|5ERES|68CDMG|7RCR|8BPWR
20	52313 11563	4	 * 	267.86	DCR|2VULN|3DMG|2TLV|2DUR	1RCVC|24aDMG|3aTLV|58DUR|6RCR|7LHND|9aVULN|aBPWR
21	52313 16234	4	   	267.86	DCR|2VULN|3DMG|2TLV|2DUR	19RCVC|247DMG|37TLV|57DUR|6RCR|7BPWR|8aVULN
22	32216 52621	4	   	267.76	DCR|2VULN|3DMG|2TLV|2DUR	18TLV|29DUR|38VULN|4ERES|5ZMB|678DMG|8BPWR|aRCR
