0	Index      	Bounty	 *	Score 	Summary	Detail	
1	65432 41411	7	 * 	286.67	DCR|3VULN|3DUR|2DMG|3TLV	17aTLV|2LEGI|3MBVNT|47aVULN|578DUR|6RCR|7aBPWR|9aDMG
2	55213 11311	6	 * 	286.22	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR|1ASPD	1RMIN|28CDMG|3DUR|48DMG|568VULN|7RCR|8BPWR|9ASPD|aTLV
3	55213 11326	6	 * 	281.60	DCR|4VULN|2DMG|2CDMG|1DUR	1RMIN|28CDMG|3DUR|48DMG|568aVULN|7RCR|8BPWR|9LHND
4	55213 11336	6	   	281.50	DCR|4VULN|2DMG|2CDMG|1DUR	1RMIN|28CDMG|3DUR|48DMG|568aVULN|7RCR|8BPWR|9DUST
5	32114 35621	7	   	280.27	DCR|4VULN|1DMG|2CDMG|1TLV|1DUR	19LWND|2379VULN|4DMG|5DUR|6RCR|89CDMG|9BPWR|aTLV
6	32115 36621	7	   	280.27	DCR|4VULN|1DMG|2CDMG|1TLV|1DUR	19LWND|2359VULN|4DMG|6RCR|7DUR|89CDMG|9BPWR|aTLV
7	32115 36621	6	   	280.27	DCR|4VULN|1DMG|2CDMG|1TLV|1DUR	19LWND|2359VULN|4DMG|6RCR|7DUR|89CDMG|9BPWR|aTLV
8	32114 35214	9	 * 	279.64	DCR|5VULN|1DMG|1TLV|1DUR	1LWND|23789VULN|4DMG|5DUR|6RCR|aTLV
9	32115 36214	9	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	1LWND|23589VULN|4DMG|6RCR|7DUR|aTLV
10	32114 34243	8	 * 	277.09	DCR|4VULN|3DMG|1DUR	1LWND|238aVULN|479DMG|5DUR|6RCR
11	54212 33324	5	 * 	275.87	DCR|3VULN|3DMG|2ASPD|1TLV	1RMIN|258DMG|38ASPD|4TLV|6CGEN|789VULN|8BPWR|aRCR
12	54212 33324	6	   	275.87	DCR|3VULN|3DMG|2ASPD|1TLV	1RMIN|258DMG|38ASPD|4TLV|6CGEN|789VULN|8BPWR|aRCR
13	55214 21322	6	 * 	275.62	DCR|2VULN|3DMG|3DUR|2CDMG	1RMIN|28CDMG|35aDUR|458DMG|58BPWR|68VULN|7RCR|9BEXP
14	55214 21322	5	   	275.62	DCR|2VULN|3DMG|3DUR|2CDMG	1RMIN|28CDMG|35aDUR|458DMG|58BPWR|68VULN|7RCR|9BEXP
15	55214 21331	5	   	275.62	DCR|2VULN|3DMG|3DUR|2CDMG	1RMIN|28CDMG|35aDUR|458DMG|58BPWR|68VULN|7RCR|9ZMB
16	55214 21331	6	   	275.62	DCR|2VULN|3DMG|3DUR|2CDMG	1RMIN|28CDMG|35aDUR|458DMG|58BPWR|68VULN|7RCR|9ZMB
17	32114 34621	7	   	275.21	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	19LWND|239VULN|47DMG|5DUR|6RCR|89CDMG|9BPWR|aTLV
18	32123 42621	4	   	275.19	DCR|4VULN|2DMG|1TLV|1CDMG	19LWND|2359VULN|4DUST|6RCR|7CDMG|89DMG|9BPWR|aTLV
19	32136 11621	6	   	275.19	DCR|4VULN|2DMG|1TLV|1CDMG	19LWND|2369VULN|4CDMG|5DUST|7RCR|89DMG|9BPWR|aTLV
20	32114 35234	9	 * 	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1LWND|2378VULN|4DMG|5aDUR|6RCR|9TLV
21	32115 36234	9	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1LWND|2358VULN|4DMG|6RCR|7aDUR|9TLV
22	55213 51311	5	   	273.89	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV|1ASPD	1RMIN|28CDMG|36DUR|48DMG|58VULN|7RCR|8BPWR|9ASPD|aTLV
23	32114 34216	10	   	272.44	DCR|4VULN|2DMG|1DUR|1ASPD	1LWND|2389VULN|47DMG|5DUR|6RCR|aASPD
24	32234 34215	10	   	272.44	DCR|4VULN|2DMG|1DUR|1ASPD	1LWND|2489VULN|3ASPD|5DUR|6RCR|7aDMG
25	32114 31621	7	 * 	272.21	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV	19LWND|239VULN|4DMG|57DUR|6RCR|89CDMG|9BPWR|aTLV
26	13266 43284	1	   	272.15	DCR|4VULN|3DMG|1ASPD	19aFEWX|2ASPD|39aDMG|4MBVNT|579aVULN|6RCR|8RPLT|9aBPWR
27	32235 36621	7	   	271.21	DCR|4VULN|2CDMG|1TLV|1DUR|1ASPD	19LWND|2459VULN|3ASPD|6RCR|7DUR|89CDMG|9BPWR|aTLV
28	32114 35235	9	   	271.11	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1LWND|2378VULN|4DMG|5DUR|6RCR|9TLV|aASPD
29	32114 35235	10	   	271.11	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1LWND|2378VULN|4DMG|5DUR|6RCR|9TLV|aASPD
30	32115 36235	10	   	271.11	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1LWND|2358VULN|4DMG|6RCR|7DUR|9TLV|aASPD
31	32115 36235	9	   	271.11	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1LWND|2358VULN|4DMG|6RCR|7DUR|9TLV|aASPD
32	32235 36235	10	   	271.11	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1LWND|2458VULN|3ASPD|6RCR|7DUR|9TLV|aDMG
33	32114 34211	10	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1LWND|2389VULN|47DMG|5DUR|6RCR|aAART
34	32114 34213	9	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1LWND|2389VULN|47DMG|5DUR|6RCR|aAART
35	32114 35243	8	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1LWND|2378VULN|49DMG|5DUR|6RCR|aAART
36	32114 35411	10	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1LWND|2379VULN|48DMG|5DUR|6RCR|aAART
37	32114 35413	9	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1LWND|2379VULN|48DMG|5DUR|6RCR|aAART
38	32115 36243	8	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1LWND|2358VULN|49DMG|6RCR|7DUR|aAART
39	32115 36411	10	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1LWND|2359VULN|48DMG|6RCR|7DUR|aAART
40	32115 36413	9	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1LWND|2359VULN|48DMG|6RCR|7DUR|aAART
41	32114 35213	8	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1LWND|2378VULN|4aDMG|5DUR|6RCR|9AART
42	32114 35513	7	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1LWND|2378VULN|4aDMG|5DUR|6RCR|9AART
43	32115 36213	8	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1LWND|2358VULN|4aDMG|6RCR|7DUR|9AART
44	32115 36513	6	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1LWND|2358VULN|4aDMG|6RCR|7DUR|9AART
45	32115 36513	7	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1LWND|2358VULN|4aDMG|6RCR|7DUR|9AART
46	55214 21313	5	   	270.60	DCR|2VULN|3DMG|2DUR|2CDMG	1RMIN|28CDMG|35DUR|458DMG|58BPWR|68VULN|7RCR|9BBNT|aLIT
47	55214 21313	6	   	270.60	DCR|2VULN|3DMG|2DUR|2CDMG	1RMIN|28CDMG|35DUR|458DMG|58BPWR|68VULN|7RCR|9BBNT|aLIT
48	32235 36214	9	   	270.58	DCR|5VULN|1TLV|1DUR|1ASPD	1LWND|24589VULN|3ASPD|6RCR|7DUR|aTLV
