0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63313 21142	1	 * 	277.22	DCR|4VULN|2DMG|2DUR|1CDMG	18DUR|2BELT|3469VULN|56DMG|6BPWR|7CDMG|aRCR
2	43244 13223	10	 * 	272.54	DCR|3VULN|3DUR|2TLV|1DMG	1RMIN|2aTLV|3RCVC|4DMG|57aVULN|69aDUR|8RCR|aBPWR
3	65114 23531	9	 * 	272.30	DCR|2VULN|2DMG|2DUR|1TLV|2CDMG	19DUR|2LIT|39CDMG|4MBVNT|5aVULN|6RCR|7TLV|89DMG|9BPWR
4	43341 51233	10	 * 	270.63	DCR|3VULN|2DMG|2TLV|1DUR	1RMIN|2aTLV|3ASPD|47aVULN|5LHND|6DUR|8RCR|9aDMG|aBPWR
5	52124 51321	5	   	268.04	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG|1AART	18MLV|28TLV|3CDMG|4DUR|5AART|678VULN|8BPWR|9RCR|aDMG
6	65151 32331	8	 * 	267.52	DCR|4VULN|3DUR|2CDMG	179DUR|2LIT|37CDMG|4RMIN|567aVULN|7BPWR|8RCR
7	62114 12253	1	   	263.52	DCR|4VULN|2DUR|1DMG|2AART	18DUR|258aVULN|37AART|48BEXP|6RCR|8BPWR|9DMG
8	23454 12121	6	   	262.51	DCR|3VULN|2DMG|1TLV|2LIT|1AART	1RPLT|27DMG|37LIT|457VULN|6AART|7BPWR|8TLV|9RCR|aFEWX
9	23454 12123	6	   	262.51	DCR|3VULN|2DMG|1TLV|2LIT|1AART	1RPLT|27DMG|37LIT|457VULN|6AART|7BPWR|8TLV|9RCR|aLWND
10	63313 21122	1	 * 	262.48	DCR|3VULN|2DMG|2DUR|2CDMG	18DUR|2BELT|346VULN|56DMG|6BPWR|79CDMG|aRCR
11	43153 33335	4	 * 	262.46	DCR|3VULN|3TLV|2DUR|1CDMG|1AART	1RMIN|26aTLV|3CDMG|4aDUR|56aVULN|6aBPWR|7RCR|8AART|9BBNT
12	23454 12122	6	   	262.41	DCR|3VULN|2DMG|1TLV|2LIT|1AART	1RPLT|27DMG|37LIT|457VULN|6AART|7BPWR|8TLV|9RCR|aTBNT
13	23454 12222	6	   	262.41	DCR|3VULN|2DMG|1TLV|2LIT|1AART	1RPLT|27DMG|37LIT|457VULN|6AART|7BPWR|8ERES|9RCR|aTLV
14	13784 61233	10	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1aLHND|2MBVNT|3aTLV|457VULN|6DUR|8RCR|9aDMG|aBPWR
15	43343 13223	10	   	260.79	DCR|3VULN|3DUR|2TLV	15RMIN|2aTLV|3ASPD|47aVULN|69aDUR|8RCR|aBPWR
16	65151 32331	9	 * 	259.44	DCR|3VULN|2DUR|1TLV|2CDMG	17DUR|2LIT|37CDMG|4RMIN|567VULN|7BPWR|8RCR|9CGEN|aTLV
17	65151 32311	8	   	259.34	DCR|3VULN|2DUR|1TLV|2CDMG	17DUR|2LIT|37CDMG|4RMIN|567VULN|7BPWR|8RCR|9ERES|aTLV
18	22512 13124	10	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	1RPLT|28DUR|38TLV|4CGEN|5FEWX|678VULN|8BPWR|9DMG|aRCR
19	43153 33214	4	 * 	259.27	DCR|4VULN|2TLV|1DUR|1CDMG	1RMIN|26TLV|3CDMG|4DUR|569aVULN|6BPWR|7RCR|8BELT
