0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23345 24312	3	 * 	289.64	DCR|4VULN|2DUR|1DMG|1TLV|2LIT	19DUR|2349VULN|5TLV|6ERES|79LIT|8RCR|9BPWR|aDMG
2	23132 16265	4	 * 	289.60	DCR|4VULN|2DUR|2TLV|1DMG|1ASPD	18DUR|2689VULN|3DMG|4FEWX|58TLV|7RCR|8BPWR|aASPD
3	23316 22626	10	 * 	289.55	DCR|4VULN|3DUR|2DMG	157DUR|235aVULN|4RMIN|5aBPWR|6aZMB|8aDMG|9RCR
4	23341 21461	3	   	289.45	DCR|4VULN|3DUR|2DMG	19aDUR|2345VULN|6aZMB|7RCR|8aDMG|aBPWR
5	23332 62626	10	 * 	288.02	DCR|3VULN|3DUR|2DMG|2ASPD	157DUR|23aVULN|4aASPD|6RMIN|8aDMG|9RCR|aBPWR
6	23411 15312	5	 * 	288.01	DCR|4VULN|3DUR|3LIT|1TLV	179DUR|2479VULN|3ERES|5CGEN|679LIT|79BPWR|8RCR|aTLV
7	23416 53312	6	   	286.81	DCR|4VULN|2DUR|1DMG|2TLV	19DUR|2479VULN|3ERES|5LIT|69TLV|8RCR|9BPWR|aDMG
8	23434 53312	6	   	286.81	DCR|4VULN|2DUR|1DMG|2TLV	19DUR|2579VULN|3ERES|4LIT|69TLV|8RCR|9BPWR|aDMG
9	23235 51135	7	 * 	286.77	DCR|3VULN|3DUR|2DMG|2CDMG	158DUR|24aVULN|3RPLT|6aCDMG|7aDMG|9RCR|aBPWR
10	23336 11263	5	   	286.58	DCR|3VULN|3DUR|2ASPD|1DMG|1TLV	169DUR|235VULN|45ASPD|5BPWR|7RCR|8TLV|aDMG
11	18132 21816	9	 * 	286.39	DCR|2VULN|3DMG|3DUR|3ASPD	1MBVNT|2RCVC|358DUR|48aASPD|6RCR|78aDMG|8aBPWR|9aVULN
12	23345 24313	3	   	283.23	DCR|4VULN|2DUR|1TLV|2LIT|1CDMG	19DUR|2349VULN|5TLV|6ERES|79LIT|8RCR|9BPWR|aCDMG
13	23411 15314	5	   	281.42	DCR|4VULN|3DUR|3LIT|1AART	179DUR|2479VULN|3ERES|5CGEN|679LIT|79BPWR|8RCR|aAART
14	23416 53313	6	   	280.39	DCR|4VULN|2DUR|2TLV|1CDMG	19DUR|2479VULN|3ERES|5LIT|69TLV|8RCR|9BPWR|aCDMG
15	23434 53313	6	   	280.39	DCR|4VULN|2DUR|2TLV|1CDMG	19DUR|2579VULN|3ERES|4LIT|69TLV|8RCR|9BPWR|aCDMG
16	23351 44133	7	   	279.97	DCR|4VULN|3DUR|1DMG	156DUR|236aVULN|4LEGI|6BPWR|7RCR|8LIT|9DMG
17	23336 33231	5	 * 	279.65	DCR|4VULN|2DUR|2ASPD|1DMG	1aDUR|2357VULN|45ASPD|5BPWR|6TBNT|8DMG|9RCR
18	23132 16214	4	   	278.60	DCR|4VULN|2DUR|2TLV|1DMG	18DUR|268aVULN|3DMG|4FEWX|58TLV|7RCR|8BPWR|9LWND
19	23132 16262	4	   	278.60	DCR|4VULN|2DUR|2TLV|1DMG	18DUR|2689VULN|3DMG|4aFEWX|58TLV|7RCR|8BPWR
20	23132 16263	4	   	278.60	DCR|4VULN|2DUR|2TLV|1DMG	18DUR|2689VULN|3DMG|4FEWX|58TLV|7RCR|8BPWR|aRMIN
21	23132 16264	4	   	278.60	DCR|4VULN|2DUR|2TLV|1DMG	18DUR|2689VULN|3DMG|4FEWX|58TLV|7RCR|8BPWR|aCGEN
22	23142 16214	4	   	278.60	DCR|4VULN|2DUR|2TLV|1DMG	18DUR|268aVULN|3DMG|4LHND|58TLV|7RCR|8BPWR|9LWND
23	23142 16262	4	   	278.60	DCR|4VULN|2DUR|2TLV|1DMG	18DUR|2689VULN|3DMG|4LHND|58TLV|7RCR|8BPWR|aFEWX
24	23142 16263	4	   	278.60	DCR|4VULN|2DUR|2TLV|1DMG	18DUR|2689VULN|3DMG|4LHND|58TLV|7RCR|8BPWR|aBEXP
