0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21542 63333	4	 * 	284.35	DCR|4VULN|3ASPD|3TLV|1DUR|1AART	1AART|289TLV|3DUR|4DLOT|589ASPD|6RCR|789aVULN|89BPWR
2	21543 63333	4	 * 	274.62	ACR|4VULN|3DMG|3TLV|1DUR|1AART	1AART|289TLV|3DUR|4DLOT|5RCR|689DMG|789aVULN|89BPWR
3	22423 31131	2	 * 	273.74	DCR|3VULN|3DUR|1DMG|2LIT|1AART	1AART|27LIT|37aVULN|457DUR|6RCR|7BPWR|8DMG|9ZMB
4	22223 31131	1	   	273.74	DCR|3VULN|3DUR|1DMG|2LIT|1AART	1AART|27aVULN|37LIT|457DUR|6RCR|7BPWR|8DMG|9ZMB
5	22243 31131	4	   	273.74	DCR|3VULN|3DUR|1DMG|2LIT|1AART	1AART|27LIT|357DUR|47aVULN|6RCR|7BPWR|8DMG|9ZMB
6	22225 63234	1	   	271.66	DCR|4VULN|1DUR|1TLV|1CDMG|1AART	1AART|267aVULN|3LIT|4DUR|5CDMG|8TLV|9RCR
7	22252 21663	1	 * 	269.91	DCR|4VULN|2DMG|2LIT|1AART	1AART|279aVULN|37LIT|4RMIN|57DMG|6RCR|7BPWR|8FEWX
8	21513 61226	8	   	269.08	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1AART	1AART|2TLV|3DUR|4DMG|5LIT|678VULN|9CDMG|aRCR
9	22252 21151	1	 * 	268.03	DCR|3VULN|3DMG|3LIT|1AART	1AART|279VULN|379LIT|4RMIN|579DMG|6RCR|79BPWR|8BBNT|aZMB
10	22252 21152	1	   	268.03	DCR|3VULN|3DMG|3LIT|1AART	1AART|279VULN|379LIT|4RMIN|579DMG|6RCR|79BPWR|8BBNT|aLHND
11	22252 21155	1	   	268.03	DCR|3VULN|3DMG|3LIT|1AART	1AART|279VULN|379LIT|4RMIN|579DMG|6RCR|79BPWR|8BBNT|aLWND
12	25262 21151	1	   	268.03	DCR|3VULN|3DMG|3LIT|1AART	1AART|2RMIN|379VULN|479LIT|579DMG|6RCR|79BPWR|8BBNT|aZMB
13	25262 21152	1	   	268.03	DCR|3VULN|3DMG|3LIT|1AART	1AART|2RMIN|379VULN|479LIT|579DMG|6RCR|79BPWR|8BBNT|aLHND
14	22452 21151	2	   	268.03	DCR|3VULN|3DMG|3LIT|1AART	1AART|279LIT|379VULN|4RMIN|579DMG|6RCR|79BPWR|8BBNT|aZMB
15	22452 21152	2	   	268.03	DCR|3VULN|3DMG|3LIT|1AART	1AART|279LIT|379VULN|4RMIN|579DMG|6RCR|79BPWR|8BBNT|aLHND
16	22252 21153	1	   	267.93	DCR|3VULN|3DMG|3LIT|1AART	1AART|279VULN|379LIT|4RMIN|579DMG|6RCR|79BPWR|8BBNT|aMBVNT
17	22252 21154	1	   	267.93	DCR|3VULN|3DMG|3LIT|1AART	1AART|279VULN|379LIT|4RMIN|579DMG|6RCR|79BPWR|8BBNT|aERES
18	25262 21153	1	   	267.93	DCR|3VULN|3DMG|3LIT|1AART	1AART|2RMIN|379VULN|479LIT|579DMG|6RCR|79BPWR|8BBNT|aMBVNT
19	22452 21153	2	   	267.93	DCR|3VULN|3DMG|3LIT|1AART	1AART|279LIT|379VULN|4RMIN|579DMG|6RCR|79BPWR|8BBNT|aMBVNT
20	22223 31145	1	 * 	264.42	DCR|2VULN|3DUR|2DMG|2LIT|1AART	1AART|27VULN|37LIT|457DUR|6RCR|7BPWR|8aDMG|9DMSP
21	22223 31165	1	   	264.42	DCR|2VULN|3DUR|2DMG|2LIT|1AART	1AART|27VULN|37LIT|457DUR|6RCR|7BPWR|8aDMG|9RCVC
22	22243 31145	4	   	264.42	DCR|2VULN|3DUR|2DMG|2LIT|1AART	1AART|27LIT|357DUR|47VULN|6RCR|7BPWR|8aDMG|9DMSP
23	22243 31165	4	   	264.42	DCR|2VULN|3DUR|2DMG|2LIT|1AART	1AART|27LIT|357DUR|47VULN|6RCR|7BPWR|8aDMG|9RCVC
24	22423 31145	2	   	264.42	DCR|2VULN|3DUR|2DMG|2LIT|1AART	1AART|27LIT|37VULN|457DUR|6RCR|7BPWR|8aDMG|9DMSP
25	22423 31165	2	   	264.42	DCR|2VULN|3DUR|2DMG|2LIT|1AART	1AART|27LIT|37VULN|457DUR|6RCR|7BPWR|8aDMG|9RCVC
26	21565 32211	10	 * 	264.14	ACR|3VULN|3DUR|2DMG|3TLV|1AART	1AART|249TLV|346DUR|49BPWR|5RCR|79aVULN|89DMG
27	22223 62234	1	   	263.60	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1AART|26aVULN|3LIT|45DUR|7CDMG|8TLV|9RCR
28	22225 61234	1	   	263.60	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1AART|26aVULN|3LIT|47DUR|5CDMG|8TLV|9RCR
29	22243 62234	4	   	263.60	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1AART|2LIT|35DUR|46aVULN|7CDMG|8TLV|9RCR
30	22423 62234	2	   	263.60	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1AART|2LIT|36aVULN|45DUR|7CDMG|8TLV|9RCR
31	22252 21333	1	   	263.52	DCR|3VULN|2DMG|1DUR|2LIT|1AART	1AART|27aVULN|37LIT|4RMIN|57DMG|6RCR|7BPWR|8RCVC|9DUR
32	22452 21333	2	   	263.52	DCR|3VULN|2DMG|1DUR|2LIT|1AART	1AART|27LIT|37aVULN|4RMIN|57DMG|6RCR|7BPWR|8RCVC|9DUR
33	25262 21333	1	   	263.52	DCR|3VULN|2DMG|1DUR|2LIT|1AART	1AART|2RMIN|37aVULN|47LIT|57DMG|6RCR|7BPWR|8RCVC|9DUR
34	22423 31113	2	   	263.08	DCR|2VULN|3DUR|1DMG|1TLV|2LIT|1AART	1AART|27LIT|37VULN|457DUR|6RCR|7BPWR|8DMG|9BELT|aTLV
35	22423 31122	2	   	263.08	DCR|2VULN|3DUR|1DMG|1TLV|2LIT|1AART	1AART|27LIT|37VULN|457DUR|6RCR|7BPWR|8DMG|9FEWX|aTLV
36	22423 31143	2	   	263.08	DCR|2VULN|3DUR|1DMG|1TLV|2LIT|1AART	1AART|27LIT|37VULN|457DUR|6RCR|7BPWR|8DMG|9DMSP|aTLV
37	22423 31152	2	   	263.08	DCR|2VULN|3DUR|1DMG|1TLV|2LIT|1AART	1AART|27LIT|37VULN|457DUR|6RCR|7BPWR|8DMG|9LHND|aTLV
38	22423 31163	2	   	263.08	DCR|2VULN|3DUR|1DMG|1TLV|2LIT|1AART	1AART|27LIT|37VULN|457DUR|6RCR|7BPWR|8DMG|9RCVC|aTLV
39	22223 31113	1	   	263.08	DCR|2VULN|3DUR|1DMG|1TLV|2LIT|1AART	1AART|27VULN|37LIT|457DUR|6RCR|7BPWR|8DMG|9BELT|aTLV
40	22223 31122	1	   	263.08	DCR|2VULN|3DUR|1DMG|1TLV|2LIT|1AART	1AART|27VULN|37LIT|457DUR|6RCR|7BPWR|8DMG|9FEWX|aTLV
41	22223 31143	1	   	263.08	DCR|2VULN|3DUR|1DMG|1TLV|2LIT|1AART	1AART|27VULN|37LIT|457DUR|6RCR|7BPWR|8DMG|9DMSP|aTLV
42	22223 31152	1	   	263.08	DCR|2VULN|3DUR|1DMG|1TLV|2LIT|1AART	1AART|27VULN|37LIT|457DUR|6RCR|7BPWR|8DMG|9LHND|aTLV
43	22223 31163	1	   	263.08	DCR|2VULN|3DUR|1DMG|1TLV|2LIT|1AART	1AART|27VULN|37LIT|457DUR|6RCR|7BPWR|8DMG|9RCVC|aTLV
44	22243 31113	4	   	263.08	DCR|2VULN|3DUR|1DMG|1TLV|2LIT|1AART	1AART|27LIT|357DUR|47VULN|6RCR|7BPWR|8DMG|9BELT|aTLV
45	22243 31122	4	   	263.08	DCR|2VULN|3DUR|1DMG|1TLV|2LIT|1AART	1AART|27LIT|357DUR|47VULN|6RCR|7BPWR|8DMG|9FEWX|aTLV
46	22243 31143	4	   	263.08	DCR|2VULN|3DUR|1DMG|1TLV|2LIT|1AART	1AART|27LIT|357DUR|47VULN|6RCR|7BPWR|8DMG|9DMSP|aTLV
47	22243 31152	4	   	263.08	DCR|2VULN|3DUR|1DMG|1TLV|2LIT|1AART	1AART|27LIT|357DUR|47VULN|6RCR|7BPWR|8DMG|9LHND|aTLV
48	22243 31163	4	   	263.08	DCR|2VULN|3DUR|1DMG|1TLV|2LIT|1AART	1AART|27LIT|357DUR|47VULN|6RCR|7BPWR|8DMG|9RCVC|aTLV
49	22222 62256	1	 * 	262.99	DCR|4VULN|2DUR|2LIT|1AART	1AART|269aVULN|39LIT|49DUR|5TBNT|7DMSP|8RCR|9BPWR
50	22261 31473	8	   	262.99	DCR|4VULN|2DUR|2LIT|1AART	1AART|28LIT|38DUR|4RCVC|5MBVNT|6RCR|789aVULN|8BPWR
51	22261 31873	7	   	262.99	DCR|4VULN|2DUR|2LIT|1AART	1AART|28LIT|38DUR|4RCVC|5MBVNT|6RCR|789aVULN|8BPWR
52	22252 26151	1	   	262.82	DCR|3VULN|3DMG|2LIT|1AART	1AART|29aVULN|39LIT|4RMIN|579DMG|6RCR|8BBNT|9BPWR
53	22252 34251	1	   	262.82	DCR|3VULN|3DMG|2LIT|1AART	1AART|29aVULN|39LIT|4RMIN|569DMG|7TBNT|8RCR|9BPWR
54	21542 63331	4	   	261.71	DCR|3VULN|3ASPD|3TLV|1DUR|1AART	1AART|289TLV|3DUR|4DLOT|589ASPD|6RCR|789VULN|89BPWR|aLWND
55	21542 63332	4	   	261.61	DCR|3VULN|3ASPD|3TLV|1DUR|1AART	1AART|289TLV|3DUR|4DLOT|589ASPD|6RCR|789VULN|89BPWR|aMBVNT
56	21512 13553	4	 * 	260.92	DCR|2VULN|2DMG|2TLV|1DUR|1ASPD|1AART	1AART|2aTLV|3DUR|4aDMG|5TBNT|6ASPD|7LIT|8aVULN|9RCR|aBPWR
57	21513 24213	5	   	260.92	DCR|2VULN|2DMG|2TLV|1DUR|1ASPD|1AART	1AART|2aTLV|3DUR|4aDMG|5LIT|6RCR|7TBNT|8ASPD|9aVULN|aBPWR
58	21513 26213	5	   	260.92	DCR|2VULN|2DMG|2TLV|1DUR|1ASPD|1AART	1AART|2aTLV|3DUR|4aDMG|5LIT|6RCR|7BBNT|8ASPD|9aVULN|aBPWR
59	22252 21254	1	   	260.92	DCR|3VULN|2DMG|2LIT|1CDMG|1AART	1AART|279VULN|37LIT|4RMIN|57DMG|6RCR|7BPWR|8BELT|aCDMG
60	22223 31112	1	   	260.48	DCR|2VULN|3DUR|1DMG|2LIT|1CDMG|1AART	1AART|27VULN|37LIT|457DUR|6RCR|7BPWR|8DMG|9BELT|aCDMG
61	22243 31112	4	   	260.48	DCR|2VULN|3DUR|1DMG|2LIT|1CDMG|1AART	1AART|27LIT|357DUR|47VULN|6RCR|7BPWR|8DMG|9BELT|aCDMG
62	22423 31112	2	   	260.48	DCR|2VULN|3DUR|1DMG|2LIT|1CDMG|1AART	1AART|27LIT|37VULN|457DUR|6RCR|7BPWR|8DMG|9BELT|aCDMG
63	22261 31477	8	   	260.41	DCR|3VULN|2DUR|1DMG|2LIT|1AART	1AART|28LIT|38DUR|4RCVC|5MBVNT|6RCR|789VULN|8BPWR|aDMG
64	22423 31223	2	   	260.38	DCR|2VULN|3DUR|1DMG|2LIT|1CDMG|1AART	1AART|27LIT|37VULN|457DUR|6RCR|7BPWR|8TBNT|9CDMG|aDMG
