0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25614 11233	1	 * 	265.45	DCR|4VULN|3DUR|1TLV	138LHND|2356VULN|36BPWR|469DUR|7TLV|aRCR
2	25633 13215	1	 * 	263.77	DCR|4VULN|2DMG|2DUR	13aLHND|238aVULN|3aBPWR|4FEWX|57DUR|6aDMG|9RCR
3	14112 23215	1	   	263.67	DCR|4VULN|2DMG|2DUR	1RCVC|258aVULN|3aDMG|4FEWX|6LWND|7aDUR|9RCR|aBPWR
4	21253 51124	5	 * 	259.72	DCR|3VULN|2DMG|2TLV|1CDMG	19LHND|2FEWX|39DMG|47aVULN|5CDMG|6RCR|89TLV|9BPWR
5	31253 51124	5	   	259.72	DCR|3VULN|2DMG|2TLV|1CDMG	19LWND|2FEWX|39DMG|47aVULN|5CDMG|6RCR|89TLV|9BPWR
6	35613 11622	1	   	257.95	DCR|3VULN|3DUR|1TLV|1CDMG	13LWND|236VULN|36BPWR|456DUR|7MBVNT|8CDMG|9TLV|aRCR
7	13442 23262	5	 * 	256.42	DCR|4VULN|2DMG|3ASPD	1RCVC|269ASPD|3MLV|4589VULN|79DMG|9BPWR|aRCR
8	13442 33262	6	   	256.42	DCR|4VULN|2DMG|3ASPD	1RCVC|269ASPD|3MLV|4589VULN|79DMG|9BPWR|aRCR
9	13152 12622	5	   	256.27	DCR|4VULN|2DMG|3ASPD|1SELL	1RCVC|268ASPD|3SELL|4RPLT|568aVULN|68BPWR|78DMG|9RCR
10	14252 11313	1	 * 	253.64	DCR|3VULN|3DMG|1TLV	1RCVC|29aVULN|3TBNT|4TLV|5BBNT|69aBEXP|7RCR|89aDMG|9aBPWR
11	14252 61313	1	   	253.64	DCR|3VULN|3DMG|1TLV	1RCVC|29aVULN|3TBNT|4TLV|5BBNT|69aLWND|7RCR|89aDMG|9aBPWR
12	41152 12612	7	   	253.26	DCR|4VULN|1DMG|1DUR|1CDMG	1MLV|2LIT|3DUR|4DMG|579aVULN|6CDMG|8RCR
13	51152 12622	7	   	253.16	DCR|4VULN|1DMG|1DUR|1CDMG	1ERES|2LIT|3DUR|4DMG|579aVULN|6CDMG|8RCR
14	35614 11211	1	   	252.22	DCR|4VULN|2DUR|1TLV	13LWND|2356VULN|36BPWR|46DUR|7TLV|8aLHND|9RCR
15	35614 11212	1	   	252.22	DCR|4VULN|2DUR|1TLV	13LWND|2356VULN|36BPWR|46DUR|7TLV|8LHND|9RCR|aFEWX
16	35614 11213	1	   	252.12	DCR|4VULN|2DUR|1TLV	13LWND|2356VULN|36BPWR|46DUR|7TLV|8LHND|9RCR|aDUST
17	35235 33472	1	   	252.12	DCR|4VULN|2DUR|1TLV	18LWND|2689VULN|3FEWX|4TLV|5MBVNT|78DUR|8BPWR|aRCR
18	35522 33472	1	   	252.12	DCR|4VULN|2DUR|1TLV	18LWND|2689VULN|3MBVNT|4BEXP|5TLV|78DUR|8BPWR|aRCR
19	25114 15111	1	   	252.02	DCR|4VULN|2DUR|1TLV	1LHND|2567VULN|3RCVC|46DUR|6BPWR|8TBNT|9RCR|aTLV
20	35114 15111	1	   	252.02	DCR|4VULN|2DUR|1TLV	1LWND|2567VULN|3RCVC|46DUR|6BPWR|8TBNT|9RCR|aTLV
21	12326 35335	10	   	251.79	DCR|3VULN|2DMG|2DUR|1AART|2SELL	1RCVC|23SELL|45aVULN|5aBPWR|6RCR|7AART|8aDMG|9aDUR
22	41152 31331	9	   	251.51	DCR|3VULN|1TLV|1DMG|1DUR|2LIT	189MLV|29LIT|3DUR|4DMG|569VULN|7RCR|9BPWR|aTLV
23	41152 31331	10	   	251.51	DCR|3VULN|1TLV|1DMG|1DUR|2LIT	189MLV|29LIT|3DUR|4DMG|569VULN|7RCR|9BPWR|aTLV
24	13152 12621	5	   	251.47	DCR|3VULN|2DMG|3ASPD|1DUR|1SELL	1RCVC|268ASPD|3SELL|4RPLT|568VULN|68BPWR|78DMG|9RCR|aDUR
25	44111 42235	6	   	251.18	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1MLV|2aDMG|3FEWX|4MBVNT|5DUR|6aVULN|7RCR|8CDMG|9aTLV|aBPWR
26	44211 42235	6	   	251.18	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1MLV|2aDMG|3BEXP|4MBVNT|5DUR|6aVULN|7RCR|8CDMG|9aTLV|aBPWR
27	54111 42235	6	   	251.08	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1ERES|2aDMG|3FEWX|4MBVNT|5DUR|6aVULN|7RCR|8CDMG|9aTLV|aBPWR
28	54211 42235	6	   	251.08	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1ERES|2aDMG|3BEXP|4MBVNT|5DUR|6aVULN|7RCR|8CDMG|9aTLV|aBPWR
29	14124 43133	1	 * 	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1RCVC|289VULN|3DMG|4TLV|5aDUR|6RCR|7FEWX
30	13614 21622	4	   	249.02	DCR|3VULN|2DMG|3ASPD|1CDMG	1RCVC|238ASPD|4CDMG|58DMG|6RPLT|78aVULN|8BPWR|9RCR
31	21332 34215	1	 * 	248.49	DCR|4VULN|3DMG	1aLHND|27aDMG|3FEWX|4BEXP|568aVULN|9RCR|aBPWR
32	21352 34215	1	   	248.49	DCR|4VULN|3DMG	1aLHND|27aDMG|3FEWX|4LWND|568aVULN|9RCR|aBPWR
33	25234 51221	1	   	248.21	DCR|2VULN|3DUR|1TLV|2LIT|1CDMG	1LHND|2aVULN|3FEWX|4TLV|5aLIT|6CDMG|7RCR|89aDUR|aBPWR
34	41152 53321	4	   	248.09	DCR|2VULN|2DMG|2DUR|1CDMG	1MLV|2LIT|3aDUR|4aDMG|5CDMG|6RCR|7aVULN|8ASPD|9DUST|aBPWR
35	51152 53321	4	   	247.99	DCR|2VULN|2DMG|2DUR|1CDMG	1ERES|2LIT|3aDUR|4aDMG|5CDMG|6RCR|7aVULN|8ASPD|9DUST|aBPWR
36	41151 21422	7	 * 	247.88	DCR|2VULN|3DUR|1TLV|1DMG	1MLV|2LIT|358DUR|4DMG|6aVULN|7RCR|9TLV
37	51151 21422	7	   	247.78	DCR|2VULN|3DUR|1TLV|1DMG	1ERES|2LIT|358DUR|4DMG|6aVULN|7RCR|9TLV
38	41152 12622	7	   	246.79	DCR|3VULN|2DUR|1DMG|1CDMG	1MLV|2LIT|39DUR|4DMG|57aVULN|6CDMG|8RCR
39	51152 12632	7	   	246.69	DCR|3VULN|2DUR|1DMG|1CDMG	1ERES|2LIT|39DUR|4DMG|57aVULN|6CDMG|8RCR
40	51152 31432	7	   	246.69	DCR|3VULN|2DUR|1DMG|1CDMG	1ERES|2LIT|38DUR|4DMG|56aVULN|7RCR|9CDMG
41	21326 51211	1	   	246.43	DCR|2VULN|2DMG|2DUR|2LIT|1CDMG	1LHND|2aDMG|3FEWX|4CDMG|5aLIT|68DUR|7RCR|9aVULN|aBPWR
42	21426 51211	1	   	246.43	DCR|2VULN|2DMG|2DUR|2LIT|1CDMG	1LHND|2aDMG|3BEXP|4CDMG|5aLIT|68DUR|7RCR|9aVULN|aBPWR
43	21526 51211	1	   	246.43	DCR|2VULN|2DMG|2DUR|2LIT|1CDMG	1LHND|2aDMG|3LWND|4CDMG|5aLIT|68DUR|7RCR|9aVULN|aBPWR
44	21326 31231	1	   	246.43	DCR|2VULN|2DMG|2DUR|2LIT|1CDMG	1LHND|2aDMG|3FEWX|4CDMG|5aLIT|69VULN|7RCR|8aDUR|aBPWR
45	31253 51621	5	   	246.29	DCR|4VULN|2DMG|1CDMG	1LWND|2FEWX|39DMG|478aVULN|5CDMG|6RCR
46	51151 21432	7	 * 	246.27	DCR|3VULN|3DUR|1DMG	1ERES|2LIT|358DUR|4DMG|69aVULN|7RCR
47	25651 13221	1	   	246.13	DCR|3VULN|2DUR|1TLV|2LIT	13aLHND|23aVULN|3aBPWR|4RPLT|59DUR|6RCR|7TLV|8aLIT
48	35651 13221	1	   	246.13	DCR|3VULN|2DUR|1TLV|2LIT	13aLWND|23aVULN|3aBPWR|4RPLT|59DUR|6RCR|7TLV|8aLIT
49	14124 43132	1	   	246.11	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1RCVC|289VULN|3DMG|4TLV|5DUR|6RCR|7FEWX|aAART
50	35614 12211	1	   	246.08	DCR|4VULN|2DUR|1DMG	13LWND|2356VULN|36BPWR|46DUR|7DMG|8aLHND|9RCR
51	35614 12212	1	   	246.08	DCR|4VULN|2DUR|1DMG	13LWND|2356VULN|36BPWR|46DUR|7DMG|8LHND|9RCR|aFEWX
52	35614 12311	1	   	246.08	DCR|4VULN|2DUR|1DMG	13LWND|2356VULN|36BPWR|46DUR|7DMG|8BEXP|9RCR|aLHND
53	35614 12312	1	   	246.08	DCR|4VULN|2DUR|1DMG	13LWND|2356VULN|36BPWR|46DUR|7DMG|8BEXP|9RCR|aRMIN
54	35614 12313	1	   	246.08	DCR|4VULN|2DUR|1DMG	13LWND|2356VULN|36BPWR|46DUR|7DMG|8BEXP|9RCR|aFEWX
55	41535 11321	10	   	246.03	DCR|3VULN|2DUR|1TLV|2LIT	148MLV|2aLIT|3TLV|59aVULN|6aDUR|7RCR|aBPWR
56	35614 12213	1	   	245.98	DCR|4VULN|2DUR|1DMG	13LWND|2356VULN|36BPWR|46DUR|7DMG|8LHND|9RCR|aDUST
57	43314 43133	1	   	245.88	DCR|4VULN|2DUR|1DMG	1MLV|2DMG|3589VULN|4aDUR|6RCR|7FEWX
58	41542 31113	7	   	245.75	DCR|4VULN|1TLV|1DUR	1MLV|2LIT|3TLV|4DUR|569aVULN|7RCR|8CGEN
59	12521 21262	3	   	245.73	DCR|3VULN|2DMG|2TLV|1SELL	1RCVC|2SELL|3BELT|46aVULN|5aDMG|7RCR|8aTLV|9TBNT|aBPWR
60	51215 22622	2	   	244.80	DCR|3VULN|1TLV|1DUR|2LIT|1CDMG	1ERES|24LIT|3CDMG|5DUR|6TLV|7RCR|89aVULN
61	31256 26222	5	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LWND|2FEWX|3DMG|478VULN|5TLV|6ASPD|9DUR|aRCR
62	31356 16222	5	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LWND|2FEWX|3ASPD|478VULN|5TLV|6DMG|9DUR|aRCR
63	35235 33481	1	   	244.72	DCR|3VULN|2DUR|1TLV|1CDMG	18LWND|268VULN|3FEWX|4TLV|5MBVNT|78DUR|8BPWR|9CDMG|aRCR
64	35522 33481	1	   	244.72	DCR|3VULN|2DUR|1TLV|1CDMG	18LWND|268VULN|3MBVNT|4BEXP|5TLV|78DUR|8BPWR|9CDMG|aRCR
65	35531 33481	1	   	244.72	DCR|3VULN|2DUR|1TLV|1CDMG	18LWND|268VULN|3MBVNT|4TLV|5LHND|78DUR|8BPWR|9CDMG|aRCR
66	35542 33481	1	   	244.72	DCR|3VULN|2DUR|1TLV|1CDMG	18LWND|268VULN|3MBVNT|4LHND|5TLV|78DUR|8BPWR|9CDMG|aRCR
67	35114 11215	1	   	244.72	DCR|3VULN|2DUR|1TLV|1CDMG	1LWND|256VULN|3RCVC|46DUR|6BPWR|7TLV|8LHND|9RCR|aCDMG
68	25114 11233	1	   	244.30	DCR|3VULN|3DUR|1TLV	18LHND|256VULN|3RCVC|469DUR|6BPWR|7TLV|aRCR
69	51153 63233	10	   	244.10	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	15ERES|27LIT|3DUR|45DMG|5BPWR|6RCR|8TLV|9aVULN
70	31252 15332	4	 * 	244.03	DCR|2VULN|2DMG|2DUR|1TLV	1LWND|2FEWX|3aDMG|4aVULN|5DUST|6aDUR|7CGEN|8RCR|9TLV|aBPWR
71	54214 42532	6	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1ERES|2aDMG|3BEXP|4MBVNT|5FEWX|6aVULN|7RCR|8TLV|9aDUR|aBPWR
72	61252 15332	4	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2FEWX|3aDMG|4aVULN|5DUST|6aDUR|7TLV|8RCR|9ERES|aBPWR
