0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41122 42252	6	 * 	277.29	DCR|4VULN|3DMG|1DUR	189DMG|2DUST|3489VULN|589LWND|6RCR|7TBNT|89BPWR|aDUR
2	61628 32224	6	 * 	271.66	DCR|4VULN|3DUR|1DMG	158DUR|2RMIN|3MBVNT|4589VULN|58BPWR|6RCR|7TBNT|aDMG
3	41121 42252	6	   	270.71	DCR|4VULN|3DMG|1AART	189DMG|2DUST|3489VULN|589FEWX|6RCR|7TBNT|89BPWR|aAART
4	42226 34237	2	 * 	269.73	DCR|3VULN|2DMG|2DUR|1TLV	19DMG|2RMIN|39aVULN|4TLV|5FEWX|6MBVNT|79DUR|8RCR|9BPWR
5	61622 22126	6	 * 	269.35	DCR|4VULN|2DUR|2ASPD|1AART	1aDUR|2RMIN|3MBVNT|489aVULN|5aASPD|6AART|7RCR|aBPWR
6	61622 22126	5	   	269.35	DCR|4VULN|2DUR|2ASPD|1AART	1aDUR|2RMIN|3MBVNT|489aVULN|5aASPD|6AART|7RCR|aBPWR
7	61321 31624	1	   	268.44	DCR|3VULN|2DMG|2DUR|2LIT	19DUR|278VULN|3BELT|49LIT|59DMG|6RPLT|9BPWR|aRCR
8	63634 22152	9	 * 	268.10	DCR|4VULN|2DUR|2CDMG|1AART	18DUR|2FEWX|3589VULN|4MBVNT|6AART|78CDMG|8BPWR|aRCR
9	63634 22154	10	   	268.10	DCR|4VULN|2DUR|2CDMG|1AART	18DUR|2FEWX|3589VULN|4MBVNT|6AART|78CDMG|8BPWR|aRCR
10	41523 22236	1	 * 	266.61	DCR|3VULN|3DUR|2DMG	18DMG|2FEWX|3LEGI|468DUR|58aVULN|7TBNT|8BPWR|9RCR
11	64315 23321	1	   	265.25	DCR|4VULN|3DUR|1CDMG	179DUR|279ERES|3CDMG|4BEXP|5BBNT|679aVULN|79BPWR|8RCR
12	46121 23221	9	 * 	264.93	DCR|5VULN|2DMG	1aDMG|26LWND|3489aVULN|5aFEWX|7RCR|aBPWR
13	46121 23261	8	   	264.93	DCR|5VULN|2DMG	1aDMG|26LWND|3489aVULN|5aFEWX|7RCR|aBPWR
14	46122 23221	9	   	264.93	DCR|5VULN|2DMG	1aDMG|25LWND|3489aVULN|6aFEWX|7RCR|aBPWR
15	46122 23261	8	   	264.93	DCR|5VULN|2DMG	1aDMG|25LWND|3489aVULN|6aFEWX|7RCR|aBPWR
16	41123 62141	4	 * 	264.91	DCR|4VULN|2DMG|3LIT|1SELL	1aDMG|2DUST|346aVULN|57aLIT|8SELL|9RCR|aBPWR
17	46123 42232	6	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	18DMG|2LWND|348VULN|58DUR|6RCR|7TBNT|8BPWR|9LHND|aASPD
18	61322 33326	1	   	264.33	DCR|4VULN|2DUR|2LIT|1ASPD	17DUR|2679VULN|3BELT|47LIT|5TBNT|7BPWR|8ASPD|aRCR
19	41523 34237	4	   	264.29	DCR|3VULN|2DMG|2DUR|1ASPD	19DMG|2DUST|3LEGI|459VULN|6MBVNT|79DUR|8RCR|9BPWR|aASPD
20	46123 13315	5	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	1aDMG|26LWND|34aVULN|5aDUR|7RCR|8RMIN|9AART|aBPWR
21	46123 13315	3	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	1aDMG|26LWND|35aVULN|4aDUR|7RCR|8RMIN|9AART|aBPWR
22	46123 13315	4	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	1aDMG|26LWND|34aVULN|5aDUR|7RCR|8RMIN|9AART|aBPWR
23	46123 23315	6	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	1aDMG|26LWND|34aVULN|5aDUR|7RCR|8RMIN|9AART|aBPWR
24	42213 21155	8	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	1aDMG|27RMIN|3FEWX|4aDUR|58aVULN|6AART|9RCR|aBPWR
25	42213 21155	9	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	1aDMG|27RMIN|3FEWX|4aDUR|58aVULN|6AART|9RCR|aBPWR
26	42213 21625	5	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	1aDMG|2RMIN|3FEWX|4aDUR|59aVULN|6AART|7RCVC|8RCR|aBPWR
27	42213 21625	6	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	1aDMG|2RMIN|3FEWX|4aDUR|59aVULN|6AART|7RCVC|8RCR|aBPWR
28	42213 21625	7	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	1aDMG|27RMIN|3FEWX|4aDUR|59aVULN|6AART|8RCR|aBPWR
29	42313 21625	7	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1aDMG|27RMIN|3DUST|4aDUR|59aVULN|6AART|8RCR|aBPWR
30	42313 21625	5	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1aDMG|2RMIN|3DUST|4aDUR|59aVULN|6AART|7RCVC|8RCR|aBPWR
31	42313 21625	6	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1aDMG|2RMIN|3DUST|4aDUR|59aVULN|6AART|7RCVC|8RCR|aBPWR
32	42313 21155	8	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1aDMG|27RMIN|3DUST|4aDUR|58aVULN|6AART|9RCR|aBPWR
33	42313 21155	9	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1aDMG|27RMIN|3DUST|4aDUR|58aVULN|6AART|9RCR|aBPWR
34	41523 34235	4	   	262.94	DCR|3VULN|2DMG|2DUR|1AART	19DMG|2DUST|3LEGI|459VULN|6MBVNT|79DUR|8RCR|9BPWR|aAART
35	61223 63343	1	   	262.93	DCR|4VULN|2DUR|1TLV	13DUR|269aVULN|4TLV|5LIT|7DMSP|8RCR
36	62223 63343	1	   	262.93	DCR|4VULN|2DUR|1TLV	12DUR|369aVULN|4TLV|5LIT|7DMSP|8RCR
37	61123 62343	1	   	262.93	DCR|4VULN|2DUR|1TLV	17DUR|269aVULN|3DMSP|4TLV|5LIT|8RCR
38	61222 62315	5	   	261.85	DCR|3VULN|2DUR|1DMG|2LIT|1ASPD	1aDUR|2RMIN|3LHND|46aVULN|5ASPD|7DMG|8RCR|9aLIT|aBPWR
39	61322 33356	1	   	261.75	DCR|3VULN|2DUR|1DMG|2LIT|1ASPD	17DUR|267VULN|3BELT|47LIT|5TBNT|7BPWR|8ASPD|9DMG|aRCR
40	41523 34234	4	   	261.59	DCR|3VULN|2DMG|2DUR	19DMG|2DUST|3LEGI|459VULN|6MBVNT|79DUR|8RCR|9BPWR|aLIT
41	41223 25236	3	   	261.34	DCR|4VULN|2DMG|1DUR	18DMG|28DUST|3LHND|4DUR|589aVULN|6TBNT|7RCR|8BPWR
42	63363 21125	7	   	261.26	DCR|4VULN|3DUR|1AART	14aDUR|2FEWX|3aDUST|589aVULN|6AART|7RCR|aBPWR
43	41121 42251	6	   	261.04	DCR|4VULN|3DMG	189DMG|2DUST|3489VULN|589FEWX|6RCR|7TBNT|89BPWR|aLWND
44	41121 42253	6	   	261.04	DCR|4VULN|3DMG	189DMG|2DUST|3489VULN|589FEWX|6RCR|7TBNT|89BPWR|aLHND
45	41122 42251	6	   	261.04	DCR|4VULN|3DMG	189DMG|2DUST|3489VULN|589LWND|6RCR|7TBNT|89BPWR|aLHND
46	41122 42253	6	   	261.04	DCR|4VULN|3DMG	189DMG|2DUST|3489VULN|589LWND|6RCR|7TBNT|89BPWR|aBEXP
47	41132 32441	5	   	259.90	DCR|4VULN|2DMG|2LIT|1SELL	1aDMG|2DUST|378aVULN|4SELL|5RCVC|6aLIT|9RCR|aBPWR
48	41133 32441	5	   	259.80	DCR|4VULN|2DMG|2LIT|1SELL	1aDMG|25DUST|378aVULN|4SELL|6aLIT|9RCR|aBPWR
49	61316 13332	1	   	259.11	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	14DUR|24aVULN|3BELT|4BPWR|5DUST|6AART|7DMG|8CDMG|9RCR
50	42263 14232	2	 * 	258.96	DCR|3VULN|2DMG|2CDMG|1DUR	19DMG|2RMIN|39aVULN|4DUR|5LHND|69CDMG|7RPLT|8RCR|9BPWR
51	45213 14232	1	   	258.96	DCR|3VULN|2DMG|2CDMG|1TLV	19DMG|2TLV|39aVULN|4FEWX|5LHND|69CDMG|7RPLT|8RCR|9BPWR
52	41122 14236	3	   	258.86	DCR|3VULN|2DMG|2CDMG|1DUR	19DMG|2DUST|39aVULN|4DUR|5MLV|69CDMG|7RPLT|8RCR|9BPWR
