0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22152 22561	6	 * 	281.71	DCR|4VULN|3DMG|1ASPD|1AART	1AART|27CGEN|3ASPD|457aVULN|678DMG|7BPWR|9RCR
2	21152 26123	3	 * 	276.87	DCR|5VULN|2TLV|2CDMG|1AART	1AART|27CDMG|3567aVULN|47TLV|7BPWR|8MLV|9RCR
3	21452 26123	2	   	276.87	DCR|5VULN|2TLV|2CDMG|1AART	1AART|27CDMG|3567aVULN|47TLV|7BPWR|8MLV|9RCR
4	21146 13613	7	 * 	276.40	DCR|4VULN|2DUR|2CDMG|1AART	1AART|28CDMG|3789VULN|4DUST|5LIT|68DUR|8BPWR|aRCR
5	22152 22443	6	 * 	276.26	DCR|4VULN|2DMG|2ASPD|1AART	1AART|27CGEN|38ASPD|457aVULN|67DMG|7BPWR|9RCR
6	22152 22563	6	   	275.32	DCR|3VULN|3DMG|1DUR|1ASPD|1AART	1AART|27CGEN|3ASPD|457VULN|678DMG|7BPWR|9RCR|aDUR
7	22152 22516	6	   	275.32	DCR|3VULN|3DMG|1DUR|1ASPD|1AART	1AART|27CGEN|3ASPD|457VULN|678DMG|7BPWR|9DUR|aRCR
8	21152 26324	3	   	273.58	DCR|4VULN|2TLV|2CDMG|1DUR|1AART	1AART|27CDMG|3567VULN|47TLV|7BPWR|8LHND|9RCR|aDUR
9	21152 26523	3	   	273.58	DCR|4VULN|2TLV|2CDMG|1DUR|1AART	1AART|27CDMG|3567VULN|47TLV|7BPWR|8CGEN|9RCR|aDUR
10	21152 26621	3	   	273.58	DCR|4VULN|2TLV|2CDMG|1DUR|1AART	1AART|27CDMG|3567VULN|47TLV|7BPWR|8DUR|9RCR|aDMSP
11	21152 26623	3	   	273.58	DCR|4VULN|2TLV|2CDMG|1DUR|1AART	1AART|27CDMG|3567VULN|47TLV|7BPWR|8DUR|9RCR|aLHND
12	21152 26224	3	   	273.48	DCR|4VULN|2TLV|2CDMG|1DUR|1AART	1AART|27CDMG|3567VULN|47TLV|7BPWR|8LEGI|9RCR|aDUR
13	21152 26622	3	   	273.48	DCR|4VULN|2TLV|2CDMG|1DUR|1AART	1AART|27CDMG|3567VULN|47TLV|7BPWR|8DUR|9RCR|aERES
14	21122 24642	3	   	272.69	DCR|4VULN|2DUR|1CDMG|1ASPD|1AART	1AART|2CDMG|3569VULN|4ASPD|78DUR|aRCR
15	23433 11143	3	   	270.61	DCR|4VULN|3DMG|1AART	1AART|268DUST|3aBEXP|48aDMG|568aVULN|68aBPWR|7BBNT|9RCR
16	46332 63131	2	   	270.10	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	1aLIT|2DUR|39aVULN|4RPLT|5BEXP|6TLV|7RCR|8aDMG|aBPWR
17	21146 13622	7	   	270.01	DCR|3VULN|2DUR|2CDMG|1TLV|1AART	1AART|28CDMG|378VULN|4DUST|5LIT|68DUR|8BPWR|9TLV|aRCR
18	62313 33624	5	 * 	268.99	DCR|3VULN|3DUR|3TLV|1DMG	137ERES|289DUR|478VULN|578TLV|6RCR|78BPWR|aDMG
19	43132 36162	1	 * 	268.62	DCR|3VULN|2DMG|3LIT|1DUR|1AART	13aLIT|23aVULN|3aBPWR|4DUR|5RCVC|6RCR|7FEWX|8aDMG|9AART
20	43133 13462	1	   	268.62	DCR|3VULN|2DMG|3LIT|1DUR|1AART	13aLIT|23aVULN|3aBPWR|4DUR|56LHND|7aDMG|8RCR|9AART
21	21152 26322	3	   	268.33	DCR|4VULN|2TLV|2CDMG|1ASPD|1AART	1AART|27CDMG|3567VULN|47TLV|7BPWR|8LHND|9RCR|aASPD
22	21452 26322	2	   	268.33	DCR|4VULN|2TLV|2CDMG|1ASPD|1AART	1AART|27CDMG|3567VULN|47TLV|7BPWR|8LHND|9RCR|aASPD
23	21122 23642	3	   	268.31	DCR|4VULN|2ASPD|1DUR|1CDMG|1AART	1AART|2CDMG|3569VULN|47ASPD|8DUR|aRCR
24	21422 23642	2	   	268.31	DCR|4VULN|2ASPD|1DUR|1CDMG|1AART	1AART|2CDMG|3569VULN|47ASPD|8DUR|aRCR
25	21152 26222	3	   	268.23	DCR|4VULN|2TLV|2CDMG|1ASPD|1AART	1AART|27CDMG|3567VULN|47TLV|7BPWR|8LEGI|9RCR|aASPD
26	21452 26222	2	   	268.23	DCR|4VULN|2TLV|2CDMG|1ASPD|1AART	1AART|27CDMG|3567VULN|47TLV|7BPWR|8LEGI|9RCR|aASPD
27	43121 31311	1	   	267.95	DCR|5VULN|1DUR|2LIT|1AART	13LIT|23569VULN|3BPWR|4RPLT|7DUR|8AART|aRCR
28	21152 24242	3	   	267.06	DCR|4VULN|2TLV|1DUR|1CDMG|1AART	1AART|2CDMG|3569VULN|48TLV|7DUR|aRCR
29	22151 22561	6	   	266.84	DCR|3VULN|3DMG|2AART|1ASPD	15AART|27CGEN|3ASPD|47aVULN|678DMG|7BPWR|9RCR
30	22152 22243	8	   	265.85	DCR|4VULN|2DMG|1ASPD|1AART	1AART|2CGEN|3ASPD|457aVULN|68DMG|9RCR
31	22152 22543	7	   	265.85	DCR|4VULN|2DMG|1ASPD|1AART	1AART|2CGEN|3ASPD|457aVULN|68DMG|9RCR
32	21152 26321	3	   	265.10	DCR|4VULN|2TLV|2CDMG|2AART	1aAART|27CDMG|3567VULN|47TLV|7BPWR|8LHND|9RCR
33	21452 26321	2	   	265.10	DCR|4VULN|2TLV|2CDMG|2AART	1aAART|27CDMG|3567VULN|47TLV|7BPWR|8LHND|9RCR
34	21152 26221	3	   	265.00	DCR|4VULN|2TLV|2CDMG|2AART	1aAART|27CDMG|3567VULN|47TLV|7BPWR|8LEGI|9RCR
35	21452 26221	2	   	265.00	DCR|4VULN|2TLV|2CDMG|2AART	1aAART|27CDMG|3567VULN|47TLV|7BPWR|8LEGI|9RCR
36	21152 21523	3	   	263.35	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1AART|2CDMG|3569VULN|4TLV|7CGEN|8RCR|aDUR
37	21452 21523	2	   	263.35	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1AART|2CDMG|3569VULN|4TLV|7CGEN|8RCR|aDUR
38	21122 24624	3	   	263.27	DCR|3VULN|3DUR|1CDMG|1ASPD|1AART	1AART|2CDMG|356VULN|4ASPD|78aDUR|9RCR
39	21152 22523	3	   	263.25	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1AART|2CDMG|3569VULN|4TLV|7ERES|8RCR|aDUR
