0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12316 12636	4	 * 	295.62	DCR|5VULN|3DUR|2CDMG|1AART	18CDMG|24578VULN|345DUR|458BPWR|6AART|9ASPD|aRCR
2	12316 32312	4	 * 	295.49	DCR|4VULN|3DUR|2TLV|1CDMG	1CDMG|2459VULN|345DUR|45BPWR|67TLV|8RCR|aASPD
3	12316 32313	4	   	295.49	DCR|4VULN|3DUR|2TLV|1CDMG	1CDMG|2459VULN|345DUR|45BPWR|67TLV|8RCR|aLIT
4	12315 32164	8	 * 	288.79	DCR|3VULN|2DMG|2DUR|1TLV|2CDMG	18CDMG|248VULN|34DUR|48BPWR|5MBVNT|6BEXP|78DMG|9RCR|aTLV
5	12316 13518	4	   	288.66	DCR|4VULN|3DUR|1TLV|1CDMG|1AART	1CDMG|2458VULN|345DUR|45BPWR|6AART|7MBVNT|9TLV|aRCR
6	12316 21312	4	   	287.41	DCR|4VULN|3DUR|1TLV|1CDMG	1CDMG|2459VULN|345DUR|45BPWR|6RCVC|7TLV|8RCR|aASPD
7	12316 21313	4	   	287.41	DCR|4VULN|3DUR|1TLV|1CDMG	1CDMG|2459VULN|345DUR|45BPWR|6RCVC|7TLV|8RCR|aLIT
8	12315 61312	4	   	287.31	DCR|4VULN|3DUR|1TLV|1CDMG	1CDMG|2459VULN|346DUR|4BPWR|7TLV|8RCR|aASPD
9	12315 61313	4	   	287.31	DCR|4VULN|3DUR|1TLV|1CDMG	1CDMG|2459VULN|346DUR|4BPWR|7TLV|8RCR|aLIT
10	12356 61312	4	   	287.31	DCR|4VULN|3DUR|1TLV|1CDMG	1CDMG|2459VULN|356DUR|5BPWR|7TLV|8RCR|aASPD
11	12356 61313	4	   	287.31	DCR|4VULN|3DUR|1TLV|1CDMG	1CDMG|2459VULN|356DUR|5BPWR|7TLV|8RCR|aLIT
12	12316 32311	4	   	287.18	DCR|4VULN|3DUR|2TLV|1CDMG	1CDMG|2459VULN|345DUR|45BPWR|67TLV|8RCR|aRCVC
13	12316 32316	4	   	287.18	DCR|4VULN|3DUR|2TLV|1CDMG	1CDMG|2459VULN|345DUR|45BPWR|67TLV|8RCR|aCGEN
14	12316 32325	4	   	287.18	DCR|4VULN|3DUR|2TLV|1CDMG	1CDMG|245aVULN|345DUR|45BPWR|67TLV|8RCR|9MLV
15	12316 32315	4	   	287.08	DCR|4VULN|3DUR|2TLV|1CDMG	1CDMG|2459VULN|345DUR|45BPWR|67TLV|8RCR|aBBNT
16	13536 11523	6	 * 	286.11	DCR|4VULN|1TLV|1DMG|1DUR|2LIT|1CDMG	1CDMG|24LIT|3479VULN|4BPWR|5DMG|6RCR|8DUR|aTLV
17	12316 53511	4	 * 	284.43	DCR|3VULN|3DUR|1TLV|1DMG|2CDMG	18CDMG|245VULN|345DUR|45BPWR|6RPLT|7DMG|9TLV|aRCR
18	34123 64133	8	 * 	283.59	DCR|5VULN|3DUR|1TLV	14569VULN|237DUR|8RCR|aTLV
19	12315 56323	4	   	282.39	DCR|4VULN|2DUR|1TLV|1CDMG	1CDMG|2459VULN|34DUR|4BPWR|6ASPD|7RCR|8LIT|aTLV
20	61333 52153	10	 * 	281.95	DCR|3VULN|3DUR|2DMG|1TLV	168DUR|2DUST|3RPLT|458VULN|78DMG|8BPWR|9RCR|aTLV
21	34126 32312	7	   	281.59	DCR|4VULN|3DUR|2TLV|1SELL	1479VULN|237DUR|5SELL|67TLV|7BPWR|8RCR|aASPD
22	34126 32313	7	   	281.59	DCR|4VULN|3DUR|2TLV|1SELL	1479VULN|237DUR|5SELL|67TLV|7BPWR|8RCR|aLIT
23	12316 26315	7	 * 	280.27	DCR|4VULN|2TLV|2DUR|2CDMG	17CDMG|2479VULN|34DUR|47BPWR|5ZMB|67TLV|8BBNT|aRCR
24	34532 31431	5	 * 	280.17	DCR|4VULN|3TLV|2DUR|3LIT	1378VULN|28DUR|457LIT|678TLV|78BPWR|9TBNT|aRCR
25	12316 21311	4	   	279.10	DCR|4VULN|3DUR|1TLV|1CDMG	1CDMG|2459VULN|345DUR|45BPWR|6aRCVC|7TLV|8RCR
26	12316 21316	4	   	279.10	DCR|4VULN|3DUR|1TLV|1CDMG	1CDMG|2459VULN|345DUR|45BPWR|6RCVC|7TLV|8RCR|aCGEN
27	12316 21325	4	   	279.10	DCR|4VULN|3DUR|1TLV|1CDMG	1CDMG|245aVULN|345DUR|45BPWR|6RCVC|7TLV|8RCR|9MLV
28	12315 61311	4	   	279.00	DCR|4VULN|3DUR|1TLV|1CDMG	1CDMG|2459VULN|346DUR|4BPWR|7TLV|8RCR|aRCVC
29	12315 61316	4	   	279.00	DCR|4VULN|3DUR|1TLV|1CDMG	1CDMG|2459VULN|346DUR|4BPWR|7TLV|8RCR|aCGEN
30	12315 61325	4	   	279.00	DCR|4VULN|3DUR|1TLV|1CDMG	1CDMG|245aVULN|346DUR|4BPWR|7TLV|8RCR|9MLV
31	12316 21315	4	   	279.00	DCR|4VULN|3DUR|1TLV|1CDMG	1CDMG|2459VULN|345DUR|45BPWR|6RCVC|7TLV|8RCR|aBBNT
32	12356 61311	4	   	279.00	DCR|4VULN|3DUR|1TLV|1CDMG	1CDMG|2459VULN|356DUR|5BPWR|7TLV|8RCR|aRCVC
33	43613 12323	8	   	279.00	DCR|4VULN|3DUR|1TLV|1CDMG	1DMSP|279ERES|3CDMG|4679VULN|579DUR|79BPWR|8RCR|aTLV
34	12315 61315	4	   	278.90	DCR|4VULN|3DUR|1TLV|1CDMG	1CDMG|2459VULN|346DUR|4BPWR|7TLV|8RCR|aBBNT
35	34523 63323	5	   	278.77	DCR|5VULN|2DUR|1TLV	13456VULN|26DUR|6BPWR|7CGEN|8TLV|9RCR|aLIT
36	32215 52326	7	 * 	278.68	DCR|3VULN|3DUR|2TLV|3CDMG	17aVULN|2MLV|367DUR|4RCVC|57aCDMG|7aBPWR|8RCR|9aTLV
37	32613 52326	7	   	278.68	DCR|3VULN|3DUR|2TLV|3CDMG	17aVULN|24MLV|37aCDMG|567DUR|7aBPWR|8RCR|9aTLV
38	12315 32165	8	 * 	278.24	DCR|3VULN|3DMG|2DUR|2CDMG	18CDMG|248VULN|34DUR|48BPWR|5MBVNT|6BEXP|78aDMG|9RCR
39	12316 53411	4	   	278.11	DCR|3VULN|3DUR|1TLV|1DMG|1CDMG	1CDMG|245VULN|345DUR|45BPWR|6RPLT|7DMG|8RCVC|9TLV|aRCR
40	12315 31311	4	   	278.01	DCR|3VULN|3DUR|1TLV|1DMG|1CDMG	1CDMG|245VULN|349DUR|4BPWR|6RPLT|7TLV|8DMG|aRCR
41	12316 34622	4	   	278.01	DCR|3VULN|3DUR|1TLV|1DMG|1CDMG	1CDMG|245VULN|345DUR|45BPWR|6TLV|7LHND|8MBVNT|9RCR|aDMG
42	12316 36224	4	   	278.01	DCR|3VULN|3DUR|1TLV|1DMG|1CDMG	1CDMG|245VULN|345DUR|45BPWR|6TLV|7BBNT|8DMG|9LHND|aRCR
43	12356 31311	4	   	278.01	DCR|3VULN|3DUR|1TLV|1DMG|1CDMG	1CDMG|245VULN|359DUR|5BPWR|6RPLT|7TLV|8DMG|aRCR
44	13536 16112	8	 * 	277.94	DCR|4VULN|2TLV|1DMG|2LIT|1CDMG	1CDMG|24LIT|3478VULN|4BPWR|5DMG|6RCR|9aTLV
45	12316 33436	5	 * 	277.22	DCR|4VULN|2DMG|2DUR|1CDMG	1CDMG|246aVULN|34DUR|4BPWR|5ZMB|79DMG|8RCR
46	34123 66122	10	   	277.12	DCR|4VULN|2DMG|2DUR|1CDMG	1456VULN|23DUR|7aDMG|8CDMG|9RCR
47	31316 13163	1	 * 	276.80	DCR|3VULN|2DMG|2TLV|2DUR	13aVULN|2aTLV|4LHND|57DMG|6aDUR|8RCR|9LEGI|aBPWR
48	12316 32333	4	   	275.79	DCR|3VULN|3DUR|2TLV|1CDMG|1AART	1CDMG|245VULN|345DUR|45BPWR|67TLV|8RCR|9BEXP|aAART
49	12316 32353	4	   	275.79	DCR|3VULN|3DUR|2TLV|1CDMG|1AART	1CDMG|245VULN|345DUR|45BPWR|67TLV|8RCR|9FEWX|aAART
50	12316 32343	4	   	275.69	DCR|3VULN|3DUR|2TLV|1CDMG|1AART	1CDMG|245VULN|345DUR|45BPWR|67TLV|8RCR|9DUST|aAART
51	12315 13121	4	   	275.46	DCR|4VULN|3DUR|2CDMG|2ASPD	19CDMG|245aVULN|349DUR|49BPWR|6BELT|79ASPD|8RCR
52	12356 13121	4	   	275.46	DCR|4VULN|3DUR|2CDMG|2ASPD	19CDMG|245aVULN|359DUR|59BPWR|6BELT|79ASPD|8RCR
53	33332 31355	1	 * 	275.33	DCR|4VULN|2DMG|3TLV	1378VULN|2RMIN|4LIT|57DMG|679TLV|7BPWR|aRCR
54	34123 61513	5	   	275.01	DCR|4VULN|3DUR|1TLV|1AART	1456VULN|236DUR|6BPWR|7FEWX|8RCR|9TLV|aAART
55	13536 12431	10	   	274.72	DCR|3VULN|1TLV|1DMG|1DUR|2LIT|1CDMG|1AART	1CDMG|24LIT|349VULN|4BPWR|5DMG|6RCR|7TLV|8AART|aDUR
56	12315 13126	4	   	274.47	DCR|3VULN|3DUR|1DMG|2CDMG|2ASPD	19CDMG|245VULN|349DUR|49BPWR|6BELT|79ASPD|8RCR|aDMG
57	12356 13126	4	   	274.47	DCR|3VULN|3DUR|1DMG|2CDMG|2ASPD	19CDMG|245VULN|359DUR|59BPWR|6BELT|79ASPD|8RCR|aDMG
58	12316 32323	4	   	274.44	DCR|3VULN|3DUR|2TLV|1CDMG	1CDMG|245VULN|345DUR|45BPWR|67TLV|8RCR|9MLV|aLIT
59	12222 52114	2	   	274.35	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG|1AART	1CDMG|26aVULN|3AART|49DUR|5DMG|7TLV|8RCR
60	32222 52114	1	   	274.35	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG|1AART	16aVULN|2AART|3CDMG|49DUR|5DMG|7TLV|8RCR
61	12366 32312	3	   	274.34	DCR|3VULN|3DUR|2TLV|1CDMG	1CDMG|259VULN|345DUR|5BPWR|67TLV|8RCR|aASPD
62	12366 32312	2	   	274.34	DCR|3VULN|3DUR|2TLV|1CDMG	1CDMG|259VULN|345DUR|5BPWR|67TLV|8RCR|aASPD
63	12366 32313	3	   	274.34	DCR|3VULN|3DUR|2TLV|1CDMG	1CDMG|259VULN|345DUR|5BPWR|67TLV|8RCR|aLIT
64	12366 32313	2	   	274.34	DCR|3VULN|3DUR|2TLV|1CDMG	1CDMG|259VULN|345DUR|5BPWR|67TLV|8RCR|aLIT
65	11536 43311	7	 * 	274.26	DCR|3VULN|3TLV|1DMG|2CDMG|1DUR|1AART	18CDMG|258TLV|3AART|478VULN|6RCR|8BPWR|9DMG|aDUR
66	12355 32164	8	   	274.10	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	18CDMG|248VULN|3DUR|5MBVNT|6BEXP|78DMG|8BPWR|9RCR|aTLV
67	34526 13123	4	   	273.75	DCR|4VULN|1TLV|2CDMG|2ASPD|1DUR	1349VULN|2DUR|59CDMG|6BELT|79ASPD|8RCR|9BPWR|aTLV
68	14433 12325	8	 * 	273.56	DCR|4VULN|3DUR|3CDMG	179CDMG|24ERES|3679VULN|579DUR|79BPWR|8RCR|aASPD
69	34126 32326	7	 * 	273.39	DCR|4VULN|3DUR|3TLV|1SELL	147aVULN|237DUR|5SELL|67aTLV|7aBPWR|8RCR|9aMLV
70	34126 32311	7	   	273.29	DCR|4VULN|3DUR|2TLV|1SELL	1479VULN|237DUR|5SELL|67TLV|7BPWR|8RCR|aRCVC
71	34126 32316	7	   	273.29	DCR|4VULN|3DUR|2TLV|1SELL	1479VULN|237DUR|5SELL|67TLV|7BPWR|8RCR|aCGEN
72	34126 32325	7	   	273.29	DCR|4VULN|3DUR|2TLV|1SELL	147aVULN|237DUR|5SELL|67TLV|7BPWR|8RCR|9MLV
73	34126 32315	7	   	273.19	DCR|4VULN|3DUR|2TLV|1SELL	1479VULN|237DUR|5SELL|67TLV|7BPWR|8RCR|aBBNT
74	12314 66311	6	   	273.09	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1CDMG|249VULN|34DUR|4BPWR|5LWND|6TLV|7DMG|8RCR|aASPD
75	12314 66312	6	   	273.09	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1CDMG|249VULN|34DUR|4BPWR|5LWND|6TLV|7DMG|8RCR|aLIT
76	12316 53215	4	 * 	272.96	DCR|4VULN|3DUR|1DMG|1CDMG	1CDMG|245aVULN|345DUR|45BPWR|6RPLT|7DMG|8RCR|9MLV
77	13531 41141	6	 * 	272.90	DCR|3VULN|2TLV|3LIT|2CDMG|1DUR	18CDMG|248LIT|347VULN|48BPWR|5DUR|68TLV|9ASPD|aRCR
