0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23484 31414	1	 * 	267.23	DCR|3VULN|3DUR|2TLV|2LIT	189DUR|2MBVNT|34LIT|568VULN|78TLV|8BPWR|aRCR
2	22122 21246	2	 * 	266.77	DCR|2VULN|3DMG|3DUR|2CDMG	158DUR|2aERES|38CDMG|4DMSP|68aDMG|7RCR|8aBPWR|9aVULN
3	22162 21246	2	   	266.77	DCR|2VULN|3DMG|3DUR|2CDMG	158DUR|2aERES|38CDMG|4RCVC|68aDMG|7RCR|8aBPWR|9aVULN
4	22622 21246	3	   	266.77	DCR|2VULN|3DMG|3DUR|2CDMG	158DUR|2aERES|38CDMG|4DMSP|68aDMG|7RCR|8aBPWR|9aVULN
5	26122 21246	1	   	266.77	DCR|2VULN|3DMG|3DUR|2CDMG	158DUR|2aERES|38CDMG|4DMSP|68aDMG|7RCR|8aBPWR|9aVULN
6	23143 42215	8	 * 	265.87	DCR|4VULN|2DUR|1TLV|1CDMG	17DUR|2MLV|37FEWX|4567VULN|7BPWR|8CDMG|9RCR|aTLV
7	36523 62113	10	 * 	265.56	ACR|4VULN|2DMG|2TLV|2DUR	1RCR|237aVULN|4aTLV|57ERES|67DMG|7aBPWR|8DLOT|9aDUR
8	36421 32622	10	 * 	264.14	ACR|4VULN|2DMG|1TLV|2CDMG|2AART	1RCR|267aVULN|34AART|5TLV|8aDMG|9aCDMG|aBPWR
9	24236 31325	1	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1DUR|256aVULN|3FEWX|4LIT|7TLV|8RCR|9CDMG
10	24236 31325	4	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1DUR|2LIT|3FEWX|456aVULN|7TLV|8RCR|9CDMG
11	24336 31325	4	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1DUR|2LIT|3BEXP|456aVULN|7TLV|8RCR|9CDMG
12	35511 21236	1	 * 	259.28	ACR|5VULN|2DMG|2DUR|1AART	1RCR|2AART|34567VULN|8aDUR|9aDMG|aBPWR
13	36411 21236	3	   	259.28	ACR|5VULN|2DMG|2DUR|1AART	1RCR|24567VULN|3AART|8aDUR|9aDMG|aBPWR
14	23233 81138	1	 * 	259.21	DCR|4VULN|3DUR|1DMG	156DUR|2MBVNT|3BELT|4567VULN|56BPWR|8CGEN|9DMG|aRCR
15	23233 88282	1	   	259.11	DCR|4VULN|3DUR|1DMG	156DUR|2MBVNT|3BELT|4568VULN|568BPWR|7BBNT|9RCR|aDMG
16	23233 81438	1	   	259.11	DCR|4VULN|3DUR|1DMG	156DUR|2MBVNT|3BELT|4567VULN|56BPWR|8ERES|9DMG|aRCR
17	36522 62331	7	 * 	258.85	ACR|4VULN|3DMG|1TLV|1DUR	1RCR|2378VULN|4TLV|578CGEN|678DMG|78BPWR|9RMIN|aDUR
18	36523 62323	7	   	258.55	ACR|4VULN|3DMG|1TLV|1DUR	1RCR|2378VULN|4TLV|578ERES|678DMG|78BPWR|9LWND|aDUR
19	24323 54332	1	   	257.85	DCR|3VULN|3DUR|1TLV|1CDMG	136DUR|246VULN|5RMIN|6BPWR|7CDMG|8TBNT|9TLV|aRCR
20	36224 21335	7	 * 	257.84	ACR|3VULN|3DUR|2DMG|3TLV	1RCR|29aVULN|3RPLT|4aDMG|5LEGI|69aDUR|789TLV|9aBPWR
