0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23523 16441	3	 * 	292.04	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG|1AART	17DMG|267VULN|3AART|47DUR|5MBVNT|7BPWR|8CDMG|9RCR|aTLV
2	23663 32333	9	 * 	290.65	DCR|4VULN|3DUR|2DMG|1CDMG	19DMG|2469VULN|34FEWX|49BPWR|5CDMG|789DUR|aRCR
3	23561 35321	5	 * 	289.57	DCR|3VULN|3DMG|3DUR|1AART	147DMG|247VULN|3AART|47BPWR|579DUR|6RCR|8RMIN|aASPD
4	23561 35112	5	 * 	289.09	DCR|4VULN|3DMG|2DUR|1AART	147DMG|247aVULN|3AART|47BPWR|57DUR|6RCR|8LHND|9LWND
5	23561 35212	5	   	289.09	DCR|4VULN|3DMG|2DUR|1AART	147DMG|247aVULN|3AART|47BPWR|57DUR|6RCR|8FEWX|9LWND
6	23561 35222	5	   	288.99	DCR|4VULN|3DMG|2DUR|1AART	147DMG|247aVULN|3AART|47BPWR|57DUR|6RCR|8FEWX|9LEGI
7	23523 16446	3	   	286.88	DCR|4VULN|2DMG|2DUR|1CDMG|1AART	17DMG|267aVULN|3AART|47DUR|5MBVNT|7BPWR|8CDMG|9RCR
8	23162 54313	10	 * 	284.02	DCR|5VULN|2TLV|1DMG|1DUR	1DMG|2589aVULN|3BELT|45TLV|5BPWR|6RCR|7DUR
9	23156 11321	10	   	282.47	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	17DMG|279VULN|3BELT|4CDMG|5TLV|67DUR|7BPWR|8RPLT|aRCR
10	23321 65235	10	 * 	282.05	DCR|3VULN|3DUR|2DMG|1TLV	17DMG|267VULN|3LHND|4BEXP|578DUR|7BPWR|9TLV|aRCR
11	23561 35323	5	   	281.26	DCR|3VULN|3DMG|3DUR|1AART	147DMG|247VULN|3AART|47BPWR|579DUR|6RCR|8RMIN|aFEWX
12	23561 35322	5	   	281.16	DCR|3VULN|3DMG|3DUR|1AART	147DMG|247VULN|3AART|47BPWR|579DUR|6RCR|8RMIN|aERES
13	23336 23134	10	   	280.01	DCR|3VULN|3DMG|3DUR	189DMG|289VULN|345LHND|6ASPD|789DUR|89BPWR|aRCR
14	23566 11321	5	 * 	279.46	DCR|3VULN|3DMG|1TLV|1DUR|1AART	145DMG|246VULN|3AART|4BPWR|7TLV|8DUR|9RCR|aRPLT
15	23566 11322	5	   	279.46	DCR|3VULN|3DMG|1TLV|1DUR|1AART	145DMG|246VULN|3AART|4BPWR|7TLV|8DUR|9RCR|aBEXP
16	23566 11323	5	   	279.46	DCR|3VULN|3DMG|1TLV|1DUR|1AART	145DMG|246VULN|3AART|4BPWR|7TLV|8DUR|9RCR|aCGEN
17	23523 16445	3	   	279.06	DCR|3VULN|3DUR|2DMG|1CDMG|1AART	17DMG|267VULN|3AART|47aDUR|5MBVNT|7BPWR|8CDMG|9RCR
18	23561 31326	5	   	278.39	DCR|3VULN|2DMG|2DUR|1TLV|1AART	14DMG|24aVULN|3AART|4BPWR|59DUR|6RCR|7TLV|8CGEN
19	23523 16741	3	   	278.14	DCR|3VULN|2DMG|2DUR|1TLV|1AART|1SELL	17DMG|267VULN|3AART|47DUR|5MBVNT|7BPWR|8SELL|9RCR|aTLV
20	23561 52331	8	 * 	277.53	DCR|2VULN|3DMG|2TLV|2DUR|1AART	148DMG|24VULN|3AART|48BPWR|58DUR|68TLV|7LEGI|9RCR|aRCVC
21	23561 52332	8	   	277.53	DCR|2VULN|3DMG|2TLV|2DUR|1AART	148DMG|24VULN|3AART|48BPWR|58DUR|68TLV|7LEGI|9RCR|aLWND
22	23561 52333	8	   	277.53	DCR|2VULN|3DMG|2TLV|2DUR|1AART	148DMG|24VULN|3AART|48BPWR|58DUR|68TLV|7LEGI|9RCR|aLHND
23	23564 32441	6	   	277.35	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG|1AART	14DMG|245VULN|3AART|4BPWR|6MBVNT|7DUR|8CDMG|9RCR|aTLV
24	23321 65261	8	   	276.90	DCR|4VULN|3DUR|2DMG	17DMG|267aVULN|3LHND|4BEXP|578DUR|7BPWR|9RCR
25	23321 65361	7	   	276.90	DCR|4VULN|3DUR|2DMG	17DMG|267aVULN|3LHND|4BEXP|578DUR|7BPWR|9RCR
26	23564 12122	7	 * 	276.82	DCR|5VULN|2DMG|2AART	14DMG|24567VULN|38AART|4BPWR|9LIT|aRCR
