0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23322 12663	4	 * 	289.14	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	1LHND|25aVULN|3LIT|4ASPD|6aDUR|7TLV|8RCR|9aDMG|aBPWR
2	23342 12663	3	   	284.79	DCR|3VULN|2DMG|2DUR|1TLV|2LIT	1LHND|24aVULN|34LIT|4aBPWR|5ZMB|6aDUR|7TLV|8RCR|9aDMG
3	13162 41311	8	 * 	282.83	DCR|4VULN|3DUR|3ASPD	179FEWX|259aVULN|357DUR|4RCVC|579BPWR|679ASPD|8RCR
4	12652 61311	8	   	282.83	DCR|4VULN|3DUR|3ASPD	137FEWX|239ASPD|379BPWR|4RCVC|579aVULN|679DUR|8RCR
5	32652 61311	8	   	282.53	DCR|4VULN|3DUR|3ASPD	137DUST|239ASPD|379BPWR|4RCVC|579aVULN|679DUR|8RCR
6	13162 41312	8	 * 	280.26	DCR|3VULN|3DUR|3ASPD|1DMG	179FEWX|259VULN|357DUR|4RCVC|579BPWR|679ASPD|8RCR|aDMG
7	12652 61312	8	   	280.26	DCR|3VULN|3DUR|3ASPD|1DMG	137FEWX|239ASPD|379BPWR|4RCVC|579VULN|679DUR|8RCR|aDMG
8	32652 61312	8	   	279.96	DCR|3VULN|3DUR|3ASPD|1DMG	137DUST|239ASPD|379BPWR|4RCVC|579VULN|679DUR|8RCR|aDMG
9	33142 41133	10	 * 	279.86	DCR|3VULN|3DUR|3ASPD|2TLV	147DUST|25aVULN|357DUR|57aBPWR|67aASPD|8aTLV|9RCR
10	23422 12663	4	   	278.24	DCR|3VULN|2DMG|2DUR|1TLV	13LHND|23aVULN|3aBPWR|4LIT|5ZMB|6aDUR|7TLV|8RCR|9aDMG
11	23432 12663	3	   	278.24	DCR|3VULN|2DMG|2DUR|1TLV	13LHND|23aVULN|3aBPWR|4LIT|5ZMB|6aDUR|7TLV|8RCR|9aDMG
12	23532 12663	2	   	278.14	DCR|3VULN|2DMG|2DUR|1TLV	1LHND|23aVULN|4LIT|5ZMB|6aDUR|7TLV|8RCR|9aDMG|aBPWR
13	13425 31423	8	 * 	276.60	DCR|4VULN|2DMG|1DUR|2LIT	136FEWX|2378VULN|38BPWR|48LIT|58DMG|9RCR|aDUR
14	23322 13663	4	   	272.79	DCR|3VULN|2DMG|2DUR|1ASPD	1LHND|25aVULN|3LIT|4ASPD|6aDUR|7ERES|8RCR|9aDMG|aBPWR
15	22132 12663	2	 * 	272.44	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	1LHND|2aASPD|35VULN|4LIT|6aDUR|7TLV|8RCR|9aDMG|aBPWR
16	23512 26362	3	 * 	272.29	DCR|4VULN|2DUR|2TLV|1CDMG	19LHND|2569VULN|36TLV|4RPLT|69BPWR|7CDMG|89DUR|aRCR
17	13425 63231	7	 * 	271.80	DCR|5VULN|1DMG|1TLV	13FEWX|2367aVULN|3BPWR|4LIT|5DMG|8TLV|9RCR
18	33142 43134	5	 * 	271.14	DCR|5VULN|3DUR	147DUST|25678VULN|357DUR|57BPWR|9LWND|aRCR
19	23324 12663	4	   	268.78	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1ASPD	1LHND|2aVULN|35LIT|4ASPD|6aDUR|7TLV|8RCR|9aDMG|aBPWR
20	23132 63663	2	 * 	268.52	DCR|3VULN|2DMG|2ASPD|1DUR	1LHND|25aVULN|3MLV|4LIT|6aASPD|7DUR|8RCR|9aDMG|aBPWR
