0	Index      	Bounty	 *	Score 	Summary	Detail	
1	46231 12331	3	 * 	285.63	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG|1AART	1aDMG|2AART|3CDMG|4aTLV|5DUR|6FEWX|79aVULN|8RCR|aBPWR
2	24323 35632	10	 * 	284.35	DCR|3VULN|3DUR|2DMG|2LIT|1CDMG	134DUR|28DMG|578VULN|68LIT|8BPWR|9CDMG|aRCR
3	41323 35632	10	   	284.35	DCR|3VULN|3DUR|2DMG|2LIT|1CDMG	18DMG|234DUR|578VULN|68LIT|8BPWR|9CDMG|aRCR
4	24331 31636	7	 * 	281.95	DCR|3VULN|3DUR|2DMG|1TLV	135DUR|25DMG|4RPLT|5BPWR|689VULN|7TLV|aRCR
5	24331 34236	7	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	135DUR|25DMG|4RPLT|5BPWR|679VULN|8TLV|aRCR
6	41331 31636	7	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	15DMG|235DUR|4RPLT|5BPWR|689VULN|7TLV|aRCR
7	41331 34236	7	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	15DMG|235DUR|4RPLT|5BPWR|679VULN|8TLV|aRCR
8	21123 64513	10	 * 	281.64	DCR|4VULN|2DMG|2DUR|1AART	1aDUR|2AART|3LIT|4RCVC|589aVULN|6aDMG|7RCR|aBPWR
9	41212 53433	10	 * 	279.81	DCR|3VULN|3DMG|3DUR	178DMG|248DUR|3LHND|5ASPD|68aVULN|8BPWR|9RCR
10	24212 53433	10	   	279.81	DCR|3VULN|3DMG|3DUR	148DUR|278DMG|3LHND|5ASPD|68aVULN|8BPWR|9RCR
11	21261 12251	7	   	278.49	DCR|3VULN|2DMG|2DUR|1TLV|1AART	18DUR|2AART|38DMG|4FEWX|5LWND|689VULN|7RCR|8BPWR|aTLV
12	46231 12361	3	 * 	276.59	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG|1AART	19aDMG|2AART|3CDMG|4aTLV|5DUR|6FEWX|7aVULN|8RCR|aBPWR
13	21326 14411	7	   	275.33	DCR|2VULN|3DUR|2DMG|1TLV|1AART	189DUR|2AART|38VULN|4RPLT|5LIT|6TLV|78DMG|8BPWR|aRCR
14	21123 64313	10	   	273.81	DCR|3VULN|3DUR|2DMG|1AART	18aDUR|2AART|3LIT|4RCVC|59aVULN|6aDMG|7RCR|aBPWR
15	46232 32612	3	 * 	272.87	DCR|4VULN|1TLV|1DMG|1CDMG|1AART	1DMG|2AART|3CDMG|4TLV|5678VULN|9ASPD|aRCR
16	22433 32145	1	   	272.57	DCR|3VULN|3DUR|1TLV|1DMG	123DUR|23BPWR|4DMG|5ASPD|678VULN|9RCR|aTLV
17	23323 42145	6	   	272.57	DCR|3VULN|3DUR|1TLV|1DMG	134DUR|2ASPD|578VULN|6DMG|9RCR|aTLV
18	24323 32145	4	   	272.57	DCR|3VULN|3DUR|1TLV|1DMG	134DUR|2DMG|5ASPD|678VULN|9RCR|aTLV
19	41323 32145	4	   	272.57	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|234DUR|5ASPD|678VULN|9RCR|aTLV
20	46522 33121	10	 * 	271.61	DCR|3VULN|3DMG|3CDMG|1AART	18aDMG|2AART|36RCVC|4ASPD|58aCDMG|78aVULN|8aBPWR|9RCR
21	43332 23133	10	   	271.50	DCR|3VULN|3DMG|3DUR	18aDMG|2DUST|38aDUR|4RMIN|5ERES|6LHND|78aVULN|8aBPWR|9RCR
22	43332 33133	10	   	271.50	DCR|3VULN|3DMG|3DUR	18aDMG|2DUST|38aDUR|4RMIN|5ERES|6LWND|78aVULN|8aBPWR|9RCR
23	21225 16141	2	 * 	269.86	DCR|4VULN|2TLV|2DUR|1AART	1aDUR|2AART|3TBNT|4CGEN|5aTLV|6RCR|789aVULN|aBPWR
24	43621 43312	1	 * 	269.69	DCR|3VULN|3DMG|1TLV|2ASPD	19aDMG|249ERES|3TLV|5RMIN|6RCR|7aASPD|89aVULN|9aBPWR
25	46232 32412	3	   	269.41	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	18DMG|2AART|3CDMG|4TLV|567VULN|9ASPD|aRCR
26	21331 32422	4	   	269.19	DCR|4VULN|2DUR|1DMG|1CDMG|1AART	14DUR|2AART|3679VULN|5CDMG|8DMG|aRCR
27	21332 32422	5	   	269.19	DCR|4VULN|2DUR|1DMG|1CDMG|1AART	14DUR|2AART|3679VULN|5CDMG|8DMG|aRCR
28	21351 32422	2	   	269.19	DCR|4VULN|2DUR|1DMG|1CDMG|1AART	13DUR|2AART|3BPWR|4679VULN|5CDMG|8DMG|aRCR
29	21361 35422	3	   	269.19	DCR|4VULN|2DUR|1DMG|1CDMG|1AART	17DUR|2AART|3469VULN|5CDMG|8DMG|aRCR
30	21332 52262	6	 * 	268.77	DCR|4VULN|3DUR|2CDMG|1AART	149DUR|2AART|378aVULN|5aCDMG|6RCR|aBPWR
31	23613 43513	6	 * 	268.63	DCR|3VULN|3DUR|2TLV|2ASPD	189DUR|29ASPD|36TLV|4CGEN|59aVULN|7RCR|9BPWR
32	42315 43312	7	 * 	267.96	DCR|2VULN|3DMG|3TLV|2DUR	179DMG|27LHND|369TLV|4CGEN|57DUR|79BPWR|89VULN|aRCR
33	42353 43312	7	   	267.86	DCR|2VULN|3DMG|3TLV|2DUR	179DMG|27LHND|369TLV|4ERES|57DUR|79BPWR|89VULN|aRCR
34	45122 21443	1	   	267.69	DCR|3VULN|2DMG|1TLV|2ASPD|1CDMG	1aDMG|2MBVNT|3LWND|46aVULN|5CDMG|7TLV|8aASPD|9RCR|aBPWR
35	41632 43312	7	   	267.66	DCR|2VULN|3DMG|3TLV|2DUR	179DMG|27DUR|369TLV|4DUST|57ERES|79BPWR|89VULN|aRCR
36	22433 32143	1	 * 	267.42	DCR|4VULN|3DUR|1DMG	123DUR|23BPWR|4DMG|5ASPD|678aVULN|9RCR
37	23323 42143	6	   	267.42	DCR|4VULN|3DUR|1DMG	134DUR|2ASPD|578aVULN|6DMG|9RCR
38	23354 32143	3	   	267.42	DCR|4VULN|3DUR|1DMG	135DUR|2ASPD|4DMG|678aVULN|9RCR
39	24323 32143	4	   	267.42	DCR|4VULN|3DUR|1DMG	134DUR|2DMG|5ASPD|678aVULN|9RCR
40	26433 32143	1	   	267.42	DCR|4VULN|3DUR|1DMG	123DUR|3BPWR|4DMG|5ASPD|678aVULN|9RCR
41	41323 32143	4	   	267.42	DCR|4VULN|3DUR|1DMG	1DMG|234DUR|5ASPD|678aVULN|9RCR
42	46231 12351	3	 * 	267.25	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR|1AART	1aDMG|2AART|39CDMG|4aTLV|5DUR|6FEWX|7aVULN|8RCR|aBPWR
43	21323 52225	4	 * 	267.15	DCR|5VULN|3DUR|1AART	159DUR|2AART|35678VULN|4RPLT|5BPWR|aRCR
44	21323 52235	4	   	267.15	DCR|5VULN|3DUR|1AART	159DUR|2AART|35678VULN|4RPLT|59BPWR|aRCR
45	21331 55312	10	   	265.95	DCR|2VULN|3DUR|2TLV|2LIT|1CDMG|1AART	145DUR|2AART|3aVULN|6CDMG|7aLIT|8aTLV|9RCR|aBPWR
46	21332 45312	10	   	265.95	DCR|2VULN|3DUR|2TLV|2LIT|1CDMG|1AART	146DUR|2AART|3aVULN|5CDMG|7aLIT|8aTLV|9RCR|aBPWR
47	21331 52212	10	   	265.95	DCR|2VULN|3DUR|2TLV|2LIT|1CDMG|1AART	145DUR|2AART|3aVULN|6CDMG|7aTLV|8aLIT|9RCR|aBPWR
48	21332 42212	10	   	265.95	DCR|2VULN|3DUR|2TLV|2LIT|1CDMG|1AART	146DUR|2AART|3aVULN|5CDMG|7aTLV|8aLIT|9RCR|aBPWR
49	21312 23132	6	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DUR|2AART|378VULN|4BEXP|5FEWX|68DMG|8BPWR|9CDMG|aRCR
50	21351 23132	6	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DUR|2AART|378VULN|4LHND|5BEXP|68DMG|8BPWR|9CDMG|aRCR
51	21212 43132	4	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DUR|2AART|38DMG|4LWND|5FEWX|678VULN|8BPWR|9CDMG|aRCR
52	21213 43132	4	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DUR|2AART|38DMG|4LWND|5BEXP|678VULN|8BPWR|9CDMG|aRCR
53	21221 43132	3	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DUR|2AART|38DMG|4FEWX|5LWND|678VULN|8BPWR|9CDMG|aRCR
54	21251 13132	6	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DUR|2AART|38DMG|4LHND|5LWND|678VULN|8BPWR|9CDMG|aRCR
55	21251 43132	4	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DUR|2AART|38DMG|4LHND|5LWND|678VULN|8BPWR|9CDMG|aRCR
56	21251 43132	5	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DUR|2AART|38DMG|4LHND|5LWND|678VULN|8BPWR|9CDMG|aRCR
57	21261 13132	6	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DUR|2AART|38DMG|4FEWX|5LWND|678VULN|8BPWR|9CDMG|aRCR
58	21261 43132	4	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DUR|2AART|38DMG|4FEWX|5LWND|678VULN|8BPWR|9CDMG|aRCR
59	21261 43132	5	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DUR|2AART|38DMG|4FEWX|5LWND|678VULN|8BPWR|9CDMG|aRCR
60	21262 43132	3	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DUR|2AART|38DMG|4LWND|5FEWX|678VULN|8BPWR|9CDMG|aRCR
61	21263 43132	3	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DUR|2AART|38DMG|4LWND|5BEXP|678VULN|8BPWR|9CDMG|aRCR
62	24241 13132	6	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DUR|28DMG|3LHND|4AART|5LWND|678VULN|8BPWR|9CDMG|aRCR
63	24241 43132	5	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DUR|28DMG|3LHND|4AART|5LWND|678VULN|8BPWR|9CDMG|aRCR
64	24241 43132	4	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DUR|28DMG|3LHND|4AART|5LWND|678VULN|8BPWR|9CDMG|aRCR
65	24441 13132	6	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DUR|28DMG|3BEXP|4AART|5LWND|678VULN|8BPWR|9CDMG|aRCR
66	41241 13132	6	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DMG|28DUR|3LHND|4AART|5LWND|678VULN|8BPWR|9CDMG|aRCR
67	41241 43132	4	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DMG|28DUR|3LHND|4AART|5LWND|678VULN|8BPWR|9CDMG|aRCR
68	41241 43132	5	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DMG|28DUR|3LHND|4AART|5LWND|678VULN|8BPWR|9CDMG|aRCR
69	41441 13132	6	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DMG|28DUR|3BEXP|4AART|5LWND|678VULN|8BPWR|9CDMG|aRCR
70	46621 33132	3	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DMG|2AART|378VULN|4FEWX|5LWND|68DUR|8BPWR|9CDMG|aRCR
71	46621 33132	2	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DMG|2AART|378VULN|4FEWX|5LWND|68DUR|8BPWR|9CDMG|aRCR
72	21251 43132	3	   	265.83	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DUR|2AART|38DMG|4DUST|5LWND|678VULN|8BPWR|9CDMG|aRCR
73	21265 13132	6	   	265.83	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DUR|2AART|38DMG|4FEWX|5DUST|678VULN|8BPWR|9CDMG|aRCR
74	21265 43132	5	   	265.83	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DUR|2AART|38DMG|4FEWX|5DUST|678VULN|8BPWR|9CDMG|aRCR
75	44322 23132	3	   	265.83	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DMG|2LWND|38DUR|478VULN|5AART|6LEGI|8BPWR|9CDMG|aRCR
76	31263 44122	3	   	265.73	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	18DUST|2AART|35DMG|489VULN|6RCR|78DUR|8BPWR|aCDMG
77	24331 31616	7	 * 	265.34	DCR|2VULN|3DUR|2DMG|2TLV	135DUR|25DMG|4RPLT|5BPWR|68VULN|79TLV|aRCR
78	24331 34216	7	   	265.34	DCR|2VULN|3DUR|2DMG|2TLV	135DUR|25DMG|4RPLT|5BPWR|67VULN|89TLV|aRCR
79	41331 31616	7	   	265.34	DCR|2VULN|3DUR|2DMG|2TLV	15DMG|235DUR|4RPLT|5BPWR|68VULN|79TLV|aRCR
80	41331 34216	7	   	265.34	DCR|2VULN|3DUR|2DMG|2TLV	15DMG|235DUR|4RPLT|5BPWR|67VULN|89TLV|aRCR
81	45122 41443	1	 * 	265.06	DCR|2VULN|3DMG|1TLV|2CDMG|2ASPD	16aDMG|2MBVNT|3LWND|4aVULN|56CDMG|6aBPWR|7TLV|8aASPD|9RCR
82	41113 35232	5	 * 	264.74	DCR|4VULN|3DMG|1DUR	169DMG|2DUR|3RMIN|49CGEN|5689VULN|69BPWR|7TBNT|aRCR
