0	Index      	 *	Score 	Summary	Detail	
1	34142 33261	 * 	318.72	ACR|DCR|2VULN|1TLV|1DMG|1ASPD	1DMG|2ASPD|36RCR|4DUR|5RPLT|7aVULN|8FEWX|9TLV
2	31111 53624	 * 	316.18	DCR|DCR|2TLV|1VULN|2DMG	18DMG|28TLV|3AAC|4RAT|5DUST|68BASARM|7aRCR|8BPWR|9VULN
3	24223 12212	 * 	305.60	DCR|DCR|2VULN|1TLV|1CDMG	1BEXP|2CDMG|3RAT|48VULN|5LIT|6aRCR|7TLV|9DUR
4	31551 23362	   	304.97	DCR|DCR|2VULN|1TLV|1DMG	1DMG|2TLV|34VULN|5DLOT|6DUR|7CGEN|8BELT|9aRCR
5	34142 33161	   	303.42	ACR|DCR|2VULN|1TLV|1DMG|1ASPD|1MSE	1DMG|2ASPD|36RCR|4DUR|5RPLT|7aVULN|8MSE|9TLV
6	55313 11161	   	298.60	DCR|DCR|2TLV|1VULN|1DMG	1BLAICY|2SNIHEL|3DMG|4LWND|5aTLV|6VULN|78RCR|9LHND
7	55333 11161	   	298.60	DCR|DCR|2TLV|1VULN|1DMG	1BLAICY|2SNIHEL|3DMG|4FEWX|5aTLV|6VULN|78RCR|9LHND
8	31111 53324	   	298.50	DCR|DCR|2TLV|1VULN|1DMG	1DMG|28TLV|3AAC|4RAT|5DUST|6BASARM|7aRCR|9VULN
9	36132 15511	 * 	296.72	DCR|2TLV|2VULN|3DMG|1ASPD	178DMG|2RCVC|3AETHUN|4ASPD|57TLV|67VULN|7BPWR|9AAC|aRCR
10	34162 33523	 * 	296.69	ACR|DCR|1TLV|1VULN|2DMG|1ASPD	19DMG|2ASPD|36RCR|4DUST|5RPLT|7MLV|8TLV|aVULN
11	52243 11161	   	295.13	DCR|DCR|2TLV|1VULN	1BLAICY|2DUR|3ZMB|4LSRHEA|5aTLV|6VULN|78RCR|9LHND
12	52263 11161	   	295.13	DCR|DCR|2TLV|1VULN	1BLAICY|2DUR|3ZMB|4MSLREG|5aTLV|6VULN|78RCR|9LHND
13	34112 33261	   	293.76	ACR|DCR|2VULN|1TLV|1DMG|1ASPD|1MSE	1DMG|2ASPD|36RCR|4MSE|5RPLT|7aVULN|8LHND|9TLV
14	34112 33361	   	293.76	ACR|DCR|2VULN|1TLV|1DMG|1ASPD|1MSE	1DMG|2ASPD|36RCR|4MSE|5RPLT|7aVULN|8LWND|9TLV
15	34112 33661	   	293.66	ACR|DCR|2VULN|1TLV|1DMG|1ASPD|1MSE	1DMG|2ASPD|36RCR|4MSE|5RPLT|7aVULN|8DUST|9TLV
16	31563 13243	 * 	293.62	DCR|2TLV|2VULN|2DMG|2ASPD	1aDMG|2aTLV|38VULN|49LWND|5RMIN|6aASPD|7RCR|aBPWR
17	35243 11161	   	291.56	DCR|DCR|2TLV|1VULN|1DMG	1DMG|2DUST|3FRZFST|4LSRHEA|5aTLV|6VULN|78RCR|9LHND
18	35263 11161	   	291.56	DCR|DCR|2TLV|1VULN|1DMG	1DMG|2DUST|3FRZFST|4MSLREG|5aTLV|6VULN|78RCR|9LHND
19	34142 33262	   	288.87	ACR|DCR|1TLV|1VULN|1DMG|1ASPD	1DMG|2ASPD|36RCR|4DUR|5RPLT|7VULN|8FEWX|9TLV|aCGEN
20	34142 31261	   	288.77	ACR|DCR|1TLV|1VULN|1DMG|1ASPD	1DMG|2ASPD|36RCR|4DUR|5RPLT|7DUST|8FEWX|9TLV|aVULN
21	34142 33251	   	288.77	ACR|DCR|1TLV|1VULN|1DMG|1ASPD	1DMG|2ASPD|36RCR|4DUR|5RPLT|7VULN|8FEWX|9MDPS|aTLV
22	34142 33263	   	288.77	ACR|DCR|1TLV|1VULN|1DMG|1ASPD	1DMG|2ASPD|36RCR|4DUR|5RPLT|7VULN|8FEWX|9TLV|aDUST
