0	Index      	 *	Score 	Summary	Detail	
1	26421 63123	 * 	285.14	DCR|DCR|2TLV|1VULN|1CDMG	1ERES|2MBVNT|3LHND|4CDMG|56TLV|7VULN|8aRCR|9LIT
2	33613 12622	 * 	283.50	DCR|DCR|1TLV|1VULN|1DMG|1AART	1FEWX|2LHND|3BEXP|4RAT|5TLV|6AART|79RCR|8VULN|aDMG
3	36613 12622	   	283.50	DCR|DCR|1TLV|1VULN|1DMG|1AART	1FEWX|2LWND|3BEXP|4RAT|5TLV|6AART|79RCR|8VULN|aDMG
4	33143 24516	 * 	282.05	DCR|DCR|1TLV|1VULN|1AEBURN|1DUR	1FEWX|2LHND|3AEBURN|4VULN|5BLAICY|6MBVNT|7DUR|89RCR|aTLV
5	25221 51622	 * 	275.76	DCR|3TLV|2VULN|2DUR|1CDMG	1ERES|29DUR|3FEWX|4CDMG|569TLV|7LIT|89VULN|9BPWR|aRCR
6	33141 24516	   	275.01	DCR|DCR|1TLV|1VULN|1AEBURN|1DUR	1FEWX|2LHND|3AEBURN|4VULN|5BASFIG|6MBVNT|7DUR|89RCR|aTLV
7	26842 32184	 * 	268.68	ACR|3VULN|1TLV|1AEFBLL|1AART|1DUR	1ERES|2MBVNT|3AEFBLL|4RCR|5AART|6DUR|789VULN|aTLV
8	41333 63341	 * 	268.53	DCR|2TLV|2VULN|1DMG|2DUR	1AAC|2CGEN|36TLV|46DUR|5BELT|6BPWR|78VULN|9RCR|aDMG
9	26141 75313	 * 	267.70	ACR|3TLV|3VULN	139ERES|2MBVNT|4RCR|5DUST|679TLV|89aVULN|9BPWR
10	16844 61341	 * 	267.46	ACR|DCR|2TLV|1AEFBLL|1ASPD	1AME|2MBVNT|3AEFBLL|48RCR|5VENICY|6aTLV|7FEWX|9ASPD
11	16841 72341	   	267.36	ACR|DCR|2TLV|1AEFBLL|1ASPD	1AME|2MBVNT|3AEFBLL|48RCR|5DUST|6aTLV|7LSRICY|9ASPD
12	16844 64341	   	267.36	ACR|DCR|2TLV|1AEFBLL|1ASPD	1AME|2MBVNT|3AEFBLL|48RCR|5VENICY|6aTLV|7DUST|9ASPD
