0	Index      	 *	Score 	Summary	Detail	
1	56413 33221	 * 	324.76	ACR|DCR|2TLV|2VULN|1CDMG	1DUR|2BEXP|37RCR|4LEGI|59TLV|68VULN|aCDMG
2	56413 33222	   	320.15	ACR|DCR|2TLV|2VULN|2DUR	1aDUR|2BEXP|37RCR|4LEGI|59TLV|68VULN
3	52343 32353	 * 	312.01	DCR|DCR|2VULN|1TLV|1DMG	1DUR|2DMG|35VULN|4RMIN|6ZMB|7TLV|8LHND|9aRCR
4	52343 32253	   	311.91	DCR|DCR|2VULN|1TLV|1DMG	1DUR|2DMG|35VULN|4RMIN|6ZMB|7TLV|8AETHUN|9aRCR
5	26413 33251	   	311.11	ACR|DCR|2TLV|2VULN	1FEWX|2BEXP|37RCR|4LEGI|5aTLV|68VULN|9DUR
6	26413 33311	   	311.11	ACR|DCR|2TLV|2VULN	1FEWX|2BEXP|37RCR|4LEGI|5aTLV|69VULN|8DUR
7	56413 33211	   	311.11	ACR|DCR|2TLV|2VULN	1DUR|2BEXP|37RCR|4LEGI|5aTLV|68VULN|9FEWX
8	56413 33223	   	311.01	ACR|DCR|2TLV|2VULN	1DUR|2BEXP|37RCR|4LEGI|59TLV|68VULN|aDUST
9	13817 41443	 * 	310.46	DCR|DCR|2TLV|1VULN|2AEBURN|2DUR	18AEBURN|2MBVNT|38DUR|4VULN|5LWND|68TLV|7aRCR|8BPWR|9RMIN
10	13823 41443	   	310.46	DCR|DCR|2TLV|1VULN|2AEBURN|2DUR	18AEBURN|2MBVNT|38DUR|4LWND|5VULN|68TLV|7aRCR|8BPWR|9RMIN
11	55413 33221	   	309.46	ACR|DCR|2TLV|2VULN|1CDMG|1MSE	1DUR|2MSE|37RCR|4LEGI|59TLV|68VULN|aCDMG
12	13813 52363	   	304.97	DCR|DCR|2VULN|1TLV|1AEBURN	1AEBURN|2MBVNT|3DUR|45VULN|6CGEN|7TLV|8LHND|9aRCR
13	13813 52463	   	304.87	DCR|DCR|2VULN|1TLV|1AEBURN	1AEBURN|2MBVNT|3DUR|45VULN|6CGEN|7TLV|8DUST|9aRCR
14	55413 33222	   	304.85	ACR|DCR|2TLV|2VULN|2DUR|1MSE	1aDUR|2MSE|37RCR|4LEGI|59TLV|68VULN
15	26413 33241	   	301.45	ACR|DCR|2TLV|2VULN	1FEWX|2BEXP|37RCR|4LEGI|5aTLV|68VULN|9LWND
16	13311 41443	   	301.42	DCR|DCR|2TLV|1VULN|2AEBURN	18AEBURN|2MBVNT|38BEXP|4VULN|5DUR|68TLV|7aRCR|8BPWR|9RMIN
17	26413 33511	   	301.35	ACR|DCR|2TLV|2VULN	1FEWX|2BEXP|37RCR|4LEGI|5aTLV|69VULN|8DUST
18	13111 41443	   	301.22	DCR|DCR|2TLV|1VULN|2AEBURN	18AEBURN|2MBVNT|38DUST|4VULN|5DUR|68TLV|7aRCR|8BPWR|9RMIN
19	25413 33251	   	295.81	ACR|DCR|2TLV|2VULN|1MSE	1FEWX|2MSE|37RCR|4LEGI|5aTLV|68VULN|9DUR
20	25413 33311	   	295.81	ACR|DCR|2TLV|2VULN|1MSE	1FEWX|2MSE|37RCR|4LEGI|5aTLV|69VULN|8DUR
21	55413 33211	   	295.81	ACR|DCR|2TLV|2VULN|1MSE	1DUR|2MSE|37RCR|4LEGI|5aTLV|68VULN|9FEWX
22	55413 33223	   	295.71	ACR|DCR|2TLV|2VULN|1MSE	1DUR|2MSE|37RCR|4LEGI|59TLV|68VULN|aDUST
23	13662 18233	   	295.31	ACR|DCR|2VULN|1TLV|1AEBURN	1AEBURN|2MBVNT|3LHND|4aRCR|5TLV|6RCVC|79VULN|8FEWX
24	13662 28233	   	295.31	ACR|DCR|2VULN|1TLV|1AEBURN	1AEBURN|2MBVNT|36LHND|4aRCR|5TLV|79VULN|8FEWX
25	52153 25222	 * 	295.01	DCR|2TLV|2VULN|2DMG|1AART	1DUR|2aDMG|3AART|4LHND|5RAT|6aTLV|7RCR|8LSRHEA|9aVULN|aBPWR
26	56413 33321	   	294.91	ACR|DCR|2TLV|1VULN|1CDMG	1DUR|2BEXP|37RCR|4LEGI|59TLV|6VULN|8RCVC|aCDMG
27	26413 33361	   	294.91	ACR|DCR|2TLV|1VULN|1ASPD	1FEWX|2BEXP|37RCR|4LEGI|5aTLV|6VULN|8DUR|9ASPD
