0	Index      	 *	Score 	Summary	Detail	
1	26212 51244	 * 	307.21	DCR|DCR|1TLV|3DMG|2ASPD|3RAT	1RMIN|259RAT|3MBVNT|459DMG|59BPWR|68RCR|79ASPD|aTLV
2	53163 33143	 * 	307.11	ACR|DCR|2VULN|1TLV|1DMG|1AEBURN|1MSE	1MSE|28RCR|3ZMB|45VULN|6DMG|7AEBURN|9FEWX|aTLV
3	63423 31512	 * 	306.11	DCR|DCR|1TLV|1VULN|1DMG|1AEPOI|1CDMG	1AEPOI|2AETHUN|3VULN|4TLV|5FLTARM|69RCR|7CDMG|8CGEN|aDMG
4	63423 35312	   	306.01	DCR|DCR|1TLV|1VULN|1AEPOI|1DMG|1CDMG	1AEPOI|2AETHUN|3VULN|4TLV|5FLTARM|69RCR|7ERES|8CDMG|aDMG
5	53242 33113	 * 	303.46	ACR|DCR|2TLV|1VULN|1DMG|1AEPOI|1MSE	1MSE|28RCR|3aTLV|4RMIN|5ZMB|6DMG|7AEPOI|9VULN
6	53212 23113	 * 	303.36	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN|1MSE	1MSE|28RCR|3aTLV|4DMG|5ZMB|6ERES|7AEBURN|9VULN
7	13435 51111	 * 	302.25	DCR|DCR|2VULN|1TLV|1AEFBLL	1ZMB|2TLV|34VULN|5AAC|68RCR|7ERES|9AEFBLL|aBEXP
8	13435 51112	   	302.25	DCR|DCR|2VULN|1TLV|1AEFBLL	1ZMB|2TLV|34VULN|5AAC|68RCR|7ERES|9AEFBLL|aLHND
9	13435 51113	   	302.15	DCR|DCR|2VULN|1TLV|1AEFBLL	1ZMB|2TLV|34VULN|5AAC|68RCR|7ERES|9AEFBLL|aMBVNT
10	53212 33113	 * 	300.98	ACR|DCR|2TLV|1VULN|2DMG|1MSE	1MSE|28RCR|3aTLV|46DMG|5ZMB|7CGEN|9VULN
11	53212 36113	 * 	300.98	ACR|DCR|2TLV|1VULN|2DMG|1MSE	1MSE|28RCR|3aTLV|46DMG|5ZMB|7RMIN|9VULN
12	53212 31113	 * 	300.88	ACR|DCR|2TLV|1VULN|2DMG|1MSE	1MSE|28RCR|3aTLV|46DMG|5ZMB|7ERES|9VULN
13	13525 51113	 * 	298.60	DCR|DCR|2TLV|1VULN|1AEPOI	1ZMB|2aTLV|3LWND|4AEPOI|5AAC|68RCR|7ERES|9VULN
