0	Index      	 *	Score 	Summary	Detail	
1	13236 42142	 * 	309.22	DCR|4VULN|3TLV|3RAT	137aVULN|27aRAT|4AETHUN|57aTLV|6RMIN|7aBPWR|8RCR|9RPLT
2	13256 11513	 * 	308.96	DCR|DCR|2VULN|1TLV|1DMG|2RAT	13VULN|29RAT|4DMG|5TLV|6aRCR|7RCVC|8LIT
3	13251 22615	 * 	307.54	DCR|4VULN|1TLV|2DMG|2FLTHEA	139aVULN|2RAT|4aDMG|5LWND|6TLV|7aFLTHEA|8RCR|aBPWR
4	11116 23445	 * 	302.93	DCR|2TLV|2VULN|2ASPD|1AEFBLL|1DMG	19VULN|2AEFBLL|39TLV|4LWND|5MBVNT|6ZMB|7RCR|89ASPD|9BPWR|aDMG
5	41332 63135	   	302.42	DCR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1DUR|2VULN|3LWND|4TLV|5DMG|6CDMG|79RCR|8DUST|aASPD
6	13251 22625	 * 	302.14	DCR|3VULN|1TLV|3DMG|2FLTHEA	13aVULN|2RAT|49aDMG|5LWND|6TLV|7aFLTHEA|8RCR|aBPWR
7	31631 25111	   	299.90	DCR|DCR|2VULN|1TLV|2RAT|1AART	18RAT|2ERES|38VULN|48LHND|5AART|6MDPS|7aRCR|8BPWR|9TLV
8	34331 25161	   	299.90	DCR|DCR|2VULN|1TLV|2RAT|1AART	18RAT|2TLV|38VULN|48LHND|5AART|6MDPS|7aRCR|8BPWR|9ERES
9	13236 42126	   	297.73	DCR|3VULN|2TLV|1AEBURN|2RAT	137VULN|27RAT|4AETHUN|57TLV|6RMIN|7BPWR|8RCR|9DUR|aAEBURN
10	41332 63132	   	295.70	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1DUR|2VULN|3LWND|4TLV|5DMG|6CDMG|79RCR|8DUST|aZMB
11	41332 63432	   	295.70	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1DUR|2VULN|3LWND|4TLV|5DMG|6CDMG|79RCR|8LEGI|aZMB
