0	Index      	 *	Score 	Summary	Detail	
1	33231 51433	 * 	340.31	DCR|3TLV|3VULN|3DMG|2DUR	13aDMG|23aTLV|3aBPWR|479VULN|5MLV|6aDUR|8RCR
2	33234 11413	   	331.27	DCR|3VULN|2TLV|3DMG|1ASPD	13aDMG|23TLV|3aBPWR|47aVULN|5DUR|6ASPD|8RCR|9aMLV
3	33234 31433	   	331.27	DCR|3TLV|3VULN|3DMG	13aDMG|23aTLV|3aBPWR|479VULN|5DUR|6aMLV|8RCR
4	33231 51443	 * 	324.12	DCR|3TLV|2VULN|3DMG|3DUR	13aDMG|23aTLV|3aBPWR|47VULN|5MLV|69aDUR|8RCR
5	33231 56433	   	324.12	DCR|3TLV|2VULN|3DMG|3DUR	13aDMG|23aTLV|3aBPWR|49VULN|5MLV|67aDUR|8RCR
6	33232 51443	   	324.02	DCR|3TLV|2VULN|3DMG|3DUR	13aDMG|23aTLV|3aBPWR|47VULN|5ERES|69aDUR|8RCR
7	33236 11453	   	319.31	DCR|3TLV|3VULN|2DMG|1ASPD	13DMG|23aTLV|3BPWR|479VULN|5DUST|6ASPD|8RCR
8	33231 51413	   	315.62	DCR|3TLV|2VULN|3DMG|2DUR	13aDMG|23aTLV|3aBPWR|47VULN|59MLV|6aDUR|8RCR
9	33231 51463	   	315.62	DCR|3TLV|2VULN|3DMG|2DUR	13aDMG|23aTLV|3aBPWR|47VULN|5MLV|6aDUR|8RCR|9DMSP
10	33234 31443	   	315.62	DCR|3TLV|2VULN|3DMG|2DUR	13aDMG|23aTLV|3aBPWR|47VULN|59DUR|6aMLV|8RCR
11	33231 53433	   	315.62	DCR|3TLV|2VULN|3DMG|2DUR	13aDMG|23aTLV|3aBPWR|49VULN|57MLV|6aDUR|8RCR
12	33234 36433	   	315.62	DCR|3TLV|2VULN|3DMG|2DUR	13aDMG|23aTLV|3aBPWR|49VULN|57DUR|6aMLV|8RCR
13	33232 51463	   	315.52	DCR|3TLV|2VULN|3DMG|2DUR	13aDMG|23aTLV|3aBPWR|47VULN|5ERES|6aDUR|8RCR|9DMSP
14	33231 51436	   	315.42	DCR|3TLV|3VULN|2DMG	13DMG|23aTLV|3BPWR|479VULN|5MLV|6DUR|8RCR
15	33234 31436	   	315.42	DCR|3TLV|3VULN|2DMG	13DMG|23aTLV|3BPWR|479VULN|5DUR|6MLV|8RCR
16	33236 11452	   	315.32	DCR|3VULN|2TLV|2DMG|1ASPD	13DMG|23TLV|3BPWR|479VULN|5DUST|6ASPD|8RCR|aDUR
17	33431 51433	   	310.91	DCR|3VULN|2TLV|2DMG|2DUR	1aDMG|2aTLV|3RCVC|479VULN|5MLV|6aDUR|8RCR|aBPWR
18	33231 51432	   	310.81	DCR|3VULN|2TLV|2DMG|2DUR	13DMG|23TLV|3BPWR|479VULN|5MLV|6aDUR|8RCR
19	33234 31432	   	310.81	DCR|3VULN|2TLV|2DMG|2DUR	13DMG|23TLV|3BPWR|479VULN|5aDUR|6MLV|8RCR
20	33243 53232	 * 	310.38	DCR|2TLV|3DMG|1VULN|2ASPD|1AEFBLL	138DMG|23TLV|38BPWR|4AART|58ASPD|68ERES|7RCR|9VULN|aAEFBLL
