0	Index      	 *	Score 	Summary	Detail	
1	26323 14531	 * 	320.00	ACR|DCR|3VULN|1TLV|1AEBURN	145VULN|25FRZFST|37RCR|5BPWR|6ERES|8SNIFST|9AEBURN|aTLV
2	21153 22422	 * 	314.97	ACR|DCR|2TLV|1VULN|1DMG|1ASPD	1VULN|2DUR|3BEXP|4aRCR|59TLV|6DMG|7ASPD|8LEGI
3	23153 22622	   	314.97	ACR|DCR|2TLV|1VULN|1DMG|1ASPD	1VULN|2AETHUN|3BEXP|4aRCR|59TLV|6DMG|7ASPD|8DUR
4	21153 25632	   	312.01	ACR|DCR|2VULN|1TLV|1DMG	19VULN|2DUR|3BEXP|4aRCR|5TLV|6DMG|7FEWX|8ZMB
5	26323 14242	   	309.70	ACR|DCR|3VULN|1TLV	145VULN|25FRZFST|37RCR|5BPWR|6ERES|8DUR|9BEXP|aTLV
6	21153 22442	   	308.83	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1ASPD	1VULN|2DUR|3BEXP|4aRCR|5TLV|6DMG|7ASPD|8LEGI|9AEBURN
7	21153 25432	   	305.27	ACR|DCR|2VULN|1TLV|1DMG	18VULN|2DUR|38BEXP|4aRCR|5TLV|6DMG|78FEWX|8BPWR|9AAC
8	25321 44323	 * 	304.32	ACR|3VULN|2TLV|1AEPOI|2DUR|1AART	179VULN|2MLV|37DUR|4AART|5RCR|67TLV|7BPWR|8LIT|aAEPOI
9	21153 22112	 * 	301.32	ACR|DCR|1TLV|1VULN|2ASPD|1DMG	1VULN|2DUR|3BEXP|4aRCR|5TLV|6DMG|78ASPD|9LWND
10	21553 22122	   	301.32	ACR|DCR|1TLV|1VULN|2ASPD|1DMG	1VULN|2DUR|3LWND|4aRCR|5TLV|6DMG|78ASPD|9FEWX
11	21153 22412	   	301.22	ACR|DCR|1TLV|1VULN|2ASPD|1DMG	1VULN|2DUR|3BEXP|4aRCR|5TLV|6DMG|79ASPD|8LEGI
12	23153 22612	   	301.22	ACR|DCR|1TLV|1VULN|2ASPD|1DMG	1VULN|2AETHUN|3BEXP|4aRCR|5TLV|6DMG|79ASPD|8DUR
13	26211 24521	 * 	300.04	DCR|DCR|3VULN|1TLV	138VULN|2FRZFST|4CGEN|5RCVC|67RCR|9TSLHEL|aTLV
14	26214 24321	   	300.04	DCR|DCR|3VULN|1TLV	135VULN|2FRZFST|4CGEN|67RCR|8DMSP|9TSLHEL|aTLV
15	26323 14321	   	300.04	ACR|DCR|3VULN|1TLV	145VULN|25FRZFST|37RCR|5BPWR|6ERES|8DMSP|9TSLHEL|aTLV
16	26323 14612	   	300.04	ACR|DCR|3VULN|1TLV	145VULN|25FRZFST|37RCR|5BPWR|6ERES|8TLV|9LHND|aAAC
17	26323 14621	   	300.04	ACR|DCR|3VULN|1TLV	145VULN|25FRZFST|37RCR|5BPWR|6ERES|8TLV|9AME|aLIT
18	26323 14623	   	300.04	ACR|DCR|3VULN|1TLV	145VULN|25FRZFST|37RCR|5BPWR|6ERES|8TLV|9aAME
19	26323 14632	   	300.04	ACR|DCR|3VULN|1TLV	145VULN|25FRZFST|37RCR|5BPWR|6ERES|8TLV|9BELT|aDMSP
20	26323 54332	   	300.04	ACR|DCR|3VULN|1TLV	145VULN|25FRZFST|37RCR|5BPWR|6AME|8DMSP|9MDPS|aTLV
21	26211 24532	   	299.94	DCR|DCR|3VULN|1TLV	138VULN|2FRZFST|4CGEN|5RCVC|67RCR|9MDPS|aTLV
22	26214 24332	   	299.94	DCR|DCR|3VULN|1TLV	135VULN|2FRZFST|4CGEN|67RCR|8DMSP|9MDPS|aTLV
23	26263 14321	   	299.94	ACR|DCR|3VULN|1TLV	134VULN|2FRZFST|57RCR|6ERES|8DMSP|9TSLHEL|aTLV
24	26323 14332	   	299.94	ACR|DCR|3VULN|1TLV	145VULN|25FRZFST|37RCR|5BPWR|6ERES|8DMSP|9MDPS|aTLV
25	26323 14611	   	299.94	ACR|DCR|3VULN|1TLV	145VULN|25FRZFST|37RCR|5BPWR|6ERES|8TLV|9LHND|aDLOT
26	26323 14613	   	299.94	ACR|DCR|3VULN|1TLV|1MSE	145VULN|25FRZFST|37RCR|5BPWR|6ERES|8TLV|9LHND|aMSE
27	26323 14622	   	299.94	ACR|DCR|3VULN|1TLV	145VULN|25FRZFST|37RCR|5BPWR|6ERES|8TLV|9AME|aMULARM
28	26323 14631	   	299.94	ACR|DCR|3VULN|1TLV	145VULN|25FRZFST|37RCR|5BPWR|6ERES|8TLV|9BELT|aDUST
29	26323 14633	   	299.94	ACR|DCR|3VULN|1TLV	145VULN|25FRZFST|37RCR|5BPWR|6ERES|8TLV|9BELT|aSNIFST
30	23153 43732	   	299.84	ACR|DCR|3VULN|1TLV	189VULN|2AETHUN|3BEXP|4aRCR|5TLV|6LHND|7MBVNT
31	24114 24332	   	299.84	DCR|DCR|3VULN|1TLV	125VULN|2BPWR|3AME|4BLASTR|67RCR|8DMSP|9MDPS|aTLV
32	26263 14332	   	299.84	ACR|DCR|3VULN|1TLV	134VULN|2FRZFST|57RCR|6ERES|8DMSP|9MDPS|aTLV
33	26323 14511	   	299.84	ACR|DCR|3VULN|1TLV	145VULN|25FRZFST|37RCR|5BPWR|69ERES|8SNIFST|aTLV
34	21153 22322	   	299.77	ACR|DCR|2TLV|1VULN|1DMG|1ASPD|1MSE	1VULN|2DUR|3BEXP|4aRCR|59TLV|6DMG|7ASPD|8MSE
35	21553 22322	   	299.77	ACR|DCR|2TLV|1VULN|1DMG|1ASPD|1MSE	1VULN|2DUR|3LWND|4aRCR|59TLV|6DMG|7ASPD|8MSE
36	32243 25823	   	299.17	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD	1AEFBLL|2ASPD|3FEWX|4RPLT|5VULN|6DMG|7MBVNT|8aRCR|9TLV
37	26311 62362	 * 	295.67	ACR|4VULN|2TLV|2AEPOI	147aVULN|24FRZFST|3RCR|4aBPWR|5RPLT|6RMIN|8aTLV|9aAEPOI
38	26234 23362	 * 	295.57	DCR|4VULN|2TLV|2AEPOI	135aVULN|2FRZFST|4RMIN|6RCR|7RPLT|8aTLV|9aAEPOI|aBPWR
39	26321 62362	   	295.57	ACR|4VULN|2TLV|2AEPOI	147aVULN|2FRZFST|3RCR|5RPLT|6RMIN|8aTLV|9aAEPOI|aBPWR
40	21153 43632	   	293.95	ACR|DCR|2VULN|1TLV|2DUR	19VULN|28DUR|3BEXP|4aRCR|5TLV|6LHND|7MBVNT
41	21153 22342	   	293.63	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1ASPD|1MSE	1VULN|2DUR|3BEXP|4aRCR|5TLV|6DMG|7ASPD|8MSE|9AEBURN
42	21553 22342	   	293.63	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1ASPD|1MSE	1VULN|2DUR|3LWND|4aRCR|5TLV|6DMG|7ASPD|8MSE|9AEBURN
43	25321 44311	   	293.28	ACR|2TLV|2VULN|1DMG|2DUR|1CDMG|1AART	17VULN|2MLV|37DUR|4AART|5RCR|67TLV|7BPWR|8LIT|9CDMG|aDMG
44	22321 44314	 * 	293.18	ACR|3TLV|2VULN|1AEFBLL|2DUR|1AART	17VULN|2ERES|37DUR|4AART|5RCR|67aTLV|7BPWR|8AEFBLL|9FEWX
45	24411 52212	   	293.10	DCR|2TLV|2VULN|1AEFBLL|1DMG|1CDMG	12VULN|2BPWR|3LWND|4AEFBLL|5CDMG|6aTLV|7RCR|8DUR|9DMG
46	22321 44324	   	293.08	ACR|3TLV|2VULN|1AEFBLL|2DUR|1AART	17VULN|2ERES|37DUR|4AART|5RCR|67aTLV|7BPWR|8AEFBLL|9DUST
47	22321 44335	   	293.08	ACR|3TLV|2VULN|1AEFBLL|2DUR|1AART	17VULN|29ERES|37DUR|4AART|5RCR|67aTLV|7BPWR|8AEFBLL
48	21153 24342	   	292.67	ACR|4VULN|1TLV|1DMG|2RAT	189aVULN|2DUR|38BEXP|4RCR|5TLV|6DMG|78RAT|8BPWR
49	21553 41232	   	291.85	ACR|DCR|2VULN|1TLV	19VULN|2DUR|3LWND|4aRCR|5TLV|6LHND|7ZMB|8NUKE
50	23153 22112	   	291.56	ACR|DCR|1TLV|1VULN|2ASPD|1DMG	1VULN|2AETHUN|3BEXP|4aRCR|5TLV|6DMG|78ASPD|9LWND
51	23553 22122	   	291.56	ACR|DCR|1TLV|1VULN|2ASPD|1DMG	1VULN|2AETHUN|3LWND|4aRCR|5TLV|6DMG|78ASPD|9FEWX
52	23553 22152	   	291.56	ACR|DCR|1TLV|1VULN|2ASPD|1DMG	1VULN|2AETHUN|3LWND|4aRCR|5TLV|6DMG|78ASPD|9LHND
53	25321 44321	   	291.20	ACR|3VULN|2TLV|2DUR|1AART	179VULN|2MLV|37DUR|4AART|5RCR|67TLV|7BPWR|8LIT|aRAT
54	22321 44632	   	291.10	ACR|3VULN|2TLV|2DUR|1AART	17aVULN|2ERES|37DUR|4AART|5RCR|67TLV|7BPWR|8RAT|9LHND
55	26351 22136	   	290.21	ACR|DCR|1TLV|1VULN|1AEPOI|1ASPD|1AART	1VULN|2FRZFST|39RCR|4AART|5RCVC|6ASPD|7AAC|8AEPOI|aTLV
56	23153 22322	   	290.01	ACR|DCR|2TLV|1VULN|1DMG|1ASPD|1MSE	1VULN|2AETHUN|3BEXP|4aRCR|59TLV|6DMG|7ASPD|8MSE
57	23553 22322	   	290.01	ACR|DCR|2TLV|1VULN|1DMG|1ASPD|1MSE	1VULN|2AETHUN|3LWND|4aRCR|59TLV|6DMG|7ASPD|8MSE
