0	Index      	 *	Score 	Summary	Detail	
1	52112 52134	 * 	328.61	橙橙3等级2易伤1攻速1卖塔	129等级37易伤4卖塔5金币生成6a核8攻速
2	52352 11131	 * 	318.76	紫橙2等级1易伤1伤害1烈焰减费	12等级3立即金币4随机技能59核6伤害7易伤8敌人爆炸a烈焰减费
3	52352 11136	 * 	312.35	紫橙3等级1易伤1伤害	12a等级3立即金币4随机技能59核6伤害7易伤8敌人爆炸
4	52112 52225	 * 	310.97	橙橙2等级2易伤1卖塔	12等级37易伤4卖塔5金币生成69核8低血量敌人a时间
5	52112 52325	 * 	310.97	橙橙2等级2易伤1卖塔	12等级37易伤4卖塔5金币生成69核8基地爆炸a时间
6	52352 11134	   	305.63	紫橙2等级1易伤1伤害	12等级3立即金币4随机技能59核6伤害7易伤8敌人爆炸a爆破对冰
7	52352 11132	   	305.31	紫橙2等级1易伤1伤害2随机技能	12等级3立即金币4a随机技能59核6伤害7易伤8敌人爆炸
8	52352 11531	   	303.46	紫橙2等级1易伤1伤害1烈焰减费1挖怪	12等级3立即金币4随机技能59核6伤害7易伤8挖怪a烈焰减费
9	36233 52421	 * 	301.41	橙橙2等级2易伤1卖塔	1卖塔28敌人爆炸3掉矿48等级5立即金币69核78易伤8序列升级a低血量敌人
10	36233 52422	 * 	301.41	橙橙2等级2易伤1卖塔	1卖塔28敌人爆炸3掉矿48等级5立即金币69核78易伤8序列升级a矿等
11	36233 52423	 * 	301.31	橙橙2等级2易伤1卖塔	1卖塔28敌人爆炸3掉矿48等级5立即金币69核78易伤8序列升级a双倍物品
12	52112 52221	 * 	301.31	橙橙2等级2易伤1卖塔	12等级37易伤4卖塔5金币生成69核8a低血量敌人
13	52112 52223	 * 	301.31	橙橙2等级2易伤1卖塔	12等级37易伤4卖塔5金币生成69核8低血量敌人a最后敌人
14	52112 52321	 * 	301.31	橙橙2等级2易伤1卖塔	12等级37易伤4卖塔5金币生成69核8基地爆炸a低血量敌人
15	52112 52322	 * 	301.31	橙橙2等级2易伤1卖塔	12等级37易伤4卖塔5金币生成69核8基地爆炸a矿等
16	52112 52222	 * 	301.21	橙橙2等级2易伤1卖塔	12等级37易伤4卖塔5金币生成69核8低血量敌人a风暴减费
17	52112 52224	 * 	301.21	橙橙2等级2易伤1卖塔	12等级37易伤4卖塔5金币生成69核8低血量敌人a掉矿
18	52112 52226	 * 	301.21	橙橙2等级2易伤1卖塔	12等级37易伤4卖塔5金币生成69核8低血量敌人a挖尘
19	52112 52323	 * 	301.21	橙橙2等级2易伤1卖塔	12等级37易伤4卖塔5金币生成69核8基地爆炸a双倍物品
20	52112 52324	 * 	301.21	橙橙2等级2易伤1卖塔	12等级37易伤4卖塔5金币生成69核8基地爆炸a掉矿
21	52112 52326	 * 	301.21	橙橙2等级2易伤1卖塔	12等级37易伤4卖塔5金币生成69核8基地爆炸a挖尘
22	55352 11132	   	299.17	紫橙1等级1易伤1伤害1烈焰减费2随机技能	1等级2烈焰减费3立即金币4a随机技能59核6伤害7易伤8敌人爆炸
