0	Index      	 *	Score 	Summary	Detail	
1	33133 42364	 * 	271.95	DCR|2VULN|3DMG|2FLTARM|2DUR	1RMIN|2TBNT|35aDMG|45VULN|5aBPWR|6aFLTARM|7RCR|8aDUR|9BOSS
2	33133 42244	 * 	271.95	DCR|3VULN|3DMG|2DUR|1FLTARM	1RMIN|2TBNT|35aDMG|45aVULN|5aBPWR|6FLTARM|7RCR|8LIT|9aDUR
3	46224 48343	 * 	271.85	DCR|DCR|2VULN|1MLV|2ASPD|1DUR	13ASPD|2MBVNT|4MLV|59VULN|6LIT|7aRCR|8DUR
4	33133 42355	 * 	269.84	DCR|3VULN|2DMG|1FLTARM|1TLV|1DUR	1RMIN|2TBNT|35DMG|45aVULN|5BPWR|6FLTARM|7RCR|8DUR|9TLV
5	33133 42633	 * 	267.98	DCR|3VULN|3DMG|2FLTARM	1RMIN|2TBNT|359DMG|459VULN|59BPWR|69FLTARM|7RCR|8DMSP|aRPLT
6	33133 42634	   	267.98	DCR|3VULN|3DMG|2FLTARM	1RMIN|2TBNT|359DMG|459VULN|59BPWR|69FLTARM|7RCR|8DMSP|aLIT
7	33133 42635	   	267.98	DCR|3VULN|3DMG|2FLTARM	1RMIN|2TBNT|359DMG|459VULN|59BPWR|69FLTARM|7RCR|8DMSP|aBEXP
8	33133 42636	   	267.98	DCR|3VULN|3DMG|2FLTARM	1RMIN|2TBNT|359DMG|459VULN|59BPWR|69FLTARM|7RCR|8DMSP|aFEWX
9	33133 42631	   	267.88	DCR|3VULN|3DMG|2FLTARM|1MSE	1RMIN|2TBNT|359DMG|459VULN|59BPWR|69FLTARM|7RCR|8DMSP|aMSE
10	33133 42632	   	267.88	DCR|3VULN|3DMG|2FLTARM	1RMIN|2TBNT|359DMG|459VULN|59BPWR|69FLTARM|7RCR|8DMSP|aMBVNT
11	31222 65513	 * 	267.31	ACR|DCR|2VULN|2DMG|1DUR|1AART	1RMIN|27VULN|3ASPD|48RCR|57BEXP|67DMG|7BPWR|9DUR|aAART
12	15316 36223	 * 	266.88	DCR|DCR|3VULN|1MLV	1RAT|239VULN|4LWND|5BELT|6MLV|7aRCR|8RPLT
13	33125 14353	 * 	266.28	DCR|DCR|2TLV|1VULN|1DMG	1RMIN|2TBNT|3DMG|4BLASTR|5VULN|69TLV|7aRCR|8ASPD
14	33133 42141	   	261.35	DCR|2VULN|2DMG|1TLV|1FLTARM|1CDMG|1AART	1RMIN|2TBNT|35DMG|45VULN|5BPWR|6FLTARM|7RCR|8CDMG|9TLV|aAART
15	33133 42356	 * 	260.16	DCR|2VULN|2DMG|2DUR|1FLTARM|1TLV	1RMIN|2TBNT|35DMG|45VULN|5BPWR|6FLTARM|7RCR|8aDUR|9TLV
16	33133 51634	 * 	259.49	DCR|3VULN|3DMG|1TLV|1CDMG	1RMIN|2TBNT|35aDMG|45aVULN|5aBPWR|6TLV|7CDMG|8aLIT|9RCR
17	46221 48243	   	258.19	DCR|DCR|2VULN|1MLV|2ASPD	13ASPD|2MBVNT|4MLV|5LHND|6LIT|7aRCR|89VULN
18	46222 48243	   	258.19	DCR|DCR|2VULN|1MLV|2ASPD	13ASPD|2MBVNT|4MLV|5FEWX|6LIT|7aRCR|89VULN
19	46234 48343	   	256.24	DCR|DCR|2VULN|1DUR|2ASPD	13ASPD|2MBVNT|49VULN|5CGEN|6LIT|7aRCR|8DUR
