0	Index      	 *	Score 	Summary	Detail	
1	11242 32236	 * 	288.96	DCR|DCR|2VULN|1TLV|1DMG|1CDMG	1RAT|25VULN|3TLV|4RCVC|6CDMG|7BBNT|8DMG|9aRCR
2	15333 43236	 * 	275.14	DCR|DCR|2TLV|1VULN|2CDMG|1MLV	17RAT|2ZMB|37TLV|4MLV|5DUST|67CDMG|7BPWR|8aRCR|9VULN
3	11246 32236	 * 	273.09	DCR|DCR|2TLV|1VULN|1DMG|1CDMG	1RAT|2VULN|35TLV|4RCVC|6CDMG|7BBNT|8DMG|9aRCR
4	32226 51112	 * 	271.54	DCR|3VULN|2DMG|2MLV|1TLV|1DUR	1AME|235VULN|45MLV|5BPWR|6TLV|7DUR|8aDMG|9RCR
5	15342 31236	   	268.83	DCR|DCR|2TLV|1VULN|1MLV|1CDMG	1RAT|24ZMB|34TLV|4BPWR|5CDMG|6MLV|7FEWX|8aRCR|9VULN
6	11223 34116	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1RAT|26VULN|3TLV|4DUR|5MBVNT|7BEXP|8TBNT|9aRCR
7	11223 35116	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1RAT|26VULN|3TLV|4DUR|5MBVNT|7LHND|8TBNT|9aRCR
8	11223 36116	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1RAT|26VULN|3TLV|4DUR|5MBVNT|7FEWX|8TBNT|9aRCR
9	15335 31236	   	268.73	DCR|DCR|2TLV|1VULN|1MLV|1CDMG	1RAT|2ZMB|35TLV|4MLV|6CDMG|7FEWX|8aRCR|9VULN
10	11223 32116	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1RAT|26VULN|3TLV|4DUR|5MBVNT|7DUST|8TBNT|9aRCR
11	32226 51111	 * 	263.05	DCR|3VULN|3MLV|1TLV|1DMG|1DUR	1AME|235VULN|45aMLV|5BPWR|6TLV|7DUR|8DMG|9RCR
12	11511 13336	   	262.75	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1RAT|2VULN|3LEGI|4DMG|5CDMG|6FEWX|7TLV|8BEXP|9aRCR
13	11243 53236	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1RAT|2VULN|3TLV|4RCVC|5DUST|6MDPS|7CDMG|8DMG|9aRCR
14	11563 11236	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1RAT|2VULN|3LEGI|4CDMG|5TLV|6BEXP|7AETHUN|8DMG|9aRCR
15	11621 13236	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1RAT|2VULN|34MDPS|5TLV|6LWND|7CDMG|8DMG|9aRCR
16	11621 43236	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1RAT|2VULN|34MDPS|5TLV|6FEWX|7CDMG|8DMG|9aRCR
17	11621 53336	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1RAT|2VULN|34MDPS|5TLV|6DMG|7CDMG|8FEWX|9aRCR
18	11631 13236	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1RAT|2VULN|3MDPS|4AEPOI|5TLV|6LWND|7CDMG|8DMG|9aRCR
19	11631 43236	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1RAT|2VULN|3MDPS|4AEPOI|5TLV|6FEWX|7CDMG|8DMG|9aRCR
20	11631 53336	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1RAT|2VULN|3MDPS|4AEPOI|5TLV|6DMG|7CDMG|8FEWX|9aRCR
21	11661 13236	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1RAT|2VULN|3MDPS|4AEWIND|5TLV|6LWND|7CDMG|8DMG|9aRCR
22	51121 53236	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	14MDPS|2RAT|3BEXP|5TLV|6DMG|7CDMG|8VULN|9aRCR
23	51351 13236	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1MDPS|2RAT|3AEFRZ|4VULN|5TLV|6LWND|7CDMG|8DMG|9aRCR
24	51313 23236	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1MDPS|2RAT|3AEFRZ|4DMG|5DUST|6TLV|7CDMG|8VULN|9aRCR
25	32226 51212	   	260.89	DCR|3VULN|2MLV|1TLV|1DMG|1DUR	1AME|235VULN|45MLV|5BPWR|6TLV|7DUR|8ASPD|9RCR|aDMG
26	25332 53523	 * 	260.07	ACR|DCR|2DMG|1VULN|1FLTARM|1DUR|1AART	1AEBURN|2VULN|3aRCR|48DMG|5FLTARM|6FEWX|7DUR|9AART
27	25332 33523	   	259.97	ACR|DCR|2DMG|1VULN|1FLTARM|1DUR|1AART	1AEBURN|2VULN|3aRCR|48DMG|5FLTARM|6DUST|7DUR|9AART
