0	Index      	 *	Score 	Summary	Detail	
1	23215 33441	 * 	264.61	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1LEGI|2MLV|3TLV|4LIT|5BBNT|6BELT|7VULN|8aRCR|9DMG
2	53222 11534	 * 	262.65	DCR|DCR|2VULN|1DMG|1CDMG	13VULN|2CDMG|4VENTOX|5DMG|6TBNT|7aRCR|8AIRARM|9LIT
3	52332 23143	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|2ASPD	1VULN|2BEXP|3TLV|4LIT|58ASPD|6aRCR|7TBNT|9DMG
4	55332 23143	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|2ASPD	1VULN|2DUST|3TLV|4LIT|58ASPD|6aRCR|7TBNT|9DMG
5	52332 23243	   	256.04	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2BEXP|3TLV|48LIT|5ASPD|6aRCR|7TBNT|9DMG
6	55332 23243	   	255.94	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2DUST|3TLV|48LIT|5ASPD|6aRCR|7TBNT|9DMG
7	52232 23143	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|2ASPD	1VULN|2BEXP|3MLV|4LIT|58ASPD|6aRCR|7TBNT|9DMG
8	55232 23143	   	251.95	DCR|DCR|1VULN|1DMG|1MLV|2ASPD	1VULN|2DUST|3MLV|4LIT|58ASPD|6aRCR|7TBNT|9DMG
9	23215 33461	   	251.48	DCR|DCR|1VULN|1TLV|1MLV	1LEGI|2MLV|3TLV|4LIT|5BBNT|6BELT|7VULN|8aRCR|9ASPD
10	21321 65362	   	249.63	DCR|DCR|1VULN|1TLV|1CDMG	1LEGI|2FEWX|3TLV|4LWND|5CGEN|69RCR|7CDMG|8VULN|aASPD
11	21322 65362	   	249.53	DCR|DCR|1VULN|1TLV|1CDMG	1LEGI|2FEWX|3TLV|4LWND|5ERES|69RCR|7CDMG|8VULN|aASPD
12	52232 23243	   	245.44	DCR|DCR|1VULN|1DMG|1MLV	1VULN|2BEXP|3MLV|48LIT|5ASPD|6aRCR|7TBNT|9DMG
13	55232 23243	   	245.34	DCR|DCR|1VULN|1DMG|1MLV	1VULN|2DUST|3MLV|48LIT|5ASPD|6aRCR|7TBNT|9DMG
14	23234 23126	 * 	244.93	DCR|2VULN|3MLV|2TLV|2ASPD|1AART|1AAC	1LEGI|24aMLV|34TLV|4aBPWR|5aASPD|6AAC|7RCR|8AART|9aVULN
