0	Index      	 *	Score 	Summary	Detail	
1	62226 12612	 * 	262.85	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1RMIN|2BOSS|3DUR|4DMG|5VULN|6aRCR|7TLV|8RAT|9ZMB
2	12342 36136	 * 	255.24	DCR|DCR|2VULN|1TLV	1DUST|2aVULN|3RMIN|4FEWX|5RAT|69RCR|7TLV|8LIT
3	14222 36136	   	255.24	DCR|DCR|2VULN|1TLV	1DUST|2RAT|3aVULN|4CGEN|5FEWX|69RCR|7TLV|8LIT
4	12522 36136	   	255.14	DCR|DCR|2VULN|1TLV	1DUST|2aVULN|3FEWX|4AME|5RAT|69RCR|7TLV|8LIT
5	13423 23616	 * 	251.08	DCR|DCR|2FLTARM|1VULN	1DUST|2BEXP|3MDPS|4VULN|5FEWX|68RCR|7LHND|9aFLTARM
6	11123 23652	 * 	249.00	DCR|DCR|2VULN|1DMG	1DUST|2RCVC|3TBNT|4aVULN|5BEXP|68RCR|7LHND|9DMG
7	12331 23652	   	249.00	DCR|DCR|2VULN|1DMG	1DUST|2aVULN|3RMIN|4BBNT|5CGEN|68RCR|7LHND|9DMG
8	13423 23652	   	249.00	DCR|DCR|2VULN|1DMG	1DUST|2BEXP|3MDPS|4aVULN|5FEWX|68RCR|7LHND|9DMG
9	16331 22652	   	249.00	DCR|DCR|2VULN|1DMG	1DUST|2LHND|3RMIN|4BBNT|5CGEN|68RCR|7aVULN|9DMG
10	12335 23652	   	248.90	DCR|DCR|2VULN|1DMG	1DUST|2aVULN|3RMIN|4BBNT|5AME|68RCR|7LHND|9DMG
11	12342 36134	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1DUST|2VULN|3RMIN|4FEWX|5RAT|69RCR|7TLV|8LIT|aDUR
12	14222 36134	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1DUST|2RAT|3VULN|4CGEN|5FEWX|69RCR|7TLV|8LIT|aDUR
13	12463 23613	   	242.59	DCR|DCR|1VULN|1FLTARM|1AART	1DUST|2VULN|3MDPS|4BEXP|5FEWX|68RCR|7LHND|9FLTARM|aAART
14	12522 36134	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1DUST|2VULN|3FEWX|4AME|5RAT|69RCR|7TLV|8LIT|aDUR
15	13423 23613	   	242.59	DCR|DCR|1VULN|1FLTARM|1AART	1DUST|2BEXP|3MDPS|4VULN|5FEWX|68RCR|7LHND|9FLTARM|aAART
16	24232 21352	 * 	240.59	DCR|DCR|2DMG|1VULN|1AAC	1LWND|2RAT|3VULN|4AAC|5FEWX|68DMG|7aRCR|9BOSS
17	24152 21823	   	238.40	DCR|DCR|1VULN|1DMG|1MLV	1LWND|2RAT|3MLV|4MBVNT|5FEWX|6DMG|7aRCR|8FLTHEA|9VULN
18	62226 11612	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1RMIN|2BOSS|3DUR|4DMG|5VULN|6aRCR|7AME|8RAT|9ZMB
19	11123 23654	   	236.45	DCR|DCR|1VULN|1DMG|1CDMG	1DUST|2RCVC|3TBNT|4VULN|5BEXP|68RCR|7LHND|9DMG|aCDMG
20	12331 23654	   	236.45	DCR|DCR|1VULN|1DMG|1CDMG	1DUST|2VULN|3RMIN|4BBNT|5CGEN|68RCR|7LHND|9DMG|aCDMG
21	13331 22654	   	236.45	DCR|DCR|1VULN|1DMG|1CDMG	1DUST|2BEXP|3RMIN|4BBNT|5CGEN|68RCR|7VULN|9DMG|aCDMG
22	23123 23654	   	236.35	DCR|DCR|1VULN|1DMG|1CDMG	1LWND|2AEFRZ|3TBNT|4VULN|5BEXP|68RCR|7LEGI|9DMG|aCDMG
23	12342 36131	   	235.98	DCR|DCR|1VULN|1TLV	1DUST|2VULN|3RMIN|4FEWX|5RAT|69RCR|7TLV|8LIT|aASPD
24	14222 36131	   	235.98	DCR|DCR|1VULN|1TLV	1DUST|2RAT|3VULN|4CGEN|5FEWX|69RCR|7TLV|8LIT|aASPD
25	15422 36131	   	235.98	DCR|DCR|1VULN|1TLV	1DUST|2CGEN|3VULN|4RAT|5FEWX|69RCR|7TLV|8LIT|aASPD
26	15432 36131	   	235.98	DCR|DCR|1VULN|1TLV	1DUST|2CGEN|3VULN|4FEWX|5RAT|69RCR|7TLV|8LIT|aASPD
27	12522 36131	   	235.88	DCR|DCR|1VULN|1TLV	1DUST|2VULN|3FEWX|4AME|5RAT|69RCR|7TLV|8LIT|aASPD
28	14262 35131	   	235.88	DCR|DCR|1VULN|1TLV	1DUST|2RAT|3VULN|4TLV|5FEWX|69RCR|7ERES|8LIT|aASPD
29	12242 36613	   	235.78	DCR|DCR|1VULN|1TLV	1DUST|2VULN|3ASPD|4FEWX|5RAT|6aRCR|7TLV|8SNIFST|9MBVNT
30	12413 43611	 * 	234.77	ACR|DCR|2VULN|1TLV|1AART	1DUST|2aVULN|3MDPS|4TLV|58RCR|6BBNT|7LHND|9AART
31	62316 33632	 * 	234.15	DCR|2VULN|2DMG|2DUR|1TLV	1RMIN|2BOSS|38DMG|4BEXP|58VULN|68DUR|7RCR|8BPWR|9LHND|aTLV
32	62316 33622	   	234.05	DCR|2VULN|2DMG|2DUR|1TLV	1RMIN|2BOSS|38DMG|4BEXP|58VULN|68DUR|7RCR|8BPWR|9LEGI|aTLV
