0	Index      	 *	Score 	Summary	Detail	
1	12514 48734	 * 	242.39	DCR|DCR|1VULN|1TLV|1DUR	1DUR|2DUST|3ERES|4MBVNT|5LHND|6aRCR|7VULN|8TLV|9TBNT
2	15314 41583	 * 	232.42	DCR|DCR|2DUR|1DMG|1MLV	19DUR|2MLV|3LEGI|4MBVNT|5LHND|68RCR|7BOSS|aDMG
3	12241 41631	 * 	232.13	ACR|4VULN|3TLV|3DUR	158DUR|259DUST|3RCR|4BELT|589BPWR|689TLV|789aVULN
4	15314 41524	   	231.99	DCR|DCR|1VULN|1MLV|1DUR	1DUR|2MLV|3LEGI|4MBVNT|5LHND|68RCR|7BOSS|9RAT|aVULN
5	15314 41551	   	231.99	DCR|DCR|1VULN|1MLV|1DUR	1DUR|2MLV|3LEGI|4MBVNT|5LHND|68RCR|7BOSS|9FEWX|aVULN
6	35314 41541	   	231.99	DCR|DCR|1VULN|1MLV|1DUR	1FEWX|2MLV|3LEGI|4MBVNT|5LHND|68RCR|7BOSS|9DUR|aVULN
7	15314 48271	   	231.89	DCR|DCR|1VULN|1MLV|1DUR	1DUR|2MLV|3LEGI|4MBVNT|5LHND|6aRCR|7VULN|8DUST|9BELT
8	43143 31323	 * 	231.57	DCR|4VULN|1TLV|1DMG	1RPLT|2FEWX|346aVULN|5TLV|7BOSS|8DMG|9RCR
9	45143 31323	   	231.57	DCR|4VULN|1TLV|1DMG	1RPLT|2LWND|346aVULN|5TLV|7BOSS|8DMG|9RCR
10	11218 71523	   	230.36	DCR|DCR|2DUR|1DMG|1AART	15DUR|2ERES|3LWND|4MBVNT|6AART|7DMG|8DUST|9aRCR
11	14112 71523	   	230.36	DCR|DCR|2DUR|1DMG|1AART	15DUR|2RMIN|3AETHUN|4MBVNT|5BPWR|6AART|7DMG|8DUST|9aRCR
12	11318 71523	   	230.26	DCR|DCR|2DUR|1DMG|1AART	15DUR|2ERES|3LEGI|4MBVNT|6AART|7DMG|8DUST|9aRCR
