0	Index      	 *	Score 	Summary	Detail	
1	36262 12441	 * 	260.83	DCR|DCR|2DMG|1VULN|1DUR|1SELL	1ASPD|2DMSP|3SELL|4MBVNT|57DMG|68RCR|9VULN|aDUR
2	36262 12442	 * 	247.18	DCR|DCR|2DMG|1VULN|1SELL	1ASPD|2DMSP|3SELL|4MBVNT|57DMG|68RCR|9VULN|aRAT
3	36262 12444	 * 	247.18	DCR|DCR|2DMG|1VULN|1SELL	1ASPD|2DMSP|3SELL|4MBVNT|57DMG|68RCR|9VULN|aBEXP
4	36262 12445	 * 	247.18	DCR|DCR|2DMG|1VULN|1SELL	1ASPD|2DMSP|3SELL|4MBVNT|57DMG|68RCR|9VULN|aFEWX
5	36262 12446	 * 	247.18	DCR|DCR|2DMG|1VULN|1SELL	1ASPD|2aDMSP|3SELL|4MBVNT|57DMG|68RCR|9VULN
6	36262 12447	 * 	247.18	DCR|DCR|2DMG|1VULN|1SELL	1ASPD|2DMSP|3SELL|4MBVNT|57DMG|68RCR|9VULN|aRMIN
7	36262 12443	 * 	247.08	DCR|DCR|2DMG|1VULN|1SELL|1MSE	1ASPD|2DMSP|3SELL|4MBVNT|57DMG|68RCR|9VULN|aMSE
8	36262 12448	 * 	247.08	DCR|DCR|2DMG|1VULN|1SELL	1ASPD|2DMSP|3SELL|4MBVNT|57DMG|68RCR|9VULN|aERES
9	22435 11252	 * 	244.64	DCR|DCR|2VULN|1MLV	12BEXP|3TBNT|4LWND|56VULN|7MLV|8aRCR|9FRZARM
10	13656 12312	 * 	242.39	DCR|DCR|1VULN|1TLV|1DUR	1AEFRZ|2RMIN|3TBNT|4VULN|5BBNT|6DUR|7aRCR|8BASARM|9TLV
11	11516 12312	   	242.29	DCR|DCR|1VULN|1TLV|1DUR	1AEFRZ|2VULN|3AME|4TBNT|5BBNT|6DUR|7aRCR|8CANTOX|9TLV
12	41516 12312	   	242.29	DCR|DCR|1VULN|1TLV|1DUR	1AEFBLL|2VULN|3AME|4TBNT|5BBNT|6DUR|7aRCR|8CANTOX|9TLV
13	36262 12431	 * 	241.19	DCR|DCR|2DMG|2DUR|1SELL	1ASPD|2DMSP|3SELL|4MBVNT|57DMG|68RCR|9aDUR
14	51232 21784	 * 	239.30	DCR|4VULN|2MLV|1TLV	1LIT|2TBNT|3MBVNT|46MLV|5679VULN|6BPWR|8TLV|aRCR
15	11134 61252	   	231.99	DCR|DCR|1VULN|1MLV|1DUR	1AEFRZ|2VULN|34BEXP|5DUR|6TBNT|7MLV|8aRCR|9FRZARM
16	15131 61252	   	231.99	DCR|DCR|1VULN|1MLV|1DUR	1AEFRZ|2DUR|34BEXP|5VULN|6TBNT|7MLV|8aRCR|9FRZARM
17	25131 61252	   	231.99	DCR|DCR|1VULN|1MLV|1DUR	13BEXP|2AEBURN|4DUR|5VULN|6TBNT|7MLV|8aRCR|9FRZARM
18	11215 66222	 * 	231.19	DCR|3VULN|2DMG|1DUR|1CDMG	1AEFRZ|27aVULN|3CDMG|4FEWX|5aLHND|6DUR|8RCR|9aDMG|aBPWR
19	11252 66222	   	231.19	DCR|3VULN|2DMG|1DUR|1CDMG	1AEFRZ|27aVULN|3CDMG|4LHND|5aFEWX|6DUR|8RCR|9aDMG|aBPWR
20	21164 71442	   	231.19	DCR|3VULN|2DMG|1DUR|1CDMG	1aBEXP|2MBVNT|3DMSP|49aVULN|5CDMG|6DUR|7aDMG|8RCR|aBPWR
21	21764 71442	   	231.19	DCR|3VULN|2DMG|1DUR|1CDMG	1aBEXP|2MBVNT|3RCVC|49aVULN|5CDMG|6DUR|7aDMG|8RCR|aBPWR
