0	Index      	 *	Score 	Summary	Detail	
1	21113 63311	 * 	278.58	DCR|DCR|3VULN|1AART|1CDMG	1AART|2LHND|36aVULN|4RMIN|5RCVC|79RCR|8CDMG
2	26363 51111	 * 	265.47	ACR|DCR|2TLV|1VULN|2DUR|2CDMG|1AART	1AART|27DUR|39RCR|48LWND|57CDMG|67TLV|7BPWR|aVULN
3	21113 63314	   	263.38	DCR|DCR|2VULN|1AART|1CDMG	1AART|2LHND|36VULN|4RMIN|5RCVC|79RCR|8CDMG|aASPD
4	31431 43251	 * 	262.75	DCR|DCR|2VULN|1DMG|1DUR|1NUKE	1NUKE|26VULN|3DMG|4LIT|5DUR|7CGEN|89RCR|aBEXP
5	31431 43252	   	262.75	DCR|DCR|2VULN|1DMG|1DUR|1NUKE	1NUKE|26VULN|3DMG|4aLIT|5DUR|7CGEN|89RCR
6	31431 43253	   	262.75	DCR|DCR|2VULN|1DMG|1DUR|1NUKE	1NUKE|26VULN|3DMG|4LIT|5DUR|7CGEN|89RCR|aLWND
7	31432 13254	 * 	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG|1NUKE	1NUKE|2VULN|3DMG|4LIT|5TLV|6ERES|7CGEN|89RCR|aCDMG
8	66326 31121	 * 	261.60	DCR|3VULN|3DUR|2DMG|2CDMG	179DUR|2RCVC|37CDMG|4TBNT|579VULN|6RCR|79BPWR|89DMG|aDMSP
9	66326 31123	   	261.60	DCR|3VULN|3DUR|2DMG|2CDMG	179DUR|2RCVC|37CDMG|4TBNT|579VULN|6RCR|79BPWR|89DMG|aLIT
10	66326 31122	   	261.50	DCR|3VULN|3DUR|2DMG|2CDMG	179DUR|2RCVC|37CDMG|4TBNT|579VULN|6RCR|79BPWR|89DMG|aTSLFST
11	21113 63313	   	256.44	DCR|DCR|2VULN|1AART|1CDMG	1AART|2LHND|36VULN|4RMIN|5RCVC|79RCR|8CDMG|aBEXP
12	21113 63315	   	256.44	DCR|DCR|2VULN|1AART|1CDMG	1AART|2LHND|36VULN|4RMIN|5RCVC|79RCR|8CDMG|aRAT
13	21113 63316	   	256.44	DCR|DCR|2VULN|1AART|1CDMG	1AART|2aLHND|36VULN|4RMIN|5RCVC|79RCR|8CDMG
14	21113 63312	   	256.34	DCR|DCR|2VULN|1AART|1CDMG	1AART|2LHND|36VULN|4RMIN|5RCVC|79RCR|8CDMG|aBLASTR
15	24113 63136	   	256.34	DCR|DCR|2VULN|1DUR|1AART	1AART|2BEXP|36VULN|4RMIN|5RCVC|7aRCR|8ERES|9DUR
16	25113 63136	   	256.34	DCR|DCR|2VULN|1DUR|1AART	1AART|2FEWX|36VULN|4RMIN|5RCVC|7aRCR|8ERES|9DUR
17	21113 13311	   	256.34	DCR|DCR|2VULN|1AART|1CDMG	1AART|2LHND|3aVULN|4RMIN|5RCVC|6AEBURN|79RCR|8CDMG
18	21135 33311	   	256.34	DCR|DCR|2VULN|1AART|1CDMG	1AART|24LHND|3aVULN|5AEWIND|6CGEN|79RCR|8CDMG
19	51632 13222	 * 	254.68	DCR|DCR|2TLV|1VULN|1MLV	14AEBURN|2BBNT|34TLV|4BPWR|5AIRHEA|6MLV|7AIRARM|89RCR|aVULN
20	26363 51112	 * 	253.44	ACR|DCR|2TLV|2DUR|1DMG|2CDMG|1AART	1AART|27DUR|39RCR|48LWND|57CDMG|67TLV|7BPWR|aDMG
21	52314 36211	   	251.08	DCR|DCR|3VULN	1AEBURN|2BOSS|35aVULN|4LIT|6DMSP|79RCR|8MBVNT
22	31431 23254	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1CDMG|1NUKE	1NUKE|2VULN|3DMG|4LIT|5DUR|6AEBURN|7CGEN|89RCR|aCDMG
23	31432 13251	   	249.00	DCR|DCR|1VULN|1TLV|1DMG|1NUKE	1NUKE|2VULN|3DMG|4LIT|5TLV|6ERES|7CGEN|89RCR|aBEXP
24	31432 13252	   	249.00	DCR|DCR|1VULN|1TLV|1DMG|1NUKE	1NUKE|2VULN|3DMG|4aLIT|5TLV|6ERES|7CGEN|89RCR
25	31432 13253	   	249.00	DCR|DCR|1VULN|1TLV|1DMG|1NUKE	1NUKE|2VULN|3DMG|4LIT|5TLV|6ERES|7CGEN|89RCR|aLWND
26	31432 13255	   	249.00	DCR|DCR|1VULN|1TLV|1DMG|1NUKE	1NUKE|2VULN|3DMG|4LIT|5TLV|6ERES|7CGEN|89RCR|aLHND
27	31432 13256	   	249.00	DCR|DCR|1VULN|1TLV|1DMG|1NUKE	1NUKE|2VULN|3DMG|4LIT|5TLV|6ERES|7CGEN|89RCR|aRPLT
28	31531 62132	 * 	248.90	DCR|DCR|1VULN|2DUR|1DMG|1NUKE	1NUKE|2VULN|35DUR|4LWND|6aRCR|7DMG|8BBNT|9CGEN
