0	Index      	 *	Score 	Summary	Detail	
1	16423 23631	 * 	284.91	橙橙2易伤1等级1时间	1低血量敌人2金币生成3技能点48易伤5时间6挖尘79核a等级
2	36423 23631	   	284.91	橙橙2易伤1等级1时间	1敌人爆炸2金币生成3技能点48易伤5时间6挖尘79核a等级
3	51231 63322	 * 	279.43	紫橙1等级1易伤1伤害	15最后敌人2策反3随机技能4a核6喷火对黄7等级8伤害9易伤
4	31234 63322	   	279.33	紫橙1等级1易伤1伤害	1敌人爆炸2策反3随机技能4a核5暴雪减费6喷火对黄7等级8伤害9易伤
5	51234 63322	   	279.33	紫橙1等级1易伤1伤害	1最后敌人2策反3随机技能4a核5暴雪减费6喷火对黄7等级8伤害9易伤
6	31363 25213	 * 	278.86	橙2等级2易伤1烈焰减费2时间2策反	1敌人爆炸29策反3烈焰减费4a时间59等级6低血量敌人7核89易伤9序列升级
7	31363 35213	   	278.86	橙2等级2易伤1烈焰减费2时间2策反	1敌人爆炸29策反3烈焰减费4a时间59等级6最后敌人7核89易伤9序列升级
8	31363 25214	   	276.76	橙2等级2易伤1烈焰减费2策反1时间	1敌人爆炸29策反3烈焰减费4时间59等级6低血量敌人7核89易伤9序列升级a随机技能
9	31363 35214	   	276.76	橙2等级2易伤1烈焰减费2策反1时间	1敌人爆炸29策反3烈焰减费4时间59等级6最后敌人7核89易伤9序列升级a随机技能
10	21363 25214	   	276.66	橙2等级2易伤1烈焰减费2策反1时间	1挖尘29策反3烈焰减费4时间59等级6低血量敌人7核89易伤9序列升级a随机技能
11	21363 35214	   	276.66	橙2等级2易伤1烈焰减费2策反1时间	1挖尘29策反3烈焰减费4时间59等级6最后敌人7核89易伤9序列升级a随机技能
12	14641 23231	   	275.15	橙橙2易伤1等级	1低血量敌人2双倍秒伤36易伤4矿等5掉矿79核8双倍矿a等级
13	16152 23631	   	275.15	橙橙2易伤1等级	1低血量敌人2金币生成3雷电减费48易伤5技能点6挖尘79核a等级
14	36152 23631	   	275.15	橙橙2易伤1等级	1敌人爆炸2金币生成3雷电减费48易伤5技能点6挖尘79核a等级
15	12352 43231	 * 	271.69	橙橙2等级1易伤	1低血量敌人2基地爆炸3矿等4易伤5a等级6敌人爆炸79核8双倍矿
16	12352 43531	   	271.69	橙橙2等级1易伤	1低血量敌人28基地爆炸3矿等4易伤5a等级6敌人爆炸79核
17	32354 63231	   	271.69	橙橙2等级1易伤	1敌人爆炸2基地爆炸3矿等4易伤5低血量敌人6a等级79核8双倍矿
18	12352 23231	   	271.59	橙橙2等级1易伤	1低血量敌人2基地爆炸3矿等4易伤5a等级6挖尘79核8双倍矿
19	12352 23531	   	271.59	橙橙2等级1易伤	1低血量敌人28基地爆炸3矿等4易伤5a等级6挖尘79核
