0	Index      	 *	Score 	Summary	Detail	
1	13643 32214	 * 	320.22	橙4易伤2等级1伤害1攻速1全技能	15等级2345易伤5序列升级6全技能7攻速8技能9伤害a核
2	13643 31135	 * 	318.40	橙5易伤2等级1攻速1全技能	15等级2345a易伤5序列升级6全技能7散射对甲8攻速9核
3	13643 23363	 * 	307.40	橙5易伤3等级	15a等级23457易伤5序列升级6核弹8低血量敌人9核
4	13643 31235	   	304.75	橙5易伤2等级1全技能	15等级2345a易伤5序列升级6全技能7散射对甲8技能9核
5	13626 31136	 * 	301.77	橙3易伤2等级3攻速	18等级238易伤4敌人爆炸5时间678攻速8序列升级9技能a核
6	13636 31136	   	301.77	橙3易伤2等级3攻速	18等级238易伤4基地爆炸5时间678攻速8序列升级9技能a核
7	13626 31123	   	301.67	橙3易伤2等级3攻速	18等级238易伤4敌人爆炸5时间678攻速8序列升级9毒液对冰a核
8	13636 31123	   	301.67	橙3易伤2等级3攻速	18等级238易伤4基地爆炸5时间678攻速8序列升级9毒液对冰a核
9	13643 23263	   	300.68	橙5易伤2等级	15等级23457易伤5序列升级6核弹8基地爆炸9核a喷火对甲
10	13643 31132	   	300.06	橙4易伤2等级1攻速1全技能	15等级2345易伤5序列升级6全技能7散射对甲8攻速9核a额外掉落
11	13643 31133	   	300.06	橙4易伤2等级1攻速1全技能	15等级2345易伤5序列升级6全技能7散射对甲8攻速9核a平台
12	13643 31131	   	299.96	橙4易伤2等级1攻速1全技能1卖塔	15等级2345易伤5序列升级6全技能7散射对甲8攻速9核a卖塔
13	13643 31136	   	299.96	橙4易伤2等级1攻速1全技能1挖怪	15等级2345易伤5序列升级6全技能7散射对甲8攻速9核a挖怪
14	13453 32521	 * 	299.87	紫橙1等级1易伤1伤害1暴击1全技能	1等级2易伤3全技能4技能点58核6暴击7时间9最后敌人a伤害
15	13453 32531	   	299.77	紫橙1等级1易伤1伤害1暴击1全技能	1等级2易伤3全技能4技能点58核6暴击7时间9挖尘a伤害
16	13415 41112	   	298.97	橙3易伤2等级2烈焰减费1暴击1全技能	1a等级27a易伤3全技能4暴击5暴雪减费6核8雷电减费9a烈焰减费a序列升级
17	13643 11126	   	298.82	橙4易伤2等级1暴击	15等级2345易伤5序列升级6雷电7随机矿8暴击9时间a核
18	13643 52333	   	298.72	橙4易伤2等级2随机技能	15等级2345易伤5序列升级6电塔对直升79随机技能8时间a核
19	33621 16253	 * 	296.15	紫橙2等级1易伤1攻速1全技能	1加农对毒2攻速3全技能47核5a等级6散射对绿8易伤9基地爆炸
20	13256 42233	   	294.14	橙3易伤2等级1烈焰减费1伤害1卖塔	14等级28a易伤3双倍秒伤5卖塔6伤害7烈焰减费9核
21	13643 62333	   	293.85	橙5易伤2等级	15等级2345a易伤5序列升级6平台7低血量敌人8技能点9核
22	13643 23262	   	293.75	橙5易伤2等级	15等级23457易伤5序列升级6核弹8基地爆炸9核a低血量敌人
23	13643 23161	   	293.65	橙5易伤2等级	15等级23457易伤5序列升级6核弹8随机矿9双倍物品a核
24	13643 23232	   	293.65	橙5易伤2等级	15等级23457易伤5序列升级6核弹8基地爆炸9双倍秒伤a核
25	13643 23261	   	293.65	橙5易伤2等级	15等级23457易伤5序列升级6核弹8基地爆炸9核a多重对甲
26	13643 23332	   	293.65	橙5易伤2等级	15等级23457易伤5序列升级6核弹8低血量敌人9双倍秒伤a核
27	13643 23361	   	293.65	橙5易伤2等级	15等级23457易伤5序列升级6核弹8低血量敌人9核a多重对甲
28	13643 23362	   	293.65	橙5易伤2等级	15等级23457易伤5序列升级6核弹8低血量敌人9核a挖青
29	13643 24133	   	293.55	橙5易伤2等级	15等级2345a易伤5序列升级6核弹7毒液对黄8双倍物品9核
30	13453 32513	   	293.36	紫橙1等级1易伤1暴击1攻速1全技能	1等级2易伤3全技能4技能点58核6暴击7时间9双倍秒伤a攻速
31	13622 31136	   	292.10	橙3易伤2等级3攻速	18等级238易伤4敌人爆炸5基地爆炸678攻速8序列升级9技能a核
32	13622 31123	   	292.00	橙3易伤2等级3攻速	18等级238易伤4敌人爆炸5基地爆炸678攻速8序列升级9毒液对冰a核
