0	Index      	 *	Score 	Summary	Detail	
1	42647 11141	 * 	297.32	橙橙2易伤2等级1卖塔	1雷电减费27等级3加一4卖塔5随机技能6a核89易伤
2	11431 31663	 * 	296.99	橙橙2伤害1易伤1矿等1技能1卖塔	1卖塔2随机矿3技能4低血量敌人56伤害7易伤89核a矿等
3	35513 81234	 * 	291.76	橙橙3易伤1技能	1技能23a易伤4加一5低血量敌人6随机技能7技能点89核
4	11431 31662	 * 	285.88	橙橙2伤害1易伤2技能1卖塔	1卖塔2随机矿3a技能4低血量敌人56伤害7易伤89核
5	33226 13663	 * 	282.53	橙橙2矿等1伤害1技能1暴击	1技能2暴击3金币生成4a矿等5伤害6随机矿7最后敌人89核
6	23414 21121	 * 	274.58	橙3易伤2伤害2攻速1矿等	19风暴减费26伤害3核弹459易伤7核89攻速9序列升级a矿等
7	33226 13662	 * 	273.45	橙橙2技能1矿等1伤害1暴击	1a技能2暴击3金币生成4矿等5伤害6随机矿7最后敌人89核
8	35513 38331	 * 	271.70	橙4易伤2等级1技能	1技能2389易伤4加一58低血量敌人68等级7核8序列升级a时间
9	35551 32331	   	271.60	橙4易伤2等级1技能	1技能2389易伤4低血量敌人58挖尘68等级7核8序列升级a时间
10	35561 32331	   	271.60	橙4易伤2等级1技能	1技能2389易伤4最后敌人58挖尘68等级7核8序列升级a时间
11	34431 23333	 * 	271.07	橙橙1等级1伤害1技能1暴击	1技能2双倍矿3随机技能4暴击5赏金邻近6伤害7a核8等级9掉矿
12	26631 23333	   	270.97	橙橙1等级1伤害1技能1暴击	1风暴减费2随机技能3技能4暴击5赏金邻近6伤害7a核8等级9掉矿
13	56631 23333	   	270.97	橙橙1等级1伤害1技能1暴击	1毒气减费2随机技能3技能4暴击5赏金邻近6伤害7a核8等级9掉矿
14	11431 31661	 * 	270.78	橙橙2伤害1易伤1技能1卖塔	1卖塔2随机矿3技能4低血量敌人56伤害7易伤89核a赏金邻近
15	35513 81232	   	268.29	橙橙2易伤1技能	1技能23易伤4加一5低血量敌人6随机技能7a技能点89核
16	35513 82232	   	268.29	橙橙2易伤1技能	1技能23易伤4加一5低血量敌人6随机技能7金币生成89核a技能点
17	35513 82233	   	268.29	橙橙2易伤1技能	1技能23易伤4加一5低血量敌人6随机技能7金币生成89核a雷电
18	35513 82234	   	268.29	橙橙2易伤1技能	1技能23易伤4加一5低血量敌人6随机技能7金币生成89核a平台
19	35613 81234	   	268.29	橙橙2易伤1技能	1技能2a易伤3双倍矿4加一5低血量敌人6随机技能7技能点89核
20	35513 81231	   	268.19	橙橙2易伤1技能	1技能23易伤4加一5低血量敌人6随机技能7技能点89核a暴雪减费
21	35513 81233	   	268.19	橙橙2易伤1技能	1技能23易伤4加一5低血量敌人6随机技能7技能点89核a基地爆炸
22	35513 82231	   	268.19	橙橙2易伤1技能	1技能23易伤4加一5低血量敌人6随机技能7金币生成89核a风暴减费
